mk.names	chr	pos.ind	pos.cM	N.QTL	QTL.prof_1	QTL.prof_2	QTL.prof_3	QTL.prof_4	QTL.prof_5	QTL.prof_6	QTL.prof_7	QTL.prof_8	QTL.prof_9	QTL.prof_10	QTL.prof_11	QTL.prof_12	QTL.prof_13	QTL.prof_14	QTL.prof_15	QTL.prof_16	QTL.prof_17	QTL.prof_18	QTL.prof_19	QTL.prof_20	QTL.prof_21	QTL.prof_22	QTL.prof_23	QTL.prof_24	QTL.prof_25	QTL.prof_26	QTL.prof_27	QTL.prof_28	QTL.prof_29	QTL.prof_30	QTL.prof_31	QTL.prof_32	QTL.prof_33	QTL.prof_34	QTL.prof_35	QTL.prof_36	QTL.prof_37	QTL.prof_38	QTL.prof_39	QTL.prof_40	QTL.prof_41	QTL.prof_42	QTL.prof_43	QTL.prof_44	QTL.prof_45	QTL.prof_46	QTL.prof_47	QTL.prof_48	QTL.prof_49	QTL.prof_50	QTL.prof_51	QTL.prof_52	QTL.prof_53	QTL.prof_54	QTL.prof_55	QTL.prof_56	QTL.prof_57	QTL.prof_58	QTL.prof_59	QTL.prof_60	QTL.prof_61	QTL.prof_62	QTL.prof_63	QTL.prof_64	QTL.prof_65	QTL.prof_66	QTL.prof_67	QTL.prof_68	QTL.prof_69	QTL.prof_70	QTL.prof_71	QTL.prof_72	QTL.prof_73	QTL.prof_74	QTL.prof_75	QTL.prof_76	QTL.prof_77	QTL.prof_78	QTL.prof_79	QTL.prof_80	QTL.prof_81	QTL.prof_82	QTL.prof_83	QTL.prof_84	QTL.prof_85	QTL.prof_86	QTL.prof_87	QTL.prof_88	QTL.prof_89	QTL.prof_90	QTL.prof_91	QTL.prof_92	QTL.prof_93	QTL.prof_94	QTL.prof_95	QTL.prof_96	QTL.prof_97	QTL.prof_98	QTL.prof_99	QTL.prof_100
PZE-101000161	1	1	0.1	0	0.0951728944147909	0.0826248636428737	0.117435852921955	0.304422530327688	0.132636479854031	0.111050895039331	0.00288210681469575	0.19799677750869	0.17828805029269	0.235484278726103	0.039490597573825	0.0441574129705699	0.159265426467541	0.339224702353646	0.720776852507615	0.514765604814333	0.206462737433737	0.0524774391281693	0.167488516435979	0.33982691328053	0.0125970582366148	0.0619365145912693	0.378163601005976	0.14117821613248	0.314092184464953	0.00254764170699288	0.383580938912204	0.356781627609035	0.0768211145939941	0.113165659310964	0.0203279079908728	0.268921440847817	0.140768196301019	0.71568585344258	0.124556492223579	0.449622372243846	0.0348842623436937	0.112042222192556	0.336837263520112	0.756517292713207	0.0529671315873314	0.0978024921781791	0.050259987874527	0.00533454445518977	0.558781326225871	0.0902715377327095	0.0937369512252723	0.0680148245535133	0.461068000714505	0.23777664220568	0.307245005932519	0.0431963738475194	0.247851813586391	0.146737534075244	0.133793520918686	0.126874525495835	0.171784244661934	0.0952369028496303	0.11100827480682	0.0364258482017545	0.204992707110082	0.148594298588449	0.377654692117821	0.0196774850831308	0.655422843699181	0.164887910135535	0.225113477127639	0.172924258286113	0.20041805999279	0.0581775905758422	0.111028633855473	0.228452345920174	0.0179435490630252	0.273385359629645	0.109445353611696	0.0617843728965286	0.087776378657323	1.05118143852535	0.293033640777602	0.0113705284482177	0.377630199608996	0.0231854244628243	0.0760286251883073	0.177592173672196	0.176872437396659	0.169946485991957	0.0292975603864681	0.28542171230254	0.559635369493913	0.247436447999121	0.387486696431552	0.0136426113365035	0.0502583799994566	0.408099041625841	0.0319249809825569	0.409814365830637	0.371351544875776	0.0455865700738632	0.32143153078963	0.147322596540326
PZE-101000659	1	2	1.9	0	0.747080968930455	0.305336045904204	0.124196020109766	0.750375406781609	0.706950949937207	0.565450218164876	0.446944941512477	0.342384977483482	0.209450286213323	0.413851880566782	0.298124292096198	0.115075594111679	0.401373828945756	1.0069934146415	0.79767765905761	1.20486268348106	0.310713968798846	0.329301636972329	0.392633959815165	0.360322395566282	0.364996417008561	0.429435474022128	0.393094117511213	0.413933199596257	0.410230999941469	0.184918783649183	0.611246585823372	0.251775566569636	1.46300274478872	0.474634405888545	1.11634674483075	0.797977890947782	0.545315945100025	0.788369458164511	0.132566079417264	1.17900154808803	0.271674848122437	0.280491118701112	0.333458051151569	1.20815153910607	0.309615225470828	1.25940682183875	0.105623141245477	0.076001847060099	0.683628439592748	0.177773281452006	1.00373126649076	1.07782893210678	0.334744707262447	0.324582216481727	0.586625143278649	0.189545550806961	0.418954994387808	1.00539096862617	0.586167666813605	0.157307942478168	0.132367739249223	0.56166615031002	0.576104109905534	1.00261138469916	0.187620782218593	0.396505348839582	1.08451428873007	0.0813480588890286	1.55126639254841	0.268122732718567	0.860031872888058	0.423970664073164	0.412194601329184	0.483825768339328	0.0978461926358736	0.487381096127038	0.139108448069192	0.854137768892579	1.30250618011411	1.01728583299027	0.452438437515557	1.06925515223293	0.386987239771901	0.494825744402355	0.502991199190466	0.0940020331203525	0.922677486620571	0.18556204913327	0.369918783302802	0.69133099000265	0.119808298154513	0.593574436463849	0.718550386788825	0.397095906875654	0.669196172074977	0.571670691848188	0.684823381497207	0.389743863163789	0.222145783188609	0.866089153446935	0.523168124289808	0.0143116454942368	1.38342031882316	0.464169717828564
PZE-101002282	1	3	3.4	0	0.724729937868654	0.31950936503935	0.0315945980465557	0.273906242528737	0.697298833614085	0.569208098839805	0.4872161319264	0.117389198222877	0.190856160398183	0.56202194381131	0.375932615403985	0.133641235226927	0.465360303331334	0.703984118785348	0.439136466927171	1.03568248393881	0.0842384214891278	0.307500519848011	0.322793453501439	0.556339809793886	0.477953196189543	0.555215765195758	0.0971110992178477	0.570338418974624	0.612398167902523	0.40087438351672	0.544357187347569	0.0716176290932268	1.40118393829569	0.335981350562802	1.1533952006173	0.488007553545373	0.332377157388772	0.512158062019192	0.358103328733601	0.929819494586412	0.432002076020866	0.244772241116354	0.639247162477747	0.218194027028751	0.358612709067426	1.00227451000329	0.0958778092133942	0.151289438979006	0.560852612141351	0.156043588608615	0.823124446187034	0.878943477503096	0.0380376028842888	0.345878796304481	0.57479917027707	0.413003781112932	0.180717105718159	0.570174593042011	0.629256872457446	0.122716731505257	0.190443184077573	0.400742823934875	0.494364088397786	1.0818758332979	0.378587399260258	0.450316727147328	1.05963752678961	0.113175528952569	0.64213060006252	0.480478384151029	0.469599871740461	0.502519359328518	0.39141132880961	0.670324647424183	0.138262760730042	0.445020750016858	0.21521945485267	0.408767728313438	1.56358870928024	0.794413500422057	0.374444263559472	0.298753365341549	0.217027326247836	0.666919994382094	0.069774383255226	0.176646004094603	1.03764586845489	0.369878146368006	0.20851699660708	0.641662656591369	0.178164079088293	0.252639670134176	0.905532255672699	0.634390673892103	0.515083465596434	0.661474766127187	0.715091621833832	0.0390694655742804	0.297074197246089	0.474155950706057	0.513847794885511	0.0159089595917118	1.22029460759933	0.287564639439658
PZE-101002081	1	4	3.6	0	0.732389061447141	0.323679425920121	0.0315941980179718	0.278511640789196	0.701180470027582	0.569210179768939	0.490726923748944	0.117347727318511	0.192668598233628	0.566403162059201	0.375936466526356	0.133639847227752	0.470791174479943	0.701296148068597	0.441224352134519	1.03568266910311	0.085605390656558	0.312857572133697	0.324520676530317	0.558179689470114	0.478362282021645	0.555215941490199	0.098013415585693	0.576971120033827	0.612857333587803	0.399935683317591	0.547410087641994	0.0716185650612081	1.40927405758734	0.340913907676444	1.16363168509891	0.491785439007316	0.333951493344794	0.512159072396692	0.359413984680138	0.92981973640471	0.438321667090456	0.247799250986987	0.642616357026601	0.22073865767182	0.358614984511031	1.00267785591894	0.0993208221101067	0.154045384118792	0.561654805116505	0.15604440423781	0.827456433803927	0.879420222370951	0.0380324296847485	0.345541759413817	0.573998198062947	0.413831207585914	0.180718302571324	0.574439749209439	0.636310430509379	0.121526359121759	0.189840957145753	0.40666992574355	0.494362986588341	1.08158935703729	0.380940503096452	0.450915962853127	1.05793911709649	0.115041907635117	0.642130270281856	0.480283686565829	0.475981723022495	0.501193450498575	0.393412667008876	0.670322243027882	0.140856670344385	0.446435018915436	0.215341162166086	0.415144826199221	1.56358729800518	0.800517627814213	0.379344184369768	0.298755554428022	0.219620863229999	0.667217178276171	0.0721483668360735	0.17664819131989	1.0465004434006	0.371796469246436	0.212678349757147	0.641663757980547	0.181275728668513	0.257877783916005	0.906354713806152	0.639199025225559	0.519599732587372	0.661475853723366	0.722623989048998	0.0398766381761558	0.297783696009823	0.479590772194996	0.510472095024079	0.0159091091849279	1.21723842876423	0.293366127912301
PZE-101003135	1	5	4.7	0	0.0770684195734578	0.0607914310523113	0.119325654787739	0.271784703951017	0.126892305357862	0.0916129524346319	0.00196824804145961	0.162245210191809	0.140750407433253	0.222504381642065	0.0266868628684935	0.0227914837422977	0.149789308838792	0.26059140357952	0.749455489481097	0.513570183418849	0.164094926450681	0.0549461375869608	0.169346202293109	0.311185157646925	0.0101170490600647	0.0620376685943535	0.365685997674903	0.127937243024542	0.303099616774768	0.00253514528738461	0.347514122660659	0.327677574868481	0.0748951473413825	0.102922606217492	0.0165119310358322	0.210677543452596	0.1358807833018	0.660280714100059	0.125672857388343	0.482084366357425	0.0408644820108493	0.0645276063100382	0.359643958055838	0.746716596429072	0.0323967512890235	0.0971536977165101	0.029841386497694	0.0125338024919188	0.527049437522449	0.0902664966268135	0.0874157403171999	0.0561260857744372	0.387341174147356	0.211485314294619	0.26937440458119	0.0388773924571907	0.194767847125117	0.137487164187499	0.124422396995484	0.0831358240445761	0.153813043877021	0.11758014959782	0.0794039835837351	0.0375304116464173	0.180015201749647	0.122134869812351	0.38024729943602	0.00242113752962849	0.673365747982929	0.150684920747162	0.228305379864423	0.156765759081547	0.187747276515013	0.0533418581824389	0.0985918542795567	0.197530777551744	0.0116334154155308	0.244859057256982	0.116878596891028	0.0625009141793614	0.0855996702746668	0.887857094370535	0.224697422734091	0.0179881205957544	0.3601395304059	0.0101442015606887	0.0729192304775305	0.197975739768625	0.157999313725156	0.152558842408756	0.0152426082785398	0.271467071996832	0.576740881102598	0.339095100461353	0.348370768583966	0.0117867111056016	0.0311902290790052	0.409212289026058	0.0287636522792425	0.372833112033903	0.342439612720452	0.0178270799705814	0.33795062284112	0.148485216138591
PZE-101003115	1	6	5.9	0	0.125699261266915	0.0632597133368288	0.275404221068171	0.504739897777348	0.0347912256764532	0.103755289388043	0.0365210794327118	0.471419838625838	0.163501981618911	0.033621593918937	0.0290877804782174	0.0372042854045678	0.204414587081083	0.384420445818485	0.593630818757974	0.168607669102952	0.482226484003734	0.134217048444251	0.177861033248239	0.17555946076411	0.0248444200126997	0.0417242940631587	0.600489828620884	0.0937802853758388	0.0281516272663926	0.0753174609950116	0.157515414798237	0.58162846539013	0.0506408538755646	0.232413265443413	0.0270596484945478	0.354924194256469	0.276809090782465	0.467328954491952	0.212090162286063	0.266803740745029	0.104940531781315	0.165038203945476	0.156829574523259	1.06855189542044	0.0941434542980018	0.393871131727315	0.071419120320034	0.105935506000647	0.229564614285721	0.226165290984494	0.099270781782302	0.285821154058546	0.642616793980463	0.0714122213665152	0.205362903188024	0.050752829447871	0.293632972099895	0.288848885234423	0.166340547319456	0.334194067258712	0.0686108626246054	0.114797482889447	0.0969122535195548	0.0414686137340371	0.0492856384201142	0.115621085400247	0.0742216595323391	0.0343343971110948	0.834386691556182	0.260522653932484	0.398626735762098	0.00068122442199599	0.25765367909084	0.0211392150029003	0.0984459837573246	0.117615614822168	0.0348636457555543	0.478367958430642	0.292293141392256	0.169787677249152	0.200803457947973	1.12749114829903	0.233776657821259	0.116106820170893	0.574967241300534	0.00327665340482963	0.0389374984527234	0.136366488582312	0.247147256046823	0.162217624611657	0.0454304728971099	0.477695437766104	0.103460979927849	0.0270984729868168	0.278739693095544	0.0391468151629322	0.00775164171086369	0.785950660498988	0.108168838928228	0.446248503119668	0.217614271626453	0.0869163318797451	0.0583641701547055	0.342094005739634
PZE-101005818	1	7	7.3	0	0.0490988577147932	0.0505781104314243	0.182296334013134	0.361664688530749	0.121825852920555	0.0317962577491792	0.116593145916	0.53765293778057	0.0792867193627765	0.0292216612417561	0.0823430795721358	0.0462721961765971	0.226910471564061	0.225917708116123	0.456720906304528	0.0733970313723054	0.565636053748412	0.04254669024469	0.0957581583612861	0.304020597662783	0.168869007608148	0.0378302941893426	0.412758362730911	0.176437563301473	0.0435970911819171	0.133780796344848	0.0670599363491163	0.629194704712162	0.0647282068940277	0.121699216234599	0.0689723242234298	0.234956055345007	0.182120684743202	0.255891094221245	0.080092270863478	0.122024098710374	0.18123615878227	0.0734553520183471	0.0563543179224541	0.851729331291888	0.0112944090477631	0.508737890056209	0.0061058811862513	0.265138383504277	0.0631243215875892	0.135898485863298	0.0966030466254107	0.375691387155058	0.485459557728899	0.0226576148175655	0.114091083269331	0.103794949840646	0.0983495599313098	0.1715161997812	0.249858363815358	0.462657657201109	0.0537641553350465	0.0475180990848702	0.0103868433735076	0.0510148829914764	0.0203128085511731	0.00714231493040123	0.00186166806600996	0.131022273771951	0.591673116051192	0.410840730773768	0.242033234738165	0.0758872683116839	0.173148771295501	0.177092026259703	0.0154581836098665	0.03400422489578	0.0687445828199214	0.329112298149448	0.406438941010847	0.0823737950103467	0.251877347899334	0.975460175846939	0.0442388702876138	0.195711065541468	0.334223282842779	0.0811286224607757	0.11660924401138	0.148643283067388	0.101673047515543	0.0373037731761717	0.0286148659779963	0.344519505791082	0.231671562573721	0.0978058962865539	0.154374886570905	0.0257812048330326	0.109786025214119	0.801211143316856	0.213492715000939	0.315251257999478	0.128860753186084	0.113361983368927	0.099921513301817	0.251074863214746
PZA01022.1	1	8	9.6	0	0.0101340641558982	0.0339495366955927	0.164498624532279	0.260916032057531	0.212108025698983	0.0853537491763748	0.119725255239769	0.41850059989266	0.0766368887000772	0.101120673303487	0.0888536762408657	0.0392995255293698	0.307835999000265	0.199683745470395	0.309716726888488	0.137107258430407	0.448977660352009	0.0641777745542508	0.120741458805419	0.349960861400882	0.135690040203966	0.128514036929899	0.330833442851297	0.229802064236825	0.0427988680036612	0.16729537646836	0.00294949178745458	0.446834048746435	0.0743087429152889	0.151324280618167	0.0825139634345808	0.320382155875637	0.191657754964962	0.070073995565336	0.0114249694344331	0.120712854185903	0.229372691683429	0.0116447719631765	0.0311589912941425	0.859919856747696	0.00633479921378816	0.631562170649579	0.0975427709531438	0.652046956824649	0.0163916921247671	0.114575930607814	0.102317853578342	0.365622180287721	0.330980004178622	0.00248476161965807	0.00668138338057591	0.110634610497183	0.0414528805280777	0.193431706898089	0.295379309494098	0.541273626920207	0.0667161873012083	0.175581175757478	0.012491795119531	0.0721947954200876	0.0831322583086878	0.0341809409256161	0.0864615775233113	0.242737141213367	0.483776570987621	0.373421503230683	0.240097983834881	0.200962463118731	0.234959036917268	0.218417067516823	0.0774925565471712	0.0253910156856632	0.0103454577287912	0.28732424043144	0.295587695297557	0.00350205844258604	0.254216276000536	0.751186323743339	0.0531865498655617	0.15459926487004	0.436129857919969	0.0967002451387039	0.194300561415936	0.0359073192166476	0.0610937014692961	0.0526843390089648	0.0241575800386245	0.411187004884232	0.161862920584496	0.111553135051775	0.131749300052807	0.029391507545163	0.0960924656989753	0.558183244331762	0.306998451317526	0.313822261236362	0.0005737094767182	0.102336876808271	0.100863587326481	0.245219232877251
PZE-101007769	1	9	10.9	0	0.0128696311118676	0.0234400467455292	0.147437152086522	0.200242073833407	0.266592870971779	0.118299607028183	0.11898169887617	0.338609944304628	0.0731341977496881	0.146609741427664	0.0899746857252487	0.0342174159689321	0.353372760422977	0.17583022059715	0.219405550018937	0.173924266701795	0.369411028183871	0.0760196648303045	0.132666374006877	0.366892011397412	0.112365770537994	0.187203869894951	0.275133197337496	0.256434709030726	0.0411281488174371	0.183697495275152	0.0456984716475419	0.330313143742674	0.0781030490956871	0.16629268612554	0.0889559323776427	0.363909535132541	0.190975142482934	0.0216241527819985	0.0665767730654935	0.116282691225562	0.252510033925853	0.062069249452406	0.0158261486810451	0.828917980902942	0.00324108799606423	0.691029873818233	0.157900068058107	0.927528299963414	0.0106691545703029	0.0990404396449455	0.102026979701496	0.34361444597253	0.242460130247726	0.0095346936121146	0.0531727829430359	0.111187385474506	0.00821460743429784	0.200686382788189	0.315596535032459	0.57584539017721	0.0730620420616571	0.260504233437244	0.0133550683345896	0.0831504966842383	0.122619976775075	0.0507030753336024	0.145225210324899	0.311276346972059	0.40281552241601	0.337974222843832	0.231106533666769	0.28314470971248	0.268498403351279	0.237641080021117	0.116600120232497	0.0197320459269026	0.0227597850638776	0.252395653431323	0.223184970981654	0.0553707145324685	0.248189225198709	0.601117310222413	0.0573072887419322	0.126813779049902	0.485074425993896	0.103517176083513	0.239034943894626	0.0237570193247115	0.0378183906387467	0.0607504541664357	0.0205838166266672	0.439610266954793	0.119616494831458	0.116830315970061	0.114846997267533	0.0309539033136136	0.085514893978507	0.40940518161945	0.356418026429627	0.303892253132904	0.0731390790127861	0.0921095028389745	0.099494044500148	0.231678418274953
PZE-101009528	1	10	12.3	0	0.288588092386335	0.0404036955136449	0.00820027338343451	0.07072485227206	0.0728486001520038	0.194995165676287	0.244529145249411	0.137365234152579	0.00433679266495488	0.0903830580944352	0.0211249810266975	0.0750147435542496	0.168701808394591	0.233504012573646	0.06874225266025	0.453849619058207	0.0431432059416707	0.0547213908916936	0.355095231046583	0.0281546837092846	0.62452188888144	0.0400546536107701	0.0120271745027099	0.0837823476326403	0.0663477931334124	0.11287227552268	0.0899436565850731	0.0800539734251615	0.726992617816116	0.0925143808894171	1.03549108999456	0.338967091711341	0.0819876708124155	0.0285106714216434	0.00603824506155363	0.295133663495992	0.17268939954319	0.140343462857249	0.13293382752763	0.472658551073972	0.577541377386348	0.504378187254703	0.0234645286255205	0.61958108450933	0.145156328857557	0.0359589368916129	0.12732293892148	0.355802339675453	0.00686533629338208	0.0393537811831737	0.158695503917536	0.0596702171503502	0.0520341151930771	0.170854245749568	0.0645434220824898	0.171397789772459	0.00812288387932487	0.11275965427365	0.113660902371734	0.632362777271287	0.00434229121758656	0.383547378996126	0.321850927321195	0.050779847077825	0.282440303984691	0.0176309550202766	0.303624353407827	0.265640599035105	0.0709566814933394	0.107499089495278	0.00626129561467939	0.0336003043882082	0.0167807835690756	0.312344178750881	0.600302216692605	0.258279423423327	0.0511967306419545	0.0701562001792376	0.0206389050607338	0.279491961263875	0.0586137547786568	0.00475022078030921	0.467556739133235	0.0832815351276983	0.0566025449565537	0.0843744290696802	0.00132489718016936	0.47797706388867	0.175040553720633	0.529520438737484	0.150139989608271	0.134698758204503	0.147420534111148	0.0293784922427982	0.411673638186598	0.093887925710802	0.292131003731704	0.00130003197572654	0.469388952109614	0.0958784841269172
