mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.327019709568762
PZE-101000161	1	2	0.1	0.0934666703032846
PZE-101000344	1	3	0.7	0.327019709568762
PZE-101000424	1	4	0.8	0.110660942433472
PZE-101000370	1	5	1	0.0749547673490657
PZE-101000754	1	6	1.4	0.140248810128901
PZE-101000169	1	7	1.5	0.0749547673490657
PZE-101000256	1	8	1.7	0.0749547673490657
PZE-101001094	1	9	1.8	0.13755413225512
PZE-101000659	1	10	1.9	0.121351990846499
PZE-101001110	1	11	2.2	0.104104422818471
PZE-101000431	1	12	2.3	0.327019709568762
PZE-101000442	1	13	2.4	0.0749547673490657
PZE-101000530	1	14	2.5	0.337340495685289
PZE-101001114	1	15	2.6	0.13755413225512
PZE-101001280	1	16	2.7	0.13755413225512
PZE-101000673	1	17	3	0.337340495685289
PZE-101001107	1	18	3.1	0.462289940366317
PZE-101002282	1	19	3.4	0.0116255535931499
PZE-101002081	1	20	3.6	0.0517252997880127
PZE-101001587	1	21	4.2	0.230680932140946
PZE-101001380	1	22	4.3	0.462289940366317
PZE-101003133	1	23	4.5	0.0525559523679005
PZE-101003135	1	24	4.7	0.22444719097503
PZE-101003026	1	25	4.9	0.14493711894618
PZE-101003031	1	26	5.6	0.0749547673490657
PZA00393.1	1	27	5.7	0.217207380582945
PZE-101003115	1	28	5.9	0.0145571647710934
PZE-101002367	1	29	6	0.0758744040493763
PZE-101005818	1	30	7.3	0.0573264461346051
PZE-101006745	1	31	9.2	0.0838539988107276
PZA01022.1	1	32	9.6	0.109684474546101
PZE-101009312	1	33	10.6	0.48088827036024
PZE-101007769	1	34	10.9	0.31267702328211
PZE-101009670	1	35	11	0.104323692131942
PZE-101009215	1	36	11.2	0.260569820076013
PZE-101010821	1	37	11.8	0.581079126032608
PZE-101009528	1	38	12.3	0.74372664683767
PZE-101009163	1	39	12.5	0.673190537413243
PZE-101010560	1	40	13	0.742216857607708
PZE-101010917	1	41	13.5	0.932547332754457
PZE-101012517	1	42	13.6	1.00210508268683
PZE-101014135	1	43	13.7	1.06129101533082
PZE-101014266	1	44	13.8	1.06129101533082
PZE-101011048	1	45	14	0.388655396085693
PZE-101013818	1	46	14.9	0.429354375137497
PZE-101014003	1	47	15.3	0.181312311162806
PZE-101011906	1	48	15.7	0.835846098713728
PZE-101015469	1	49	16.2	0.810593923455834
PZE-101013772	1	50	16.4	0.116102607953807
PZE-101013713	1	51	16.9	1.09096309603609
PZE-101015471	1	52	17.3	0.0794786027388836
PZE-101017581	1	53	18.7	0.864067904264008
PZE-101017779	1	54	19	0.549626615648602
PZB01915.1	1	55	19.1	0.319190119909898
PZE-101017463	1	56	19.5	0.783663195881428
PZE-101017580	1	57	19.6	0.783663195881428
PZE-101018214	1	58	19.7	0.0114242184549662
PZE-101017487	1	59	19.9	0.293130891290632
PZE-101018516	1	60	20.1	0.997893917991741
PZE-101018023	1	61	20.3	0.374697684179197
PZE-101018404	1	62	20.6	0.374697684179197
PZE-101018668	1	63	20.8	0.703921633452122
PZE-101018057	1	64	20.9	1.24229019576109
PZE-101017262	1	65	21	0.133843454440752
PZE-101018616	1	66	21.1	0.35411017084423
PZE-101018411	1	67	21.2	1.21910514197395
PZE-101017187	1	68	21.3	1.04314898395413
PZE-101018868	1	69	21.4	0.254058203316152
PZE-101019597	1	70	21.5	2.01200713810417
PZE-101019781	1	71	21.6	0.44406592589124
PZE-101018356	1	72	21.7	0.955795088795383
PZE-101019727	1	73	21.8	1.12230349901088
PZE-101019853	1	74	21.9	0.44406592589124
PZE-101018206	1	75	22.5	0.955795088795383
PZE-101018567	1	76	22.9	0.885397999946037
PZE-101019726	1	77	23	0.908092074660771
PZE-101021986	1	78	23.1	1.20830586545667
PZE-101020456	1	79	23.6	0.191097362735801
PZE-101018818	1	80	23.7	1.75253350701676
PZE-101019538	1	81	24	2.29191496938856
PZE-101022341	1	82	24.3	0.00472763589096497
PZE-101019557	1	83	24.4	1.71828118933481
PZE-101021926	1	84	25.4	1.27532261440319
PZE-101021455	1	85	25.7	0.706734633979772
PZE-101024131	1	86	25.9	1.44363184696957
PZE-101024424	1	87	26.4	1.44363184696957
PZE-101020931	1	88	26.9	1.75465518338442
PZE-101021308	1	89	27.6	0.708825837028215
PZE-101025101	1	90	27.7	0.136767085963715
PZE-101024556	1	91	28.2	0.718144004240009
PZE-101026314	1	92	28.6	1.29579266510757
PZE-101026882	1	93	29.1	0.20959475831724
PZE-101024519	1	94	29.4	1.77029574214695
PZE-101027798	1	95	29.5	0.738557692630411
PZE-101026621	1	96	29.6	0.890171997569213
PZE-101026386	1	97	29.7	1.29579266510757
PZE-101027475	1	98	29.8	0.44243823463239
PZE-101024452	1	99	30	1.37872547011494
PZE-101027158	1	100	30.4	0.625551359281236
PZE-101027351	1	101	30.6	0.20959475831724
PZE-101027807	1	102	30.9	0.738557692630411
PZB00718.5	1	103	31.1	2.50964483069908
PZE-101029689	1	104	31.3	2.71022595462625
PZE-101029759	1	105	31.4	2.71022595462625
PZE-101026218	1	106	31.5	2.33399208449258
PZE-101028121	1	107	31.6	0.44243823463239
PZE-101029820	1	108	31.8	2.71022595462625
PZE-101028242	1	109	31.9	1.46884462399165
PZE-101026095	1	110	32	1.53276049159365
PZE-101029587	1	111	32.1	0.632635482060716
PZE-101029707	1	112	32.2	2.71022595462625
PZE-101030263	1	113	32.3	0.435693782794569
PZE-101029748	1	114	32.4	0.694353831095553
PZE-101030925	1	115	32.7	0.109280226487747
PZE-101028351	1	116	33.1	2.30426463722371
PZE-101028104	1	117	33.4	0.656943112655792
PZE-101031146	1	118	33.7	1.09445656277767
PZE-101031377	1	119	33.9	0.563484106705576
PZE-101032517	1	120	34	0.0768127033865058
PZE-101032704	1	121	34.1	0.0768127033865058
PZE-101030251	1	122	34.3	2.64393921877115
PZE-101029123	1	123	34.4	2.31965385160456
PZE-101030692	1	124	34.5	0.563484106705576
PZE-101028930	1	125	34.7	1.08983868664447
PZE-101030220	1	126	35	1.86201341878307
PZE-101029737	1	127	35.1	0.804649555554563
PZE-101031077	1	128	35.2	1.11807242973778
PZE-101030022	1	129	35.4	1.9877361006648
PZE-101032015	1	130	35.7	0.563484106705576
PZE-101030211	1	131	35.8	1.86201341878307
PZE-101031636	1	132	35.9	0.643418032352749
PZA00358.12	1	133	36	1.84263418046318
PZE-101031655	1	134	36.1	1.84263418046318
PZE-101033801	1	135	36.3	0.172716229609747
PZE-101034101	1	136	36.5	2.74033749617083
PZE-101030616	1	137	36.6	0.447065624724214
PZE-101033184	1	138	36.7	0.467150184211819
PZE-101032956	1	139	37	1.11168143911926
PZE-101032974	1	140	37.1	1.11168143911926
PZE-101033613	1	141	37.2	0.435693782794569
PZE-101033119	1	142	37.3	1.11168143911926
PZE-101035119	1	143	37.4	0.172716229609747
PZE-101033489	1	144	37.7	1.43287978277999
PZE-101032230	1	145	37.8	0.598950324586745
PZE-101036310	1	146	37.9	1.62522020093483
PZE-101036345	1	147	38	1.62522020093483
PZD00096.1	1	148	38.3	2.74033749617083
PZE-101033622	1	149	38.5	0.467150184211819
PZE-101036609	1	150	38.6	1.62522020093483
PZE-101034427	1	151	38.7	1.14161298559829
PZE-101036305	1	152	38.8	1.62522020093483
PZE-101033968	1	153	39	2.03930252621813
PZE-101036181	1	154	39.2	1.63622021721334
PZE-101036318	1	155	39.3	1.62522020093483
PZE-101037191	1	156	39.6	0.435693782794569
PZE-101038503	1	157	40	2.5745526702536
PZE-101038492	1	158	40.5	2.5745526702536
PZE-101037142	1	159	40.6	1.36191206387016
PZE-101039024	1	160	40.7	2.5745526702536
PZE-101036799	1	161	40.8	2.45430943179691
PZE-101039198	1	162	40.9	0.435693782794569
PZE-101037211	1	163	41.1	2.4879307516253
PZE-101038176	1	164	41.2	2.42137182251589
PZE-101037244	1	165	41.3	2.45125808708764
PZE-101039207	1	166	41.5	0.0316370885320713
PZE-101039199	1	167	41.9	2.89392216861865
PZE-101040838	1	168	42	0.187244838453975
PZE-101042009	1	169	42.4	0.790452763269106
PZE-101039655	1	170	42.5	1.92075473192675
PZE-101039642	1	171	42.6	1.92075473192675
PZE-101039351	1	172	42.8	1.74010551135912
PZE-101039466	1	173	42.9	2.06954102643687
PZE-101039469	1	174	43	2.06954102643687
PZE-101042041	1	175	43.1	0.578121952921078
PZE-101043604	1	176	43.2	2.6049486900807
PZE-101042048	1	177	43.3	1.1135931228794
PZE-101041837	1	178	43.4	2.15674734926035
PZE-101041854	1	179	43.5	2.15674734926035
PZE-101040783	1	180	43.6	0.594492733376085
PZE-101043600	1	181	43.8	1.5724085635466
PZE-101043189	1	182	43.9	1.53931459583424
PZE-101043682	1	183	44	1.0667249264534
PZE-101043507	1	184	44.1	2.00794873544923
PZE-101042156	1	185	44.2	1.61116928507366
PZE-101043670	1	186	44.3	0.159546374730528
PZE-101042424	1	187	44.4	1.23349020330154
PZE-101043512	1	188	44.5	1.53029562551627
PZE-101045249	1	189	44.6	0.81251357895945
PZE-101045203	1	190	44.9	0.619326469932557
PZE-101045021	1	191	45	1.43194143291677
PZE-101045197	1	192	45.1	0.619326469932557
PZE-101046755	1	193	45.2	1.0667249264534
PZE-101046735	1	194	45.3	1.07890551311308
PZE-101049120	1	195	45.4	0.37646309071103
PZE-101044748	1	196	45.5	1.2683765336871
PZE-101045606	1	197	45.6	0.531970108082794
PZE-101048164	1	198	45.7	0.790452763269106
PZE-101048115	1	199	45.8	1.83058583793053
PZE-101048857	1	200	45.9	0.808381325009007
PZE-101046132	1	201	46	2.20938352096365
PZE-101049707	1	202	46.1	1.60996693514802
PZE-101047925	1	203	46.2	0.234867453512335
PZE-101047390	1	204	46.3	0.369582661865477
PZE-101048807	1	205	46.5	1.36731197680272
PZE-101048629	1	206	46.6	1.10680687652115
PZE-101048744	1	207	46.7	1.36731197680272
PZE-101047517	1	208	46.8	0.531970108082794
PZE-101049395	1	209	46.9	0.0199132057027787
PZE-101050289	1	210	47	0.234867453512335
PZE-101049995	1	211	47.1	1.84472945009639
PZE-101048890	1	212	47.2	2.42610858118101
PZE-101050621	1	213	47.3	0.234867453512335
PZE-101054681	1	214	47.4	2.35794909377481
PZE-101053919	1	215	47.5	0.603880066836464
PZE-101050073	1	216	47.6	0.546076886913278
PZE-101050744	1	217	47.8	0.264433436735462
PZE-101054136	1	218	47.9	2.14559592454298
PZE-101051938	1	219	48	0.650643159305037
PZA00192.7	1	220	48.1	2.68543673555142
PZE-101055086	1	221	48.2	1.13446209788212
PZE-101052294	1	222	48.4	0.974593430161153
PZE-101053053	1	223	48.5	1.92623825893807
PZE-101053934	1	224	48.6	0.603880066836464
PZE-101053954	1	225	48.7	0.603880066836464
PZE-101050072	1	226	48.8	1.93796192873369
PZE-101055223	1	227	48.9	0.469863555993144
PZE-101053184	1	228	49	1.92623825893807
PZE-101053510	1	229	49.1	2.29249880980245
PZE-101054644	1	230	49.2	0.234867453512335
PZE-101054452	1	231	49.3	0.780227513929316
PZE-101055190	1	232	49.4	0.234867453512335
PZE-101054366	1	233	49.5	2.14559592454298
PZE-101056000	1	234	49.6	2.39449831662717
PZE-101054604	1	235	49.8	1.16937895880716
PZE-101055260	1	236	49.9	0.469863555993144
PZE-101056102	1	237	50	3.00106485021542
PZE-101054527	1	238	50.1	1.88231738037737
PZE-101055259	1	239	50.2	1.75642792501125
PZE-101055565	1	240	50.3	3.26848475509248
PZE-101056687	1	241	50.5	0.785708415476761
PZA00240.8	1	242	50.7	0.267230424078019
PZE-101055712	1	243	50.9	0.809121257617262
PZE-101056681	1	244	51.1	0.377423778668026
PZE-101057232	1	245	51.3	0.719022071279353
PZE-101057532	1	246	51.6	2.12527558608905
PZA00240.6	1	247	51.9	2.67084377819027
PZE-101057000	1	248	52.1	1.83046079954193
PZE-101058205	1	249	52.2	1.62451048328995
PZE-101060303	1	250	52.3	0.656933668864973
PZE-101057783	1	251	52.4	1.17809862224872
PZE-101060842	1	252	52.5	0.267230424078019
PZE-101058312	1	253	52.6	2.524554764688
PZE-101061064	1	254	52.7	0.656933668864973
PZE-101060224	1	255	52.8	1.77941352419473
PZE-101058274	1	256	52.9	1.62162023635699
PZE-101062764	1	257	53	1.57940736418273
PZE-101060289	1	258	53.1	0.719022071279353
PZE-101060788	1	259	53.2	1.0474272960572
PZE-101060254	1	260	53.3	1.62451048328995
PZE-101061168	1	261	53.4	3.01023188461612
PZE-101062970	1	262	53.5	0.656933668864973
PZE-101059495	1	263	53.6	2.91203843852304
