mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101109101	1	71	78	2	7.6	-1	1.1
PZE-101124014	1	72	79	2	10.2	-3	1.3
PZE-101129171	1	73	80.1	2	8.5	6.3	0.3
PZE-101129154	1	74	80.2	26	8.5	1.4	0.8
PZE-101177975	1	107	115.2	2	4.5	7.7	-0.7
PZE-101187227	1	115	123.7	26	12	8.1	0.3
PZE-101189687	1	116	124.4	10	12.8	8.1	0.4
PZE-101190874	1	117	126.1	31	9.8	9.4	0
PZE-101208550	1	130	139.6	26	11.5	7.3	0.4
PZE-101211929	1	133	142.9	1	10	6.1	0.4
PZE-101239143	1	151	162	30	4.7	2.3	0.5
PZE-103012907	3	14	19.1	2	5.4	-2.2	1.4
PZE-103047553	3	45	54.3	1	5	-0.5	1.1
PZE-103107305	3	61	70.9	1	6.1	-11.9	3
PZE-103116584	3	68	78.9	2	6.5	1.8	0.7
PZE-103125025	3	74	85.7	1	5.7	6.1	-0.1
PZE-103126771	3	78	89.8	1	6.6	1.7	0.7
PZE-103128590	3	79	91.3	2	5.3	-2.2	1.4
PZE-103133175	3	80	91.5	2	5.8	-2	1.3
PZA00099.6	3	82	93.7	2	8.4	-5.9	1.7
PZE-103151594	3	97	109.9	6	6	-0.8	1.1
PZE-103184380	3	128	146.9	4	6.7	1.1	0.8
PZE-103185158	3	129	148.1	13	6.6	0.2	1
PZE-104018965	4	34	44	1	3.5	1.7	0.5
PZE-104069761	4	45	55	12	8.2	-0.4	1
PZE-104076572	4	46	56.5	1	7.2	4.9	0.3
PZE-104076990	4	47	56.9	1	11.5	7.5	0.3
PZE-104081748	4	49	59.4	4	7.5	-5.4	1.7
PZE-104079825	4	50	59.8	1	4.5	1	0.8
PZE-104092479	4	56	67.1	1	7.7	-5	1.6
PZE-104112313	4	81	93.9	2	3.5	-3.4	2
PZE-104114385	4	85	99.1	1	3.8	-0.8	1.2
PZE-105000613	5	1	0.9	3	7.1	-1.1	1.2
PZE-105069022	5	47	62.3	3	9	-4.3	1.5
PZE-106040890	6	19	19.4	1	3.3	4.7	-0.4
PZE-106044976	6	21	21.8	1	5.2	8	-0.5
PZE-106045060	6	22	22.8	8	9.2	-0.3	1
PZE-106046465	6	23	23.4	2	6.7	2.2	0.7
PZE-106053072	6	29	31	2	5.6	8.5	-0.5
PZE-106051814	6	30	31.1	8	7	-1.7	1.2
PZE-106059969	6	37	39.5	23	8.5	2.8	0.7
PZE-106060570	6	38	40.9	2	8.2	9.4	-0.1
PZE-106060535	6	39	41.7	6	8.4	5.4	0.4
PZE-107064215	7	42	52.7	2	5.9	-1.7	1.3
PZE-107063357	7	43	53.7	1	7.8	4.2	0.5
PZE-107063166	7	44	54.7	37	7.1	3.1	0.6
PZE-107066519	7	45	56.1	3	8.2	10.1	-0.2
PZE-107070986	7	48	59.2	1	12.3	4	0.7
PZB01186.3	7	49	60.1	3	8.6	1.7	0.8
PZA03477.1	7	50	60.9	2	7.9	-3.3	1.4
PZE-107073395	7	55	65.9	12	7.7	2.1	0.7
PZE-108002130	8	3	3.3	1	4.2	-3.9	1.9
PZE-108005224	8	10	14.5	1	5	-2.5	1.5
PZE-108005623	8	11	15.4	1	4.1	1	0.8
PZE-108007891	8	15	19.6	1	4.9	-3.5	1.7
PZE-108011044	8	20	26.5	11	5.7	0.9	0.8
PZE-108011046	8	21	26.9	17	6.5	2.9	0.6
PZE-108011830	8	22	28.2	3	5.3	2.4	0.5
PZE-108020961	8	32	41.1	1	6.4	4.1	0.4
PZE-108056027	8	41	50.6	1	4.9	3.7	0.2
PZE-108060440	8	44	53.3	3	5.9	4.5	0.2
PZE-108060455	8	46	55.5	2	8.4	1.5	0.8
PZE-108069097	8	53	63.6	1	4.9	-8	2.6
PZE-108082079	8	63	73.4	1	6.3	-3	1.5
PZE-109022641	9	38	45.4	1	4.6	-0.6	1.1
PZB01963.1	9	41	48.6	1	8.6	1.9	0.8
PZE-109062223	9	48	55.3	1	10.3	-1.2	1.1
PZE-109085819	9	58	65.8	1	9.7	-4.5	1.5
PZE-109086097	9	59	66.4	16	9.4	6.1	0.4
PZE-109087846	9	60	67.9	54	9.7	7.6	0.2
PZE-109089873	9	61	69.2	1	15.9	8.7	0.5
PZE-109091272	9	62	70.4	6	11.9	3	0.7
PZE-109093779	9	64	71.6	9	7.5	2.2	0.7
