mk.names	chr	pos.ind	pos.cM	N.QTL	QTL.prof_1	QTL.prof_2	QTL.prof_3	QTL.prof_4	QTL.prof_5	QTL.prof_6	QTL.prof_7	QTL.prof_8	QTL.prof_9	QTL.prof_10	QTL.prof_11	QTL.prof_12	QTL.prof_13	QTL.prof_14	QTL.prof_15	QTL.prof_16	QTL.prof_17	QTL.prof_18	QTL.prof_19	QTL.prof_20	QTL.prof_21	QTL.prof_22	QTL.prof_23	QTL.prof_24	QTL.prof_25	QTL.prof_26	QTL.prof_27	QTL.prof_28	QTL.prof_29	QTL.prof_30	QTL.prof_31	QTL.prof_32	QTL.prof_33	QTL.prof_34	QTL.prof_35	QTL.prof_36	QTL.prof_37	QTL.prof_38	QTL.prof_39	QTL.prof_40	QTL.prof_41	QTL.prof_42	QTL.prof_43	QTL.prof_44	QTL.prof_45	QTL.prof_46	QTL.prof_47	QTL.prof_48	QTL.prof_49	QTL.prof_50	QTL.prof_51	QTL.prof_52	QTL.prof_53	QTL.prof_54	QTL.prof_55	QTL.prof_56	QTL.prof_57	QTL.prof_58	QTL.prof_59	QTL.prof_60	QTL.prof_61	QTL.prof_62	QTL.prof_63	QTL.prof_64	QTL.prof_65	QTL.prof_66	QTL.prof_67	QTL.prof_68	QTL.prof_69	QTL.prof_70	QTL.prof_71	QTL.prof_72	QTL.prof_73	QTL.prof_74	QTL.prof_75	QTL.prof_76	QTL.prof_77	QTL.prof_78	QTL.prof_79	QTL.prof_80	QTL.prof_81	QTL.prof_82	QTL.prof_83	QTL.prof_84	QTL.prof_85	QTL.prof_86	QTL.prof_87	QTL.prof_88	QTL.prof_89	QTL.prof_90	QTL.prof_91	QTL.prof_92	QTL.prof_93	QTL.prof_94	QTL.prof_95	QTL.prof_96	QTL.prof_97	QTL.prof_98	QTL.prof_99	QTL.prof_100
PZE-101000161	1	1	0.1	0	0.216990112708366	0.0135083531417148	0.0329492972034234	0.0979783171137723	0.338746193950508	0.0359802689320005	0.182346447867176	0.194202800598614	0.519876668251634	0.275074796297336	0.165312586322271	0.327430253742187	0.367083670149622	0.255562045223743	0.476893283368641	0.103922832844657	0.294820598657677	0.412656999196317	0.270555727400624	0.147230705081542	0.0894321115448842	0.215040941656144	0.473654357713617	0.0482001807444092	0.470041620980038	0.256708357333275	0.283137162387688	0.338479557083333	0.710864060453634	0.468722790989346	0.0511548827688495	0.281348067984136	0.865280717748534	0.135500446596658	0.692073871408342	0.0560007011687308	0.376610611612687	0.0290465904824147	0.266079314632792	0.064555404892028	0.2525863714851	0.128535570932911	0.162617817672643	0.13762604507093	0.00810570086455646	0.440709174582134	0.127572755627873	0.071676375800941	0.29103807303186	0.154699592226327	0.122447544917235	0.0733851316495548	0.282088967077574	0.0994453543036066	0.252922908374022	0.28231832372251	0.387686823940956	0.0285381455668661	1.12280831449481	0.157078801609043	0.0785086335110482	0.0761638011379603	1.39220308081066	0.153003179711196	0.0216654645239175	0.0766155768808735	0.466280642023317	0.385503202627577	0.313496692271383	0.0627564463466112	0.637736376023085	0.141725626775627	0.241442392926933	0.0225756249311462	0.18206356937734	0.159112019423544	0.175296332554918	0.427398048120211	0.00972732736892545	0.337125335846987	0.116207381312408	0.156224879209151	0.0772458046046814	0.35311445232941	0.300152946146931	0.0412063179379587	0.0925913796875072	0.160925202647069	0.589634631070917	0.00217378583361885	0.118654435434635	0.458538920811439	0.217837179656103	0.303954619483394	0.382278223796164	0.0705749298548053	0.279151134993299	0.0973490779986721	0.55400378572299	0.223948141595245
PZE-101000659	1	2	1.9	0	0.219501098170184	0.0133669260928567	0.0274890760908016	0.0980653189916617	0.371099973205319	0.0359803201747276	0.184728220130085	0.17533499389936	0.532932736902075	0.272634307502534	0.169075057160019	0.327381629270623	0.363400258386968	0.25444344512439	0.480534089422108	0.102507686224305	0.347906608402469	0.412599391773535	0.27514661437736	0.122818155967874	0.0643076955063313	0.223133175266198	0.472759079043016	0.0478600517640613	0.492422667772612	0.274413869443564	0.281492984095028	0.338479555849689	0.573553889018057	0.444929482217633	0.0488538019506799	0.281283932591923	0.910860533490611	0.135521841330516	0.728070410836847	0.0589248643048041	0.37683810419789	0.0273088221206782	0.275474215058647	0.0645555011403182	0.256785044907814	0.125578157282539	0.152062143308611	0.148504072918614	0.0081199538616723	0.451061142019049	0.136310802472872	0.0716760096216758	0.295932201438862	0.112627425757818	0.122447564070328	0.0727036799022128	0.273539236988824	0.103021574919901	0.253749970968818	0.282066444761147	0.406214693436192	0.0184113341588969	1.11858147458559	0.138826010731606	0.0583018257695777	0.076098727051614	1.31999116331045	0.158604203401757	0.0225430507491898	0.0855877674384632	0.409581531747808	0.385470691935139	0.264086641256249	0.0450979044674958	0.657720548318966	0.141119934581738	0.224730679318469	0.0240511110772523	0.180904734280367	0.155969411382702	0.18890731771039	0.450361174054685	0.00968230768558328	0.335950277949909	0.116207394992129	0.122276843528033	0.084381754521477	0.355473864204393	0.352013224116474	0.0374523859136329	0.103406184978457	0.16096144074803	0.612162720491036	0.0025436833607454	0.1330216269497	0.455551658008749	0.23254728204689	0.304451100070201	0.410709298603735	0.0722323182478348	0.303680055298555	0.100799158482715	0.553867943171757	0.222055963957531
PZE-101001110	1	3	2.2	0	0.219675087425074	0.0136933310534963	0.0274896179132655	0.0980939590600412	0.372723057009714	0.0360570113166509	0.184560897750007	0.175335774934295	0.533294588130892	0.272601919875434	0.169705369873453	0.328533185902454	0.363401659369826	0.254448879304667	0.480673347203021	0.102356104772909	0.349727354721096	0.412555517435734	0.275151272050861	0.121985904256136	0.0638878960328177	0.222598181667199	0.472759078862176	0.0478618635198367	0.493659275876382	0.274413991084693	0.281405630141117	0.338475776637068	0.571744840216474	0.443298539760905	0.0488058289115719	0.281314438280224	0.911563806930674	0.135698537468298	0.728081860187134	0.0591315144230057	0.376845421802267	0.0272598665473159	0.275814903721518	0.0648020266729572	0.257140435246642	0.125695757237852	0.152064847648958	0.148803592442995	0.00819711462320537	0.452803444951238	0.136538420721767	0.0711467697392991	0.296349005843301	0.112627797022043	0.122449557254898	0.0727093837347755	0.272163985676239	0.103172403733	0.25436810703813	0.282032195833928	0.404175445912896	0.017949640634331	1.11979939944078	0.138829842651341	0.058301506225949	0.07606930393385	1.31758705031229	0.158820574095883	0.022746394238133	0.0858649815634282	0.409583270767505	0.388817397651325	0.263629054478458	0.0449422070231885	0.657730035089268	0.141685159671031	0.224570544418808	0.024109680188784	0.181017810718665	0.155914333956776	0.189601087932336	0.452262671338514	0.00968230860005245	0.33589151498123	0.116232532087551	0.122277109881812	0.0851878239457087	0.355877890472429	0.354005401789909	0.0374506767642898	0.103406600112877	0.160934482534834	0.613377985001594	0.0025925438667504	0.133021806201788	0.455505662689253	0.231772821150052	0.304432888511195	0.411539381521524	0.072332288181618	0.303652327828713	0.101051573611747	0.553877899083419	0.222708922146346
PZE-101002282	1	4	3.4	0	0.329707153186682	0.0415661586020299	0.0446405895759796	0.270134921017562	0.433165607493697	0.0287569335248766	0.261473198196591	0.178701323778597	0.767942412707289	0.621636743812687	0.159807229226762	0.494066817007268	0.415181293797125	0.272953346995508	0.852496338215637	0.247959117746683	0.543155355089209	0.596862361308885	0.345908498304539	0.210235779713272	0.151619202429213	0.435461349412248	0.387616881158238	0.0248920461254003	0.821644589596369	0.284732734196601	0.342737346719447	0.246643541463159	0.675380656343728	0.685735095765338	0.0791735760567298	0.224593253266065	1.20737980831315	0.233861851474627	1.19775613779337	0.185686928197561	0.652152485793169	0.0637277317154249	0.327301614428178	0.0583256301246165	0.4410358778903	0.232861308266341	0.257116654923733	0.248534519039296	0.00328269177628512	0.52979523001271	0.229122143587771	0.137176053168869	0.277207103701527	0.191536174503042	0.235802471956784	0.17972843753849	0.621007784913746	0.0346867290691131	0.162684819867702	0.58007040268738	0.469610092988534	0.00669636407821147	0.990255659345044	0.396420829389288	0.0508576398019842	0.155206461307725	1.21729775174406	0.314289262283414	0.0444003963401326	0.121181109632952	0.564615858586814	0.914640556435147	0.333127991890134	0.12731738182357	1.0720627562664	0.233179716186314	0.34131460321705	0.00832986437549526	0.365611582393858	0.369578198252325	0.353857073285563	0.426313739623283	0.0264302284849205	0.484205053991608	0.0785452939464343	0.143501943858827	0.221535411890758	0.578838437077071	0.432367535050036	0.169931154223589	0.153900186709539	0.123517108526953	0.917303237782029	0.0224087554706371	0.0968026292225059	0.640175022893682	0.420977705857602	0.285984504772028	0.618560858948153	0.0785064184301791	0.536453886882441	0.157204655899327	0.88790102675386	0.330191996693359
PZE-101003133	1	5	4.5	0	0.320177278567229	0.0276313676757109	0.0488431289575191	0.387090297087279	0.423102110889318	0.0244700689299901	0.256607365162345	0.345579056066854	0.831301510310302	0.712784311338755	0.161627590123619	0.671389962990378	0.646252034920478	0.428126890105183	0.899238959026143	0.246107573856967	0.477806975861946	0.65848736500078	0.390294537540005	0.215326638304651	0.150527107501105	0.456116949694846	0.436560266687174	0.0453143814050118	0.899016942671559	0.311576938438368	0.474786840144047	0.376473695140214	0.715192119802965	0.65847071730811	0.134619825019421	0.208343587265232	1.35000295805035	0.319604119275023	1.1349339908837	0.188587834509284	0.819128851726022	0.120962771389343	0.354439039735442	0.0598226733543802	0.506162221892117	0.243304376793037	0.325161966301713	0.347882106749539	0.00188155675755647	0.492342596321693	0.329774608608606	0.203197642590724	0.335784639469841	0.220186640881809	0.236816007136442	0.223764237176971	0.750800910696322	0.0291269807705914	0.189097132519283	0.647269175160642	0.611606171745753	0.00881040465126248	0.961399424022088	0.600876307289601	0.0579329045013759	0.256706050775451	1.60990563987952	0.389584229334502	0.0342224390558354	0.107490605273094	0.650789444842306	0.913580178582758	0.44300757345135	0.125437840378582	1.09400488031399	0.172486579746735	0.266306571457209	0.0150590353673647	0.433727004974693	0.382945634646475	0.450334797515655	0.409793271221522	0.0299952987130958	0.617794827618369	0.102595365198666	0.137893600439946	0.334459534334445	0.574102334706976	0.559190701396095	0.204121434597357	0.15474480595521	0.158428187480295	0.944252357762034	0.0180671630817232	0.143274373916348	0.71465735300845	0.457978106975926	0.400354610981947	0.633520994696539	0.0898932334643742	0.734849548763636	0.215632722327286	0.921401820090247	0.270163827849862
PZA00393.1	1	6	5.7	0	0.521277491958015	0.0403891618974554	0.0643704663097477	0.431313095491502	0.459807585652515	0.0271594093261536	0.200790716327506	0.332517761492297	0.765894499279875	0.634054254855254	0.135499492453401	0.567827070826123	0.689816231308918	0.403127860284696	0.929810803901468	0.162974674262914	0.774029043997913	0.708839545477922	0.350151539658668	0.200083823980686	0.184876958725048	0.467197826671339	0.397165004973711	0.0181247507165461	1.06507309386059	0.364265758322825	0.524085951492136	0.339323380661017	0.707791303416204	0.675126521897823	0.167532089582738	0.276624714813637	1.2213660989806	0.275593919212306	1.32266614001201	0.253921948524022	0.807530664987394	0.0833348451392671	0.249961189501609	0.0622544504495764	0.461083447946434	0.22451837814657	0.314685098403729	0.342907150881777	0.00354153466462937	0.580863646772907	0.263853913988996	0.220513743302151	0.353602481777351	0.259537183110139	0.257354708705258	0.230706024212715	0.732204907822411	0.0348205590066676	0.223299564017043	0.648630949956872	0.49741698784558	0.004618258198228	1.04626161036746	0.518138903639616	0.0678021476208032	0.259314705037829	1.64492550192356	0.4616065565908	0.0262641771364803	0.187789170657299	0.557403016847582	0.902715394827844	0.442083825105558	0.114967771267422	1.08198502280403	0.323956870571465	0.273458577799488	0.0136732504082491	0.430522931966187	0.500356614698499	0.394497464377418	0.442459760343369	0.0437886448020316	0.403437738123716	0.114310669745977	0.140034203215951	0.440683966363041	0.677097978864926	0.533093578521209	0.195516477763925	0.201950466325696	0.134241084916566	1.03846667222518	0.0217264356681075	0.14842329158749	0.699192839482607	0.448668273164977	0.306863692011982	0.677627145783888	0.137187799871505	0.582094062027481	0.215641911995985	0.971096755064002	0.297707924580114
PZE-101005818	1	7	7.3	0	0.633001859037765	0.0647143023409859	0.143014058906828	0.421046950852467	0.446223085576927	0.0305755071862113	0.171247715541216	0.286005861947392	0.692410551975132	0.626742958864116	0.0993045244460639	0.488367039067399	0.520415737047189	0.370066443042839	0.939979331052886	0.134841345364895	0.908663582572415	0.700714381715449	0.317246662629426	0.176003403206393	0.165369407193788	0.479441294138425	0.308466251536834	0.00373492307736909	1.11189913341269	0.393220740845921	0.509484669832025	0.323625770932644	0.555918957653333	0.66863369000376	0.198925720488026	0.316589358181703	1.12765302915653	0.241761034052158	1.39496736692662	0.353023680654607	0.843135132229275	0.0587737263673008	0.155560704745622	0.0585108216777455	0.397420549870431	0.200800461012275	0.252664750004079	0.366838687716427	0.00804264212839342	0.609586894678641	0.203251681064206	0.172637002269062	0.351776742830635	0.321792118519585	0.285156799213276	0.241209999839913	0.663825454789935	0.0278524974675005	0.216644925144086	0.623885571132525	0.377848135071691	0.00324345401197882	1.07068477937056	0.531076659413537	0.0805403541005394	0.210360046182988	1.55673022818981	0.511918141355552	0.030615143121923	0.222435684985117	0.378190147099588	0.849046560472229	0.399454251582655	0.0978658607113589	0.961561844174519	0.417049157493068	0.237983878111278	0.0113881998576655	0.440478854006148	0.564248048056459	0.295110888803632	0.382498681679048	0.0493996182705239	0.191408937349398	0.102622852526419	0.11803198926474	0.478524302799598	0.547818508090915	0.372935063844777	0.161172906134898	0.14971443951789	0.0934969516227896	1.16755394833736	0.0280995796471994	0.121403012657838	0.651287045110762	0.432698962398847	0.221343595735971	0.639581067620299	0.133329081092822	0.507766083906302	0.202326302136511	1.02007681782841	0.302678363680544
PZE-101006745	1	8	9.2	0	0.662167966746723	0.0706192679464986	0.20640437133344	0.323727649748244	0.571021624753599	0.0459546817735016	0.337442537435752	0.261300633244924	0.857066150144625	0.638589215694823	0.165051184808196	0.639995597535835	0.433521659582866	0.55456202596767	0.973280710631101	0.261262948740888	0.705759877476635	0.803454015479913	0.443950469407357	0.265977774598615	0.125392410177697	0.582086329611889	0.484430505050436	0.0105681590826569	1.09059137458061	0.277300247929844	0.650315558354613	0.373994551013406	0.671699302422992	0.693282729959425	0.162354081930965	0.337368611419028	1.18103834124699	0.346757060482001	1.40039561136533	0.426101055444528	0.902474512669502	0.0841987917343822	0.175585920698265	0.054210865069624	0.453977991321174	0.192269435261474	0.34017085068082	0.577358782418973	0.00391533836511225	0.735465837971814	0.183920344389502	0.276810585357633	0.47125064553667	0.25343305568587	0.313171874152149	0.397714835031919	0.652700934356916	0.0318268655049856	0.150580534825333	0.880141923615051	0.304026431161207	0.0139536993068593	1.27766206785824	0.451360502964242	0.130887737650151	0.289977117387636	1.68045335902547	0.5324864591012	0.032498169304032	0.209297320795805	0.496658593620916	0.996348506686636	0.36712729342758	0.112709601259395	0.911793668768236	0.312946428173251	0.489444746554416	0.00992761165035423	0.526143543127898	0.566778028790578	0.409075958276672	0.407499557495737	0.110840199897673	0.258851064201552	0.171965349520758	0.160277009567596	0.306727004918624	0.563831227691428	0.373011934893903	0.312228981045457	0.144404327214745	0.13987955436197	1.40727272801502	0.0360066668113591	0.123401996922214	0.883176776913987	0.607341020348592	0.190852942201429	0.597341570527528	0.185304446452267	0.478692211341497	0.273134713730746	1.09826490630028	0.396216574613208
PZE-101007769	1	9	10.9	0	0.700190385843483	0.0764958606609128	0.272559351891007	0.266268005614315	0.695546319601449	0.0724187138111084	0.551736785893269	0.246293940244148	0.954518800975428	0.633979174159423	0.226823150133455	0.758843408345986	0.355073519244238	0.707964448465389	0.970934634602921	0.400848990684248	0.503257366654963	0.873720865194427	0.571430520305813	0.37780818632588	0.0917185311604884	0.657905143518025	0.633838473575635	0.0244218485676397	1.00941499407917	0.199477717083459	0.772062779928525	0.39887036957259	0.752117595832913	0.742138116913005	0.141485014899971	0.361026402183391	1.09514785684458	0.437494082626105	1.35519341670053	0.481865682142109	0.959527291418394	0.124577305985806	0.210231444933222	0.0483041977540365	0.490244706734765	0.194495362670622	0.419177168333058	0.743954413503941	0.0105226940966063	0.806219999607795	0.160864266272295	0.386098564389408	0.566329187106057	0.203171415790673	0.326015277544922	0.53275516261848	0.616963154439225	0.0369423402849154	0.121742805920414	1.02831735930452	0.250524229134865	0.040469073572483	1.41980403750866	0.39813694966486	0.176611502897603	0.360171717706156	1.7224302428209	0.535184332752222	0.039317319106425	0.195347693452029	0.578016963976045	1.05839426729703	0.348860384480976	0.120840787377934	0.876579791971641	0.23176339197133	0.772623656923053	0.0130153922009946	0.593917894121009	0.53761431951522	0.492261022804159	0.408638477573419	0.204284123157978	0.336473769668566	0.268127749082187	0.208372816868498	0.185116336455387	0.53160483462121	0.340402083405166	0.522746797452884	0.137731627922534	0.181673287583063	1.53990841731069	0.057225134055601	0.125236673115896	1.0167572124593	0.748054897672555	0.1785381792191	0.52164300702444	0.227621985705864	0.459432815410442	0.351941455042768	1.12336501805379	0.501050261386566
PZE-101009163	1	10	12.5	0	0.626804961389211	0.193901145814164	0.392280783939261	0.294277324306649	1.0300442865431	0.209654292021022	0.955811220708464	0.233269182267367	0.960673109732702	0.808806796570207	0.329813458968694	0.912574243115137	0.294091803189184	0.804453197194724	1.34690966348529	0.681478454652189	0.888992787686542	1.03957617856174	0.934376942877668	0.493545926462884	0.148709434170779	0.608843717012461	0.701774344601385	0.106732982288959	1.23571391469848	0.283905473861425	0.74061953612182	0.529758633611468	0.996067607174461	0.925032977467039	0.27006008535431	0.421895267515074	1.29179650741661	0.730398230201028	1.60907510071671	0.753218059968681	1.02278234187297	0.41556637159256	0.407157226996754	0.0833217171916271	0.488407540371344	0.434027636583371	0.795348931784558	1.04270194962495	0.0542022960331346	1.06580685195466	0.245510487000227	0.459149160626604	0.798259991037353	0.336885913505544	0.59528393403374	0.925372685510372	0.779202126703507	0.0349257728105246	0.0896881927608529	1.53225985923209	0.469474199256642	0.0460887963139133	1.44552655592493	0.649805278727679	0.201795910463468	0.541849448218635	2.01596914923342	0.932566565704909	0.162095672697097	0.187599893064964	0.84096788673334	1.25224836853429	0.701398776086719	0.184164930095604	1.00492650304759	0.382426680755868	1.26015765944938	0.0149967742664504	0.845722870697281	0.607753397418745	0.749365091488664	0.388106539329716	0.346443472827858	0.666504735644572	0.176068091019806	0.32376968308301	0.27890441700088	0.71942939670867	0.598980281682063	0.773206103129055	0.308011478580159	0.425943850946917	2.32613730389399	0.116039448649381	0.210078093820379	0.965116666607385	1.20436372829816	0.309729921986988	0.790681813441628	0.264574903964021	0.904749526387834	0.494738931801374	1.32295805169596	0.602366060194392
