mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.100178728384909	0.251041131764497	0.476737079465614	0.573883775489501	-0.970302780848552	-0.629274294283684	NA
PZE-101000161	1	2	0.1	0.100178799849679	0.25104097451362	-0.629274293856276	0.476737078916295	-0.970302780811533	0.573883775011961	NA
PZE-101000344	1	3	0.7	0.10010318025709	0.2510417710964	-0.629954938568354	0.476737660256107	-0.970302819990373	0.573884280386512	NA
PZE-101000424	1	4	0.8	0.100090669173056	0.251041729965976	-0.630068441363972	0.476737756453894	-0.970302826473524	0.573884364013862	NA
PZE-101000370	1	5	1	0.100090798408004	0.251041439983496	-0.630068463282758	0.476737755460186	-0.970302826406556	0.573884363150001	NA
PZE-101000754	1	6	1.4	0.100091056892965	0.251040859986951	-0.630068507120617	0.476737753472646	-0.970302826272607	0.57388436142218	NA
PZE-101000169	1	7	1.5	0.100091121923718	0.25104071498462	-0.630068514384168	0.476737752972615	-0.970302826238907	0.573884360987488	NA
PZE-101000256	1	8	1.7	0.100091251981606	0.251040424988302	-0.630068528911461	0.476737751972576	-0.970302826171514	0.573884360118128	NA
PZE-101001103	1	9	1.8	0.100091317007699	0.251040279996635	-0.630068536175088	0.47673775147258	-0.970302826137812	0.573884359683467	NA
PZE-101000659	1	10	1.9	0.100091386271487	0.251040134975824	-0.630068505162664	0.476737750939998	-0.970302826101922	0.57388435922048	NA
PZE-101001110	1	11	2.2	0.102080975457105	0.246723671700281	-0.630056668606083	0.476722511248955	-0.970301799028916	0.573871110899948	NA
PZE-101000431	1	12	2.3	0.10009099165791	0.251041003577404	-0.630068507540837	0.476737753974249	-0.970302825956173	0.573884361858239	NA
PZE-101000442	1	13	2.4	0.100090794144004	0.251041438334062	-0.630068508751084	0.476737755492972	-0.97030282570839	0.573884363178504	NA
PZE-101000530	1	14	2.5	0.100090596630364	0.251041873091393	-0.630068509961329	0.476737757011693	-0.970302825460598	0.573884364498769	NA
PZE-101001114	1	15	2.6	0.100092292575631	0.251038140085594	-0.630068499863668	0.476737743971281	-0.970302824231619	0.573884353162387	NA
PZE-101001280	1	16	2.7	0.100093981277673	0.251034407144505	-0.6300687964924	0.476737730986653	-0.970299322312546	0.573884341874495	NA
PZE-101000673	1	17	3	0.10103381232347	0.251015503339633	-0.642169016018957	0.47673051768502	-0.865074424223967	0.573878071145867	NA
PZE-101001107	1	18	3.1	0.119882722230085	0.216150430806406	-0.647380321393385	0.476590889392152	-0.8303988755255	0.573756684433666	NA
PZE-101002282	1	19	3.4	0.18684723501993	0.139546409951502	-0.666561096250721	0.476149772812238	-0.73030216412811	0.573373148779041	NA
PZE-101002081	1	20	3.6	0.185608072642352	0.139549385947462	0.476157366849439	0.573379752153072	-0.666567956426263	-0.743915388428134	NA
PZE-101001380	1	21	4.3	0.183516460033842	0.139560894341803	-0.666577094036816	0.516718148370347	-0.660358367709555	0.585459896057178	NA
PZE-101003133	1	22	4.5	0.183330467856866	0.139561919520699	-0.666577908289908	0.528873403231462	-0.637860245726504	0.589516505681208	NA
PZE-101003135	1	23	4.7	0.180264801810666	0.139577332052815	-0.666589884670153	0.541294202358716	-0.637874370815815	0.59387484653951	NA
PZE-101003026	1	24	4.9	0.176447974423195	0.139597040493546	-0.652236375859157	0.553964955105432	-0.657802347891685	0.598531697525881	NA
PZE-101003031	1	25	5.6	0.225700040501415	0.0951983460265248	-0.611122464747118	0.599876071134791	-0.740285991071064	0.616936869443746	NA
PZA00393.1	1	26	5.7	0.232780515955425	0.0903902136243679	-0.606617577764082	0.60667099839796	-0.753279807985933	0.619882303779253	NA
PZE-101003115	1	27	5.9	0.24763586556686	0.0817984460787994	-0.606547720002433	0.620427916015292	-0.753237105707806	0.626009752363924	NA
PZE-101002367	1	28	6	0.254832031187826	0.0779877949212109	-0.606514323276274	0.627390908752696	-0.753216771271513	0.629194240161176	NA
PZE-101005818	1	29	7.3	0.318262584455077	0.0508337326025198	-0.606227844824223	0.722590346746343	-0.753050420643896	0.67768307782417	NA
PZE-101006745	1	30	9.2	0.281090408668523	0.872874970924568	0.766712059838688	0.0578865783395486	-0.75315295664729	-0.551220706933441	NA
PZA01022.1	1	31	9.6	0.269964947898535	0.905288037718508	0.786764104715534	0.0609060489143495	-0.753184754979641	-0.54296502205785	NA
PZE-101009312	1	32	10.6	0.237869201859128	-0.527999630215024	0.986205282364876	-0.753279195277752	0.836712752539679	0.0716091900539203	NA
PZE-101007769	1	33	10.9	0.227316419802799	0.851374015154213	-0.525059584547612	-0.989735142121633	-0.753311180003923	0.0758403564802217	NA
PZE-101009215	1	34	11.2	0.223336132673395	0.865774340099239	-0.494274879000637	-0.965848202083144	-0.748160365379164	0.0805801834335553	NA
PZE-101010821	1	35	11.8	0.216091679846262	0.865042390193312	-0.440253072287607	-0.918745639809491	-0.73955423488391	0.0918015291160967	NA
PZE-101009528	1	36	12.3	0.208795124174483	-0.880352568099996	0.865258186769188	-0.403844715754888	-0.734223945814454	0.103101514794625	NA
PZE-101009163	1	37	12.5	0.199325120978408	-0.922355735190399	0.865574653071001	-0.403899710784959	-0.734255085781956	0.108183131766877	NA
PZE-101010560	1	38	13	0.215088078962073	-0.856406460509117	0.866841394255441	-0.292469423350051	-0.883985166174989	0.12208955388567	NA
PZE-101010917	1	39	13.5	0.227094079253429	-0.561651215511723	0.138063332027761	0.868868671779641	-0.292384534227975	-0.883982873016984	NA
PZE-101012517	1	40	13.6	0.306923958875345	0.141129032646046	-0.301304783182745	0.869235372148757	-0.291908254630668	-0.883867923061086	NA
PZE-101014135	1	41	13.7	0.304807641068359	0.139495425969534	-0.310283833068521	0.861627947138638	-0.291920445997384	-0.883869813116874	NA
PZE-101014266	1	42	13.8	0.302556132169416	0.138005438721824	-0.319605884141523	0.854085097229971	-0.291933437545651	-0.883871894632651	NA
PZE-101011048	1	43	14	0.297648804411377	0.135458168762674	-0.339294694864717	0.83924030640641	-0.29196183638699	-0.883876635665853	NA
PZE-101013802	1	44	15.2	0.273541881453873	0.132161841015299	-0.48648721291402	0.632486188232554	-0.308130364303261	-0.764193204523332	NA
PZE-101014003	1	45	15.3	0.271497693988838	0.132796310213219	0.617593267933192	-0.500841766921471	-0.309869408863233	-0.754599668384855	NA
PZE-101011906	1	46	15.7	0.27232043670028	0.132331700455693	0.617583949053085	-0.500846362046754	-0.317384235493671	-0.717367080961885	NA
PZE-101015469	1	47	16.2	0.272293623715277	0.132537668841811	0.617576859741952	-0.500857658682732	-0.328155699470106	-0.674077889195169	NA
PZE-101013772	1	48	16.4	0.271920348197534	0.132864102307399	0.61757559051196	-0.500864084127193	-0.332887508651221	-0.657943330044713	NA
PZE-101013713	1	49	16.9	0.270006747527132	0.134286092774512	0.617576665190193	-0.500885315684065	-0.345745991873354	-0.620847945745335	NA
PZE-101015471	1	50	17.3	0.237268893423505	0.160033302174271	-0.354001935198606	-0.491814466850059	-0.627671194799469	0.618805250015533	NA
PZE-101017581	1	51	18.7	0.128515579796474	0.301514732648578	-0.401410376029803	-0.699697282721403	-0.459992851981881	0.623678461724296	NA
PZE-101017779	1	52	19	0.117755949297652	0.343539189055346	-0.401492758455399	-0.669865062148843	-0.453103637222866	0.624785531466862	NA
PZB01915.1	1	53	19.1	0.119242447703541	0.343528934478008	-0.401481569497963	-0.660021476177672	-0.450771448741204	0.625135827314647	NA
PZE-101017463	1	54	19.5	0.12560718407365	0.343485223835886	-0.401434184689431	-0.621348932414664	-0.441449327420941	0.626585126189827	NA
PZE-101017580	1	55	19.6	0.127303679302419	0.343473635879596	-0.401421693749121	-0.611870981686452	-0.439121201886577	0.626959704225984	NA
PZE-101018214	1	56	19.7	0.129042458145939	0.343461789571502	-0.401408950551894	-0.602474674806801	-0.436794341237368	0.627339273749023	NA
PZE-101017487	1	57	19.9	0.132646966663058	0.343437334880039	-0.401382720075581	-0.58393733792854	-0.432145029889202	0.628113568250847	NA
PZE-101018516	1	58	20.1	0.136420624176994	0.343411887460226	-0.401355520334889	-0.565756556680528	-0.427502634936666	0.628908372238796	NA
PZE-101018023	1	59	20.3	0.140362877033901	0.343385477699366	-0.401327381028246	-0.547950219563247	-0.422868414612404	0.629724048795035	NA
PZE-101018404	1	60	20.6	0.146589973487437	0.343344131355968	-0.401283481414127	-0.521977453598861	-0.415935201365589	0.630987493857548	NA
PZE-101018668	1	61	20.8	0.150948108842664	0.343315464959582	-0.401253139007716	-0.505173479516634	-0.411327019619665	0.631856939116078	NA
PZE-101018057	1	62	20.9	0.15318839266763	0.343300815369841	-0.401237658937724	-0.496929298906326	-0.40902760543417	0.632299941730127	NA
PZE-101017262	1	63	21	0.155469056976606	0.343285961479052	-0.401221979431345	-0.488792022036168	-0.406731527742571	0.632748524265663	NA
PZE-101018616	1	64	21.1	0.157789740492544	0.343270908399503	-0.401206105483674	-0.48076277609245	-0.404438951306834	0.633202731496378	NA
PZE-101018411	1	65	21.2	0.160150051355974	0.343255661349394	-0.401190042193243	-0.472842571216713	-0.402150041413855	0.633662608032272	NA
PZE-101017187	1	66	21.3	0.159069055894685	0.343263305708998	-0.401127057241701	-0.480452529552649	-0.399888941968507	0.63414546146068	NA
PZE-101018868	1	67	21.4	0.161803210667493	0.343244006296911	-0.401124080377578	-0.470946119711498	-0.397605731341917	0.634615236499952	NA
PZE-101019597	1	68	21.5	0.164591087398243	0.343222943260075	-0.401122775691056	-0.461597796432065	-0.39532659732096	0.635090758091107	NA
PZE-101019781	1	69	21.6	0.167431322276725	0.343201632266082	-0.401123153115268	-0.45240888192819	-0.393051714027747	0.635572075515504	NA
PZE-101018356	1	70	21.7	0.170323038260631	0.34318008274378	-0.401125218873625	-0.443380462811106	-0.390781252195755	0.6360592351384	NA
PZE-101019727	1	71	21.8	0.176634666888353	0.328391493217519	-0.401082910562465	-0.443342052193999	-0.388492697821876	0.636536146585447	NA
PZE-101019853	1	72	21.9	0.176454440064489	0.330464973824394	-0.401084113375728	-0.443345773146518	-0.386252950963483	0.63705032398767	NA
PZE-101018206	1	73	22.5	0.175497765501983	0.343148184592953	-0.401090506601092	-0.443367301869851	-0.372928255261065	0.64026398269518	NA
PZE-101018567	1	74	22.9	0.14685220864072	0.34335120198506	-0.401276990759021	-0.605334017801991	-0.364362441890905	0.642668380471714	NA
PZE-101019726	1	75	23	0.153612644903182	0.343725588571551	-0.375740518810697	-0.615078324959651	-0.362138896540892	0.643216850321169	NA
PZE-101021986	1	76	23.1	0.15391450398303	0.344285718709631	-0.376338186984356	-0.614782151409513	-0.35996868495228	0.643803991588927	NA
PZE-101020456	1	77	23.6	0.154713439800393	0.349240278150528	-0.379355096796839	-0.61335719833728	-0.349232022119444	0.646841458623369	NA
PZE-101018818	1	78	23.7	0.154731394367794	0.350671113875495	-0.37996413824782	-0.613083395822673	-0.347108641762039	0.647469504779704	NA
PZE-101019538	1	79	24	0.169871907879659	0.355747130352052	-0.323597919734419	-0.651084682177965	-0.340680975445187	0.64932189084021	NA
PZE-101022341	1	80	24.3	0.169721163765738	0.362259565634654	-0.323596719834939	-0.651091460894522	-0.334436750020181	0.651308445923539	NA
PZE-101019557	1	81	24.4	0.169589061597347	0.364722437090926	-0.323596887960925	-0.651094103364928	-0.332373481866125	0.651984659220674	NA
PZE-101021926	1	82	25.4	0.1323151843964	0.378678840890534	-0.42574195553232	-0.723145398707476	-0.312520490546458	0.659299729021297	NA
PZE-101021455	1	83	25.7	0.140825184891294	0.384105848722579	-0.404885209379819	-0.694471793780611	-0.306615695639264	0.661534436480464	NA
PZE-101024131	1	84	25.9	0.138913535019089	-0.404897688366425	-0.716886737290776	-0.302789256238293	0.663096998631485	0.388139598780713	NA
PZE-101024424	1	85	26.4	0.134529071952652	0.399472292600896	-0.40492630089383	-0.775807026720275	-0.293413828828985	0.667125617227516	NA
PZE-101020931	1	86	26.9	0.130917165283411	0.412544230356307	-0.40494957678666	-0.837521685620885	-0.284319735347505	0.671328235229548	NA
PZE-101021308	1	87	27.6	0.130453628581058	0.433557725153662	-0.404955706774999	-0.837496139510888	-0.27205805885207	0.677488069672518	NA
PZE-101025101	1	88	27.7	0.133242259130596	0.43159695984303	-0.409399227127062	-0.786879739249391	-0.27033446103981	0.678382756134206	NA
PZE-101024556	1	89	28.2	0.152057384960609	0.423109889651779	-0.449866756876308	-0.569257516879425	-0.261874998952197	0.682942212806321	NA
PZE-101026314	1	90	28.6	0.15631370148646	0.418096819398576	-0.44982673637905	-0.569212286712242	-0.255419845020963	0.686766424239697	NA
PZE-101024519	1	91	29.4	0.163630038172732	0.412805697895003	-0.449755378133326	-0.569129226497475	-0.243152629843881	0.694750089924444	NA
PZE-101027798	1	92	29.5	0.173269678669786	0.41274088726012	-0.416167557613758	-0.569073727623211	-0.24162050506114	0.695742132462979	NA
PZE-101026621	1	93	29.6	0.18372537727361	0.412671989337363	-0.384235447367712	-0.569014844754831	-0.240097884964236	0.696738492590329	NA
