mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH250	Mo17	W117	EC169	B73
PZE-101000083	1	1	0	0.0759315654528205	1	-0.842067755913782	-0.411868668900086	0.809065944689628	0.730614654668564	0.277674875749544
PZE-101000161	1	2	0.1	0.233937430513185	1	0.867498254432224	1	0.305625247794205	0.867498254432224	0.305625247794205
PZE-101000344	1	3	0.7	0.132205055021185	1	0.867633319764695	1	0.809065944689628	0.867633319764695	0.277674493487193
PZE-101000424	1	4	0.8	0.132666250950746	1	0.867655838497841	1	0.809065944689719	0.867655838497841	0.277003961449804
PZE-101000370	1	5	1	0.263547699136113	1	0.867707838740118	1	1	0.867707838740118	0.276150807345848
PZE-101000754	1	6	1.4	0.263230617464692	1	0.867811863743961	1	1	0.867811863743961	0.276437728422769
PZE-101000169	1	7	1.5	0.262701570854919	1	0.867840531424912	1	1	0.867840531424912	0.276929747597975
PZE-101000256	1	8	1.7	0.261109990250106	1	0.867897872026039	1	1	0.867897872026039	0.27841909694259
PZE-101001094	1	9	1.8	0.161020995794936	1	0.867926544483579	-0.604591013609583	-0.604591013609583	0.867926544483579	0.279415390562451
PZE-101000659	1	10	1.9	0.1842736338184	1	0.446122472976765	-0.604591013609774	-0.604591013609774	0.446122472976765	0.446122472976765
PZE-101001110	1	11	2.2	0.183865995293778	1	0.446862074703481	-0.604585307276513	-0.604585307276513	0.446862074703481	0.446862074703481
PZE-101000431	1	12	2.3	0.190644581010801	1	0.445980070931435	-0.585704554311625	-0.585704554311625	0.445980070931435	0.445980070931435
PZE-101000442	1	13	2.4	0.197212892294303	1	0.446050220689499	-0.567117175773061	-0.567117175773061	0.446050220689499	0.446050220689499
PZE-101000530	1	14	2.5	0.204091279283822	1	0.446121112312686	-0.54884682405771	-0.54884682405771	0.446121112312686	0.446121112312686
PZE-101001114	1	15	2.6	0.211310665105357	1	0.446125912016365	-0.530911899734762	-0.530911899734762	0.446125912016365	0.446125912016365
PZE-101001280	1	16	2.7	0.218825898129483	1	0.446127729276505	-0.513336784473366	-0.513336784473366	0.446127729276505	0.446127729276505
PZE-101000673	1	17	3	0.334464969949313	1	1	-0.462951003748025	-0.462951003748025	1	1
PZE-101001107	1	18	3.1	0.349709178255275	1	1	-0.446982810335272	-0.446982810335272	1	1
PZE-101002282	1	19	3.4	0.114003411366173	1	-0.841490411107737	-0.224017586172436	0.839686172627943	0.640455226281763	0.379810971956246
