mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101024519	1	24	29.4	1	13.9	10	0.3
PZE-101036799	1	35	40.8	1	12.8	-9.8	1.8
PZE-101037244	1	36	41.3	2	11.4	-13.3	2.2
PZE-101070408	1	53	58.9	2	10.1	-5.3	1.5
PZE-101180531	1	110	118.4	1	15.3	29.2	-0.9
PZE-101184638	1	112	121	7	14.2	6.4	0.5
PZE-101187227	1	115	123.7	3	14	21.3	-0.5
PZE-101189687	1	116	124.4	1	16.2	-33.4	3.1
PZE-101190874	1	117	126.1	1	15.2	30.7	-1
PZE-101196460	1	120	128.5	22	15.4	15.8	0
PZE-101196084	1	121	130.2	3	15.9	3.6	0.8
PZE-101196337	1	122	130.4	1	19.1	14.7	0.2
PZE-101205523	1	128	136.8	1	11	12.4	-0.1
PZE-101209857	1	132	142	1	19.6	1.8	0.9
PZE-101211929	1	133	142.9	4	14.1	2.6	0.8
PZE-101216712	1	134	144	3	15.7	7.1	0.5
PZE-101236600	1	147	157.6	2	18.6	1.6	0.9
PZE-101238451	1	148	159	6	16.7	13.9	0.2
PZE-101235852	1	149	159.7	6	11.2	-5.7	1.5
PZE-102024868	2	25	32.4	6	13.9	6.3	0.5
PZE-102035884	2	31	42	1	13.5	6.4	0.5
PZE-102065225	2	49	61	5	13.6	1.7	0.9
PZE-103107305	3	61	70.9	1	13.1	0.5	1
PZE-103112343	3	64	74.3	1	14.2	-15.8	2.1
PZE-103116584	3	68	78.9	1	12.8	4.7	0.6
PZE-103120639	3	70	80.5	1	11.7	2	0.8
PZE-103169740	3	111	126.7	1	16	-22.9	2.4
PZE-103173540	3	113	129.3	6	14.4	9.7	0.3
PZE-103183711	3	126	144.5	2	15	18.9	-0.3
PZE-103184380	3	128	146.9	2	13.8	8.2	0.4
PZE-103185158	3	129	148.1	1	10.1	-12.3	2.2
PZE-103186727	3	130	149.5	2	12.1	1.3	0.9
PZE-103186544	3	131	149.7	1	14.5	-22.8	2.6
PZE-103187071	3	132	150.8	1	11.4	0.3	1
PZE-106009322	6	11	11.8	1	13.9	-6.8	1.5
PZE-106018436	6	12	12.6	5	13.1	-3.8	1.3
PZE-106028794	6	13	13.2	2	17.5	-1.7	1.1
PZE-106039880	6	16	17.1	3	13.1	-4.5	1.3
PZE-106040089	6	17	18.1	1	9.8	-5.4	1.6
PZE-106041751	6	18	19.1	1	10.6	15.3	-0.4
PZE-106050388	6	27	28.4	2	14.9	-4.7	1.3
PZE-107021022	7	32	42.5	2	11.6	14.8	-0.3
PZE-107049870	7	33	43.2	1	14.2	26.7	-0.9
PZE-108058478	8	43	53.2	1	14.7	8.1	0.4
PZE-108060440	8	44	53.3	8	14.5	7.6	0.5
PZE-108060455	8	46	55.5	2	12.7	3.1	0.8
PZE-108067569	8	50	59.9	1	14.6	-6.7	1.5
PZE-108069097	8	53	63.6	3	14.5	-2.5	1.2
PZE-108073768	8	56	66	1	12.9	3.9	0.7
PZE-108074608	8	57	67.4	1	13.6	7.8	0.4
PZE-110008028	10	14	22.6	1	11.8	4.6	0.6
PZE-110020962	10	28	39.5	1	10.8	-7.5	1.7
