mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101000424	1	1	0.8	5	0	0	5	0	4.6	-2.4	1.5
PZE-101028351	1	24	33.1	1	0	0	0	1	4.4	-4.5	2
PZE-101121405	1	62	77.8	11	0	4	7	0	7.8	0.7	0.9
PZE-101121742	1	63	78.1	4	0	2	2	0	7.8	2.7	0.7
PZE-101122769	1	64	80	1	0	1	0	0	7.3	7.3	0
PZE-101130213	1	66	81.6	2	0	2	0	0	7.9	5.9	0.3
PZE-101134461	1	67	82.7	13	0	13	0	0	8.3	1.3	0.8
PZE-101137048	1	68	83.8	3	0	3	0	0	9	3.3	0.6
PZE-101195784	1	109	131.8	1	0	1	0	0	6.4	-6.8	2.1
PZE-102006385	2	7	9.6	1	0	1	0	0	6.4	0.9	0.9
PZE-102007615	2	8	11.5	2	0	0	0	2	3.9	-3.8	2
PZE-103102119	3	50	65.1	3	0	0	0	3	4.7	3.9	0.2
PZE-103102810	3	51	66.6	1	0	1	0	0	7.6	-2.2	1.3
PZE-103103362	3	52	67.4	11	0	2	0	9	5.3	0.4	0.9
PZE-103110852	3	57	72.4	1	0	0	1	0	7.3	2.6	0.6
PZE-103114815	3	58	74.3	3	0	2	0	1	6.8	-2.3	1.3
PZE-103110684	3	59	75.8	5	0	5	0	0	9.3	-2.4	1.3
PZE-103111009	3	60	76.3	7	0	7	0	0	8.7	-3.2	1.4
PZE-103115657	3	61	77.7	1	0	1	0	0	8.4	-1.7	1.2
PZE-104098895	4	59	74.7	3	0	0	0	3	4.7	-1.2	1.3
PZE-104105055	4	68	84.5	6	0	2	0	4	5.2	0.8	0.8
PZE-104115259	4	81	99.8	1	0	1	0	0	6.1	4.6	0.2
PZE-105045399	5	38	56.1	1	0	0	0	1	4.1	-5.7	2.4
PZE-105177818	5	94	129.1	5	0	0	0	5	4.3	1.2	0.7
PZE-105180267	5	96	133.4	1	0	0	0	1	4.8	-0.4	1.1
PZE-105181381	5	97	134.6	1	0	1	0	0	7.7	-3.7	1.5
PZE-106000112	6	1	0	5	0	4	0	1	15.3	-0.6	1
PZE-106006805	6	6	6.8	1	0	1	0	0	16.5	-6.2	1.4
PZE-106020123	6	8	10	2	0	2	0	0	13	9.3	0.3
PZE-106032478	6	12	14.5	1	0	1	0	0	17.4	-0.3	1
PZE-106036314	6	13	15.1	7	0	7	0	0	16.6	7.7	0.5
PZE-106038001	6	15	16.9	8	0	8	0	0	15.9	6	0.6
PZE-106041256	6	16	18.7	1	0	1	0	0	14.7	15.5	-0.1
PZE-106041852	6	17	19.4	18	0	18	0	0	17.7	8.9	0.5
PZE-106046440	6	21	24.8	35	0	24	2	9	14.8	11	0.3
PZE-106046852	6	22	25.3	16	0	16	0	0	15.8	12.7	0.2
PZE-106048055	6	23	26.7	5	0	5	0	0	16	0	1
PZE-106050123	6	25	28.9	1	0	1	0	0	13.3	6.4	0.5
PZE-106077504	6	49	58.8	1	0	1	0	0	8.4	-1	1.1
PZE-107072440	7	47	64	1	0	1	0	0	12.7	0.7	0.9
PZE-107077770	7	52	69.8	4	0	1	0	3	9.7	6.6	0.3
PZE-107078697	7	53	70.9	16	0	7	1	8	10.6	7.3	0.3
PZE-107083379	7	54	72.7	6	0	0	0	6	11.3	0.8	0.9
PZE-107085004	7	57	75.5	50	0	23	21	6	11.9	6.9	0.4
PZE-107094413	7	58	77.5	3	0	1	0	2	10.5	10	0
PZE-107093971	7	59	77.8	1	0	0	0	1	9.5	-2.3	1.2
PZE-107093165	7	60	79	1	0	1	0	0	10.6	9	0.2
PZE-107102135	7	61	80.1	1	0	0	0	1	10.1	-0.5	1
PZE-107109757	7	65	84.7	2	0	2	0	0	12.5	-4.8	1.4
PZE-107116723	7	69	91.6	1	0	0	0	1	13.3	-7.1	1.5
PZE-107118905	7	70	92.9	14	0	4	5	5	10.9	1.9	0.8
PZE-107133704	7	88	119.2	1	0	0	0	1	4.1	1.8	0.6
PZE-108012648	8	23	29.4	1	0	1	0	0	7.5	-2.2	1.3
PZE-108017470	8	28	37	1	0	0	1	0	12.7	0	1
PZE-108018114	8	29	38.7	4	0	4	0	0	10.6	-0.1	1
PZE-108019862	8	30	39.3	32	0	32	0	0	11.1	6	0.5
PZE-108020824	8	31	41.2	7	0	7	0	0	11	8.8	0.2
PZE-108022547	8	32	42.6	1	0	1	0	0	8.5	5.4	0.4
PZE-108030712	8	34	44.9	30	0	10	19	1	10.9	3.9	0.6
PZE-108042918	8	36	46.2	5	0	5	0	0	12	3.5	0.7
PZE-108045901	8	37	47.4	3	0	3	0	0	11.2	5.2	0.5
PZE-108053798	8	38	49.4	4	0	4	0	0	11.3	6	0.5
PZE-108054494	8	39	50.5	4	0	0	4	0	5.2	1.6	0.7
PZE-108074608	8	54	67.4	1	0	1	0	0	7.9	-6.5	1.8
PZA03395.3	8	56	69.9	2	0	1	0	1	5.7	-1.7	1.3
PZE-109010017	9	21	26.9	1	0	0	1	0	5.7	0	1
PZE-109020162	9	33	42.4	1	0	0	0	1	5.3	0.1	1
PZE-109055211	9	41	52.3	1	0	0	0	1	4.6	-2.2	1.5
PZE-109061069	9	43	53.9	1	0	1	0	0	8	-0.6	1.1
PZE-109071755	9	48	59.8	2	0	0	2	0	7.6	0	1
PZE-109073134	9	50	62	1	0	0	0	1	5.7	0.2	1
PZE-109076739	9	51	63.9	1	0	0	0	1	6.5	-8.2	2.3
PZE-109080626	9	52	64.9	1	0	0	0	1	10.5	2.7	0.7
PZB01432.2	9	53	65.7	13	0	0	4	9	5.7	3.3	0.4
PZE-109082825	9	54	66.4	1	0	0	1	0	9.7	0	1
PZE-109091272	9	57	70.4	3	0	3	0	0	8.9	-2.8	1.3
PZE-109093779	9	58	71.6	27	0	14	13	0	9.2	0.9	0.9
PZE-109092156	9	59	72.3	10	0	5	5	0	10.6	0.4	1
PZE-109096235	9	60	74.4	1	0	1	0	0	12.4	-14.6	2.2
PZE-109096003	9	61	74.6	1	0	1	0	0	8.4	-5.3	1.6
PZE-109104845	9	69	88.1	1	0	0	1	0	10.5	-12.3	2.2
PZE-109107539	9	73	92.3	2	0	0	2	0	6.7	0	1
PZE-110009173	10	14	25.8	12	0	11	1	0	10.5	1.8	0.8
