mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	0.164126663622336	1	-0.50967741772564	-0.346583630369462	0.256442939235596	-0.714870262197363	0.552208739954738
PZE-101000424	1	2	0.8	0.65593254982591	1	1	1	0.22083476843471	1	0.22083476843471
PZE-101000754	1	3	1.4	0.517866807536978	1	1	-0.3465836303694	0.220834768434727	1	0.220834768434727
PZE-101000169	1	4	1.5	0.517866807537163	1	1	-0.346583630369215	0.220834768434701	1	0.220834768434701
PZE-101001103	1	5	1.8	0.5178668075372	1	1	-0.346583630369138	0.220834768434718	1	0.220834768434718
PZE-101000659	1	6	1.9	0.517866807537299	1	1	-0.346583630369184	0.220834768434622	1	0.220834768434622
PZE-101001110	1	7	2.2	0.517241454009922	1	1	-0.346583630369261	0.221278806920266	1	0.221278806920266
PZE-101000431	1	8	2.3	0.51703118230913	1	1	-0.346583630354564	0.221428352209693	1	0.221428352209693
PZE-101000442	1	9	2.4	0.516820746017901	1	1	-0.346583630339387	0.2215781355807	1	0.2215781355807
PZE-101000530	1	10	2.5	0.516610150367031	1	1	-0.346583630324736	0.221728153718734	1	0.221728153718734
PZE-101001114	1	11	2.6	0.324951499417007	1	1	-0.346583630309497	0.221878403312766	-0.714870262197246	0.221878403312766
PZE-101001280	1	12	2.7	0.324789344023528	1	1	-0.346583481942894	0.222030495102069	-0.714870262197421	0.222030495102069
PZE-101000673	1	13	3	0.297646591660378	1	1	-0.342287377287976	0.250301998334395	-0.727120123144463	0.250301998334395
PZE-101002282	1	14	3.4	0.262289982770379	1	1	-0.337052540305153	0.294782999899009	-0.743769167892099	0.294782999899009
PZE-101002081	1	15	3.6	0.231187496653098	1	1	-0.334652861011996	1	-0.714474154033505	1
PZE-101001587	1	16	4.2	0.236526522785238	1	1	-0.328351756719995	1	-0.71446553547704	1
PZE-101001380	1	17	4.3	0.237315509952381	1	1	-0.327434802964002	1	-0.714461075188857	1
PZE-101001108	1	18	4.4	0.246527645017862	1	1	-0.326556360300267	1	-0.677638772735819	1
PZE-101003133	1	19	4.5	0.159931901449304	1	1	-0.325716549862909	0.583444727169455	-0.661508093937653	0.583444727169455
PZE-101003135	1	20	4.7	0.159465763152627	1	1	-0.324153207733652	0.589428037602134	-0.661507057475622	0.589428037602134
PZE-101003026	1	21	4.9	0.180906739590272	1	1	-0.32274533590028	0.511576519912023	-0.661507057371619	0.511576519912023
PZE-101003031	1	22	5.6	0.235245720027458	1	1	-0.319042566824298	0.380045842491972	-0.661507057823398	0.380045842491972
PZA00393.1	1	23	5.7	0.235735906252683	1	1	-0.31866838266644	0.379553961853184	-0.661507703001454	0.379553961853184
PZE-101003115	1	24	5.9	0.235871924244252	1	1	-0.318034961274346	0.380090571338118	-0.66150899336301	0.380090571338118
PZE-101002367	1	25	6	0.234468258558412	1	1	-0.317775393079113	0.380789392017424	-0.668023604194773	0.380789392017424
PZE-101005818	1	26	7.3	0.204205880982747	1	1	-0.317752143343419	0.414871314697572	-0.762191470095234	0.414871314697572
PZE-101004337	1	27	7.7	0.189130910428188	1	1	-0.317758013169748	0.452074410060964	-0.762196377626596	0.452074410060964
PZE-101005765	1	28	9.2	0.236606291246279	1	1	-0.317780043663686	1	-0.762214786564032	1
PZA01022.1	1	29	9.6	0.236600181911665	1	1	-0.317785920013418	1	-0.76221969427302	1
PZE-101009312	1	30	10.6	0.0895192949808215	1	1	1	1	-0.81373070727504	1
PZE-101007769	1	31	10.9	0.0895183920681515	1	1	1	1	-0.813732399049999	1
PZE-101009215	1	32	11.2	0.0895174890891358	1	1	1	1	-0.813734090952787	1
PZE-101010821	1	33	11.8	0.0895156831915182	1	1	1	1	-0.813737474655719	1
PZE-101009528	1	34	12.3	0.0864267527090169	1	-0.81954583458469	-0.81954583458469	-0.81954583458469	-0.81954583458469	-0.81954583458469
PZE-101009163	1	35	12.5	0.0864260342514761	1	-0.819547190368372	-0.819547190368372	-0.819547190368372	-0.819547190368372	-0.819547190368372
PZE-101010560	1	36	13	0.0614854491967649	1	-0.867989658332265	-0.867989658332265	-0.867989658332265	-0.867989658332265	-0.867989658332265
PZE-101010917	1	37	13.5	0.0614313305740395	1	-0.868097827636119	-0.868097827636119	-0.868097827636119	-0.868097827636119	-0.868097827636119
PZE-101012517	1	38	13.6	8.55305275642673e-05	1	-0.970442368643806	-0.948488204397448	0.865382078053955	0.813022419376557	-0.893477736327043
PZE-101014135	1	39	13.7	8.55731940090482e-05	1	-0.970442291614871	-0.948488257893629	0.865382585332266	0.812986737857161	-0.893476622140069
PZE-101014266	1	40	13.8	8.56158837874346e-05	1	-0.970442214585525	-0.948488311390566	0.865383092613089	0.812951054553251	-0.893475507948413
PZE-101011048	1	41	14	0.0125392376713665	1	-0.966991820778013	-0.966991820778013	-0.966991820778013	0.812879683734278	-0.966991820778013
PZE-101013802	1	42	15.2	0.0902025760731048	1	1	1	1	0.812451460882087	1
PZE-101014003	1	43	15.3	0.0902216469245986	1	1	1	1	0.81241578508694	1
PZE-101011906	1	44	15.7	0.0902979222935021	1	1	1	1	0.812273112603325	1
PZE-101013772	1	45	16.4	0.0564825187967247	1	1	0.878046429473287	1	0.878046429473287	1
PZE-101013713	1	46	16.9	0.0572079892309149	1	1	0.876580914692126	1	0.876580914692126	1
PZE-101017581	1	47	18.7	0.201385723305538	1	1	-0.628947328397211	-0.628947328397211	-0.628947328397211	-0.628947328397211
PZB01915.1	1	48	19.1	0.201886614978514	1	1	-0.628222352854932	-0.628222352854932	-0.628222352854932	-0.628222352854932
PZE-101017463	1	49	19.5	0.0865570323677137	1	1	-0.791123474216281	-0.791123474216281	-0.791123474216281	-0.566565367840579
PZE-101017580	1	50	19.6	0.0868976905170985	1	1	-0.791123161262035	-0.791123161262035	-0.791123161262035	-0.565640331367223
PZE-101017487	1	51	19.9	0.0923135638163983	1	1	-0.763719411011228	-0.763719411011228	-0.763719411011228	-0.562870036375175
PZE-101018404	1	52	20.6	0.104293378183102	1	1	-0.431270075891497	-0.431270075891497	0.757147043731524	-0.556442377604131
PZE-101018668	1	53	20.8	0.0491182330297877	1	1	-0.526748423409134	-0.608598321172709	0.757147043753966	-0.554617643098219
PZE-101018057	1	54	20.9	0.0498586980127488	1	1	-0.526747685816848	-0.603229054976103	0.75714704376613	-0.553707573105768
PZE-101017262	1	55	21	0.0489218229006144	1	1	-0.531984906615412	-0.605671560293274	0.757147043765851	-0.552799127383046
PZE-101018411	1	56	21.2	0.0515746584442131	1	1	-0.542635580489627	-0.610647695537597	-0.935240673973743	-0.935240673973743
PZE-101017187	1	57	21.3	0.0939633560591231	1	1	-0.673835510697177	-0.61318080516424	-0.673835510697177	-0.673835510697177
PZE-101019597	1	58	21.5	0.215993331245336	1	1	1	-0.608144339491457	1	1
PZE-101019781	1	59	21.6	0.217763024337149	1	1	1	-0.605671273148675	1	1
PZE-101018400	1	60	21.7	0.219518034288059	1	1	1	-0.60322865804522	1	1
PZE-101019727	1	61	21.8	0.219518209007208	1	1	1	-0.603228415362936	1	1
PZE-101019853	1	62	21.9	0.219518383730121	1	1	1	-0.603228172675522	1	1
PZE-101018206	1	63	22.5	0.274481528399789	1	1	-0.531518605804474	-0.531518605804474	-0.531518605804474	-0.531518605804474
PZE-101018567	1	64	22.9	0.275072439489601	1	1	-0.530795901104882	-0.530795901104882	-0.530795901104882	-0.530795901104882
PZE-101019726	1	65	23	0.276494120630994	1	1	-0.529061159457453	-0.529061159457453	-0.529061159457453	-0.529061159457453
PZE-101020844	1	66	23.4	0.236093832952001	1	1	-0.317001844181962	-0.317001844181962	0.769356768661928	-0.317001844181962
PZE-101021745	1	67	23.5	0.232504192365697	1	1	-0.319670926996105	-0.319670926996105	0.776716877764317	-0.319670926996105
PZE-101020456	1	68	23.6	0.228250878914117	1	1	-0.322471438933678	-0.322471438933678	0.788105951157269	-0.322471438933678
PZE-101018818	1	69	23.7	0.222626576017393	1	1	-0.325403015566504	-0.325403015566504	0.809480605518351	-0.325403015566504
PZE-101019538	1	70	24	0.207931880412214	1	1	-0.344711321943317	-0.344711321943317	0.79916913359062	-0.344711321943317
PZE-101022341	1	71	24.3	0.210045769107155	1	1	-0.343948029429922	-0.343948029429922	0.788969110543417	-0.343948029429922
PZE-101019557	1	72	24.4	0.206722861736093	1	1	-0.343697343935915	-0.343697343935915	0.8139156710577	-0.343697343935915
PZE-101021926	1	73	25.4	0.0659958454817717	1	1	-0.739957049855755	-0.659807343876166	-0.739957049855755	-0.659807343876166
PZE-101021455	1	74	25.7	0.0601105948116156	1	1	-0.753061511108875	-0.673233389576711	-0.753061511108875	-0.673233389576711
PZE-101020931	1	75	26.9	0.0386025006340014	1	1	-0.807424218926377	-0.73082346438998	-0.807424218926377	-0.73082346438998
PZE-101021308	1	76	27.6	0.0916544385283261	1	1	-0.809739940593811	-0.809739940593811	-0.809739940593811	-0.809739940593811
PZE-101024556	1	77	28.2	0.0246374527567711	1	1	-0.910109219808023	-0.910109219808023	0.750975585751039	-0.910109219808023
PZE-101026314	1	78	28.6	0.00957928552283437	1	1	-0.909453559092714	-0.909453559092714	0.859838912484772	-0.909453559092714
PZE-101024519	1	79	29.4	0.00544371351920425	1	1	0.890825950924869	-0.772702944658671	0.859877219830661	-0.772702944658671
PZE-101026621	1	80	29.6	0.00546790467527863	1	1	0.890828021638236	-0.772162808819307	0.859886796621555	-0.772162808819307
PZE-101026386	1	81	29.7	0.0054799190490563	1	1	0.890829057012066	-0.771895330699199	0.859891584800338	-0.771895330699199
PZE-101024452	1	82	30	0.00424856743571691	1	1	0.890832163106397	-0.771103383437403	0.923305885166138	-0.771103383437403
PZE-101027182	1	83	30.4	0.00158914000920821	1	1	0.932824671583801	1	-0.988350111439053	1
PZE-101027351	1	84	30.6	0.000765083726771082	1	1	0.954121025347962	1	-0.988346018739841	1
PZE-101027807	1	85	30.9	0.000110973766512536	1	1	0.98623919937428	1	-0.98833987969103	1
