mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH250	Mo17	W117	EC169	B73
PZE-101000083	1	1	0	0.238742327851066	1	-0.262864099391246	-0.615789677894238	0.726721745336454	0.772051091585672	0.147461251100135
PZE-101000161	1	2	0.1	0.469930257619053	1	-0.686562420531668	1	0.157166768578424	-0.686562420531668	0.157166768578424
PZE-101000344	1	3	0.7	0.304151627091847	1	-0.686907964691328	1	0.726721745336393	-0.686907964691328	0.147253024065957
PZE-101000424	1	4	0.8	0.307765043560691	1	-0.686957564263562	1	0.72672174533621	-0.686957564263562	0.145139580522075
PZE-101000370	1	5	1	0.504924673503323	1	-0.687044397201301	1	1	-0.687044397201301	0.141372090361498
PZE-101000754	1	6	1.4	0.51867666323974	1	-0.687249597842042	1	1	-0.687249597842042	0.135659503439119
PZE-101000169	1	7	1.5	0.521281536361976	1	-0.687300133744357	1	1	-0.687300133744357	0.134605719614143
PZE-101000256	1	8	1.7	0.525442785366367	1	-0.687409446753929	1	1	-0.687409446753929	0.132938569333054
PZE-101001094	1	9	1.8	0.317383553182671	1	-0.687110807391945	-0.843806105020985	-0.843806105020985	-0.687110807391945	0.132356444886141
PZE-101000659	1	10	1.9	0.0887535137895337	1	0.543474689366134	-0.842289537516456	-0.842289537516456	0.543474689366134	0.543474689366134
PZE-101001110	1	11	2.2	0.0886555898243377	1	0.54372269957894	-0.842283406596579	-0.842283406596579	0.54372269957894	0.54372269957894
PZE-101000431	1	12	2.3	0.091401349613963	1	0.54373336136628	-0.819185382522021	-0.819185382522021	0.54373336136628	0.54373336136628
PZE-101000442	1	13	2.4	0.0946240464956359	1	0.54351737993155	-0.796203069333866	-0.796203069333866	0.54351737993155	0.54351737993155
PZE-101000530	1	14	2.5	0.0982313014181733	1	0.543305664971943	-0.773372638040834	-0.773372638040834	0.543305664971943	0.543305664971943
PZE-101001114	1	15	2.6	0.102155216053353	1	0.543265764277564	-0.750726377378216	-0.750726377378216	0.543265764277564	0.543265764277564
PZE-101001280	1	16	2.7	0.106461559075317	1	0.543223453429154	-0.728302942360674	-0.728302942360674	0.543223453429154	0.543223453429154
PZE-101000673	1	17	3	0.178671113369416	1	1	-0.662718183209855	-0.662718183209855	1	1
PZE-101001107	1	18	3.1	0.192783810057625	1	1	-0.641528847439157	-0.641528847439157	1	1
PZE-101002282	1	19	3.4	0.289272955033518	1	-0.263272054860328	-0.344343669085374	0.891763809540016	0.600330944429007	0.178098742234357
PZE-101002081	1	20	3.6	0.291092345208961	1	-0.26219790685239	-0.344312934055747	0.891772234625204	0.633282191409173	0.171477587456503
PZE-101001587	1	21	4.2	0.464197783185516	1	1	-0.343401522898213	1	1	1
PZE-101001380	1	22	4.3	0.46419821960726	1	1	-0.343401177814814	1	1	1
PZE-101003133	1	23	4.5	0.21313051585689	1	1	-0.343400605224318	0.772202258482375	1	1
PZE-101003135	1	24	4.7	0.262970352357625	1	1	-0.343989407255083	0.769602071895595	1	0.283744763658916
PZE-101003026	1	25	4.9	0.263246043708535	1	1	-0.343988711519012	0.76733923850533	1	0.283748960268449
PZE-101003031	1	26	5.6	0.475825973193968	1	1	1	1	1	0.334328982666092
PZA00393.1	1	27	5.7	0.464157476925557	1	1	1	1	1	0.343433394989482
PZE-101003115	1	28	5.9	0.439949632426174	1	1	1	1	1	0.363120165416161
PZE-101002367	1	29	6	0.42746678704263	1	1	1	1	1	0.3737087039093
PZE-101005818	1	30	7.3	0.127287797311277	1	-0.268302411540257	-0.343465593323664	0.771551487852306	0.708246143628395	0.551925525175789
PZE-101006745	1	31	9.2	0.303469188697076	1	1	-0.497199646624521	-0.497199646624521	1	1
PZA01022.1	1	32	9.6	0.312672692679183	1	1	-0.486773926093297	-0.486773926093297	1	1
PZE-101009312	1	33	10.6	0.236838638909005	1	-0.147292114387418	-0.260947711863271	0.771581247897449	-0.723516049439207	0.639504079300928
PZE-101007769	1	34	10.9	0.2511699982954	1	-0.140856478222333	-0.256582298063712	0.771587101473791	-0.676233603638988	0.649315730221981
PZE-101009670	1	35	11	0.250728294856627	1	-0.138879888065355	-0.255482046320909	0.791263293244917	-0.68827620312681	0.652485199014698
PZE-101009215	1	36	11.2	0.0801217998477882	1	1	1	0.831530531906633	1	1
PZE-101010821	1	37	11.8	0.247269972907942	1	-0.125481138967607	-0.255101965122692	0.957950991031877	-0.791623022138688	0.679120413855924
PZE-101009528	1	38	12.3	0.562922678265759	1	-0.273575575655646	-0.273575575655646	1	-0.273575575655646	-0.273575575655646
PZE-101009163	1	39	12.5	0.560170810184022	1	-0.275314566445981	-0.275314566445981	1	-0.275314566445981	-0.275314566445981
PZE-101010560	1	40	13	0.572246886044061	1	-0.267764571441709	-0.267764571441709	1	-0.267764571441709	-0.267764571441709
PZE-101010917	1	41	13.5	0.702388552159254	1	-0.198431880369967	-0.198431880369967	1	-0.198431880369967	-0.198431880369967
PZE-101012517	1	42	13.6	0.279151835024467	1	-0.12011631710432	-0.266783215224202	-0.667387195062386	-0.634882955972907	0.744305642688485
