mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.0838690587830899	1	0.49182499055601	-0.600341961899948	-0.971056579288937	0.482797699566147	0.333697056514436
PZE-101000161	1	2	0.1	0.3098767120319	1	1	1	1	0.482797699565945	0.333696894160163
PZE-101000344	1	3	0.7	0.181907352367198	1	1	-0.671381809681351	-0.671381809681351	0.482797699566223	0.333697072626056
PZE-101000424	1	4	0.8	0.18189092730347	1	1	-0.671476743466888	-0.671476743466888	0.482797699566273	0.333696922926757
PZE-101000370	1	5	1	0.181891097071022	1	1	-0.671476762458209	-0.671476762458209	0.482797699565844	0.333696623511492
PZE-101000754	1	6	1.4	0.181891436625547	1	1	-0.671476800440221	-0.671476800440221	0.482797699566021	0.333696024648178
PZE-101000169	1	7	1.5	0.181891521617388	1	1	-0.671476809343095	-0.671476809343095	0.482797699565566	0.333695874932629
PZE-101000256	1	8	1.7	0.181891691595934	1	1	-0.671476827149333	-0.671476827149333	0.482797699565996	0.333695575509799
PZE-101001103	1	9	1.8	0.181891776581713	1	1	-0.671476836051523	-0.671476836051523	0.482797699565869	0.33369542580506
PZE-101000659	1	10	1.9	0.181891869302905	1	1	-0.671476800449799	-0.671476800449799	0.482797699566172	0.333695276106366
PZE-101001110	1	11	2.2	0.184499492832665	1	1	-0.671476800438804	-0.671476800438804	0.482797699566097	0.329230365175132
PZE-101000431	1	12	2.3	0.181891350963055	1	1	-0.671476800264632	-0.671476800264632	0.482797699565642	0.333696172899028
PZE-101000442	1	13	2.4	0.181891091536025	1	1	-0.671476800091145	-0.671476800091145	0.482797699565945	0.333696621765553
PZE-101000530	1	14	2.5	0.10775905316239	1	1	0.951420687059184	0.951420687059184	0.48279769956592	0.951420687059184
PZE-101001114	1	15	2.6	0.107758977379866	1	1	0.951422968181493	0.951422968181493	0.482797699566147	0.951422968181493
PZE-101001280	1	16	2.7	0.107758964477553	1	1	0.951423356564032	0.951423356564032	0.482797699566147	0.951423356564032
PZE-101000673	1	17	3	0.106955586693606	1	1	0.997295612391674	0.997295612391674	0.482797699566198	0.997295612391674
PZE-101001107	1	18	3.1	0.107003854438019	1	1	0.987801199384302	0.987801199384302	0.482797699565895	0.987801199384302
PZE-101002282	1	19	3.4	0.10751198151413	1	1	0.959538720520612	0.959538720520612	0.48279769956597	0.959538720520612
PZE-101002081	1	20	3.6	0.10775742802558	1	1	0.951469628834055	0.951469628834055	0.482797699566021	0.951469628834055
PZE-101001380	1	21	4.3	0.303884623850134	1	1	1	1	0.496724265381802	1
PZE-101003133	1	22	4.5	0.299799333182158	1	1	1	1	0.501418861911241	1
PZE-101003135	1	23	4.7	0.434737363150674	1	1	1	1	0.506453527890951	0.211569773947658
PZE-101003026	1	24	4.9	0.432333675998638	1	1	1	1	0.511839038838428	0.211567941437545
PZE-101003031	1	25	5.6	0.804163203088516	1	1	1	1	1	0.156977279013501
PZA00393.1	1	26	5.7	0.821760551585034	1	1	1	1	1	0.150743796355799
PZE-101003115	1	27	5.9	0.855697484463998	1	1	1	1	1	0.139412756912683
PZE-101002367	1	28	6	0.871926530117877	1	1	1	1	1	0.134299213678152
PZE-101005818	1	29	7.3	1.01823034078182	1	1	1	1	1	0.095889192024492
PZE-101006745	1	30	9.2	0.973998459324264	1	1	1	1	1	0.106169932360966
PZA01022.1	1	31	9.6	0.95665688387561	1	1	1	1	1	0.110495124637851
PZE-101009312	1	32	10.6	0.901498444923308	1	1	1	1	1	0.125458923015311
PZE-101007769	1	33	10.9	0.881964932547851	1	1	1	1	1	0.131230585791787
PZE-101009215	1	34	11.2	0.861238401628596	1	1	1	1	1	0.137645367094116
PZE-101010821	1	35	11.8	0.816728096174266	1	1	1	1	1	0.152500723409011
PZE-101009528	1	36	12.3	0.146165544493352	1	-0.885115094548703	-0.364099402962355	-0.740952234717722	0.833173724936643	0.167030860586376
PZE-101009163	1	37	12.5	0.139806484456619	1	-0.925459169693971	-0.364094282295099	-0.740950764287204	0.833542855030661	0.173403439201275
PZE-101010560	1	38	13	0.137653971650248	1	-0.728359901238185	-0.728359901238185	-0.728359901238185	1	-0.728359901238185
PZE-101010917	1	39	13.5	0.223539060197129	1	-0.597669288237622	-0.597669288237622	-0.597669288237622	1	-0.597669288237622
PZE-101012517	1	40	13.6	0.25162252653593	1	-0.316722435025662	-0.250978288802407	-0.887103920306952	0.838273451735706	0.214166079166456
PZE-101014135	1	41	13.7	0.881149236668729	1	-0.13147729589569	-0.13147729589569	1	1	1
PZE-101014266	1	42	13.8	0.871817247553166	1	-0.134333011964396	-0.134333011964396	1	1	1
PZE-101011048	1	43	14	0.411649764319248	1	-0.140290860866362	-0.140290860866362	-0.887100013190379	0.361840748357103	0.361840748357103
PZE-101013802	1	44	15.2	0.0278362080377236	1	1	0.835653408795779	-0.770432914413234	0.835653408795779	0.835653408795779
PZE-101014003	1	45	15.3	0.0209568733356219	1	-0.949322052183569	-0.949322052183569	-0.761059824761052	-0.949322052183569	-0.949322052183569
PZE-101011906	1	46	15.7	0.378101366674328	1	1	1	-0.72467408375693	1	0.203487825277984
PZE-101015469	1	47	16.2	0.459501678458075	1	-0.47919828201587	-0.47919828201587	-0.47919828201587	-0.47919828201587	0.203734929007004
PZE-101013772	1	48	16.4	0.176219219289061	1	1	1	-0.666470269384018	1	1
PZE-101013713	1	49	16.9	0.225683266917784	1	-0.51677243146089	-0.305004115175481	-0.630036324590158	0.53455881079391	0.205817157018152
PZE-101015471	1	50	17.3	0.20190257182571	1	-0.507630792318137	-0.313200093453728	-0.636603411462592	0.535827030928022	0.235785729019283
PZE-101017581	1	51	18.7	0.177343537466234	1	1	-0.802500356451741	1	-0.802500356451741	0.385168351661148
PZE-101017779	1	52	19	0.151489322734553	1	1	-0.798921982638587	1	-0.798921982638587	0.426351907385874
PZB01915.1	1	53	19.1	0.151660124190335	1	1	-0.797727459207334	1	-0.797727459207334	0.426353329225498
PZE-101017463	1	54	19.5	0.152355574560636	1	1	-0.792941587007323	1	-0.792941587007323	0.426359017638898
PZE-101017580	1	55	19.6	0.152532492927825	1	1	-0.791743342018068	1	-0.791743342018068	0.426360439949435
PZE-101018214	1	56	19.7	0.152710630993576	1	1	-0.790544453999084	1	-0.790544453999084	0.426361862319867
PZE-101017487	1	57	19.9	0.153070559919363	1	1	-0.788144885844084	1	-0.788144885844084	0.426364707195789
PZE-101018516	1	58	20.1	0.153435347370042	1	1	-0.785743158275314	1	-0.785743158275314	0.426367552175537
PZE-101018023	1	59	20.3	0.153804977175844	1	1	-0.783339549789786	1	-0.783339549789786	0.426370397167836
PZE-101018404	1	60	20.6	0.154368460448313	1	1	-0.779731225995821	1	-0.779731225995821	0.426374664481603
PZE-101018668	1	61	20.8	0.154750110745526	1	1	-0.777324150587537	1	-0.777324150587537	0.426377509107666
PZE-101018057	1	62	20.9	0.154942725524878	1	1	-0.776120262480468	1	-0.776120262480468	0.426378931311857
PZE-101017262	1	63	21	0.155136529145425	1	1	-0.774916188854248	1	-0.774916188854248	0.426380353428083
PZE-101018616	1	64	21.1	0.155331518243096	1	1	-0.77371196593346	1	-0.77371196593346	0.426381775445225
PZE-101018411	1	65	21.2	0.155527689309766	1	1	-0.77250763006862	1	-0.77250763006862	0.426383197351895
PZE-101017187	1	66	21.3	0.15567299413652	1	1	-0.771623928439914	1	-0.771623928439914	0.426383197493941
PZE-101018868	1	67	21.4	0.155880511421925	1	1	-0.770368442876716	1	-0.770368442876716	0.426383197348508
PZE-101019597	1	68	21.5	0.156090030685009	1	1	-0.76911375754943	1	-0.76911375754943	0.426381741436528
