mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH250	Mo17	W117	EC169	B73
PZE-101000083	1	1	0	0.0487465827031081	NA	0.718881156114531	-0.519989245089255	0.827174460042506	0.831714755806357	0.313226354512307
PZE-101000161	1	2	0.1	0.222527967471665	NA	0.694571578778787	NA	0.351085217984226	0.694571578778787	0.351085217984226
PZE-101000344	1	3	0.7	0.126845730964052	NA	0.694791938705152	NA	0.826795766635262	0.694791938705152	0.312146638366697
PZE-101000424	1	4	0.8	0.129916106120212	NA	0.694765096052026	NA	0.826790461068082	0.694765096052026	0.307009596504881
PZE-101000370	1	5	1	0.270309276719629	NA	0.694317927632531	NA	NA	0.694317927632531	0.296673366692505
PZE-101000754	1	6	1.4	0.287597746005362	NA	0.694208474635453	NA	NA	0.694208474635453	0.279707505515366
PZE-101000169	1	7	1.5	0.291586553444185	NA	0.69418069286964	NA	NA	0.69418069286964	0.275969467556597
PZE-101000256	1	8	1.7	0.299104535840353	NA	0.694126019545181	NA	NA	0.694126019545181	0.269093525354145
PZE-101001094	1	9	1.8	0.166592178960757	NA	0.694464325083396	-0.738132513475253	-0.738132513475253	0.694464325083396	0.266554282602561
PZE-101000659	1	10	1.9	0.230033678687079	NA	0.330688973987672	-0.737934209009359	-0.737934209009359	0.330688973987672	0.330688973987672
PZE-101001110	1	11	2.2	0.232327721921244	NA	0.328009005042915	-0.737924652617978	-0.737924652617978	0.328009005042915	0.328009005042915
PZE-101000431	1	12	2.3	0.233459126523632	NA	0.331195699137526	-0.718711237858753	-0.718711237858753	0.331195699137526	0.331195699137526
PZE-101000442	1	13	2.4	0.23782729751779	NA	0.33092233842251	-0.699683039340854	-0.699683039340854	0.33092233842251	0.33092233842251
PZE-101000530	1	14	2.5	0.242472599659967	NA	0.330649052858447	-0.68086851075313	-0.68086851075313	0.330649052858447	0.330649052858447
PZE-101001114	1	15	2.6	0.247170618533373	NA	0.330635109638723	-0.662286785535908	-0.662286785535908	0.330635109638723	0.330635109638723
PZE-101001280	1	16	2.7	0.252139050119604	NA	0.330617175728795	-0.643962838004345	-0.643962838004345	0.330617175728795	0.330617175728795
PZE-101000673	1	17	3	0.228627185285023	NA	NA	-0.590707948499958	-0.590707948499958	NA	NA
PZE-101001107	1	18	3.1	0.241390253366184	NA	NA	-0.573600797707047	-0.573600797707047	NA	NA
PZE-101002282	1	19	3.4	0.181293659403734	NA	0.717794382296541	-0.293778827567575	0.86314939774787	0.586124958569088	0.192325706756749
PZE-101002081	1	20	3.6	0.197335809833177	NA	0.683946026788355	-0.293669029815626	0.863121546838172	0.544837586911905	0.185806967052585
PZE-101001587	1	21	4.2	0.533851064671617	NA	NA	-0.292515534771135	NA	NA	NA
PZE-101001380	1	22	4.3	0.533851724878051	NA	NA	-0.29251509009477	NA	NA	NA
PZE-101003133	1	23	4.5	0.248538749717034	NA	NA	-0.293169981073854	0.845322022161121	NA	NA
PZE-101003135	1	24	4.7	0.281757390978129	NA	NA	-0.293099976162623	0.85551056911571	NA	0.292920179865661
PZE-101003026	1	25	4.9	0.280986142318657	NA	NA	-0.293102344308417	0.866171359916656	NA	0.292925326596757
PZE-101003031	1	26	5.6	0.581400309300246	NA	NA	NA	NA	NA	0.262180079428911
PZA00393.1	1	27	5.7	0.586845741593767	NA	NA	NA	NA	NA	0.25891323938257
PZE-101003115	1	28	5.9	0.59651570104125	NA	NA	NA	NA	NA	0.253212008993012
PZE-101002367	1	29	6	0.600701814802288	NA	NA	NA	NA	NA	0.250783053044781
PZE-101005818	1	30	7.3	0.261061360020385	NA	0.548072225650924	-0.29325340916797	-0.991347183293668	0.276110706695942	0.245224267669614
PZE-101006745	1	31	9.2	0.440152347298742	NA	NA	-0.362950712005108	-0.362950712005108	NA	NA
PZA01022.1	1	32	9.6	0.454926341993983	NA	NA	-0.350811367857644	-0.350811367857644	NA	NA
PZE-101009312	1	33	10.6	0.192065958028489	NA	0.923375175738158	-0.188116642834265	-0.991338341337558	0.448536652703718	0.305904424206531
PZE-101007769	1	34	10.9	0.186590700460663	NA	0.961290797103088	-0.182347424828555	-0.991337733504869	0.47086065237375	0.314933629729229
PZE-101009670	1	35	11	0.196965598428696	NA	0.973902338870653	-0.173253633337405	-0.987107853009255	0.454935958449149	0.318003222119478
PZE-101009215	1	36	11.2	0.00942026645091583	NA	NA	NA	-0.978542592139596	NA	NA
PZE-101010821	1	37	11.8	0.290067419997128	NA	-0.926467830138057	-0.116863634065057	-0.95235369900008	0.346281052127067	0.34506219997603
PZE-101009528	1	38	12.3	0.0604731966916162	NA	0.870015126043446	0.870015126043446	NA	0.870015126043446	0.870015126043446
PZE-101009163	1	39	12.5	0.0571393737900421	NA	0.876719419186374	0.876719419186374	NA	0.876719419186374	0.876719419186374
PZE-101010560	1	40	13	0.0356507626310847	NA	0.921190047821106	0.921190047821106	NA	0.921190047821106	0.921190047821106
PZE-101010917	1	41	13.5	0.0711990260613197	NA	-0.84879140648493	-0.84879140648493	NA	-0.84879140648493	-0.84879140648493
PZE-101012517	1	42	13.6	0.336581976914631	NA	-0.561665566430899	-0.0876484387604866	-0.87560998621813	0.398435041491167	0.422136302206621
PZE-101014135	1	43	13.7	0.343467222781973	NA	-0.548991029562755	-0.0876234564969822	-0.81863412395817	0.398400726060882	0.420251483729161
