mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000344	1	1	0.7	0.463172043616443
PZE-101000424	1	2	0.8	1.09600417931117
PZE-101000754	1	3	1.4	1.09600417931117
PZE-101000169	1	4	1.5	0.463172043616443
PZE-101001103	1	5	1.8	1.09600417931117
PZE-101000659	1	6	1.9	0.398618944152318
PZE-101001110	1	7	2.2	0.398618944152318
PZE-101000431	1	8	2.3	0.463172043616443
PZE-101000442	1	9	2.4	0.463172043616443
PZE-101000530	1	10	2.5	0.463172043616443
PZE-101001114	1	11	2.6	0.398618944152318
PZE-101001280	1	12	2.7	0.188755803840428
PZE-101000673	1	13	3	0.463172043616443
PZE-101002282	1	14	3.4	0.47857007266296
PZE-101002081	1	15	3.6	0.155941529515175
PZE-101001587	1	16	4.2	0.2208166210683
PZE-101001380	1	17	4.3	0.524372671401891
PZE-101001108	1	18	4.4	0.463172043616443
PZE-101003133	1	19	4.5	0.807062536053209
PZE-101003135	1	20	4.7	0.807062536053209
PZE-101003026	1	21	4.9	0.645473937592005
PZE-101003031	1	22	5.6	0.0493109962464971
PZA00393.1	1	23	5.7	0.305785419944606
PZE-101003115	1	24	5.9	0.0493109962464971
PZE-101002367	1	25	6	0.703997673249207
PZE-101005818	1	26	7.3	0.42264456549403
PZE-101004337	1	27	7.7	0.174458412626152
PZE-101005765	1	28	9.2	0.108943367388711
PZA01022.1	1	29	9.6	0.0225856129452388
PZE-101009312	1	30	10.6	0.0376978755970645
PZE-101007769	1	31	10.9	0.522392446927971
PZE-101009215	1	32	11.2	0.0066871186629668
PZE-101010821	1	33	11.8	0.0376978755970645
PZE-101009528	1	34	12.3	0.215546978653738
PZE-101009163	1	35	12.5	0.215546978653738
PZE-101010560	1	36	13	0.284034620903343
PZE-101010917	1	37	13.5	0.284034620903343
PZE-101012517	1	38	13.6	0.132604080435471
PZE-101014135	1	39	13.7	0.36933945115526
PZE-101014266	1	40	13.8	0.36933945115526
PZE-101011048	1	41	14	0.365106415825132
PZE-101013802	1	42	15.2	0.368318595236203
PZE-101014003	1	43	15.3	0.248667022677346
PZE-101011906	1	44	15.7	0.219474107345018
PZE-101013772	1	45	16.4	0.224611948122638
PZE-101013713	1	46	16.9	0.232500108557751
PZE-101017581	1	47	18.7	0.234285036247028
PZB01915.1	1	48	19.1	0.263293574586968
PZE-101017463	1	49	19.5	0.218667960064791
PZE-101017580	1	50	19.6	0.218667960064791
PZE-101017487	1	51	19.9	0.0718689187211895
PZE-101018404	1	52	20.6	0.0413910059754827
PZE-101018668	1	53	20.8	0.377674505862457
PZE-101018057	1	54	20.9	0.301310189055572
PZE-101017262	1	55	21	0.263293574586968
PZE-101018411	1	56	21.2	0.179386406219012
PZE-101017187	1	57	21.3	0.241711959983124
PZE-101019597	1	58	21.5	0.438606684765411
PZE-101019781	1	59	21.6	0.405508462216834
PZE-101018400	1	60	21.7	0.415780700639367
PZE-101019727	1	61	21.8	0.405508462216834
PZE-101019853	1	62	21.9	0.405508462216834
PZE-101018206	1	63	22.5	0.308778776172872
PZE-101018567	1	64	22.9	0.308778776172872
PZE-101019726	1	65	23	0.352906129294608
PZE-101020844	1	66	23.4	0.0796443903725483
PZE-101021745	1	67	23.5	0.177394082127852
PZE-101020456	1	68	23.6	0.182970063096904
PZE-101018818	1	69	23.7	0.299080479205955
PZE-101019538	1	70	24	0.276775374126928
PZE-101022341	1	71	24.3	0.177394082127852
PZE-101019557	1	72	24.4	0.160193519325663
PZE-101021926	1	73	25.4	0.340896369464051
PZE-101021455	1	74	25.7	0.340896369464051
PZE-101020931	1	75	26.9	0.1444760926845
PZE-101021308	1	76	27.6	0.0974760274432953
PZE-101024556	1	77	28.2	0.0602433883947684
PZE-101026314	1	78	28.6	0.0499150297244295
