"mk.id" "chr" "cM"
"3727" "PZE-101000083" 1 0
"3728" "PZE-101000088" 1 0
"3733" "PZE-101000161" 1 0.1
"3742" "PZE-101000344" 1 0.7
"3744" "PZE-101000349" 1 0.8
"3748" "PZE-101000424" 1 0.8
"3747" "PZE-101000370" 1 1
"3751" "PZE-101000449" 1 1.4
"3753" "PZE-101000451" 1 1.4
"3762" "PZE-101000754" 1 1.4
"3761" "PZE-101000740" 1 1.4
"3735" "PZE-101000169" 1 1.5
"3739" "PZE-101000256" 1 1.7
"3768" "PZE-101001094" 1 1.8
"3769" "PZE-101001103" 1 1.8
"3758" "PZE-101000659" 1 1.9
"3772" "PZE-101001110" 1 2.2
"3766" "PZE-101001044" 1 2.2
"3749" "PZE-101000431" 1 2.3
"3750" "PZE-101000442" 1 2.4
"3754" "PZE-101000530" 1 2.5
"3773" "PZE-101001114" 1 2.6
"3774" "PZE-101001115" 1 2.6
"3777" "PZE-101001280" 1 2.7
"3763" "PZE-101000760" 1 2.7
"3760" "PZE-101000673" 1 3
"3770" "PZE-101001107" 1 3.1
"3775" "PZE-101001116" 1 3.1
"3783" "PZE-101002282" 1 3.4
"3782" "PZE-101002081" 1 3.6
"3778" "PZE-101001320" 1 3.6
"3781" "PZE-101001587" 1 4.2
"3780" "PZE-101001380" 1 4.3
"3790" "PZE-101003133" 1 4.5
"3785" "PZE-101002887" 1 4.7
"3791" "PZE-101003135" 1 4.7
"3787" "PZE-101003026" 1 4.9
"3788" "PZE-101003031" 1 5.6
"2324" "PZA00393.1" 1 5.7
"3789" "PZE-101003115" 1 5.9
"3784" "PZE-101002367" 1 6
"3805" "PZE-101005818" 1 7.3
"3804" "PZE-101005806" 1 7.3
"3800" "PZE-101005032" 1 7.8
"3806" "PZE-101005831" 1 7.9
"3807" "PZE-101006745" 1 9.2
"2488" "PZA01022.1" 1 9.6
"3815" "PZE-101009312" 1 10.6
"3809" "PZE-101007769" 1 10.9
"3819" "PZE-101009670" 1 11
"3813" "PZE-101009215" 1 11.2
"3822" "PZE-101010821" 1 11.8
"3816" "PZE-101009528" 1 12.3
"3812" "PZE-101009163" 1 12.5
"3820" "PZE-101010560" 1 13
"3823" "PZE-101010917" 1 13.5
"3831" "PZE-101012517" 1 13.6
"3840" "PZE-101014135" 1 13.7
"3841" "PZE-101014266" 1 13.8
"3824" "PZE-101011048" 1 14
"3838" "PZE-101013818" 1 14.9
"3839" "PZE-101014003" 1 15.3
"3830" "PZE-101011906" 1 15.7
"3845" "PZE-101015469" 1 16.2
"3836" "PZE-101013772" 1 16.4
"3835" "PZE-101013713" 1 16.9
"3846" "PZE-101015471" 1 17.3
"3859" "PZE-101017581" 1 18.7
"3860" "PZE-101017779" 1 19
"3392" "PZB01915.1" 1 19.1
"3856" "PZE-101017463" 1 19.5
"3858" "PZE-101017580" 1 19.6
"3864" "PZE-101018111" 1 19.7
"3868" "PZE-101018214" 1 19.7
"3869" "PZE-101018261" 1 19.7
"3857" "PZE-101017487" 1 19.9
"3875" "PZE-101018516" 1 20.1
"3862" "PZE-101018023" 1 20.3
"3872" "PZE-101018404" 1 20.6
"3879" "PZE-101018668" 1 20.8
"3863" "PZE-101018057" 1 20.9
"3887" "PZE-101019334" 1 21
"3854" "PZE-101017262" 1 21
"3878" "PZE-101018616" 1 21.1
"3873" "PZE-101018411" 1 21.2
"3853" "PZE-101017187" 1 21.3
"3885" "PZE-101018868" 1 21.4
"3893" "PZE-101019597" 1 21.5
"3899" "PZE-101019781" 1 21.6
"3898" "PZE-101019767" 1 21.6
"3870" "PZE-101018356" 1 21.7
"3871" "PZE-101018400" 1 21.7
"3896" "PZE-101019727" 1 21.8
"3901" "PZE-101019853" 1 21.9
"3867" "PZE-101018206" 1 22.5
"3877" "PZE-101018567" 1 22.9
"3910" "PZE-101021479" 1 22.9
"3895" "PZE-101019726" 1 23
"3918" "PZE-101021986" 1 23.1
"3916" "PZE-101021930" 1 23.6
"3903" "PZE-101020456" 1 23.6
"3883" "PZE-101018818" 1 23.7
"3891" "PZE-101019538" 1 24
"3890" "PZE-101019537" 1 24
"3920" "PZE-101022341" 1 24.3
"3892" "PZE-101019557" 1 24.4
"3915" "PZE-101021926" 1 25.4
"3909" "PZE-101021455" 1 25.7
"3928" "PZE-101024131" 1 25.9
"3930" "PZE-101024424" 1 26.4
"3905" "PZE-101020931" 1 26.9
"3938" "PZE-101024808" 1 26.9
"3939" "PZE-101024809" 1 26.9
"3937" "PZE-101024779" 1 27.6
"3908" "PZE-101021308" 1 27.6
"3940" "PZE-101025101" 1 27.7
"3933" "PZE-101024556" 1 28.2
"3948" "PZE-101026314" 1 28.6
"3955" "PZE-101026882" 1 29.1
"3932" "PZE-101024519" 1 29.4
"3967" "PZE-101027798" 1 29.5
"3969" "PZE-101027831" 1 29.5
"3953" "PZE-101026621" 1 29.6
"3949" "PZE-101026386" 1 29.7
"3963" "PZE-101027475" 1 29.8
"3931" "PZE-101024452" 1 30
"3958" "PZE-101027182" 1 30.4
"3957" "PZE-101027158" 1 30.4
"3960" "PZE-101027351" 1 30.6
"3968" "PZE-101027807" 1 30.9
"3251" "PZB00718.5" 1 31.1
"3983" "PZE-101029689" 1 31.3
"3987" "PZE-101029759" 1 31.4
"3947" "PZE-101026218" 1 31.5
"3946" "PZE-101026206" 1 31.5
"3972" "PZE-101028121" 1 31.6
"3988" "PZE-101029820" 1 31.8
"3991" "PZE-101029991" 1 31.8
"3974" "PZE-101028242" 1 31.9
"3943" "PZE-101026095" 1 32
"3944" "PZE-101026096" 1 32
"3981" "PZE-101029587" 1 32.1
"3984" "PZE-101029707" 1 32.2
"4000" "PZE-101030263" 1 32.3
"4001" "PZE-101030280" 1 32.3
"3996" "PZE-101030221" 1 32.3
"3998" "PZE-101030258" 1 32.3
"3986" "PZE-101029748" 1 32.4
"4002" "PZE-101030300" 1 32.4
"4003" "PZE-101030302" 1 32.4
"4012" "PZE-101030925" 1 32.7
"3999" "PZE-101030261" 1 33.1
"3975" "PZE-101028351" 1 33.1
"3971" "PZE-101028104" 1 33.4
"4017" "PZE-101031146" 1 33.7
"4019" "PZE-101031377" 1 33.9
"4032" "PZE-101032517" 1 34
"4035" "PZE-101032704" 1 34.1
"3997" "PZE-101030251" 1 34.3
"3979" "PZE-101029123" 1 34.4
"4011" "PZE-101030875" 1 34.5
"4036" "PZE-101032815" 1 34.5
"4037" "PZE-101032822" 1 34.5
"4009" "PZE-101030692" 1 34.5
"3978" "PZE-101028930" 1 34.7
"3995" "PZE-101030220" 1 35
"4041" "PZE-101032948" 1 35.1
"3985" "PZE-101029737" 1 35.1
"4016" "PZE-101031077" 1 35.2
"3992" "PZE-101030022" 1 35.4
"4047" "PZE-101032991" 1 35.7
"4024" "PZE-101032015" 1 35.7
"4046" "PZE-101032978" 1 35.7
"4006" "PZE-101030561" 1 35.8
"3994" "PZE-101030211" 1 35.8
"4021" "PZE-101031636" 1 35.9
"2305" "PZA00358.12" 1 36
"4028" "PZE-101032249" 1 36.1
"4027" "PZE-101032246" 1 36.1
"4022" "PZE-101031655" 1 36.1
"4056" "PZE-101033801" 1 36.3
"4062" "PZE-101034101" 1 36.5
"4061" "PZE-101034091" 1 36.5
"4060" "PZE-101034085" 1 36.5
"4007" "PZE-101030616" 1 36.6
"4051" "PZE-101033184" 1 36.7
"4068" "PZE-101034578" 1 37
"4042" "PZE-101032956" 1 37
"4045" "PZE-101032974" 1 37.1
"4048" "PZE-101033005" 1 37.1
"4044" "PZE-101032973" 1 37.1
"4053" "PZE-101033613" 1 37.2
"4050" "PZE-101033119" 1 37.3
"4070" "PZE-101035105" 1 37.3
"4071" "PZE-101035119" 1 37.4
"3554" "PZD00098.2" 1 37.7
"3555" "PZD00098.3" 1 37.7
"4052" "PZE-101033489" 1 37.7
"4069" "PZE-101035008" 1 37.8
"4025" "PZE-101032230" 1 37.8
"4026" "PZE-101032231" 1 37.8
"4080" "PZE-101036310" 1 37.9
"4083" "PZE-101036345" 1 38
"3553" "PZD00096.1" 1 38.3
"4054" "PZE-101033622" 1 38.5
"4086" "PZE-101036609" 1 38.6
"4065" "PZE-101034427" 1 38.7
"4079" "PZE-101036305" 1 38.8
"4074" "PZE-101035640" 1 39
"4057" "PZE-101033968" 1 39
"4098" "PZE-101037493" 1 39
"4072" "PZE-101035341" 1 39.2
"4077" "PZE-101036181" 1 39.2
"4081" "PZE-101036318" 1 39.3
"4082" "PZE-101036338" 1 39.3
"4094" "PZE-101037191" 1 39.6
"4116" "PZE-101038503" 1 40
"4114" "PZE-101038492" 1 40.5
"4093" "PZE-101037142" 1 40.6
"4127" "PZE-101039301" 1 40.7
"4123" "PZE-101039024" 1 40.7
"4119" "PZE-101038678" 1 40.7
"4088" "PZE-101036799" 1 40.8
"4113" "PZE-101038315" 1 40.8
"4091" "PZE-101036991" 1 40.8
"4124" "PZE-101039198" 1 40.9
"4101" "PZE-101037854" 1 41.1
"4095" "PZE-101037211" 1 41.1
"4100" "PZE-101037751" 1 41.1
"4133" "PZE-101039440" 1 41.1
"4130" "PZE-101039371" 1 41.1
"4106" "PZE-101038176" 1 41.2
"4097" "PZE-101037265" 1 41.3
"4096" "PZE-101037244" 1 41.3
"4126" "PZE-101039207" 1 41.5
