mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101026218	1	26	31.5	1	10.6	-12.9	2.2
PZE-101059495	1	48	53.6	1	10	-4.7	1.5
PZE-101089182	1	65	71.5	1	11.7	-3.5	1.3
PZE-101170828	1	99	106.4	2	10.1	8.5	0.2
PZE-101205523	1	128	136.8	15	10.8	4.1	0.6
PZE-101213727	1	135	144.9	1	11.4	1.5	0.9
PZE-102051094	2	42	53.4	2	12.5	5.1	0.6
PZE-102064002	2	48	60	25	10.6	9.4	0.1
PZE-102065225	2	49	61	5	9.7	9.3	0
PZE-103185158	3	129	148.1	13	10	13.6	-0.4
PZE-104076572	4	46	56.5	2	8.2	4.7	0.4
PZE-104079164	4	48	58	2	9.4	4.6	0.5
PZE-104086655	4	52	62.1	2	9.4	6.9	0.3
PZE-104103602	4	69	81.1	1	10.1	-0.4	1
PZE-105147471	5	80	96	2	11.5	-8.5	1.7
PZE-105151400	5	83	99.7	4	10.4	10.4	0
PZE-106001656	6	3	2.6	1	10.7	13.6	-0.3
PZE-106040890	6	19	19.4	5	10.6	-0.8	1.1
PZE-106050388	6	27	28.4	4	10.3	-7.8	1.8
PZE-106059969	6	37	39.5	2	9.1	9.1	0
PZE-107023670	7	34	44.1	2	12.1	-3.3	1.3
PZE-107066392	7	46	57.4	10	10.5	7	0.3
PZE-107072681	7	52	63.2	1	9.1	-0.4	1
PZE-108003848	8	6	7.9	3	9.5	4.2	0.6
PZE-108005623	8	11	15.4	2	10.3	0.5	1
PZE-108009299	8	17	22.4	4	9.7	3.1	0.7
PZE-108018114	8	29	38.7	2	9.5	-0.2	1
PZE-108019862	8	30	39.3	1	10	19.2	-0.9
PZE-108124414	8	89	106	1	8.9	-2.6	1.3
PZE-110042009	10	32	43.7	2	8.7	-0.7	1.1
