mk.names	chr	pos.ind	pos.cM	N.QTL	QTL.prof_1	QTL.prof_2	QTL.prof_3	QTL.prof_4	QTL.prof_5	QTL.prof_6	QTL.prof_7	QTL.prof_8	QTL.prof_9	QTL.prof_10	QTL.prof_11	QTL.prof_12	QTL.prof_13	QTL.prof_14	QTL.prof_15	QTL.prof_16	QTL.prof_17	QTL.prof_18	QTL.prof_19	QTL.prof_20	QTL.prof_21	QTL.prof_22	QTL.prof_23	QTL.prof_24	QTL.prof_25	QTL.prof_26	QTL.prof_27	QTL.prof_28	QTL.prof_29	QTL.prof_30	QTL.prof_31	QTL.prof_32	QTL.prof_33	QTL.prof_34	QTL.prof_35	QTL.prof_36	QTL.prof_37	QTL.prof_38	QTL.prof_39	QTL.prof_40	QTL.prof_41	QTL.prof_42	QTL.prof_43	QTL.prof_44	QTL.prof_45	QTL.prof_46	QTL.prof_47	QTL.prof_48	QTL.prof_49	QTL.prof_50	QTL.prof_51	QTL.prof_52	QTL.prof_53	QTL.prof_54	QTL.prof_55	QTL.prof_56	QTL.prof_57	QTL.prof_58	QTL.prof_59	QTL.prof_60	QTL.prof_61	QTL.prof_62	QTL.prof_63	QTL.prof_64	QTL.prof_65	QTL.prof_66	QTL.prof_67	QTL.prof_68	QTL.prof_69	QTL.prof_70	QTL.prof_71	QTL.prof_72	QTL.prof_73	QTL.prof_74	QTL.prof_75	QTL.prof_76	QTL.prof_77	QTL.prof_78	QTL.prof_79	QTL.prof_80	QTL.prof_81	QTL.prof_82	QTL.prof_83	QTL.prof_84	QTL.prof_85	QTL.prof_86	QTL.prof_87	QTL.prof_88	QTL.prof_89	QTL.prof_90	QTL.prof_91	QTL.prof_92	QTL.prof_93	QTL.prof_94	QTL.prof_95	QTL.prof_96	QTL.prof_97	QTL.prof_98	QTL.prof_99	QTL.prof_100
PZE-101000161	1	1	0.1	0	0.278446236649387	0.446318389056804	0.225519646291784	0.32817571230167	0.216829005411734	0.104979787871446	0.740937086445887	0.03479722097598	0.154042645364331	0.148174878045803	0.916247061328133	0.0661016039209975	0.396537894475119	0.192584088254059	0.0818657784904714	0.0310231828710185	0.191339661771558	0.232110646735761	0.249073577296509	0.215227806316396	0.220402004106191	0.844415853931856	0.134856562056502	0.663958390484367	0.147530819385198	0.0349821716438098	0.305078987225054	0.350166156973458	0.147759608237624	0.151316686493575	0.284335675560367	0.180248844987961	0.409276619512459	0.328567457763526	0.107027702166353	0.0608166319154476	0.155965441589099	0.452777561081486	0.760796044537837	0.0182008494440858	0.0102168241705254	0.0400472098708443	0.276217015987964	0.0764550463081093	0.106558987091693	0.495332945860868	0.154437977241736	0.0675411568037019	0.0889828885713237	0.208453618747019	0.323614302722111	0.216033401537702	0.0703892353856769	0.130890098854237	0.220130269596906	0.0146989381143725	0.538166515277459	0.256439463203859	0.0569239881597862	0.414766494616693	0.111388610314933	0.831761850359224	0.38456491151377	0.192286017005999	0.139758916469333	0.424743989532321	0.490896169530158	0.287372886314148	0.301679253722133	0.412358326201715	0.0125336450614874	0.159702448356281	0.481543063925059	0.114836580411808	0.143897759691546	0.324560753497077	0.4752484448979	0.290474530469097	0.332624392112746	0.204641812627226	0.190473641357741	0.411235212833877	0.121921094057404	0.694610953537443	0.12227721287838	0.0664346599558273	0.183713444117275	0.0852896996783291	0.0501371814003545	0.34148050203465	0.869107204478283	0.0220086586385044	0.140637657922358	0.431166539035465	0.696247868968019	0.173275406508218	0.228579164809903	0.0404831555563907	0.0983733383381258	0.359243760154713
PZE-101000659	1	2	1.9	0	0.278439351733072	0.446657221633592	0.225664010624608	0.32817552927367	0.216875455477669	0.104979539439712	0.74136481010051	0.0348693352525113	0.153989496389535	0.148201349068562	0.916246708442403	0.0661362537855099	0.396523744851798	0.192766537714125	0.0818394556723552	0.0310672643721326	0.191215536477978	0.232311836696766	0.249072414161687	0.21516421428355	0.220401024709271	0.844169342251424	0.134899090490148	0.664052452971415	0.147485859475849	0.0348774097570652	0.305302695097331	0.350165632444502	0.14763563187844	0.151408805603434	0.284669583431915	0.180318810331228	0.409299143632025	0.328727356922183	0.107027616538568	0.0608165369008082	0.156140261246596	0.453069356342669	0.760712043234057	0.018209890360147	0.0102176279733198	0.0400349970066729	0.276498641588596	0.0764550173564375	0.106762778426067	0.49488687529246	0.154531873949373	0.0675411306791011	0.0890853463044726	0.208386439682658	0.323614340150697	0.216128798997355	0.0704472500212575	0.130644757825959	0.220120353494027	0.0146965709756032	0.538164892873375	0.256502373901339	0.0568537378704691	0.415014741028086	0.111389580478521	0.831944254334393	0.384539385853464	0.192494987854334	0.139758916561268	0.424899747630823	0.491144662517583	0.287372667655746	0.301768992528245	0.411796680215074	0.0125209096448902	0.159819525407512	0.481246234425961	0.114836681464505	0.143816666677782	0.324670768198054	0.475372049558358	0.290359607116357	0.332624392123006	0.204810425587779	0.190275542041805	0.411539302469808	0.121921246079385	0.694582175682942	0.122342794751363	0.0664346724581756	0.183769334652561	0.0854019922755487	0.0500718042810792	0.341695312237295	0.869107204519043	0.022045710338274	0.140618894056762	0.431393142820466	0.695723317916355	0.173275309598511	0.228741064235441	0.0404836177413696	0.0983978740512428	0.359449691805075
PZE-101002282	1	3	3.4	0	0.27134661763029	0.424434037792057	0.253023425263517	0.340743786750402	0.23433451322921	0.119332660965108	0.709494591519101	0.0395165466524488	0.132006792491091	0.13127139812798	0.97344929730648	0.0611957430393253	0.360631674320709	0.206863875187863	0.0656243818517597	0.0389249529555911	0.159250625919602	0.16857666859607	0.196815261932569	0.23433354807553	0.175448616991926	0.922975466888799	0.140065046923648	0.680353325986046	0.105853304717502	0.0419134989386532	0.314021462365536	0.345384292487779	0.130639866432663	0.195551074140216	0.231276743597168	0.181780283193268	0.465551486063028	0.334897202259117	0.130506839184936	0.0682114863111453	0.18854428483336	0.360004487652973	0.70055216413477	0.0181019918533581	0.0126479433461684	0.0431125843576189	0.309066846524172	0.0641572892705604	0.0886150903039478	0.544124874948456	0.139277100223679	0.0610999605549391	0.0654291297930609	0.200154765461137	0.379897579287621	0.233017581142845	0.0543494018720839	0.0950426906287866	0.257485373138996	0.00794377879092116	0.41432876514136	0.244318726168016	0.0861587437966383	0.370302003745163	0.151721412105577	0.736331412192469	0.346767601174161	0.169286189509294	0.146292613926941	0.418574918722668	0.417958306274093	0.242149554925795	0.324302072080437	0.460775667121304	0.0206311932996055	0.132277131071283	0.516113624214639	0.100928636750888	0.182080904187634	0.323547952694822	0.496058547703914	0.300590951206034	0.346021404987667	0.186524368429073	0.219002712540579	0.35524724405661	0.119709288904271	0.706644431400459	0.124028633971341	0.0635505169728279	0.216086850759043	0.0866653479050889	0.0459216483217996	0.321851628730172	0.88626164455339	0.0209300343938063	0.138093043113147	0.381779866114713	0.735174300078581	0.156368409182182	0.20235428624464	0.0216138244076984	0.102441166655682	0.309805331247967
PZE-101002081	1	4	3.6	0	0.273225841793914	0.424431635700301	0.254414318387456	0.341728261726326	0.237545805262164	0.119332758388655	0.708820378946046	0.0404511916308846	0.131851454334228	0.132790085445384	0.974727278431325	0.0623284567221653	0.36379372124048	0.206863819020978	0.0659848084997213	0.0389251194980918	0.159321782027562	0.17006935056132	0.198631367486544	0.235527807016602	0.176381900974889	0.922976374181315	0.142754447397098	0.680065902779712	0.105854186811195	0.0418423408185357	0.31610683488643	0.348692359962175	0.131673945344864	0.19555181899433	0.231735763739683	0.183567056966729	0.464625412905605	0.33489716194004	0.129804727121537	0.068482017046584	0.188545028250454	0.360229102324827	0.702989443036033	0.0186821258311952	0.012405943718213	0.043413740141264	0.311725291034962	0.0648167454763184	0.0886141766901611	0.545052381333184	0.141299488731745	0.0611000679830414	0.0674910769855677	0.200713542259734	0.378980719463431	0.234404099109889	0.0556837873968183	0.0950413905694374	0.259545727357395	0.0079435378603872	0.417337841172766	0.247120184490656	0.0866617066056235	0.372281096319545	0.151959410814264	0.739794636489573	0.348295636293068	0.170452192035934	0.146292668628596	0.418757640473442	0.418418483874498	0.245495397681505	0.324301806381621	0.462419125420014	0.0212306674956788	0.133700670338391	0.516231051520917	0.100928218981937	0.182218516610741	0.327054209673398	0.498944316405018	0.3016600819527	0.346021177613108	0.187796331332503	0.22052784683312	0.356404931893991	0.119708869644285	0.707407041684829	0.126917085386705	0.0648796293532199	0.21608739663621	0.0878088815647045	0.0462065932502623	0.325289708278637	0.892511877638398	0.0215113319796934	0.138143056275035	0.382299603694349	0.735172338407041	0.156367278941915	0.203986434844607	0.0216982225365509	0.103008554314054	0.312962874586258
PZE-101003135	1	5	4.7	0	0.302159379501882	0.442712902882211	0.243102944656881	0.289873906199288	0.204708743961371	0.128868930067177	0.759925016513017	0.0356264594983551	0.118009412932119	0.115478682412688	0.97774634484069	0.060924140455214	0.360668746338969	0.204495394194203	0.0663841940911237	0.0406280199934099	0.140832956331754	0.164407417880861	0.19154120490086	0.217473435146926	0.171261404854727	0.954334129914646	0.113169733181905	0.65492580468197	0.141982494807546	0.0370359148610366	0.306868854791337	0.362631750329496	0.119544260918078	0.177456078344795	0.233076622810305	0.167384715798205	0.465537371378554	0.329229192016377	0.142118550162619	0.0616169412759003	0.188384966659112	0.351674542244614	0.696339815740169	0.0143412648616705	0.0113070057102017	0.0503284063904782	0.286731030059021	0.0580576145016124	0.088405802517218	0.556161846991277	0.129735013537534	0.0768161992382004	0.0493561436787782	0.177824381498621	0.405710207831219	0.234472522159959	0.0465968181904039	0.0851217603987051	0.262962667087729	0.00564082698001414	0.387431719310805	0.263254145446893	0.0787969646448096	0.350216157761955	0.151960199025694	0.718615951627418	0.377346892168002	0.178242903669176	0.142856668659876	0.434845701761858	0.417011167183302	0.242779805418242	0.316297121840069	0.423210249323506	0.0156331149293861	0.118597623701358	0.505153695921613	0.118660959684236	0.163893375243337	0.319765738349776	0.476433332582227	0.268192266601918	0.343416718141325	0.195374864748994	0.207463559220051	0.332415891069257	0.124283578038538	0.695452013302217	0.107789172807637	0.0492164549026444	0.217630234680939	0.0858056723662815	0.0443704819711451	0.312537970224419	0.848660223944277	0.0218174850987716	0.156982184252448	0.37242022229392	0.737447438910173	0.148815636867837	0.192322320684075	0.0340375480355621	0.0978597280981747	0.313463525923934
PZE-101003115	1	6	5.9	0	0.278462773692821	0.395269479064994	0.26499631651805	0.220372649965916	0.178963096456178	0.123995786148878	0.745205915926188	0.0406509831598724	0.0999240346061901	0.0760521732473048	0.650559191231301	0.0331812716735137	0.324323068900914	0.151448803835175	0.0637426728310451	0.0287596904680155	0.101206462847625	0.162716104603063	0.112599870124095	0.174411077228258	0.22870216340551	0.863979332567069	0.0858331583639431	0.551832271239484	0.158892055168031	0.00900789349409276	0.309271522565559	0.33988127371812	0.0852711176226783	0.122034219927329	0.225720856654115	0.157077969686104	0.266920612739122	0.297219600451864	0.0614590313371545	0.0451843151542297	0.137511147233962	0.421595129826971	0.532041986995367	0.00535335869863903	0.00576091072576976	0.04630395753644	0.296065717969374	0.0681327619032467	0.0764913159607519	0.533273553929793	0.106339465061741	0.115053057198761	0.0533918067196845	0.12102418644079	0.383988574450403	0.135325105530936	0.0395990412434701	0.0652942473805791	0.256027186653086	0.00160977473730386	0.369853131536824	0.249567763437543	0.0420773853855021	0.360623249953312	0.150181781074776	0.670579164081052	0.373567389823422	0.211995492456791	0.13329729058774	0.443136600309093	0.441784319618611	0.23981962884901	0.246072468726117	0.37595356647867	0.0182728754231338	0.0864522829164724	0.42038715867526	0.150152208897048	0.13562020133243	0.296538804164289	0.377839971373094	0.194320145332082	0.158079767694209	0.263651813725545	0.148750858360578	0.236326920003017	0.143710516473456	0.649425517600996	0.0942215670787123	0.0250268817013594	0.219830326472668	0.105702947360273	0.0335942898869481	0.291502824856993	0.722462089070857	0.0224059130680402	0.187722076804439	0.389653751629334	0.485083530960218	0.145726873865643	0.163277970462838	0.0391250222185038	0.0789875906890717	0.342655773682476
PZE-101005818	1	7	7.3	0	0.320825847895662	0.384466617714333	0.27261001908387	0.194414218439965	0.225979625103239	0.149987846246644	0.801895917351436	0.0436605502994009	0.0755221417439568	0.0563309984199018	0.570769174602081	0.0236331214968463	0.374107986017509	0.138724821862233	0.0479064202571938	0.0220423221104995	0.0990041328147643	0.188014691380297	0.0485295198724495	0.172191356967759	0.266397412181641	0.796684178127	0.11207083584258	0.453995014965489	0.194935361234028	0.00688686314944461	0.317521478192038	0.367984720983727	0.0681643707632589	0.126865495265686	0.192239492312118	0.132430333998938	0.196030167618436	0.27166565051438	0.0688457877115787	0.0491914604788586	0.125105847420532	0.454992977739438	0.45254429899428	0.00295991792853987	0.0092560837734044	0.0419714634368844	0.300625803313855	0.0731733607041178	0.0742626078694562	0.529953477329496	0.107793737292336	0.171819516802681	0.0536536325790435	0.0622887437484984	0.425024496907836	0.134699547807606	0.0540718163824159	0.0475069745935975	0.280123373244029	0.000694246954837148	0.292054522308058	0.300339862597282	0.0384855785633315	0.366066836375606	0.180534714657731	0.572867069122829	0.392582654192929	0.299278689066452	0.120037220132943	0.363786641685396	0.444205390736354	0.280192055011215	0.286661946824216	0.350211622162542	0.0216149381540305	0.0483609220473305	0.27010605282259	0.194165933393414	0.148078425560221	0.338360527320706	0.226699992785648	0.132089035710293	0.0934531821757992	0.369896765443348	0.120649309967569	0.228146025442568	0.183884492373091	0.460624107632873	0.112868970793498	0.0232874275665165	0.262651771859072	0.14577730677743	0.0351414459712027	0.325747024320865	0.617913888921857	0.0397691819518775	0.220390865749629	0.360598041307617	0.418527504910176	0.153399668514863	0.192079600859531	0.0633909650424581	0.041096917996935	0.346054301993528
PZA01022.1	1	8	9.6	0	0.413865725567049	0.341135745502339	0.200266361980032	0.117094978783402	0.18546996983215	0.188217941002632	0.884587862669345	0.018362306620382	0.0973476187766867	0.0360853723150232	0.513831799751102	0.0327752919513054	0.484827964280517	0.0914108652223653	0.0238723127558466	0.0118601043127317	0.0590950110924765	0.282753726236228	0.0352883917397375	0.165128809223829	0.214302800175089	0.735117528375402	0.110870525218052	0.293508069576281	0.321010583702785	0.00102757721496438	0.302952041932311	0.440055290862923	0.0416577002004203	0.103822676169244	0.190889932183464	0.133233649397307	0.204787817200446	0.161855489970053	0.0746679608962903	0.0227532859500751	0.146409020850233	0.299190178588605	0.484305500514023	0.002905668363834	0.00977844312895797	0.0822203716946526	0.190246147171808	0.0440854659026848	0.0704951228765337	0.377665988091046	0.068115585533826	0.21294248501264	0.0424947504761853	0.0269225703380473	0.546838820070212	0.145911355234445	0.0452033580015063	0.0204667549149514	0.319254963374331	0.00033620173023913	0.219861037439048	0.404556636453957	0.0226071086462014	0.269031174960881	0.208842775196917	0.473988422356622	0.449379446442732	0.324663127981723	0.0761671083247789	0.253155235320329	0.420808342296954	0.274288020014944	0.254333832531206	0.178612131023818	0.0154745523030368	0.0172298476992809	0.218407968891363	0.207916097808929	0.144427524479446	0.427101051838413	0.206662533441142	0.136507621909326	0.0702389729516979	0.383899896569922	0.0992434893105333	0.167036454370233	0.204979259246686	0.31262372214766	0.103390764413902	0.0183544789209958	0.200745274837246	0.115344412058744	0.0249548324065755	0.304059218643417	0.652077226035271	0.0395835093993861	0.272805645614149	0.292914609666088	0.33710292200713	0.0982040794041325	0.172425253178258	0.151109551897398	0.0428604108678681	0.268889457397956
PZE-101007769	1	9	10.9	0	0.470863637875278	0.308846720943413	0.145776854967398	0.0972964374621175	0.160280270606177	0.2163497704403	0.893585195910279	0.0118822702799934	0.112566950465977	0.0271949524317972	0.469140138628032	0.0430225174107035	0.529264874462696	0.0693713151307177	0.0205280421402721	0.0119282565842454	0.0422955170300182	0.329057257287042	0.0325364626864798	0.179331624308581	0.172772409913334	0.649190622391216	0.119071787524304	0.222614876097095	0.392845588541132	0.00061696162388019	0.282227464524839	0.473183155835081	0.0376993870178468	0.0909582369610052	0.172373047308208	0.142323495832822	0.206748279221713	0.106626542312077	0.0778977253176346	0.0161613374990007	0.160111536107265	0.205553736744273	0.513389875670351	0.00454065014735905	0.0144010041493779	0.108489112490127	0.126788284125863	0.0322427172942628	0.068721756592057	0.289209890559353	0.0503631839117476	0.248112069387874	0.0373378678788293	0.0156930601980957	0.60171596890147	0.150785377233033	0.0396714357003764	0.0121753552033497	0.347620613300194	0.000717472052568312	0.182237720601943	0.477867734500182	0.0231048961271212	0.192287973079096	0.218780984418782	0.375963310283783	0.493164624983724	0.34810820525046	0.0553678034914477	0.200251982744461	0.403520649793263	0.275894998333783	0.236829978897037	0.107962227911211	0.0182734297087361	0.0105097782212692	0.189169974581883	0.210582829969801	0.143570898830751	0.450357889778935	0.20491919105956	0.13660618753999	0.0682026597497815	0.372223185864834	0.103392452332926	0.128580563281598	0.215030369084336	0.224896426957257	0.0993627912175313	0.0201708988264022	0.162669378517338	0.0941190349784	0.0277593199863043	0.288393922487728	0.658026976799138	0.0414110873186534	0.308162643037254	0.247308284471154	0.283024727453873	0.0672267102698337	0.160040786336776	0.222637738155673	0.0414053301357975	0.24137115065604
PZE-101009528	1	10	12.3	0	0.482929522426826	0.28203778482437	0.175231703646243	0.0976074367522555	0.0678727810864827	0.207024412451864	0.982021785167121	0.0173972078372897	0.0751408744846308	0.00990434090241222	0.361090736815344	0.0444655206020881	0.492056212393869	0.0428255938857	0.0186678475028457	0.00588681904324124	0.070109571989605	0.392978230531424	0.0222994627061525	0.0691529251697135	0.196381331683374	0.45282769878562	0.0718346923481107	0.170996826864889	0.466677110191837	0.000914834986889195	0.358842409684138	0.434076749174195	0.010906505981248	0.0700847018019295	0.228115677455067	0.0798217212227824	0.169063152098311	0.063696565485199	0.0498943203570437	0.018783806750845	0.176371100658451	0.25440159725381	0.38349156199229	0.00364880345742109	0.0162082354616174	0.125696550060804	0.0748036604296353	0.0530532940896296	0.0911003313524316	0.335863878127505	0.0353203645434284	0.293626314527162	0.0231537963809576	0.00495705074001853	0.70279693057147	0.0948095036727447	0.0184757580148935	0.00503193581186106	0.465945086502025	0.000475864066209675	0.182424852786526	0.47058424918206	0.0138299249645464	0.185285913998219	0.198089062245741	0.324900922937463	0.502902629944614	0.374462106126635	0.0303685994608512	0.179290692287531	0.478497961639176	0.262898917451924	0.113056877276603	0.0349764381167275	0.0065874344820572	0.0110800605293337	0.0748204319619717	0.189005779854175	0.209061150893463	0.516284213828788	0.11243596835827	0.119001706400095	0.0341272884723554	0.414355460359286	0.108786967545297	0.0920935015571646	0.171970302897127	0.139157427767211	0.108964294321905	0.0417853832927872	0.06073074929856	0.0951738074439418	0.0319055676715903	0.243594349530212	0.507422043799385	0.0692079698488827	0.444996835834409	0.238728752083263	0.220311008478362	0.039216399847649	0.118511039339703	0.274019053317944	0.0396194596793395	0.290606818266652
