mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101018356	1	17	21.7	1	0	0	1	0	5.1	0	1
PZE-101019557	1	20	24.4	1	0	0	0	1	3.9	-3.5	1.9
PZE-101026218	1	26	31.5	1	0	0	0	1	3.9	0.8	0.8
PZE-101033968	1	34	39	2	0	2	0	0	6.1	-5.6	1.9
PZE-101036799	1	35	40.8	5	0	0	0	5	4.1	0.7	0.8
PZE-101037244	1	36	41.3	3	0	0	1	2	6.2	-3	1.5
PZE-101081178	1	59	65.5	1	0	1	0	0	5.4	-2.7	1.5
PZE-101124014	1	72	79	1	0	1	0	0	6.8	2.2	0.7
PZE-101129154	1	74	80.2	7	0	6	1	0	8.1	2.6	0.7
PZE-101129681	1	75	81.3	1	0	1	0	0	5.7	-4.6	1.8
PZE-101137688	1	77	83.8	1	0	1	0	0	7.5	2.3	0.7
PZE-101143233	1	80	86.8	1	0	1	0	0	6.5	7.8	-0.2
PZE-101167577	1	97	104.3	1	0	0	0	1	4.5	0.6	0.9
PZE-101172657	1	101	109.2	1	0	0	0	1	4.3	4.1	0
PZE-101189338	1	114	122.5	1	0	1	0	0	13.4	15.3	-0.1
PZE-101187227	1	115	123.7	52	0	45	7	0	11.6	6.9	0.4
PZE-101189687	1	116	124.4	6	0	5	1	0	13.3	2.7	0.8
PZE-101199017	1	125	133.8	5	0	5	0	0	12	3.2	0.7
PZE-101205734	1	127	136.4	1	0	1	0	0	12.3	5.6	0.5
PZE-101205523	1	128	136.8	28	0	0	0	28	10.4	8.3	0.2
PZE-101208550	1	130	139.6	6	0	0	6	0	12.2	0	1
PZE-101239143	1	151	162	4	0	1	3	0	5.7	0	1
PZE-102065225	2	49	61	1	0	0	1	0	5.1	0	1
PZE-103008756	3	15	20.7	1	0	1	0	0	8.4	-11.3	2.3
PZE-103047483	3	37	46.7	1	0	0	0	1	7.3	0.9	0.9
PZE-103055650	3	39	48.5	3	0	0	0	3	4.7	-4.8	2
PZE-103104752	3	59	68.9	1	0	1	0	0	7	1.1	0.8
PZE-103107305	3	61	70.9	1	0	1	0	0	12.6	3.9	0.7
PZE-103106913	3	62	71.9	1	0	0	1	0	6.1	0	1
PZE-103115657	3	67	77.7	1	0	0	0	1	3	2.7	0.1
PZE-103116584	3	68	78.9	3	0	0	2	1	5.5	-1.5	1.3
PZE-103119152	3	71	81.3	1	0	0	0	1	4.8	-1	1.2
PZE-103121861	3	72	83.3	1	0	1	0	0	6.1	-3.5	1.6
PZE-103120770	3	73	84.1	2	0	0	0	2	3.9	5.4	-0.4
PZE-103125025	3	74	85.7	9	0	0	8	1	7	-0.5	1.1
PZE-103123019	3	75	86.3	10	0	0	0	10	4.7	0	1
PZE-103126771	3	78	89.8	3	0	2	0	1	6.1	-0.5	1.1
PZE-103128590	3	79	91.3	2	0	0	0	2	5	1.9	0.6
PZE-103133175	3	80	91.5	2	0	0	2	0	7.5	0	1
PZA00099.6	3	82	93.7	26	0	0	0	26	5.2	4.4	0.2
PZA00303.21	3	83	95.2	1	0	0	1	0	5.8	0	1
PZE-103137804	3	84	95.9	1	0	0	1	0	9.2	0	1
PZE-103147207	3	91	103.4	3	0	1	2	0	6.6	-0.9	1.1
PZE-103146632	3	92	105.2	1	0	1	0	0	7	2.3	0.7
PZE-103151594	3	97	109.9	5	0	0	5	0	6.1	0	1
PZE-103151398	3	98	110.9	3	0	0	3	0	6.8	0	1
PZE-103184380	3	128	146.9	3	0	0	1	2	5.3	2.1	0.6
PZE-103185158	3	129	148.1	5	0	0	0	5	4.2	-2.5	1.6
PZE-103186727	3	130	149.5	6	0	0	0	6	4.6	1.9	0.6
PZE-103186544	3	131	149.7	6	0	0	0	6	4	4.7	-0.2
PZE-104018965	4	34	44	1	0	1	0	0	5.5	4.2	0.2
PZE-104069761	4	45	55	13	0	4	0	9	5.1	0.3	0.9
PZE-104076572	4	46	56.5	1	0	0	1	0	9.4	0	1
PZE-104076990	4	47	56.9	1	0	1	0	0	9.9	-2.8	1.3
PZE-104081748	4	49	59.4	2	0	0	0	2	4	-0.6	1.1
PZE-104079825	4	50	59.8	1	0	1	0	0	7.7	-0.7	1.1
PZE-104086676	4	53	63.3	1	0	0	0	1	5.3	-7.4	2.4
PZE-104092479	4	56	67.1	1	0	0	1	0	4.6	0	1
PZE-104093644	4	59	69.4	2	0	0	0	2	4.7	-4.6	2
PZE-104104505	4	71	82.3	1	0	0	0	1	3.8	-4.4	2.2
PZE-104112313	4	81	93.9	1	0	0	0	1	4.6	-5.9	2.3
PZE-104112214	4	82	95.5	1	0	0	0	1	4	0.6	0.8
PZE-104148727	4	109	124.2	1	0	0	0	1	3.7	-2.2	1.6
PZE-104157729	4	117	133.5	1	0	0	0	1	4	-0.9	1.2
PZE-105000613	5	1	0.9	6	0	0	6	0	5.4	0	1
PZE-105001484	5	3	4	1	0	1	0	0	6.7	-10.2	2.5
PZE-105004767	5	6	7.7	1	0	1	0	0	5.5	-1.6	1.3
PZE-105063667	5	46	60.8	2	0	2	0	0	7.4	-1.1	1.1
PZE-105069022	5	47	62.3	1	0	1	0	0	8	-5.7	1.7
PZE-106018436	6	12	12.6	1	0	0	0	1	6.8	8.9	-0.3
PZE-106028794	6	13	13.2	1	0	0	0	1	6	2.9	0.5
PZE-106034377	6	14	15	1	0	0	0	1	7.9	4	0.5
PZE-106034708	6	15	15.9	3	0	0	2	1	10.1	1.5	0.9
PZE-106039880	6	16	17.1	6	0	4	0	2	10.2	3.2	0.7
PZE-106040089	6	17	18.1	1	0	0	0	1	6.9	4.1	0.4
PZE-106041751	6	18	19.1	15	0	0	0	15	7.7	4.9	0.4
PZE-106040890	6	19	19.4	20	0	0	0	20	8.2	3.6	0.6
PZE-106045060	6	22	22.8	1	0	1	0	0	9.2	7.2	0.2
PZE-106050388	6	27	28.4	2	0	2	0	0	8.1	3	0.6
PZE-106051814	6	30	31.1	2	0	0	1	1	8.6	0.5	0.9
PZE-106059969	6	37	39.5	12	0	0	12	0	8.7	0	1
