mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101152275	1	75	91.8	1	9.1	-24	3.6
PZE-101169972	1	86	105.3	1	10.3	-30.5	4
PZE-102006385	2	7	9.6	2	8.6	19.3	-1.2
PZE-102007615	2	8	11.5	34	9.6	-0.8	1.1
PZE-102180652	2	94	119.7	1	4.8	2.6	0.5
PZE-102184405	2	98	124.3	6	9.4	-10.3	2.1
PZE-103103362	3	52	67.4	1	8.1	-7.8	2
PZE-103115657	3	61	77.7	3	9.1	-2.7	1.3
PZE-103125630	3	70	88.5	1	9.8	16.9	-0.7
PZE-103128590	3	73	91.3	4	8.7	6.1	0.3
PZE-103162358	3	95	117.3	1	6.2	5.3	0.1
PZE-104100613	4	61	76.6	3	9.5	-0.4	1
PZE-106000112	6	1	0	31	12.4	20.4	-0.6
PZA00606.10	6	2	2	45	12.4	12.6	0
PZE-106046440	6	21	24.8	4	10.2	-2.6	1.3
PZE-107008894	7	14	21.6	1	7	-0.4	1.1
PZE-107064549	7	39	54	10	10.3	-3.5	1.3
PZE-108009888	8	19	25.1	2	9.7	0	1
PZE-108011044	8	20	26.5	3	7.8	6.3	0.2
PZE-108022547	8	32	42.6	1	14.1	-9.6	1.7
PZE-108030712	8	34	44.9	20	12.1	11.7	0
PZE-108042918	8	36	46.2	10	12	1	0.9
PZE-108045901	8	37	47.4	35	12.1	9.2	0.2
PZE-108061060	8	44	55.5	1	12.6	-8	1.6
PZE-108060864	8	45	56.6	3	8.9	1.3	0.9
PZE-110105233	10	68	96.7	1	7.6	12.3	-0.6
