mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.0877948287799865	0.531705491817587	0.770474649183681	0.783330877476871	-0.382910058249065	-0.341265742688284	NA
PZE-101000161	1	2	0.1	0.0877950080094862	0.531704280050675	-0.341265741099421	0.770474648448649	-0.382910056682963	0.783330876780787	NA
PZE-101000344	1	3	0.7	0.0877202370733342	0.531706175196296	-0.341522094296362	0.770474955141	-0.382910710140581	0.783331167222279	NA
PZE-101000424	1	4	0.8	0.0877077868471361	0.531706327078772	-0.341564896928055	0.770475006218934	-0.382910818970437	0.783331215593723	NA
PZE-101000370	1	5	1	0.0877077672030533	0.531706443166842	-0.341564905624926	0.770475006299529	-0.382910819142154	0.783331215670046	NA
PZE-101000754	1	6	1.4	0.0877077279128985	0.531706675356338	-0.341564923018825	0.770475006460725	-0.382910819485609	0.7833312158227	NA
PZE-101000169	1	7	1.5	0.087707746441543	0.531706733189918	-0.341564829820689	0.770475006384708	-0.38291081932364	0.783331215750711	NA
PZE-101000256	1	8	1.7	0.0877077834997419	0.531706848853913	-0.34156464342302	0.770475006232671	-0.3829108189997	0.783331215606729	NA
PZE-101001103	1	9	1.8	0.0877078020290026	0.531706906683404	-0.341564550224976	0.77047500615665	-0.382910818837724	0.783331215534737	NA
PZE-101000659	1	10	1.9	0.0877076850266565	0.531706965532987	-0.341564923345029	0.770475006636675	-0.382910819860495	0.783331215989327	NA
PZE-101001110	1	11	2.2	0.0874493367574172	0.533460592269632	-0.341567215832098	0.77047606718203	-0.382913079528807	0.783332220339017	NA
PZE-101000431	1	12	2.3	0.0877077364112678	0.531706618026009	-0.34156492294049	0.770475006425857	-0.382910819325469	0.783331215789682	NA
PZE-101000442	1	13	2.4	0.0877077621661937	0.531706444090666	-0.341564922651616	0.770475006320193	-0.382910819014506	0.783331215689617	NA
PZE-101000530	1	14	2.5	0.0877077879210998	0.53170627015559	-0.341564922362741	0.770475006214531	-0.382910818703541	0.783331215589551	NA
PZE-101001114	1	15	2.6	0.0877075671504966	0.531707763648506	-0.341564924260049	0.770475007120282	-0.38291082054757	0.783331216447309	NA
PZE-101001280	1	16	2.7	0.0877077360444803	0.531709254239465	-0.341564317987537	0.770475006427364	-0.382909960885415	0.783331215791107	NA
PZE-101000673	1	17	3	0.0981562857205544	0.531636675382292	-0.327176395021745	0.770433097145453	-0.360003452352199	0.783291527141412	NA
PZE-101001107	1	18	3.1	0.0985330918303332	0.547528855687336	-0.324170996251621	0.770431619432014	-0.353739911294276	0.783290127725752	NA
PZE-101002282	1	19	3.4	0.0963401729872908	0.606218417244869	-0.32051570213531	0.770440250665764	-0.339091983611279	0.783298301625723	NA
PZE-101002081	1	20	3.6	0.0969585587854111	0.606218877843782	0.770437809022823	0.783295989355763	-0.320510429323121	-0.337070954828194	NA
PZE-101001380	1	21	4.3	0.0893966698057623	0.606267764004309	-0.320576054038953	0.820872644473615	-0.352265079398484	0.790678817681327	NA
PZE-101003133	1	22	4.5	0.0871453843843423	0.606282631130339	-0.320596012972798	0.835640669730598	-0.35763247416851	0.793120326464483	NA
PZE-101003135	1	23	4.7	0.0864274597332776	0.60628828434183	-0.320602288965811	0.850547643305744	-0.357639767322026	0.795710641655985	NA
PZE-101003026	1	24	4.9	0.084653479756835	0.606301027030111	-0.32012489675571	0.865591736128538	-0.362357081914172	0.798462340942355	NA
PZE-101003031	1	25	5.6	0.0677265076916206	0.643353414573438	-0.332183583247164	0.919171863565607	-0.395470432908776	0.809399031566219	NA
PZA00393.1	1	26	5.7	0.0646376903071139	0.649650238272718	-0.335651954946168	0.926922967972077	-0.402249569899385	0.811125791643099	NA
PZE-101003115	1	27	5.9	0.0631575644114023	0.662928426998904	-0.335668937268829	0.942476422564397	-0.402265543682244	0.814681564017304	NA
PZE-101002367	1	28	6	0.0624338441229996	0.669911989065263	-0.335677317097684	0.950279718709929	-0.402273422060186	0.816519028645978	NA
PZE-101005818	1	29	7.3	0.054868227975767	0.775914035086052	-0.335769791954999	-0.947403167701014	-0.40235980284667	0.843756898184679	NA
PZE-101006745	1	30	9.2	0.0314943574941647	-0.800234825923461	0.891365995438332	0.757068644520659	-0.402659164970861	-0.496729789755473	NA
PZA01022.1	1	31	9.6	0.0282678117076618	-0.770436619971076	0.901804000131696	0.754065628878091	-0.402708800445175	-0.54011938317877	NA
PZE-101009312	1	32	10.6	0.0229147490351794	-0.659447778807848	-0.698719611271572	-0.402801079505199	0.927463364153355	0.748436692170582	NA
PZE-101007769	1	33	10.9	0.0220195510577336	0.934916297168275	-0.697310914695173	-0.678090297830208	-0.402819029491608	0.747308321254435	NA
PZE-101009215	1	34	11.2	0.0191994146056547	0.942217601606919	-0.680387208178871	-0.657935750516979	-0.442770867832121	0.746466760795407	NA
PZE-101010821	1	35	11.8	0.0148761044680101	-0.978597010380587	-0.650436138309004	-0.619053704104624	-0.532729040036579	0.745587259863429	NA
PZE-101009528	1	36	12.3	0.0130575907926687	-0.588159960965771	-0.911370428886333	-0.630206397216072	-0.616429705538473	0.745649207128041	NA
PZE-101009163	1	37	12.5	0.0125545055163316	-0.603939355364402	-0.884557525370889	-0.630207033834312	-0.616444750522806	0.74587058589899	NA
PZE-101010560	1	38	13	0.0148998773855382	-0.579255528877317	-0.818617085892094	-0.494180079353908	-0.897185682724042	0.746857060266893	NA
PZE-101010917	1	39	13.5	0.0254931887916342	-0.466783895336885	0.748404014238612	-0.755411011673567	-0.494005023477771	-0.897176953183983	NA
PZE-101012517	1	40	13.6	0.108628607159049	0.748365523196522	-0.182358344915538	-0.742794549959831	-0.493229828765714	-0.896993195036208	NA
PZE-101014135	1	41	13.7	0.102980758486026	0.74574332066471	-0.189065088699474	-0.76277264928922	-0.493271648684631	-0.897003069952348	NA
PZE-101014266	1	42	13.8	0.0975278163654817	0.743195071407461	-0.196097477517981	-0.783062782789301	-0.49331287874648	-0.897012804601468	NA
PZE-101011048	1	43	14	0.0872356434626445	0.738335343843504	-0.211177258168217	-0.824419516098088	-0.493393261703105	-0.897031780255787	NA
PZE-101013802	1	44	15.2	0.0454759224537047	0.716945531209225	-0.332878091415705	-0.770414309722026	-0.513061905563792	-0.898090844808881	NA
PZE-101014003	1	45	15.3	0.0426929884170651	0.71581970895162	-0.766792723560347	-0.345532937477225	-0.515039263157008	-0.898384933097148	NA
PZE-101011906	1	46	15.7	0.0400123486458243	0.749476996742052	-0.766806196255749	-0.345569069126569	-0.523372925812149	-0.899857210011931	NA
PZE-101015469	1	47	16.2	0.0369670972628375	0.792691789454611	-0.766821858565466	-0.345611729025307	-0.534899927694444	-0.902372457251478	NA
