mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	0.715854428339987	NA	-0.998181994794765	-0.71847052435606	0.025307847362171	0.600772205266871	0.158292131013018
PZE-101000424	1	2	0.8	2.06365901070633	NA	NA	NA	0.00863656387368034	NA	0.00863656387368034
PZE-101000754	1	3	1.4	1.52390382240283	NA	NA	-0.71747882974796	0.00871875780446747	NA	0.00871875780446747
PZE-101000169	1	4	1.5	1.52390382240284	NA	NA	-0.717478829747958	0.0087187578044674	NA	0.0087187578044674
PZE-101001103	1	5	1.8	1.52390382240284	NA	NA	-0.717478829747959	0.00871875780446722	NA	0.00871875780446722
PZE-101000659	1	6	1.9	1.52390382240284	NA	NA	-0.717478829747958	0.00871875780446731	NA	0.00871875780446731
PZE-101001110	1	7	2.2	1.52262286824308	NA	NA	-0.717481082326221	0.00874754210726782	NA	0.00874754210726782
PZE-101000431	1	8	2.3	1.5221885059806	NA	NA	-0.717481846079483	0.00875732472475453	NA	0.00875732472475453
PZE-101000442	1	9	2.4	1.5217519859917	NA	NA	-0.717482613625231	0.00876716722032373	NA	0.00876716722032373
PZE-101000530	1	10	2.5	1.52131332710208	NA	NA	-0.717483384930342	0.00877706935001572	NA	0.00877706935001572
PZE-101001114	1	11	2.6	1.19537098480446	NA	NA	-0.717761478462743	0.00885676845463651	0.59981458932988	0.00885676845463651
PZE-101001280	1	12	2.7	1.19497367778812	NA	NA	-0.717761504707403	0.00886693988386693	0.599815649619123	0.00886693988386693
PZE-101000673	1	13	3	1.15059961787821	NA	NA	-0.695191151835726	0.0103312985573912	0.586290285796323	0.0103312985573912
PZE-101002282	1	14	3.4	1.07625726604733	NA	NA	-0.665567647919756	0.0132959974062846	0.568601297278543	0.0132959974062846
PZE-101002081	1	15	3.6	0.102589335120607	NA	NA	-0.653277289191778	NA	0.603240924699112	NA
PZE-101001587	1	16	4.2	0.115095963007031	NA	NA	-0.61058664590925	NA	0.603221157875656	NA
