mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101092403	1	58	73.1	1	6.3	-3.9	1.6
PZE-101121405	1	62	77.8	12	7.5	2.7	0.6
PZE-101121742	1	63	78.1	1	6.7	10.2	-0.5
PZE-101122769	1	64	80	2	6.6	2.2	0.7
PZE-101130213	1	66	81.6	4	7.6	4	0.5
PZE-101134461	1	67	82.7	17	8	0.3	1
PZE-101137048	1	68	83.8	5	8.1	-1.1	1.1
PZE-101141595	1	69	84.7	1	6.1	5.9	0
PZE-102006385	2	7	9.6	1	5.3	-5	1.9
PZE-103103362	3	52	67.4	2	6.9	-8	2.2
PZE-103111009	3	60	76.3	5	7.7	0.2	1
PZE-104105055	4	68	84.5	10	7.9	0	1
PZE-104115259	4	81	99.8	4	9.2	-2	1.2
PZE-104116352	4	82	101.7	12	8.3	1.4	0.8
PZE-104116539	4	83	102.4	5	6.9	1.9	0.7
PZE-104139238	4	90	110.3	2	6.2	0.4	0.9
PZE-104141847	4	91	112.2	2	8.9	-6.9	1.8
PZE-104148975	4	99	122.4	1	7.6	-10	2.3
PZE-106000112	6	1	0	3	5.3	1.2	0.8
PZE-106038001	6	15	16.9	6	13.7	6.9	0.5
PZE-106041256	6	16	18.7	1	15.3	4.6	0.7
PZE-106041852	6	17	19.4	14	15	8.6	0.4
PZE-106045060	6	20	22.8	1	12.6	1.7	0.9
PZE-106046440	6	21	24.8	61	14.8	12.5	0.2
PZE-106046852	6	22	25.3	12	16.1	12.6	0.2
PZE-106048055	6	23	26.7	5	15.3	6.8	0.6
PZB01083.2	7	12	18.3	1	8.9	-6.3	1.7
PZE-107007784	7	13	20.8	2	6.2	-6.2	2
PZE-107063951	7	38	53.6	1	5.6	-9.8	2.8
PZE-107072440	7	47	64	1	11.1	-2	1.2
PZE-107076218	7	51	68.7	2	8.8	4.9	0.4
PZE-107077770	7	52	69.8	1	10.7	3	0.7
PZE-107078697	7	53	70.9	6	10.8	6.3	0.4
PZE-107085004	7	57	75.5	70	11.2	7.4	0.3
PZE-107102135	7	61	80.1	2	7.9	10.6	-0.3
PZE-107109757	7	65	84.7	2	10.7	-11.3	2.1
PZE-107118905	7	70	92.9	5	10.3	1	0.9
PZE-107118752	7	71	94	4	10.5	7.2	0.3
PZE-107119249	7	72	95.1	1	10.2	-4	1.4
PZE-108011046	8	21	26.9	1	8.1	4.2	0.5
PZE-108015742	8	26	34	2	9.8	-3	1.3
PZE-108016906	8	27	35.9	2	10.1	-1.5	1.1
PZE-108018114	8	29	38.7	2	8.4	-0.3	1
PZE-108019862	8	30	39.3	30	10.4	5.4	0.5
PZE-108020824	8	31	41.2	19	9.5	6.6	0.3
PZE-108022547	8	32	42.6	1	7.7	1.8	0.8
PZE-108030712	8	34	44.9	20	9.8	8.4	0.1
PZE-108042918	8	36	46.2	13	9.9	6.8	0.3
PZE-108045901	8	37	47.4	5	10.1	6.7	0.3
PZE-108074608	8	54	67.4	1	6.4	4.2	0.3
PZE-109055211	9	41	52.3	1	5.4	-10.3	2.9
PZE-109061069	9	43	53.9	2	5.7	5.2	0.1
PZE-109071755	9	48	59.8	1	6.7	-2.5	1.4
PZE-109076739	9	51	63.9	2	6.3	-2.2	1.3
PZE-109091272	9	57	70.4	1	8.8	-1	1.1
PZE-109093779	9	58	71.6	14	7.1	2.4	0.7
PZE-109092156	9	59	72.3	6	7.6	-0.7	1.1
PZE-109098198	9	64	79.1	2	9.8	-9.3	1.9
PZE-109100161	9	65	80.7	3	5.8	-1.6	1.3
PZE-110008044	10	13	23.9	1	7.4	-1.1	1.1
PZE-110009173	10	14	25.8	5	7.9	5.1	0.4
PZE-110009551	10	18	29.4	1	8.5	6.5	0.2
PZE-110012360	10	19	32.5	52	10.7	8.7	0.2
PZE-110014332	10	20	33.8	19	11.2	6.3	0.4
PZE-110014082	10	21	35.3	2	12.4	7.2	0.4
PZE-110013212	10	22	36.5	1	7.4	8.6	-0.2
PZE-110103912	10	67	95.7	1	6.5	-9	2.4
PZE-110105233	10	68	96.7	1	8.3	-11.8	2.4
