mk.names	chr	pos.ind	pos.cM	N.QTL	QTL.prof_1	QTL.prof_2	QTL.prof_3	QTL.prof_4	QTL.prof_5	QTL.prof_6	QTL.prof_7	QTL.prof_8	QTL.prof_9	QTL.prof_10	QTL.prof_11	QTL.prof_12	QTL.prof_13	QTL.prof_14	QTL.prof_15	QTL.prof_16	QTL.prof_17	QTL.prof_18	QTL.prof_19	QTL.prof_20	QTL.prof_21	QTL.prof_22	QTL.prof_23	QTL.prof_24	QTL.prof_25	QTL.prof_26	QTL.prof_27	QTL.prof_28	QTL.prof_29	QTL.prof_30	QTL.prof_31	QTL.prof_32	QTL.prof_33	QTL.prof_34	QTL.prof_35	QTL.prof_36	QTL.prof_37	QTL.prof_38	QTL.prof_39	QTL.prof_40	QTL.prof_41	QTL.prof_42	QTL.prof_43	QTL.prof_44	QTL.prof_45	QTL.prof_46	QTL.prof_47	QTL.prof_48	QTL.prof_49	QTL.prof_50	QTL.prof_51	QTL.prof_52	QTL.prof_53	QTL.prof_54	QTL.prof_55	QTL.prof_56	QTL.prof_57	QTL.prof_58	QTL.prof_59	QTL.prof_60	QTL.prof_61	QTL.prof_62	QTL.prof_63	QTL.prof_64	QTL.prof_65	QTL.prof_66	QTL.prof_67	QTL.prof_68	QTL.prof_69	QTL.prof_70	QTL.prof_71	QTL.prof_72	QTL.prof_73	QTL.prof_74	QTL.prof_75	QTL.prof_76	QTL.prof_77	QTL.prof_78	QTL.prof_79	QTL.prof_80	QTL.prof_81	QTL.prof_82	QTL.prof_83	QTL.prof_84	QTL.prof_85	QTL.prof_86	QTL.prof_87	QTL.prof_88	QTL.prof_89	QTL.prof_90	QTL.prof_91	QTL.prof_92	QTL.prof_93	QTL.prof_94	QTL.prof_95	QTL.prof_96	QTL.prof_97	QTL.prof_98	QTL.prof_99	QTL.prof_100
PZE-101000161	1	1	0.1	0	0.0625542569939044	0.0819021950751716	0.474394479901296	0.74795758964892	0.257242432553576	0.0877544686360076	0.0456993040717353	0.0149391936782136	0.214604227080686	1.20862655319455	0.0243721193574582	0.0426674447769718	0.459140007329933	0.166221862886236	0.266749631235678	0.214819628125283	0.0722260960165895	0.25244214735678	0.269961110559033	0.245176252358123	0.0326834011733784	0.0446947904148837	0.127318681935962	0.221896087065513	0.139561895321731	0.0418887928180819	0.444931698671247	0.0385211725442052	0.0556404747171058	0.00320908036957705	0.250586749776876	0.474220101875654	0.0235356743018552	0.032857467991273	0.695920922869047	0.0290807570468108	0.239193160380771	0.41714489024153	0.100961964670115	0.016556060434958	0.0632463936062445	0.0524939643976353	0.333897413733024	0.715238697509929	0.021803893197193	0.104219176419738	0.930913200189926	0.117047203272335	0.00945461792244726	0.032433976527905	0.136438395932355	0.0269067703814555	0.0769650848560286	0.0176910416141617	0.524415731580624	0.0029097523570302	0.268897683917819	0.120921082923024	0.0835936459191874	0.265584255109602	0.347516964504508	0.0374556662047574	0.00898798995305367	0.318963826998337	0.0232074424524701	0.106300815903007	0.873719397542489	0.11369581167319	0.046405312451926	0.00602703183358091	0.162748111995008	0.134921109479309	0.400388341419808	0.0361682665896523	0.0393763555673683	0.0909410840731971	0.0240550653790811	0.219092098563081	0.443323890981684	0.0585569846375884	0.0960797252934083	0.216421771205626	0.0441975643560842	0.779348457341827	0.0951297437574878	0.146382454712461	0.00613168487119078	0.00700500319497812	0.921858881336926	0.432546865790668	0.0448743854645861	0.731887809320075	0.17721089774523	0.381994030404993	0.0618947269484613	0.696314306238514	0.0137872314040835	0.0567438030179349	0.527993642523852	0.0501048818084154
PZE-101000659	1	2	1.9	0	0.062639794283398	0.0819021979105048	0.472415031157351	0.740406346841608	0.247410205933485	0.0936532152268931	0.0471983886485085	0.0149286145307855	0.225912325276928	1.22177234968822	0.0243415736576337	0.0477113307369192	0.425557661114694	0.160301589452041	0.250452670435614	0.229647800291975	0.0824749727428877	0.252759437217792	0.235432242081663	0.245110075258849	0.035440505869837	0.0458081598397527	0.127318451542049	0.235231164124064	0.14717817616819	0.0607563181318703	0.476392762432661	0.0375175698573219	0.0556990702161124	0.00324299675258729	0.256344586426564	0.404847061307771	0.0233816723616328	0.0322767593787385	0.696075575183696	0.0315148091751589	0.277209278948733	0.407330894565494	0.100956584396679	0.0180957402845669	0.0646567152237382	0.0524937944369261	0.338112058225962	0.664887760981296	0.0255263267595728	0.104210674796652	0.913526727359129	0.124396614629188	0.0096874109444953	0.032236158279939	0.132992387692005	0.0371439970897469	0.0768717859129342	0.0264839383257835	0.477056899930399	0.00198370321765791	0.270146385006545	0.118379328583114	0.0921199550104294	0.265641063226122	0.319035863779531	0.0436952621607228	0.0102709622517173	0.319064286330154	0.021768309787336	0.106348165602625	0.928504537527818	0.122105143549204	0.0482293232924315	0.00214565996399109	0.162605710903768	0.148386115979199	0.412947813695703	0.0377135974332884	0.0414555904915249	0.0918235019637505	0.0255892048561823	0.218975248462703	0.443323483813331	0.0607916521050018	0.0998182568141049	0.213299316421603	0.0452507061015388	0.728939864736224	0.095124399644908	0.153861838397543	0.00841388336006575	0.00696937805854962	0.931693427364268	0.432265560448877	0.0447920851291354	0.768130489748525	0.142038956385457	0.379609942062599	0.060470845877533	0.696127335138085	0.0195758661595778	0.0588196416156937	0.573255931699414	0.0462527751077994
PZE-101001110	1	3	2.2	0	0.0625064342623273	0.0819066608494678	0.47241635102419	0.739706946362887	0.248028996784593	0.0930272566389741	0.0470516178880237	0.0150732713369091	0.225912213683313	1.21996813328976	0.0242602675739728	0.047712056209091	0.424448236410816	0.159836190131884	0.250764934522176	0.231283842440001	0.0816056977143363	0.25276194021506	0.235366108547797	0.244750141784016	0.035476589779433	0.0458313706822897	0.12674570309711	0.235231996212867	0.146399731393882	0.0611473806245193	0.476935875165363	0.0374001309700155	0.0554273604326412	0.00324302348945063	0.256345760537712	0.406097042744452	0.0232913541406045	0.03212425062244	0.698952101154464	0.031130507321333	0.27838374106919	0.406660988369741	0.10095694285837	0.0180003702066918	0.064493881271853	0.0525435069446273	0.337881388894188	0.664888281950556	0.025149337916697	0.103924388402792	0.912584992938519	0.123841436794328	0.00965310366958497	0.0322361566425095	0.13268045345576	0.0366236256416373	0.077000894114171	0.0264254225238487	0.477058797921991	0.00198362196799283	0.269790116255638	0.118458938698279	0.0913239470839328	0.266193180474153	0.319407169727953	0.0436826069287534	0.0102711952816998	0.320227189766053	0.0216378923840163	0.106116320899969	0.9246976915726	0.121909253111168	0.0482293479891657	0.0021395962505051	0.162136273606267	0.148387833292091	0.412884983760329	0.0374643168389715	0.0413504048727202	0.0918251460517112	0.0253750422097441	0.219041154232589	0.442292787279834	0.0607752120005214	0.098873658866002	0.212864123926103	0.0450329917271349	0.728943127694803	0.0950016097628675	0.153783444260001	0.00841389157294047	0.00692882700170775	0.930583765381441	0.432163308178836	0.0446346864360781	0.768133447625899	0.142528007102981	0.379637578648621	0.060279202372433	0.696703179281439	0.0191115127877446	0.0585181988926262	0.574242443651912	0.046253138586363
PZE-101002282	1	4	3.4	0	0.136221778926478	0.0251468273724479	0.37252080883834	0.601278217603489	0.259801095453375	0.125468140509115	0.0195761512777091	0.0693329353647832	0.234123133824244	1.47246732795638	0.102619163662364	0.0759973894720154	0.571810118904834	0.143919102827071	0.307636319728948	0.288690898087919	0.143033113394627	0.330387805366828	0.291802256703443	0.227660738442017	0.0159197516478384	0.120406184907265	0.269876306165516	0.231909513242503	0.162009439222024	0.0419129783122774	0.584565518473382	0.100181977496996	0.0378492364876541	0.0210898805606825	0.370121791698077	0.564705558476039	0.039553820265368	0.01930920500626	1.02377999821526	0.0679502188972804	0.212622860281872	0.551287331073685	0.154519826038401	0.0143038134290567	0.0433227947499677	0.0955831183034051	0.310033153488035	0.876054934518208	0.0408734381527412	0.180101455235558	0.905576641996029	0.288882769122482	0.0216624994209085	0.0452454636487688	0.247699182537206	0.0182480282091282	0.13576631849763	0.00521885155580695	0.520142144075601	0.000365432214315802	0.225551462000309	0.203815103963551	0.106781005860601	0.211477785933189	0.306405552595955	0.0326791237510306	0.0268847828850357	0.41702310708307	0.0303092186621423	0.14273606995358	0.805475208954552	0.178979800202199	0.050984412552946	0.0049286699906658	0.227896764899202	0.256031488733827	0.355448211170703	0.0760151872064898	0.0376996712333831	0.140880775939251	0.0201334149055619	0.319571609485244	0.470965460409036	0.0341433697688167	0.0640700210063641	0.349630325738997	0.0474952957806843	0.948952555070835	0.0761268395847098	0.134776067559804	0.0113213228419331	0.0180563612150711	1.00577243451194	0.553799886722711	0.0801009756996681	0.847078960645959	0.167214785674146	0.365682902857721	0.124551647993848	0.611343211507674	0.00868026454270095	0.0451269038358203	0.843710528663803	0.0621323574200121
PZE-101003133	1	5	4.5	0	0.144807533922059	0.0858717545220279	0.501445892819672	0.456709330501217	0.205434313779814	0.0884432826416115	0.00913948900716499	0.103318118216313	0.147476330180654	1.32896112360811	0.0572988356759315	0.0655902922962999	0.540391911985433	0.0932602551750125	0.125874988094778	0.325808755371812	0.0898573505976401	0.333388264100288	0.181312985867628	0.113454577884081	0.0262320417763531	0.137422456384867	0.195837390021423	0.231349426536341	0.0834143267371411	0.0281470146270074	0.450930066562647	0.0888611424778136	0.0187566621431143	0.00925613399749671	0.269977041843203	0.269557897726807	0.0261849185711899	0.0138010805433792	0.880702337254218	0.0330270354960525	0.120208191995252	0.417239140547276	0.0994539936203284	0.0115484536698951	0.0217616737403717	0.0971057372179841	0.320280849747528	0.541623235350913	0.0339581813297718	0.148864990773528	0.703466309132973	0.183980469961738	0.0246829986270095	0.0595657470464049	0.221245063006235	0.00774873674721928	0.0754730599644987	0.00426045024630357	0.459822006124186	0.00257707377101942	0.170642478045937	0.180852075800447	0.092486523750172	0.223310567196566	0.247433609359301	0.0138268866085102	0.0230691094930642	0.270899334850941	0.0150016500282504	0.174391917505751	0.630416052932105	0.148975919914496	0.0462787378972192	0.00169930699381081	0.211021449391548	0.171510124028642	0.264261879148339	0.0582379312321905	0.0468355444654539	0.170675380274215	0.016810553875951	0.225349523156669	0.340674389693147	0.0962732593328694	0.032416426041526	0.285674834038132	0.0542273493261353	0.810293078086954	0.0421716588945933	0.0932633048586308	0.0106789434328904	0.0180463809514441	0.704356440822146	0.64470512152179	0.114410524718286	0.670214373456415	0.0999779410884615	0.318868211514446	0.0909429993004564	0.594996272483732	0.00226110695890839	0.0600498016898598	0.645721451924513	0.0386085745632743
PZA00393.1	1	6	5.7	0	0.146491994036723	0.106358030037816	0.380972412648734	0.357417189232223	0.210574776293295	0.0971707126148076	0.00486480167902472	0.130706266224263	0.129670495452095	1.25179116115321	0.0726591315393886	0.0895868939339483	0.574838998234531	0.0762276195730018	0.106894112540491	0.273236431350157	0.165468000076861	0.334775116088049	0.145423475199576	0.139831162893552	0.0346216113332191	0.156704481299091	0.236667873728946	0.25700386485768	0.0923683033798285	0.0194002106939322	0.461492519827586	0.087283415707673	0.0204181141013351	0.0161201160778773	0.311581128601547	0.306020263473087	0.0246904125845689	0.0277257738152516	0.852245094738717	0.0456435798268411	0.0996621539346849	0.414527386207692	0.0573459578144141	0.0159684550117255	0.0216472137759039	0.115526193492227	0.303533152931089	0.444527515709353	0.0288997744473918	0.137859762558206	0.63917865721587	0.168362484988798	0.0246561005270578	0.108975991926823	0.23034568184724	0.00591485406813947	0.0698422887682207	0.000805077997873692	0.512456034852619	0.00271698990969554	0.144188547919625	0.185076560612439	0.0975616206125721	0.201641228250005	0.197530020274191	0.0104094227304106	0.0168306317129637	0.241158391620269	0.0202960948354419	0.184091781979604	0.706779858580529	0.149556702048158	0.0400870107596452	0.0015821471580543	0.221602840179848	0.205346765449943	0.279335097023188	0.0622235542268591	0.0333626745880121	0.134845310084788	0.0260282029391374	0.264404702224088	0.37925205331597	0.0672780043196588	0.0274628075347563	0.288785131508998	0.0517720991658503	0.853927148236053	0.0307928228408324	0.0974943018141037	0.00437235118269237	0.0172644379732669	0.708453773134831	0.613026953551174	0.102376521879735	0.63085608011594	0.0663073579188785	0.336428811211787	0.0932132466059523	0.657442162894358	0.00150037564646107	0.0495824424499394	0.652849495603611	0.0317796572166119
PZE-101005818	1	7	7.3	0	0.151199098127498	0.10249584629578	0.214892534608294	0.20881215852689	0.173136762748735	0.0729638490765763	0.00142650577606694	0.176027644806431	0.0858294323748692	1.07763126480539	0.0820543699900658	0.0963277252618475	0.561846103188733	0.0394482937803716	0.0765447947723245	0.14315299769497	0.205078931083011	0.267211310518252	0.106305777244532	0.136536348855025	0.0435645322062276	0.184034236635961	0.231175717311869	0.223922844195894	0.0833828674459949	0.00683762995821462	0.363594390462538	0.0999406755386268	0.0177160775915479	0.014877170321101	0.267657283978391	0.197417029313011	0.0281414885390043	0.0575436162808325	0.514116576276128	0.0537616185244197	0.0466006022797927	0.425907435011216	0.0203652164834975	0.013020090456264	0.0179564454256202	0.130704416983479	0.317403599805685	0.266287726003609	0.0270473609683068	0.13844141962712	0.541892390953157	0.12517861040277	0.02221813589578	0.127480814163698	0.239723508060151	0.00227258276568533	0.0543687573851154	0.00066075377186315	0.536679178590831	0.0105373612508308	0.131152006797241	0.182032480401134	0.101142359542014	0.156325480618513	0.132287745594619	0.003746207662452	0.00893758061879881	0.180256855407563	0.0247306059470339	0.181685827673847	0.601959774406538	0.164637414139318	0.0307857015738007	0.0039283905189115	0.234441609306406	0.20461538810432	0.239205257315027	0.0670013579015937	0.0161694854917995	0.133897049304548	0.0498261085772469	0.263377725195486	0.38918396324617	0.0397818884104861	0.0214579076363415	0.342868592882523	0.0479953864499378	0.814888637161784	0.0168066517494545	0.0695829147936999	0.0103037893724879	0.0290156657612976	0.592783968140966	0.516816898302996	0.0955112359878472	0.520146602032607	0.0179091173195603	0.329603771947494	0.0991942261253402	0.725795780212687	0.000621578487183864	0.0429701943329226	0.550096805421864	0.0213853086715379
PZE-101006745	1	8	9.2	0	0.197889944563515	0.102092024268288	0.153694670187514	0.313441033389353	0.202684516922173	0.0993731783494048	0.0117516966595499	0.216950107679085	0.139974368597104	1.15158718173489	0.0995397092921739	0.145049677000724	0.533865426921994	0.0358036104918945	0.218766153410763	0.216169150474106	0.220526693721331	0.393867595509994	0.308659261961815	0.112214034658831	0.0298914269746078	0.33481095415169	0.145895521315878	0.223224749519224	0.184612964836907	0.0402775578043574	0.361179920884805	0.153130426038125	0.0597695956222992	0.00354726388838989	0.212733962725966	0.0914360150470162	0.0842359929098033	0.0549195933642122	0.478302800919127	0.0629111970190821	0.0867985912764688	0.549879184686594	0.0482259245852793	0.00613857869495394	0.0166508076812557	0.195460830009351	0.639325010798398	0.203238857043451	0.0722763548816535	0.183497544550949	0.87235452491064	0.0786514227415181	0.0633869849669847	0.0941290819106276	0.254892734074051	0.00663657974620212	0.0936281451219561	0.00241593029286445	0.708029581915707	0.0261454588046862	0.0629157128947861	0.396916928582734	0.0949648923602097	0.160196880888264	0.207551217580109	0.0042781530985341	0.023201013635138	0.188159589915697	0.0371018516586722	0.168978898229264	0.666518641141139	0.339853580251158	0.0526270495974692	0.00722412782442601	0.287472063933487	0.279432263240926	0.303523462643621	0.0561351108238194	0.049877077084955	0.132933318247357	0.0727912847422534	0.342197623522426	0.348561734547879	0.131691005088042	0.0353029847664272	0.360564002208748	0.059388760291903	1.05575135196928	0.0107386200608478	0.0936397097780063	0.0244780522963877	0.0962463557464278	0.518128747046569	0.774456512146594	0.124293939216998	0.641375173553976	0.040227422639813	0.360882961660358	0.150790755554454	0.904165574455506	0.00743258164418731	0.0833248306556676	0.806610157674168	0.0279755451154706
PZE-101007769	1	9	10.9	0	0.283727183710661	0.136685122595585	0.132034069448242	0.457091299633518	0.269577399836022	0.142602259115823	0.0509944097649379	0.274454451846337	0.227870733866987	1.2092307458032	0.154957780824616	0.254197172001249	0.516385365437877	0.0466241768932339	0.462656328472355	0.305373981262764	0.283016621368297	0.570837331906339	0.622991612064792	0.114616846477062	0.046649773231605	0.519213569313607	0.106678168530111	0.242325311900381	0.337296793715414	0.149526057606858	0.400773296014684	0.260656749062168	0.145029186528201	0.00221370995730647	0.169656959314646	1.45647558538395	0.183767782620187	0.10224227741552	0.505015882427173	0.0919318942096482	0.152183624208905	0.727840212217249	0.098333655242144	0.015689610276717	0.032902389697053	0.336778103934949	0.995443072031484	0.154414761376413	0.166191864507213	0.225846183525575	1.17769427410095	0.0782721198618097	0.167682211210923	0.108043459319694	0.280280011614133	0.0430861139986216	0.188102182597928	0.0100510869875179	0.879458380645346	0.0772820192470945	0.0421357200787015	0.658613829651252	0.12877114081128	0.193364236868824	0.295385968675482	0.0134856371976437	0.0753162613681597	0.244435115698332	0.0914749654566645	0.174152004745321	0.763954495718054	0.528061342501125	0.108069501998635	0.0222700825526217	0.379230521052435	0.359542988613903	0.404658084396561	0.0585868912233704	0.137140558777347	0.162190547583618	0.121554329533026	0.410272195621505	0.332387574903004	0.311783784733946	0.0624675436565466	0.396097150196115	0.100824256199392	1.31172353437536	0.0168838129436394	0.157791985226004	0.0657311804848926	0.21424561127254	0.405959213642086	0.999531594514859	0.173319849498658	0.781516509876755	0.0890570683558665	0.403119439494133	0.251189059075096	1.03917436366688	0.0490722102356225	0.142005839293639	1.02373867308906	0.0642211899754233
PZE-101009163	1	10	12.5	0	0.360860723609134	0.103096437877308	0.0572708639825384	0.494634948472161	0.157698344852263	0.188320445890252	0.0556326054232037	0.167421628703538	0.269211131519117	0.824733126540802	0.0874498460288678	0.186343729388448	0.332574910035191	0.124714921703296	0.600822385321707	0.254036234678181	0.331073526062992	0.250376806739041	0.756028079376679	0.176150932561643	0.0103820822235532	0.512942832222399	0.150631795492339	0.110093791098059	0.356972172873088	0.133510776531333	0.278268175792472	0.271707160255495	0.302454697591875	0.00378831707864359	0.176879093730835	1.60833449936983	0.196825607412029	0.282391258777167	0.41794050316329	0.101454010979218	0.133997014715459	0.621757076695604	0.19280203709469	0.0322738305437412	0.0999425035258849	0.394284333477342	0.873824831016894	0.122906455258601	0.121497672026266	0.257854427893659	1.25202227305353	0.126968115954125	0.0719742672534661	0.0766198169277665	0.17593087058942	0.0415256195983612	0.196251834910736	0.0385149223396987	0.924984042457468	0.0681775711698414	0.0560065445381746	0.692639328411693	0.0233704832136625	0.235861587584515	0.270918889737886	0.0423754148509228	0.0595266927152256	0.199794865005336	0.0956541937248231	0.192016797328077	0.707295198011857	0.638082738933062	0.102093108198958	0.000618921688711979	0.207081308547105	0.454110129117849	0.439374237683164	0.0347781948191353	0.148676762412044	0.295886455874262	0.169340012072323	0.462543900598838	0.186119318339536	0.230421827803831	0.0588466937576094	0.199477432220288	0.0254097638829716	1.51676329450272	0.0863532494312562	0.167967011616575	0.0559355679258462	0.296041109526256	0.635136470139078	0.701177018171189	0.143533892036418	0.663125106713702	0.0479699555763641	0.447430232125391	0.360831446432925	0.749578629917047	0.0679426697175027	0.13065029781623	1.14070410969565	0.0986992186641213
