mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101029123	1	29	34.4	1	0	0	0	1	8	-4.8	1.6
PZE-101037244	1	36	41.3	2	0	0	0	2	7.7	8.4	-0.1
PZE-101059495	1	48	53.6	4	0	0	0	4	9	1.2	0.9
PZE-101065183	1	50	56.2	1	0	1	0	0	13.2	0.2	1
PZE-101070408	1	53	58.9	1	0	0	1	0	12.5	-1.1	1.1
PZE-101071373	1	54	60.4	1	0	0	0	1	8	3.6	0.6
PZE-101076213	1	55	61.6	1	0	1	0	0	11.7	-4.2	1.4
PZE-101089182	1	65	71.5	2	0	0	0	2	7.8	2.2	0.7
PZE-101180531	1	110	118.4	2	0	1	0	1	11.4	-8.3	1.7
PZE-101184638	1	112	121	7	0	7	0	0	15.6	10.9	0.3
PZE-101187227	1	115	123.7	1	0	1	0	0	17.2	20.3	-0.2
PZE-101190874	1	117	126.1	5	0	0	5	0	16.2	-5	1.3
PZE-101196460	1	120	128.5	16	0	16	0	0	16.5	4.2	0.7
PZE-101205523	1	128	136.8	1	0	0	0	1	8	14.8	-0.8
PZE-101208550	1	130	139.6	8	0	1	7	0	15.1	1	0.9
PZE-101209857	1	132	142	1	0	1	0	0	15.5	-3.7	1.2
PZE-101211929	1	133	142.9	2	0	2	0	0	18.3	18.8	0
PZE-101216712	1	134	144	6	0	6	0	0	14.7	7.2	0.5
PZE-101213727	1	135	144.9	1	0	1	0	0	18.2	-6.9	1.4
PZE-101236600	1	147	157.6	1	0	1	0	0	15.5	5.4	0.7
PZE-101238451	1	148	159	9	0	9	0	0	15.9	0.2	1
PZE-101235852	1	149	159.7	2	0	2	0	0	15.6	7.5	0.5
PZE-101239143	1	151	162	1	0	0	1	0	11	0	1
PZE-102002003	2	5	4.4	1	0	1	0	0	12.3	-8	1.7
PZE-102016761	2	16	21.7	1	0	1	0	0	13.7	13.1	0
PZE-102024868	2	25	32.4	8	0	8	0	0	15.8	6.2	0.6
PZE-102031950	2	28	38.3	1	0	1	0	0	16.2	-8.3	1.5
PZE-102039168	2	34	45.3	1	0	1	0	0	12.8	-11.7	1.9
PZE-102064002	2	48	60	39	0	1	0	38	11.4	7.8	0.3
PZE-102065225	2	49	61	14	0	1	0	13	11.3	12.8	-0.1
PZE-103107305	3	61	70.9	1	0	0	0	1	6	6	0
PZE-103106913	3	62	71.9	1	0	0	0	1	7.8	-8.4	2.1
PZE-103109369	3	63	73.4	1	0	0	1	0	14.2	3.4	0.8
PZE-103119393	3	69	79.1	1	0	0	0	1	10.3	-5.2	1.5
PZE-103169740	3	111	126.7	2	0	0	2	0	12.8	17.2	-0.3
PZE-103171398	3	112	127.7	1	0	0	1	0	10	0	1
PZE-103173540	3	113	129.3	1	0	1	0	0	15.1	8	0.5
PZE-103183711	3	126	144.5	1	0	1	0	0	13.9	-6.7	1.5
PZE-103184380	3	128	146.9	3	0	0	3	0	13.8	0	1
PZE-103185158	3	129	148.1	19	0	3	0	16	9.5	7.4	0.2
PZE-103186727	3	130	149.5	3	0	0	3	0	11.9	5.4	0.5
PZE-104076572	4	46	56.5	8	0	0	0	8	8.7	-1.9	1.2
PZE-104086655	4	52	62.1	3	0	0	0	3	10	-12.5	2.2
PZE-104086676	4	53	63.3	2	0	0	0	2	8	-20.4	3.5
PZE-104098756	4	64	75.2	1	0	0	0	1	7.7	-3.8	1.5
PZE-104101269	4	67	78.7	4	0	0	0	4	8.8	-4	1.5
PZE-104103602	4	69	81.1	1	0	0	0	1	7.6	-5.2	1.7
PZE-104104505	4	71	82.3	1	0	0	0	1	10	-12.6	2.3
PZE-104106033	4	73	85.8	1	0	0	0	1	8.7	-3.2	1.4
PZE-104107703	4	74	86.7	1	0	0	0	1	9.6	3.9	0.6
PZE-104108744	4	78	90.3	1	0	0	0	1	7.8	-26.4	4.4
PZE-104114385	4	85	99.1	1	0	0	0	1	7.6	5.9	0.2
PZE-105147471	5	80	96	2	0	0	0	2	9.9	-1.8	1.2
PZE-105148186	5	81	97.4	1	0	0	0	1	5.8	-3.9	1.7
PZE-105147666	5	82	97.6	3	0	0	0	3	7.7	8	0
PZE-105151400	5	83	99.7	2	0	0	0	2	8.8	-12.5	2.4
PZE-106001418	6	2	1.9	1	0	0	0	1	7.9	-11.2	2.4
PZE-106001656	6	3	2.6	1	0	0	0	1	8.4	1.5	0.8
PZE-106034708	6	15	15.9	6	0	0	5	1	14.1	0	1
PZE-106039880	6	16	17.1	1	0	1	0	0	9.6	12	-0.2
PZE-106040089	6	17	18.1	2	0	0	0	2	8	-2.6	1.3
PZE-106040890	6	19	19.4	9	0	0	0	9	8.9	1.3	0.9
PZE-106042795	6	20	20.6	2	0	0	0	2	7.2	-2	1.3
PZE-106050388	6	27	28.4	7	0	0	0	7	8.6	8.4	0
PZE-106053072	6	29	31	1	0	0	1	0	10.5	0	1
PZE-106051814	6	30	31.1	1	0	0	1	0	8.3	0	1
PZE-106052773	6	31	33.1	3	0	0	3	0	10.8	0	1
PZE-106059969	6	37	39.5	2	0	0	1	1	8.7	-1.4	1.2
PZE-106060570	6	38	40.9	1	0	0	0	1	12.3	-8.2	1.7
PZE-106060535	6	39	41.7	2	0	0	2	0	10.9	-1.1	1.1
PZE-107019914	7	31	41.4	1	0	1	0	0	13.2	-11.9	1.9
PZE-107021022	7	32	42.5	1	0	1	0	0	14	19.3	-0.4
PZE-107049870	7	33	43.2	2	0	2	0	0	14.2	11	0.2
PZE-107023670	7	34	44.1	6	0	1	0	5	9.3	1.2	0.9
PZB00175.6	7	37	47.6	1	0	0	0	1	9.8	2.7	0.7
PZE-107061406	7	39	49.3	6	0	2	4	0	13.3	0.1	1
PZE-107063166	7	44	54.7	3	0	0	3	0	10.3	0.6	0.9
PZE-107066392	7	46	57.4	14	0	0	0	14	9.2	2.2	0.8
PZE-107066645	7	47	58.2	1	0	1	0	0	13.9	-2.3	1.2
PZE-107069959	7	51	62	1	0	1	0	0	13.6	-11.5	1.8
PZE-107073395	7	55	65.9	1	0	0	1	0	15.8	0	1
PZE-108005623	8	11	15.4	2	0	0	1	1	11.1	2.4	0.8
PZE-108007891	8	15	19.6	1	0	1	0	0	13.5	6.5	0.5
PZE-108008540	8	16	20.9	1	0	0	0	1	7.9	0.5	0.9
PZE-108009299	8	17	22.4	1	0	0	0	1	9.1	6.1	0.3
PZE-108009465	8	18	24.1	2	0	0	2	0	9.1	0	1
PZE-108011044	8	20	26.5	1	0	0	1	0	11.8	0	1
PZE-108011830	8	22	28.2	1	0	0	0	1	12.1	27.6	-1.3
PZE-108055224	8	40	50.2	1	0	1	0	0	16.7	13.4	0.2
