mk.names	chr	pos.ind	pos.cM	QTL.eff	R2.diff	adj.R2.diff	R2.sg	adj.R2.sg
PZE-101127891	1	504	80.4	par	4.24	3.73	3.78	2.41
PZE-101187682	1	803	123.6	anc	7.2	7.02	11.49	10.49
PZE-101238744	1	1054	162.5	anc	3.42	3.18	6.83	6.04
PZE-103069166	3	193	49.4	biall	2.56	2.58	2.08	1.8
PZE-103122604	3	446	83	biall	4.47	4.63	3.96	3.69
PZE-104069347	4	208	54.9	biall	2.79	2.83	5.26	4.99
PZE-106060535	6	253	41.7	anc	7.13	7.12	5.69	4.89
PZE-107072681	7	258	63.2	biall	3.99	4.11	7.47	7.21
PZE-108009299	8	55	22.4	biall	3.38	3.46	3.19	2.92
PZE-109085971	9	339	67.8	anc	5.83	5.57	9.93	8.91
