mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH250	Mo17	W117	EC169	B73
PZE-101000083	1	1	0	0.371204208418377	1	0.998572104475399	-0.115488310270032	0.270959667040439	-0.871442135385219	-0.271913465322041
PZE-101000161	1	2	0.1	0.00259666732995772	1	-0.915640670487556	1	0.978332023435228	-0.915640670487556	0.978332023435228
PZE-101000344	1	3	0.7	0.312122423429185	1	-0.906895406309436	1	0.270818969912987	-0.906895406309436	-0.271841018737634
PZE-101000424	1	4	0.8	0.311914946941791	1	-0.906786221154137	1	0.270847600775366	-0.906786221154137	-0.27206956112198
PZE-101000370	1	5	1	0.26328798152981	1	-0.916271030670968	1	1	-0.916271030670968	-0.273035412738964
PZE-101000754	1	6	1.4	0.259082238519865	1	-0.915826178880987	1	1	-0.915826178880987	-0.276960010617706
PZE-101000169	1	7	1.5	0.257588408366514	1	-0.915716003133122	1	1	-0.915716003133122	-0.278368451216427
PZE-101000256	1	8	1.7	0.254089264175675	1	-0.915497526116735	1	1	-0.915497526116735	-0.281700923694387
PZE-101001094	1	9	1.8	0.122563365202611	1	-0.914969043132308	-0.851857668400212	-0.851857668400212	-0.914969043132308	-0.283737371578656
PZE-101000659	1	10	1.9	0.0849686373304866	1	-0.548291425314481	-0.860445551531298	-0.860445551531298	-0.548291425314481	-0.548291425314481
PZE-101001110	1	11	2.2	0.0845156091215805	1	-0.549452361465338	-0.86044220445488	-0.86044220445488	-0.549452361465338	-0.549452361465338
PZE-101000431	1	12	2.3	0.0873822382318915	1	-0.547992156285942	-0.838607252455026	-0.838607252455026	-0.547992156285942	-0.547992156285942
PZE-101000442	1	13	2.4	0.0899861838110535	1	-0.548098033479117	-0.816802401020001	-0.816802401020001	-0.548098033479117	-0.548098033479117
PZE-101000530	1	14	2.5	0.0929421375580637	1	-0.54820668705207	-0.795049701306527	-0.795049701306527	-0.54820668705207	-0.54820668705207
PZE-101001114	1	15	2.6	0.096306109723961	1	-0.548187230968557	-0.773363593019313	-0.773363593019313	-0.548187230968557	-0.548187230968557
PZE-101001280	1	16	2.7	0.100027625898401	1	-0.548168662953958	-0.751786361743325	-0.751786361743325	-0.548168662953958	-0.548168662953958
PZE-101000673	1	17	3	0.162386997915833	1	1	-0.688038914622499	-0.688038914622499	1	1
PZE-101001107	1	18	3.1	0.175763162514583	1	1	-0.667170503762724	-0.667170503762724	1	1
PZE-101002282	1	19	3.4	0.630347406491782	1	-0.998909077612573	-0.037535829421747	0.239374913987006	-0.981674875335806	-0.291853772802742
