mk.names	chr	pos.ind	pos.cM	N.QTL	QTL.prof_1	QTL.prof_2	QTL.prof_3	QTL.prof_4	QTL.prof_5	QTL.prof_6	QTL.prof_7	QTL.prof_8	QTL.prof_9	QTL.prof_10	QTL.prof_11	QTL.prof_12	QTL.prof_13	QTL.prof_14	QTL.prof_15	QTL.prof_16	QTL.prof_17	QTL.prof_18	QTL.prof_19	QTL.prof_20	QTL.prof_21	QTL.prof_22	QTL.prof_23	QTL.prof_24	QTL.prof_25	QTL.prof_26	QTL.prof_27	QTL.prof_28	QTL.prof_29	QTL.prof_30	QTL.prof_31	QTL.prof_32	QTL.prof_33	QTL.prof_34	QTL.prof_35	QTL.prof_36	QTL.prof_37	QTL.prof_38	QTL.prof_39	QTL.prof_40	QTL.prof_41	QTL.prof_42	QTL.prof_43	QTL.prof_44	QTL.prof_45	QTL.prof_46	QTL.prof_47	QTL.prof_48	QTL.prof_49	QTL.prof_50	QTL.prof_51	QTL.prof_52	QTL.prof_53	QTL.prof_54	QTL.prof_55	QTL.prof_56	QTL.prof_57	QTL.prof_58	QTL.prof_59	QTL.prof_60	QTL.prof_61	QTL.prof_62	QTL.prof_63	QTL.prof_64	QTL.prof_65	QTL.prof_66	QTL.prof_67	QTL.prof_68	QTL.prof_69	QTL.prof_70	QTL.prof_71	QTL.prof_72	QTL.prof_73	QTL.prof_74	QTL.prof_75	QTL.prof_76	QTL.prof_77	QTL.prof_78	QTL.prof_79	QTL.prof_80	QTL.prof_81	QTL.prof_82	QTL.prof_83	QTL.prof_84	QTL.prof_85	QTL.prof_86	QTL.prof_87	QTL.prof_88	QTL.prof_89	QTL.prof_90	QTL.prof_91	QTL.prof_92	QTL.prof_93	QTL.prof_94	QTL.prof_95	QTL.prof_96	QTL.prof_97	QTL.prof_98	QTL.prof_99	QTL.prof_100
PZE-101000161	1	1	0.1	0	0.102082309987552	0.223636207051464	0.144261737388364	0.0150707212577126	0.123410710969261	0.197246998054713	0.246091888311684	0.114013663510096	0.124608945754532	0.128764324262237	0.0534370771809132	0.292829869578649	0.0414770201972328	0.417096857997167	0.0521909953516676	0.118781566259096	0.0119068731382745	0.0984129341603988	0.119658003451081	0.277524707064727	0.180808169129669	0.0571072870815719	0.158788777048474	0.201688303307352	0.0793207999269198	0.156456044578482	0.552185830268737	0.0602918127745271	0.323858235128542	0.158246320072884	0.324501475211522	0.0993200781173885	0.106796755906647	0.0447888095786331	0.100860087033608	0.393622597880702	0.0577278546759345	0.524658942134404	0.160142223563583	0.104663452940958	0.0845143303914402	0.154229532933789	0.0945561890460965	0.0608643126392997	0.168086755769447	0.0313265862540437	0.0579004305063369	0.220077847563135	0.165656221809128	0.0319749244404839	0.0258926653256664	0.133931996601417	0.20604630999943	0.493809482743027	0.229465055243107	0.0359878074981034	0.507006425614344	0.20684548631458	0.421701075165568	0.206940947424103	0.305109150373808	0.149927170627883	0.0911557014162211	0.247393790993992	0.0682809054117701	0.0430610605027534	0.254492213423641	0.0295789921018491	0.0153562632479358	0.125603938946451	0.031315334418882	0.0369471309011161	0.422833710449819	0.101544777885774	0.0448446749819888	0.255534411993727	0.124665054108246	0.0858717959506169	0.0160914738995974	0.0340824101564219	0.0342212551850163	0.0878153124007324	0.149546604519476	0.0284867411758715	0.170239171299497	0.54210181209518	0.0604827403793415	0.0214262146070057	0.00991445164677494	0.0620797532225878	0.16406164196435	0.482724864405682	0.221333197632727	0.00334523307276715	0.430471656091706	0.114234515914649	0.194246849525826	0.409151637266257	0.166947956522006	0.0108095737109931
PZE-101000659	1	2	1.9	0	0.26283698737847	0.193400517198422	0.206363339681457	0.07161001877645	0.153923967212979	0.25228844859526	0.331701981721072	0.0400369725762878	0.132256713327912	0.0282436301031653	0.178711982247891	0.202341705357087	0.0466193314724147	0.473639453349476	0.0237449519843353	0.215090839919473	0.0911456575840934	0.055040528989101	0.115371588814786	0.218384741232125	0.00608584832207461	0.00576019496443461	0.198136855391868	0.327624154413362	0.00227339540231641	0.0339117736125315	0.443812565686339	0.0430970183869691	0.281962851064594	0.228440222421088	0.269744527387366	0.0465896902144175	0.160382324369261	0.0856893626560395	0.091665833571417	0.588545083395247	0.00578398208918197	0.530121894414931	0.166046106724996	0.120269111645194	0.00211163182432557	0.146121944168134	0.0832915676462802	0.0674455729755683	0.294855945342878	0.0662923192765045	0.115011615603171	0.165731405237335	0.157436226368799	0.0534729518066436	0.173458625060381	0.0776836231658238	0.232466941372714	0.62599118489869	0.337754071031574	0.0379405329006873	0.456542246802839	0.211367802672343	0.350501429735556	0.0430709637675614	0.256696038780362	0.271706797982713	0.150232302505382	0.147640150286237	0.10845011274485	0.00799386213757648	0.2587302588555	0.144719709227649	0.14352370506627	0.0612856599102563	0.0224610300375739	0.00274899350962899	0.48226312467355	0.0627080780138543	0.00107939123646435	0.299428671958558	0.143593394756772	0.143884931189673	0.0152262590892297	0.0158801275408072	0.0694727683856831	0.133807511791016	0.135390718349993	0.11079802668071	0.222013109609591	0.592919942252005	0.0665430137977664	0.144984783906096	0.03782068448731	0.0853610964101096	0.222966735237164	0.640173351767609	0.18165814917619	0.0608647949067268	0.398921050323921	0.0903095462308088	0.303392550229399	0.452262808673825	0.324987754921511	0.0752369394079412
PZE-101001110	1	3	2.2	0	0.255822361692842	0.193400517198422	0.190657025149616	0.0644941116020816	0.139355158423532	0.247454000602793	0.354632542851579	0.0557948173019002	0.132256713327912	0.00302075970509027	0.208267392572843	0.202341705357087	0.0302243856742992	0.44283460501329	0.0116251136342733	0.2021099191909	0.0911456575840934	0.0367447845539115	0.105813984678778	0.209806279865315	0.0112585198121288	0.0177524990098739	0.166519033544623	0.308869075753742	0.00227339540231641	0.0728987938867015	0.45507973247194	0.0432592507847253	0.269365846844981	0.228440222421088	0.310486713559266	0.0548979756909331	0.160382324369261	0.074895245696103	0.0753516901540237	0.562148199953623	0.0244132604710326	0.487600300559628	0.166046106724996	0.095972835258484	0.010790792178453	0.126850423127928	0.102586753814851	0.0674455729755683	0.295670118946626	0.049994958693809	0.0726301744797393	0.124516125038816	0.147930715229646	0.0534729518066436	0.183619818086267	0.0776836231658238	0.257681389313152	0.59732138684882	0.301620932812594	0.0331646243770931	0.428083992933078	0.191451960582609	0.308059490629298	0.0430709637675614	0.222557674180192	0.250162790165235	0.150232302505382	0.160949832378415	0.125459811740857	0.00165810980598682	0.233921317276245	0.131174741355579	0.171756273775673	0.0612856599102563	0.000817826081008924	0.00274899350962899	0.451895305051477	0.0822418384675196	0.0136981942789703	0.275588654339376	0.118165291924964	0.143884931189673	0.0292626380194582	0.000239869419780281	0.0513251858477542	0.124754248904224	0.135390718349993	0.101932926810831	0.199953785325411	0.592919942252005	0.0626603884753507	0.146536666746143	0.052374068286098	0.0680336493921869	0.222966735237164	0.620124326047259	0.170429981847278	0.0439517915555505	0.431229139052488	0.105847665730995	0.280562487281226	0.452262808673825	0.292652970097784	0.0704259312243217
PZE-101002282	1	4	3.4	0	0.0948869757807296	0.276954832195878	0.0373544952642821	0.159473612853788	0.153097707650632	0.0782294702635552	0.720724289726989	0.138791667738274	0.0655071626120727	0.0523644179982919	0.479392809042313	0.210202200512606	0.08501174131016	0.194695856690577	0.142227069769689	0.0315348051062972	0.052315442608728	0.0561137495676647	0.0509188712585969	0.294694480834395	0.128775095343703	0.0875503795626139	0.0318034981489725	0.168413575572661	0.142295323462235	0.0624228906830991	0.778026987414368	0.140714450002031	0.0449206067982504	0.177557582861744	0.37878677725871	0.304596349788103	0.0174163823643532	0.0329163803139115	0.0242394135417523	0.343504450949852	0.0532521775288915	0.31959645492651	0.0567847043840528	0.040641181496302	0.0611739643225541	0.0336839768935903	0.336945472607246	0.0940887825816839	0.0365172075263991	0.0729127956197726	0.0529749587061953	0.0668947590378002	0.10557013209585	0.0398793025020119	0.489775064695312	0.12758766356138	0.248967128519735	0.38584859577734	0.110967915663685	0.196827106308503	0.251555591375958	0.0177116581606869	0.371914596652263	0.233339578552133	0.0250241337529526	0.143117343617855	0.00271075772811993	0.220458166511751	0.207476811367438	0.0700556876337445	0.0516144031284745	0.0749087632957393	0.272671355096665	0.279758247243461	0.218307109688157	0.0603153190654781	0.249076045424658	0.238759547606173	0.0872632131561125	0.124767981178114	0.0511431620058338	0.137347032689287	0.161360909336671	0.0951714846381078	0.0608535738938811	0.0589932661785581	0.145821256681041	0.0350714837194661	0.0603030525477526	0.486171955304374	0.0535965625206818	0.0306350910097768	0.211539830039678	0.000888998438418318	0.165027258897668	0.21283884347582	0.159272466774649	0.130688000231588	0.629059045705639	0.316032728561916	0.131997134523339	0.790010227563999	0.0550848584601628	0.0793625706799999
PZE-101003133	1	5	4.5	0	0.0167426801434673	0.379665086107089	0.0864274972941255	0.161905602597376	0.0408209766192921	0.00557245230480174	0.594701108824129	0.422912561216493	0.0698798176502325	0.308021944778792	0.333630377442251	0.321176378711133	0.225466124526205	0.0965423530141371	0.189203007422084	0.0415851745252272	0.0767791646731456	0.0691288040488428	0.0292541585193705	0.357662194719592	0.343154745340611	0.262873925647291	0.0321023771707092	0.123193541171001	0.0822286628481216	0.131344067934906	0.838954539232064	0.241668373675971	0.0026718503116223	0.0488017846809054	0.493326486589194	0.245487790821146	0.0534121846621672	0.261573522731672	0.0292706283953711	0.309501456599289	0.0657725651806654	0.448579378610302	0.0214933778678425	0.0677479092142003	0.00459514518038635	0.0394213651030605	0.418150206175392	0.0549762979126526	0.0657211892004398	0.0975757100170145	0.128118826271594	0.0263545267714432	0.0383398963396923	0.056183221851659	0.187184347171839	0.190010638737039	0.353595072544181	0.246656919885328	0.0178729195322233	0.110007584040717	0.212078841265698	0.00373640810341446	0.334845375483661	0.412044984235946	0.00355148076622837	0.0740576724908177	0.0320067038895452	0.238010155480399	0.219451312797092	0.128607374178703	0.00171285910590558	0.0557247316159658	0.135532413570342	0.375449804505826	0.364860070014378	0.0907778665925424	0.188813242608263	0.249741981853971	0.107321700722971	0.0569089775349551	0.0984747426078958	0.0196689791665225	0.172083511765337	0.211524215651409	0.0428832026904841	0.0992093157004295	0.274101749100023	0.0519812010011616	0.00372046552752086	0.427375917849202	0.0141833359172317	0.214670880791565	0.209962808596915	0.0423908293720261	0.100689210090894	0.217968949511886	0.0920205826594884	0.166505238550596	0.69606329694327	0.288015330526962	0.115771894244846	0.636500197683746	0.0457949365532852	0.0919301912862282
PZA00393.1	1	6	5.7	0	0.225901028784427	0.213003590609722	0.659047310341921	0.67647987579201	0.0521204179221583	0.134015373515323	0.984187651136168	0.102624406570338	0.113788043377232	0.310742331494541	0.715851668677884	0.451511765430201	0.318251625319231	0.185486588279292	0.283519533370352	0.211347109086735	0.209094988035482	0.0597006322135515	0.556950154255638	0.412390551918081	0.376523239791839	0.492041640496104	0.0781243342863529	0.00583341794179329	0.343092798330085	0.304503232470364	0.559830527192928	0.380152959178466	0.120925356514158	0.0169306819046545	0.516074157820793	0.407813278780609	0.127758648185105	0.167803962165418	0.109727279992496	0.333024579989794	0.264293250675744	0.561567911288168	0.00458430903739765	0.408887814943758	0.0879529074400999	0.268256341541097	0.255523719562461	0.300011384214049	0.33813953030504	0.329793728500245	0.103130262638696	0.090598102180281	0.322150443368426	0.0911393487794912	0.343051567080364	0.364339082089482	0.160416268583844	0.043611653403611	0.162061699088834	0.306145495751002	0.353210342430939	0.0433623814469846	0.122495969369356	0.706800554209037	0.0580832453552886	0.0703001629175254	0.206476455624801	1.05324021544775	0.255434452763311	0.144486334263695	0.272530154117844	0.0555871651561896	0.213642161473901	0.539669357768283	0.483000254448784	0.552261232759198	0.1481662647834	0.640998966853471	0.0557661259243522	0.00584712426866826	0.396476214297071	0.0435253923235204	0.388041124658507	0.563867296961485	0.225252931675627	0.229204909021174	0.231184967667723	0.111695408324039	0.265599958159964	0.0820768671907749	0.0931664509432427	0.278345124642994	0.0790405144199285	0.284827538848935	0.018341827524511	0.268619963681671	0.0165842560819747	0.715286388090294	0.676906544260729	0.406366186261703	0.0554193043853292	0.450576940352242	0.124149501540666	0.184740943308172
PZE-101005818	1	7	7.3	0	0.0649403945984112	0.336089507693078	0.19327690705099	0.102376387632734	0.136399487468755	0.024671907200901	0.84178638154335	0.222627516098361	0.0115558370297463	0.175264912574498	0.422045936583913	0.217168123497723	0.163241506483227	0.106539073733568	0.158808637384789	0.0604189042018207	0.0390263246600431	0.128768903990198	0.192898291841074	0.41940920425825	0.253381771367833	0.105427029348346	0.0363054491857073	0.0627630940078283	0.248658612649741	0.108585711966188	0.853255135562056	0.153785863118425	0.00170050671660677	0.112534729424909	0.365277507597784	0.254352326919723	0.0120937748051985	0.0927035757504203	0.103343644555047	0.295865599833604	0.0251279807537109	0.380810573365915	0.0529436173135111	0.119031198536973	0.0534634845423462	0.139956132939378	0.303566127172682	0.125362999010019	0.129288729514814	0.177468588878336	0.0338844654112679	0.12903330219984	0.0220432529429857	0.059873884983982	0.369155015466581	0.266116157953457	0.231935632505062	0.323789298453301	0.0846055502557526	0.19885687468431	0.13983198280162	0.0298800477774153	0.451707441161996	0.33559447510187	0.0354625065178608	0.0824359491852161	0.0301256188726234	0.261509356255169	0.224081783590227	0.0992091007314576	0.0550725050435149	0.0624309200343871	0.099667994355061	0.229343947848969	0.196584481235851	0.156297913658882	0.194898403863518	0.271140158825164	0.186628151346899	0.174185264036249	0.00787307623614799	0.0735984145324658	0.22842452076323	0.331723790464992	0.00864517771811773	0.143925786764817	0.290576857868415	0.0220150866806868	0.027614697848902	0.462652327403778	0.0953959200806725	0.157390656276907	0.196502397216917	0.0628985598731878	0.0543427855039249	0.249350584697386	0.0609904513446637	0.440083979682314	0.583666244826182	0.372094893227889	0.163856383086891	0.487649571124707	0.0156825279970426	0.0651386849652858
PZE-101006745	1	8	9.2	0	0.0843591608085495	0.0434959710548913	0.146736823529027	0.548653759576521	0.0238230672400946	0.123800826833568	0.114995845778932	0.0864195489286071	0.149990231959447	0.225051133970552	0.0378506545861578	0.0972399793341111	0.0389689681784003	0.12358504266126	0.0380223975990403	0.363186341790147	0.179967953315281	0.105900572709971	0.391859088073745	0.165957536241825	0.145412838600725	0.437830772885207	0.669120099122727	0.0027494753487753	0.290926163477815	0.0652300069665647	0.0284565125167306	0.227837809663083	0.0525904455427213	0.185897403147361	0.145105180277783	0.0988713524138763	0.307156188565026	0.141426960328203	0.0746430862745746	0.0392016994212807	0.345560967618705	0.0173643246333252	0.114066360160319	0.0567407606458471	0.229969749254284	0.0160493510435042	0.0980127202357009	0.263012235071652	0.232725758403107	0.00730910923903319	0.117536767127041	0.165557188181941	0.500222893412004	0.165003945159303	0.222521294942142	0.0761387657483607	0.0952407595041507	0.346393990270937	0.227482958072653	0.0968124988819567	0.348198434810635	0.238641391028358	0.64769281744211	0.179275280740056	0.0581552485456996	0.00305746833569217	0.511630013747684	0.132669708458354	0.0203312123672699	0.00661889434810482	0.145045250161469	0.0137385507070138	0.00384270317396192	0.345861463191296	0.0269610987341741	0.623941426019412	0.0137955304157719	0.245829643468595	0.189014659276592	0.198477690140811	0.343325599109272	0.0491596736499567	0.0683534171258314	0.0977299378856642	0.251489548974577	0.0520469407910664	0.0801519653621195	0.177228144996741	0.11149167243598	1.08984409911628	0.000403644062141669	0.100762489878881	0.271058944074195	0.258506610109406	0.13434597781758	0.996076532411794	0.104415790578746	0.027631167771433	0.119711740851582	0.168507376482163	0.994129320166553	0.417457796484082	0.0619959863895579	0.246939017674782
PZE-101007769	1	9	10.9	0	0.178018519588011	0.357347359257417	0.872196474369346	0.171635134889643	0.037632189242564	0.263907098871182	1.33532083833992	0.0503075451169072	0.0601391606677024	0.413463437252486	1.23168211198142	0.224373585796603	0.280271249413508	0.0208518129429947	0.495940131210902	0.150193363083172	0.07008953196892	0.334007663292943	0.288657123858045	0.764787966947033	0.0704544949328323	0.533673463935835	0.172489434170725	0.171977985561925	0.725502433175813	0.303627191185154	0.373374096779189	0.216183463216475	0.372801686763182	0.0373430652705083	0.518167331366373	0.672869089370714	0.0401478870822208	0.12762143480114	0.205049510720095	0.0677519524601963	0.391911370644607	0.517498571473682	0.0682711925974588	0.69557986759925	0.0601742843902981	0.739831705719818	0.335584860962207	0.131550448624544	0.527312889837922	0.369937724156255	0.158728482477774	0.442413647048573	0.0525789357400795	0.132246609519517	0.566719498093315	0.641990368628101	0.239475351367023	0.0735882913458765	0.287926315454336	0.523665783105759	0.0141976434377202	0.101428228124546	0.0707846640763131	0.364318857438847	0.226916129877852	0.218821795080824	0.0340654005278023	0.508752818289595	0.523968497743911	0.255562736066951	0.266846068868361	0.00959790366417685	0.384017069451105	0.387979926254406	0.604395318443918	0.08464020532399	0.0428405703393617	0.523359500320573	0.448936023999971	0.044702276581128	0.301266750363049	0.0862428628157747	0.415220205263547	0.741343110820775	0.187873978354342	0.160326479279283	0.476117664120107	0.0133936887166354	0.235087081057956	0.174018767878006	0.0973137769626555	0.194717181569302	0.39017180489201	0.322455959017489	0.0420298251243694	0.0618255273241938	0.0708619206742759	0.5081168585311	0.556959789654955	0.455397333783881	0.00110044346299071	1.00112310070217	0.15242019899837	0.0619709256384521
PZE-101009163	1	10	12.5	0	0.206551291270571	0.848988805551499	1.29124765237174	0.721668551309332	0.0784472825479297	0.315100049847542	2.11797808426828	0.299078831551639	0.18690454800846	1.10766870530492	1.32044096756919	0.589828390551118	0.610841283033342	0.160335124575841	1.06803814919268	0.712282326509009	0.403951040678547	0.459255710283306	1.11798904986913	0.809998573654189	0.521318105641044	0.799561622706913	0.548263037421988	0.391323531009859	1.04791377996402	0.607152637606674	1.19837843760301	0.760151131874604	0.627371789920721	0.164443472326983	0.633451887423795	0.886503198288124	0.527881517320271	0.479038667572635	1.05097169142172	0.140809730395305	0.693899627315185	1.73803185458902	0.242969516943383	0.650384232142511	0.138298824054233	1.03732660105885	1.16810131920674	0.900777539149159	0.532687977878299	0.877810961996576	0.534677102788403	0.852719873770985	0.4345393281351	0.550384656609112	1.13931563878798	0.93256941730215	0.319849855040789	0.0684526844400511	0.391468593268345	0.855571176116998	0.0344178015926649	0.677699705124543	0.259495073746235	1.09090013205454	0.486741437485506	0.223222581306759	0.574668168082439	1.21710776455183	0.651421113117777	0.637811783934112	0.62522864457598	0.520425477716194	0.482013954814786	0.955487768133461	0.79814965701123	0.820003833869359	0.0237371532043436	1.392255811293	1.02005092135065	0.341505852498979	0.773124545749525	0.48808432631494	0.718071584148046	1.12841531846907	0.461925459140604	0.592443150454465	0.997564662752124	0.377025488880548	0.538523681365341	0.399187835904842	0.335324569463402	0.427468760514494	0.665153472350688	0.788603321101793	0.179255824864093	0.661129337682382	0.444039271441524	1.20362074521054	1.38003850184634	0.687697098600173	0.627689314025872	1.27927604821317	0.296728431959485	0.625181063572087
