mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101082552	1	60	66.6	1	9.2	-8.4	1.9
PZE-101109101	1	71	78	2	10.5	-4.8	1.5
PZE-101124014	1	72	79	2	9.1	1.6	0.8
PZE-101129171	1	73	80.1	4	8.1	0.8	0.9
PZE-101129154	1	74	80.2	20	9.6	3.1	0.7
PZE-101129681	1	75	81.3	11	9.5	3.3	0.7
PZE-101134461	1	76	82.7	1	11	3.5	0.7
PZE-101143233	1	80	86.8	2	7.1	0.7	0.9
PZE-101184461	1	113	121.8	1	9.1	-1.3	1.1
PZE-101189338	1	114	122.5	1	14.9	6.3	0.6
PZE-101187227	1	115	123.7	26	14	11.3	0.2
PZE-101189687	1	116	124.4	18	13.3	8.1	0.4
PZE-101196460	1	120	128.5	5	13.8	17.5	-0.3
PZE-101196337	1	122	130.4	9	13.3	8	0.4
PZE-101199192	1	123	132	1	11.1	1.4	0.9
PZE-101198568	1	124	132.9	1	11.7	13.6	-0.2
PZE-101199017	1	125	133.8	18	13.5	9.5	0.3
PZE-101201013	1	126	135.2	1	17.7	11.3	0.4
PZE-101205734	1	127	136.4	1	15.2	10.6	0.3
PZE-101205523	1	128	136.8	2	12.1	6.8	0.4
PZE-101208550	1	130	139.6	12	14.3	6	0.6
PZE-101211929	1	133	142.9	1	9.9	10.3	0
PZE-101213727	1	135	144.9	2	6	1.1	0.8
PZE-101238451	1	148	159	1	5.4	0.1	1
PZE-101235852	1	149	159.7	2	10.2	3.2	0.7
PZE-101239143	1	151	162	4	5.3	-3.7	1.7
PZE-102032700	2	30	40	1	6.9	-10	2.4
PZE-102070988	2	51	63.2	1	7.4	4.9	0.3
PZE-102072362	2	52	63.7	3	8.1	-3.2	1.4
PZE-103008756	3	15	20.7	1	7.2	-10.5	2.5
PZE-103055650	3	39	48.5	2	8.5	-2.7	1.3
PZE-103120639	3	70	80.5	1	5.6	1	0.8
PZE-103123019	3	75	86.3	1	6.4	-0.6	1.1
PZA00099.6	3	82	93.7	3	7.5	2.7	0.6
PZE-103184380	3	128	146.9	3	6.4	-2	1.3
PZE-103185158	3	129	148.1	3	6.1	0.6	0.9
PZE-103186544	3	131	149.7	1	6.4	1.1	0.8
PZE-104069761	4	45	55	6	7.8	-1	1.1
PZE-104076572	4	46	56.5	3	5.6	-1.4	1.2
PZE-104076990	4	47	56.9	1	7	1.1	0.8
PZE-104081748	4	49	59.4	3	10.3	-5	1.5
PZE-104086676	4	53	63.3	1	7.6	2.4	0.7
PZE-105069022	5	47	62.3	1	5.2	-4.8	1.9
PZE-106028794	6	13	13.2	1	7.1	2.3	0.7
PZE-106039880	6	16	17.1	1	12.3	-4.3	1.3
PZE-106040890	6	19	19.4	3	8.9	-6	1.7
PZE-106045060	6	22	22.8	7	8.7	-1.6	1.2
PZE-106050123	6	28	28.9	1	8.2	-1	1.1
PZE-106051814	6	30	31.1	2	8.3	-8.3	2
PZE-106058286	6	34	36.2	1	8.7	-5.9	1.7
PZE-106056597	6	36	38.6	2	8.7	-2	1.2
PZE-106059969	6	37	39.5	4	9.5	0.4	1
PZE-106060535	6	39	41.7	11	8.8	0.7	0.9
PZE-106065285	6	43	46.9	1	6.4	4.4	0.3
PZE-106079986	6	57	61.1	1	8.6	-5.6	1.7
PZE-106103896	6	74	81.2	1	6.9	-4	1.6
PZE-107000121	7	1	0.3	2	6.2	0.8	0.9
PZE-107023670	7	34	44.1	1	8.3	-8.9	2.1
PZE-107064215	7	42	52.7	1	6.5	1.7	0.7
PZE-107063357	7	43	53.7	1	8.8	9.4	-0.1
PZE-107063166	7	44	54.7	2	8.6	0.9	0.9
PZE-107066519	7	45	56.1	1	8.1	-10.2	2.3
PZE-107070986	7	48	59.2	2	9.9	5.5	0.4
PZB01186.3	7	49	60.1	19	8.8	0.4	1
PZE-107069959	7	51	62	4	8.7	1.7	0.8
PZE-107072681	7	52	63.2	3	8.7	3.2	0.6
PZE-107073395	7	55	65.9	14	9.1	3.3	0.6
PZE-108001260	8	2	1.1	1	5.2	0.2	1
PZE-108002130	8	3	3.3	2	7.3	-3.2	1.4
PZE-108002411	8	4	5.7	1	8.6	-11.3	2.3
PZE-108006522	8	13	17.3	1	5.5	1.1	0.8
PZE-108009299	8	17	22.4	1	8.2	-0.5	1.1
PZE-108011044	8	20	26.5	1	7.2	1.7	0.8
PZE-108011046	8	21	26.9	2	6.3	2.2	0.7
PZE-108011830	8	22	28.2	2	9.8	0.2	1
PZE-108019862	8	30	39.3	1	8.8	1.1	0.9
PZE-108056027	8	41	50.6	1	6.5	-2.3	1.4
PZE-108060440	8	44	53.3	1	5.9	-2.4	1.4
PZE-108077560	8	61	71.3	1	5	-3.8	1.8
PZE-108080140	8	62	72.3	2	7.2	-7.7	2.1
PZB01963.1	9	41	48.6	1	5.3	5.6	-0.1
PZE-109037900	9	42	49.7	3	8.3	1.5	0.8
PZE-109083369	9	57	64.8	2	9.4	5.5	0.4
PZE-109085819	9	58	65.8	1	10.4	7.2	0.3
PZE-109086097	9	59	66.4	13	10.5	8.2	0.2
PZE-109087846	9	60	67.9	53	10.8	8.2	0.2
PZE-109089873	9	61	69.2	3	9.6	5.7	0.4
PZE-109091272	9	62	70.4	14	10.4	2.2	0.8
