mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101227275	1	129	151.9	3	8.5	-14.9	2.8
PZE-101239143	1	137	162	1	7	-15.9	3.3
PZE-102064002	2	44	60	4	8.8	-13.2	2.5
PZE-103103922	3	53	70.3	2	12.2	8	0.3
PZE-103110385	3	58	75.4	3	11.6	6.8	0.4
PZE-103113055	3	59	77.5	1	5.8	15.3	-1.6
PZE-103116584	3	60	78.9	26	9.9	5.5	0.4
PZE-103119152	3	62	81.3	6	10.1	2.5	0.8
PZE-103122514	3	63	82.1	1	8.4	3.2	0.6
PZE-103123331	3	65	84.7	4	9.8	7.2	0.3
PZE-103123615	3	66	85.3	15	10.8	3.9	0.6
PZE-103123325	3	67	86.8	1	9.2	-0.9	1.1
PZE-103128590	3	71	91.3	15	9.3	9.7	0
PZE-108009888	8	18	25.1	30	7.2	8.1	-0.1
PZE-108018114	8	28	38.7	22	13.6	9.2	0.3
PZE-108044274	8	35	46.7	31	10	18	-0.8
PZE-108055224	8	38	50.2	5	9.5	8.9	0.1
PZE-108058098	8	40	51.7	1	7.1	-14.5	3
PZE-108061060	8	43	55.5	5	9	9	0
PZE-108063241	8	45	57.2	18	9.8	3.7	0.6
PZE-108123038	8	82	103.2	2	8.9	1.4	0.8
PZE-108127997	8	86	111.9	1	10	13.8	-0.4
PZE-109116158	9	84	106.6	1	9.7	-12	2.2
PZE-109116876	9	86	109.3	24	9.2	-0.1	1
PZE-110093304	10	54	76.3	1	8.4	-2.8	1.3
