mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101196778	1	110	130.2	6	14.7	0.2	1
PZE-101236600	1	134	157.6	2	12.4	17.1	-0.4
PZE-102024868	2	21	32.4	8	10.8	5.2	0.5
PZE-102064002	2	44	60	5	15	4.8	0.7
PZE-102067031	2	45	61.4	9	14.9	5	0.7
PZE-103042672	3	34	49	1	13.3	-16.6	2.2
PZE-103096999	3	47	63.8	2	12.8	-4.2	1.3
PZD00007.1	3	52	69.5	5	15.6	4.2	0.7
PZE-103110385	3	58	75.4	4	16	10.6	0.3
PZE-103116584	3	60	78.9	8	10.9	6.1	0.4
PZE-103119721	3	61	79.2	3	14	9.6	0.3
PZE-103119152	3	62	81.3	2	13.4	1.8	0.9
PZE-103120875	3	64	83.6	1	14.6	-20.3	2.4
PZE-103123615	3	66	85.3	2	10.7	8.3	0.2
PZA00099.6	3	73	93.7	4	11.3	10.9	0
PZE-103151398	3	88	110.9	2	9.7	3.5	0.6
PZE-103180686	3	110	141	1	13.7	-3.5	1.3
PZE-105105267	5	46	65.9	3	12.5	-4.7	1.4
PZE-105109045	5	49	69.6	1	13.1	-12	1.9
PZE-105111492	5	50	70.5	1	14	26	-0.9
PZE-108009888	8	18	25.1	1	5.1	-1.2	1.2
PZE-108012841	8	21	28.8	3	16.9	9.2	0.5
PZE-108013355	8	23	31.5	4	9.3	7.9	0.2
PZE-108042026	8	33	44.4	1	11.5	8.7	0.2
PZE-108044274	8	35	46.7	20	14	3.6	0.7
PZE-108058213	8	39	51.1	3	13.1	13.5	0
PZE-108058577	8	42	53.8	15	11.1	20.3	-0.8
PZE-108063241	8	45	57.2	1	14.3	14.9	0
PZE-108067178	8	49	61.7	1	14	10	0.3
PZE-108133100	8	89	119.4	1	10.7	30.3	-1.8
