mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101121405	1	62	77.8	1	13.3	21.7	-0.6
PZE-101121742	1	63	78.1	1	11.1	-9.6	1.9
PZE-101134461	1	67	82.7	1	8.9	-13.9	2.6
PZE-101154647	1	76	93.2	6	12.2	-7.9	1.6
PZE-102000302	2	2	1.2	2	12.7	3.9	0.7
PZE-102143316	2	69	88.2	1	14.8	2.3	0.8
PZE-102144430	2	70	89.4	1	11.1	-3	1.3
PZE-102147862	2	73	92.3	4	12.1	2.2	0.8
PZE-102152341	2	76	96.3	5	9.1	-11.6	2.3
PZE-102186112	2	99	125.2	5	9.6	3.6	0.6
PZE-102186773	2	100	126.6	3	9.9	1.8	0.8
PZE-105181381	5	97	134.6	3	9.5	10.6	-0.1
PZE-106000112	6	1	0	54	19.1	17.1	0.1
PZE-106006691	6	7	7.4	5	9.3	0.5	0.9
PZE-106008513	6	9	11.3	10	19.1	9	0.5
PZE-106041256	6	16	18.7	3	9.4	27	-1.9
PZE-107063951	7	38	53.6	12	13.7	-2	1.1
PZE-107068659	7	42	59.2	5	16	9	0.4
PZE-107067415	7	43	59.7	17	14.4	4.4	0.7
PZE-107072440	7	47	64	13	13.4	0.1	1
PZE-107118905	7	70	92.9	1	3.6	3.1	0.1
PZE-108009277	8	18	23.8	1	13.1	10.2	0.2
PZE-108011044	8	20	26.5	1	11.4	5.6	0.5
PZE-108022547	8	32	42.6	7	16.9	6	0.6
PZE-108023009	8	33	42.9	23	16.5	6.4	0.6
PZE-108030712	8	34	44.9	6	16.4	27.3	-0.7
PZE-108028178	8	35	45.2	1	15.4	27.2	-0.8
PZE-108054494	8	39	50.5	3	10.4	1	0.9
PZE-108059497	8	43	54.4	1	21.9	-6.5	1.3
PZE-108061060	8	44	55.5	20	15.6	7.5	0.5
PZE-108128026	8	84	110.4	1	11.4	20.6	-0.8
PZE-109001669	9	4	4.5	2	7.7	-7.4	2
PZE-109096235	9	60	74.4	1	10.3	44.8	-3.3
