mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.110135353148612	1	0.814881889043903	-0.347059365516125	-0.287917998110039	0.753103169605311	0.562158507581341
PZE-101000161	1	2	0.1	0.0944426532271909	1	1	1	1	0.753103169605174	0.562157347859852
PZE-101000344	1	3	0.7	0.316254356052539	1	1	-0.15483943064641	-0.15483943064641	0.753103169605037	0.562158623343155
PZE-101000424	1	4	0.8	0.316228557880584	1	1	-0.154855400281085	-0.154855400281085	0.753103169605106	0.562158678882366
PZE-101000370	1	5	1	0.316228521311499	1	1	-0.154855403469378	-0.154855403469378	0.753103169605037	0.562158789966507
PZE-101000754	1	6	1.4	0.316228448170339	1	1	-0.154855409845532	-0.154855409845532	0.753103169605037	0.562159012147879
PZE-101000169	1	7	1.5	0.316228488731541	1	1	-0.15485537498771	-0.15485537498771	0.753103169605243	0.562159067693315
PZE-101000256	1	8	1.7	0.316228569855143	1	1	-0.154855305271961	-0.154855305271961	0.753103169605037	0.56215917878101
PZE-101001103	1	9	1.8	0.31622861041733	1	1	-0.154855270414276	-0.154855270414276	0.753103169605106	0.562159234322409
PZE-101000659	1	10	1.9	0.316228369647208	1	1	-0.154855409825201	-0.154855409825201	0.753103169605037	0.562159289861736
PZE-101001110	1	11	2.2	0.315755114903089	1	1	-0.154855409867178	-0.154855409867178	0.753103169604968	0.563837358966082
PZE-101000431	1	12	2.3	0.316228463761401	1	1	-0.154855409801698	-0.154855409801698	0.753103169605106	0.562158957279959
PZE-101000442	1	13	2.4	0.316228510954359	1	1	-0.154855409736297	-0.154855409736297	0.753103169605106	0.562158790815132
PZE-101000530	1	14	2.5	0.2340296965009	1	1	-0.322494077056675	-0.322494077056675	0.753103169605106	-0.322494077056675
PZE-101001114	1	15	2.6	0.234033195375166	1	1	-0.322490094263315	-0.322490094263315	0.753103169605174	-0.322490094263315
PZE-101001280	1	16	2.7	0.234035370942255	1	1	-0.322487617832631	-0.322487617832631	0.753103169605037	-0.322487617832631
PZE-101000673	1	17	3	0.254852084811157	1	1	-0.299887275541906	-0.299887275541906	0.753103169605106	-0.299887275541906
PZE-101001107	1	18	3.1	0.26724300839382	1	1	-0.287400731901921	-0.287400731901921	0.753103169605174	-0.287400731901921
PZE-101002282	1	19	3.4	0.299747435672787	1	1	-0.257630329762636	-0.257630329762636	0.753103169604968	-0.257630329762636
PZE-101002081	1	20	3.6	0.301495161715712	1	1	-0.256141095563423	-0.256141095563423	0.753103169604968	-0.256141095563423
PZE-101001380	1	21	4.3	0.11836751838542	1	1	1	1	0.76143437928415	1
PZE-101003133	1	22	4.5	0.116797541003417	1	1	1	1	0.764191950843394	1
