mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.512649842716826	-0.404619254441696	-0.284663088728473	0.248011982741943	-0.0981521769479575	-0.775387571907939	1
PZE-101000161	1	2	0.1	0.512649720910831	-0.404619553188085	-0.775387571908092	-0.284663088728844	-0.0981521769479258	0.2480119827414	1
PZE-101000344	1	3	0.7	0.512635654630116	-0.404619224743671	-0.775525838537103	-0.284663088728198	-0.0981521769476359	0.248011982741369	1
PZE-101000424	1	4	0.8	0.51263320784279	-0.404619416259595	-0.775548911765151	-0.284663088728844	-0.0981521769480838	0.248011982741581	1
PZE-101000370	1	5	1	0.512633051190746	-0.40461979931328	-0.775548916379826	-0.28466308872833	-0.0981521769477964	0.248011982741994	1
PZE-101000754	1	6	1.4	0.512632737869041	-0.404620565462691	-0.775548925605891	-0.284663088728629	-0.0981521769478948	0.248011982741692	1
PZE-101000169	1	7	1.5	0.51263266092488	-0.404620756999	-0.775548914416596	-0.284663088728605	-0.0981521769478494	0.24801198274152	1
PZE-101000256	1	8	1.7	0.512632507039099	-0.404621140064439	-0.77554889203648	-0.284663088728461	-0.0981521769478593	0.248011982741883	1
PZE-101001103	1	9	1.8	0.512632430100097	-0.404621331589127	-0.775548880846117	-0.284663088728282	-0.0981521769477829	0.248011982741752	1
PZE-101000659	1	10	1.9	0.51263234742079	-0.404621523104527	-0.775548925600775	-0.284663088728533	-0.0981521769479468	0.248011982742054	1
PZE-101001110	1	11	2.2	0.510300357897138	-0.410404190824559	-0.775548925614215	-0.284663088728162	-0.0981521769478426	0.248011982741561	1
PZE-101000431	1	12	2.3	0.512632815403797	-0.404620375788273	-0.775548926000095	-0.284663088728724	-0.0981521768405813	0.248011982741138	1
PZE-101000442	1	13	2.4	0.512633049742115	-0.404619801530738	-0.775548926386052	-0.2846630887287	-0.0981521767328479	0.24801198274148	1
PZE-101000530	1	14	2.5	0.512633284079228	-0.404619227274297	-0.77554892677239	-0.284663088728258	-0.0981521766258133	0.248011982741742	1
PZE-101001114	1	15	2.6	0.512631273881679	-0.404624158134512	-0.775548927158728	-0.284663088728174	-0.0981521765184376	0.248011982742064	1
