mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101134461	1	67	82.7	1	24.2	8.6	0.6
PZE-101147322	1	73	90.4	1	15	0.4	1
PZE-101150835	1	74	91.4	1	14.2	-2.2	1.2
PZE-101152935	1	77	94.9	1	15.3	5.6	0.6
PZE-102006128	2	6	8.1	2	12.6	-12.8	2
PZE-102006385	2	7	9.6	1	14.3	38.6	-1.7
PZE-102140935	2	68	86.1	1	12	-9.6	1.8
PZE-102145703	2	71	90.8	14	14.3	1.2	0.9
PZE-102149235	2	74	94.4	1	14.6	9.7	0.3
PZE-102162301	2	82	104	1	11.8	-39.8	4.4
PZE-102188267	2	102	129.5	1	11.5	-6.8	1.6
PZE-106000112	6	1	0	49	17.3	18.3	-0.1
PZA00606.10	6	2	2	1	17	10.9	0.4
PZE-106038001	6	15	16.9	8	18.2	7.8	0.6
PZE-106041852	6	17	19.4	1	18.8	5.8	0.7
PZE-106046440	6	21	24.8	3	15.5	-2.5	1.2
PZE-106046852	6	22	25.3	1	12.8	-0.4	1
PZE-106048055	6	23	26.7	1	14.2	0.9	0.9
PZE-107063654	7	37	52.2	2	13.1	5.6	0.6
PZE-107063951	7	38	53.6	1	16.1	-1.9	1.1
PZE-107064549	7	39	54	4	15	-3.7	1.2
PZB01186.1	7	41	58	1	13.1	-3.5	1.3
PZE-107067415	7	43	59.7	6	14.9	3.8	0.7
PZE-107069959	7	45	62	3	14.8	3.5	0.8
PZE-108022547	8	32	42.6	6	15.8	5	0.7
PZE-108023009	8	33	42.9	13	15	18.9	-0.3
PZE-108030712	8	34	44.9	3	16.8	15.3	0.1
PZE-108028178	8	35	45.2	1	18.3	-17.3	1.9
PZE-108042918	8	36	46.2	3	16.4	13.6	0.2
PZE-108045901	8	37	47.4	14	18.1	15.9	0.1
PZE-108059497	8	43	54.4	2	13.3	-17.4	2.3
PZE-108061060	8	44	55.5	11	16.3	6.4	0.6
PZE-108066339	8	48	60.2	1	16	-34.3	3.1
PZE-108116404	8	74	92.1	1	11.9	10.7	0.1
PZE-109004629	9	8	10.5	1	10.9	7	0.4
PZE-109097752	9	62	77.1	2	15.1	2.8	0.8
PZE-109098198	9	64	79.1	1	9	-1.5	1.2
