mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.224545432654259	1	-0.309893909217914	-0.789952649811892	-0.52850593828791	0.268670326506034	-0.327813889598796
PZE-101000161	1	2	0.1	0.4736225840498	1	1	1	1	0.26867032650629	-0.32779497751311
PZE-101000344	1	3	0.7	0.334704615812256	1	1	-0.532280675419716	-0.532280675419716	0.268670326506123	-0.327974258188578
PZE-101000424	1	4	0.8	0.334712191029192	1	1	-0.532255948985121	-0.532255948985121	0.268670326506523	-0.327974618455026
PZE-101000370	1	5	1	0.334711810435975	1	1	-0.532255939191918	-0.532255939191918	0.268670326507013	-0.327975202485185
PZE-101000754	1	6	1.4	0.334711049209617	1	1	-0.532255919600912	-0.532255919600912	0.268670326506145	-0.327976370615315
PZE-101000169	1	7	1.5	0.334710873779404	1	1	-0.532255867593669	-0.532255867593669	0.268670326506813	-0.327976662659375
PZE-101000256	1	8	1.7	0.334710522933767	1	1	-0.532255763578494	-0.532255763578494	0.268670326505834	-0.32797724672942
PZE-101001103	1	9	1.8	0.334710347518068	1	1	-0.532255711570771	-0.532255711570771	0.268670326506301	-0.327977538752992
PZE-101000659	1	10	1.9	0.33471009384242	1	1	-0.532255907469401	-0.532255907469401	0.268670326506201	-0.327977830678318
PZE-101001110	1	11	2.2	0.329029325515703	1	1	-0.532183423950405	-0.532183423950405	0.268670326505756	-0.336826928943645
PZE-101000431	1	12	2.3	0.334711238408705	1	1	-0.532255922043394	-0.532255922043394	0.268670326505823	-0.32797608144951
PZE-101000442	1	13	2.4	0.334711811298548	1	1	-0.532255929317993	-0.532255929317993	0.26867032650619	-0.327975205921847
PZE-101000530	1	14	2.5	0.486779642674605	1	1	-0.312951135186126	-0.312951135186126	0.26867032650629	-0.312951135186126
PZE-101001114	1	15	2.6	0.48677506432515	1	1	-0.312956145465804	-0.312956145465804	0.268670326506746	-0.312956145465804
PZE-101001280	1	16	2.7	0.486771497646129	1	1	-0.312960048705543	-0.312960048705543	0.26867032650639	-0.312960048705543
PZE-101000673	1	17	3	0.483620985650084	1	1	-0.316432846015168	-0.316432846015168	0.268670326506579	-0.316432846015168
PZE-101001107	1	18	3.1	0.45148468666488	1	1	-0.354961519884857	-0.354961519884857	0.268670326506501	-0.354961519884857
PZE-101002282	1	19	3.4	0.368262554732883	1	1	-0.49189038326993	-0.49189038326993	0.26867032650649	-0.49189038326993
PZE-101002081	1	20	3.6	0.365326099038798	1	1	-0.498154592822771	-0.498154592822771	0.268670326506457	-0.498154592822771
PZE-101001380	1	21	4.3	0.614722557543287	1	1	1	1	0.242816079348226	1
PZE-101003133	1	22	4.5	0.627150920995146	1	1	1	1	0.235965808959878	1
PZE-101003135	1	23	4.7	0.340990339140368	1	1	1	1	0.229377856801195	-0.723034813602834
PZE-101003026	1	24	4.9	0.349640339715563	1	1	1	1	0.223063711494503	-0.723036873393593
PZE-101003031	1	25	5.6	0.0956997666814117	1	1	1	1	1	-0.80223246527583
PZA00393.1	1	26	5.7	0.0890731995589307	1	1	1	1	1	-0.814566978641089
PZE-101003115	1	27	5.9	0.07581192612009	1	1	1	1	1	-0.839823598524077
PZE-101002367	1	28	6	0.0692032756625802	1	1	1	1	1	-0.852700905829761
PZE-101005818	1	29	7.3	0.0100394672482652	1	1	1	1	1	0.97714841689965
PZE-101006745	1	30	9.2	0.0258059378589877	1	1	1	1	1	-0.942310568843858
PZA01022.1	1	31	9.6	0.0340289804365918	1	1	1	1	1	-0.924636470960604
PZE-101009312	1	32	10.6	0.0552621965630602	1	1	1	1	1	-0.880517117996539
PZE-101007769	1	33	10.9	0.0617396430438724	1	1	1	1	1	-0.867481770062074
PZE-101009215	1	34	11.2	0.0682286839419259	1	1	1	1	1	-0.854616583855877
PZE-101010821	1	35	11.8	0.0811529204694562	1	1	1	1	1	-0.829558618212235
PZE-101009528	1	36	12.3	0.364300074417108	1	-0.10844711460434	-0.928434988124474	-0.601449743964429	0.163756550516204	-0.789723679866296
PZE-101009163	1	37	12.5	0.349532412997415	1	-0.118027816251899	-0.928448634762032	-0.601462631075664	0.162674184612409	-0.782090230724888
PZE-101010560	1	38	13	0.603633624372142	1	-0.249095783172433	-0.249095783172433	-0.249095783172433	1	-0.249095783172433
PZE-101010917	1	39	13.5	0.651090075731604	1	-0.223310901227247	-0.223310901227247	-0.223310901227247	1	-0.223310901227247
PZE-101012517	1	40	13.6	0.52020058011594	1	-0.0512248841611047	-0.718138308297931	-0.777722544526936	0.16336055548903	-0.762430340975833
PZE-101014135	1	41	13.7	0.80921963599216	1	-0.15516021188924	-0.15516021188924	1	1	1
PZE-101014266	1	42	13.8	0.807535357599868	1	-0.155763121686462	-0.155763121686462	1	1	1
PZE-101011048	1	43	14	0.433223556863339	1	-0.155061832101498	-0.155061832101498	-0.786095853742486	0.304003167607584	0.304003167607584
PZE-101013802	1	44	15.2	0.26976440657948	1	1	0.303898722603272	-0.666854471574523	0.303898722603272	0.303898722603272
PZE-101014003	1	45	15.3	0.059260433083221	1	0.782056283152762	0.782056283152762	-0.657663299054611	0.782056283152762	0.782056283152762
PZE-101011906	1	46	15.7	0.0530545869635722	1	1	1	-0.621197590462316	1	-0.990645555051885
PZE-101015469	1	47	16.2	0.00150950549060479	1	0.959414867384702	0.959414867384702	0.959414867384702	0.959414867384702	-0.947341927459318
PZE-101013772	1	48	16.4	0.247018285478676	1	1	1	-0.566215448674378	1	1
PZE-101013713	1	49	16.9	0.603945894522938	1	-0.0605927778412589	0.924060327524026	-0.535124474472397	0.100098387719134	-0.887470958141412
PZE-101015471	1	50	17.3	0.618288451537328	1	-0.0594445693575675	0.892882004276571	-0.501946856978187	0.10055943523719	-0.887450308921388
PZE-101017581	1	51	18.7	0.440434010580059	1	1	0.156343451149283	1	0.156343451149283	-0.890275022555881
PZE-101017779	1	52	19	0.43734827005624	1	1	0.157768993640726	1	0.157768993640726	-0.891570362737949
PZB01915.1	1	53	19.1	0.436351206301784	1	1	0.158247942509291	1	0.158247942509291	-0.891570404876401
PZE-101017463	1	54	19.5	0.432299268996877	1	1	0.160211427742007	1	0.160211427742007	-0.891570596973642
PZE-101017580	1	55	19.6	0.431270383648048	1	1	0.160714411403833	1	0.160714411403833	-0.891570650973983
PZE-101018214	1	56	19.7	0.430235148362771	1	1	0.161222316432513	1	0.161222316432513	-0.891570707400476
PZE-101017487	1	57	19.9	0.428145655099645	1	1	0.162253044439541	1	0.162253044439541	-0.891570827602639
PZE-101018516	1	58	20.1	0.426030851318001	1	1	0.163303920623451	1	0.163303920623451	-0.891570957722074
PZE-101018023	1	59	20.3	0.423890811882742	1	1	0.164375255615156	1	0.164375255615156	-0.891571097898914
PZE-101018404	1	60	20.6	0.42063363165658	1	1	0.166021301840015	1	0.166021301840015	-0.891571327324503
PZE-101018668	1	61	20.8	0.418430916369039	1	1	0.167145153171385	1	0.167145153171385	-0.891571493245968
PZE-101018057	1	62	20.9	0.4173202243761	1	1	0.167715143252481	1	0.167715143252481	-0.89157158014887
PZE-101017262	1	63	21	0.416203331112906	1	1	0.168290562336572	1	0.168290562336572	-0.891571669700497
PZE-101018616	1	64	21.1	0.415080253875806	1	1	0.168871450047213	1	0.168871450047213	-0.891571761919314
PZE-101018411	1	65	21.2	0.413951010829644	1	1	0.169457846063593	1	0.169457846063593	-0.891571856818844
PZE-101017187	1	66	21.3	0.411344247356673	1	1	0.170820415366486	1	0.170820415366486	-0.891572601108593
PZE-101018868	1	67	21.4	0.410594967592492	1	1	0.171214405407908	1	0.171214405407908	-0.89157248235006
PZE-101019597	1	68	21.5	0.409837811483907	1	1	0.171613534787167	1	0.171613534787167	-0.89157395506765
PZE-101019781	1	69	21.6	0.409072899103481	1	1	0.172017839278982	1	0.172017839278982	-0.891575430988195
PZE-101018356	1	70	21.7	0.43397949084026	1	1	0.186234725963096	-0.238301103747519	0.186234725963096	-0.891676311619088
PZE-101019727	1	71	21.8	0.432199353653879	1	1	0.186891928756822	-0.238305556241593	0.186891928756822	-0.907648328420042
PZE-101019853	1	72	21.9	0.431408156978989	1	1	0.187558763087868	-0.238307111229893	0.187558763087868	-0.905353578442985
PZE-101018206	1	73	22.5	0.153801077712728	1	1	0.70177666343631	0.70177666343631	0.70177666343631	0.70177666343631
PZE-101018567	1	74	22.9	0.582964969743709	1	1	-0.67559365013279	-0.67559365013279	0.113160073937164	-0.67559365013279
PZE-101019726	1	75	23	0.579174455132643	1	1	-0.686677695177887	-0.686677695177887	0.113522130772369	-0.686677695177887
PZE-101021986	1	76	23.1	0.57863223026958	1	1	-0.684315284557034	-0.684315284557034	0.113890312139241	-0.684315284557034
PZE-101020456	1	77	23.6	0.575697476797699	1	1	-0.67282934982665	-0.67282934982665	0.115825925043339	-0.67282934982665
PZE-101018818	1	78	23.7	0.575063774888568	1	1	-0.670600375832842	-0.670600375832842	0.116232568964334	-0.670600375832842
PZE-101019538	1	79	24	0.572669658660321	1	1	-0.665579490312052	-0.665579490312052	0.117493075674452	-0.665579490312052
PZE-101022341	1	80	24.3	0.5688552985291	1	1	-0.66557657966383	-0.66557657966383	0.118816289568875	-0.66557657966383
PZE-101019557	1	81	24.4	0.567543610482286	1	1	-0.665613200863884	-0.665613200863884	0.119271714247028	-0.665613200863884
PZE-101021926	1	82	25.4	0.0628794090577928	1	1	1	1	1	-0.865208128549343
PZE-101021455	1	83	25.7	0.0661733157564655	1	1	1	1	1	-0.858670779699448
PZE-101024131	1	84	25.9	0.0683444236138998	1	1	1	1	1	-0.854388858503183
PZE-101024424	1	85	26.4	0.0736593869596863	1	1	1	1	1	-0.843996436651107
PZE-101020931	1	86	26.9	0.0787713751591362	1	1	1	1	1	-0.834120173401616
PZE-101021308	1	87	27.6	0.488202954701177	1	1	1	1	0.138258283050136	-0.821298118196668
PZE-101025101	1	88	27.7	0.485974266992051	1	1	1	1	0.139009411775403	-0.824630388763093
PZE-101024556	1	89	28.2	0.0746819421772029	1	1	1	1	1	-0.842011567447451
PZE-101026314	1	90	28.6	0.0671855279277911	1	1	1	1	1	-0.856671802132744
PZE-101024519	1	91	29.4	0.524943600084726	1	-0.0466610903413043	0.816778669263036	-0.915420322802559	0.153537004631803	-0.887425814086839
PZE-101027798	1	92	29.5	0.519747506611674	1	-0.0468006246935916	0.862373064323457	-0.912903629461457	0.15450199498551	-0.887441129947508
PZE-101026621	1	93	29.6	0.515446612142562	1	-0.0469463179307356	0.909237466371134	-0.910171334959966	0.155480039795273	-0.887457341854875
PZE-101026386	1	94	29.7	0.513821143615378	1	-0.0470765881673665	0.900361953697012	-0.910698988674989	0.156471263520301	-0.887454705757022
PZE-101027475	1	95	29.8	0.802786202741149	1	1	1	1	0.157475790555	1
PZE-101024452	1	96	30	0.797170561878184	1	1	1	1	0.159525251550917	1
PZE-101027158	1	97	30.4	0.785714555407202	1	1	1	1	0.163789268983731	1
PZE-101027807	1	98	30.9	0.770986669053923	1	1	1	1	0.169438981002484	1
PZB00718.5	1	99	31.1	0.0519849359194986	1	1	1	1	1	-0.887186784755367
PZE-101029689	1	100	31.3	0.0520049837872444	1	1	1	1	1	-0.887145831453975
PZE-101029759	1	101	31.4	0.0520150079631591	1	1	1	1	1	-0.887125355017785
PZE-101026218	1	102	31.5	0.0520250321926441	1	1	1	1	1	-0.887104878944792
PZE-101028121	1	103	31.6	0.398386489352294	1	1	1	1	0.177972322946755	-0.887084403394692
PZE-101029820	1	104	31.8	0.393747978252504	1	1	1	1	0.180548998967472	-0.887043454533279
PZE-101028242	1	105	31.9	0.391415437608834	1	1	1	1	0.181861000611246	-0.887022981545807
PZE-101026095	1	106	32	0.389074343927632	1	1	1	1	0.183188924968024	-0.887002509739501
PZE-101029587	1	107	32.1	0.417103759994448	1	1	1	1	0.184532880593294	-0.689065453086272
PZE-101029707	1	108	32.2	0.414748666850301	1	1	1	1	0.185892974637061	-0.6890484626448
PZE-101029748	1	109	32.4	0.41001517053406	1	1	1	1	0.188661999125335	-0.689014484429973
PZE-101030925	1	110	32.7	0.714579606911335	1	1	1	1	0.192939164303065	1
PZE-101028351	1	111	33.1	0.701415558060712	1	1	1	1	0.198876945870036	1
PZE-101028104	1	112	33.4	0.691414916549467	1	1	1	1	0.203509685645907	1
PZE-101031146	1	113	33.7	0.681313309396818	1	1	1	1	0.208298762876574	1
PZE-101031377	1	114	33.9	0.674526658474028	1	1	1	1	0.211579380662688	1
PZE-101032517	1	115	34	0.671118540927149	1	1	1	1	0.213246277676878	1
PZE-101032704	1	116	34.1	0.667700959070149	1	1	1	1	0.214930990900554	1
PZE-101030251	1	117	34.3	0.434496561551788	1	1	-0.485817900017294	-0.485817900017294	0.218354121703594	-0.485817900017294
PZE-101029123	1	118	34.4	0.438613823676166	1	1	-0.472499631281629	-0.472499631281629	0.220092659969236	-0.472499631281629
PZE-101030692	1	119	34.5	0.245390182266177	1	1	-0.544176274228221	-0.544176274228221	0.22184925569204	-0.689701652867389
PZE-101028930	1	120	34.7	0.241792929631271	1	1	-0.544177682691606	-0.544177682691606	0.225416827906426	-0.689701653649581
PZE-101030220	1	121	35	0.215214361206083	1	1	-0.63041076376236	-0.63041076376236	0.230904836942884	-0.689633927329232
PZE-101029737	1	122	35.1	0.214309536516417	1	1	-0.626331680373199	-0.626331680373199	0.232770777075155	-0.689638079249266
PZE-101031077	1	123	35.2	0.202853347515083	1	1	-0.676817035810198	-0.676817035810198	0.234655077511126	-0.689587158312609
PZE-101030022	1	124	35.4	0.200474583645003	1	1	-0.670526960505433	-0.670526960505433	0.238478875341568	-0.689593668016335
PZE-101032015	1	125	35.7	0.183700456227792	1	1	-0.746978342166476	-0.746978342166476	0.244352906277912	-0.6895114944457
PZE-101030211	1	126	35.8	0.0527155806938436	1	1	-0.773154292778809	-0.773154292778809	1	-0.689455598467341
PZE-101031636	1	127	35.9	0.0533629519074622	1	1	-0.769279989761709	-0.769279989761709	1	-0.68942299712651
PZA00358.12	1	128	36	0.053488767226854	1	1	-0.768563487269399	-0.768563487269399	1	-0.689396739469723
PZE-101031655	1	129	36.1	0.0477986995477219	1	1	-0.806017376212774	-0.806017376212774	1	-0.689324175662617
PZE-101033801	1	130	36.3	0.0480067538100483	1	1	-0.804602578083394	-0.804602578083394	1	-0.689271620334468
PZE-101034101	1	131	36.5	0.0482162327456919	1	1	-0.803188629974958	-0.803188629974958	1	-0.689219062828829
PZE-101030616	1	132	36.6	0.0483215033550964	1	1	-0.802481995820038	-0.802481995820038	1	-0.689192783771784
PZE-101033184	1	133	36.7	0.153699873780066	1	1	-0.90753659246093	-0.90753659246093	0.265134468722239	-0.689051800273709
PZE-101032956	1	134	37	0.148843464114644	1	1	-0.907567013391612	-0.907567013391612	0.271728375044213	-0.688970319258412
PZE-101032974	1	135	37.1	0.147238377069953	1	1	-0.907566546028151	-0.907566546028151	0.27396295963274	-0.688943172305663
PZE-101033119	1	136	37.3	0.144049179304563	1	1	-0.907565609307953	-0.907565609307953	0.27848679273659	-0.688888881909451
PZE-101035119	1	137	37.4	0.142465416698547	1	1	-0.907565141021704	-0.907565141021704	0.280775939912798	-0.688861738899689
PZE-101033489	1	138	37.7	0.13775950140311	1	1	-0.907563736496374	-0.907563736496374	0.287751606890537	-0.688780321225139
PZE-101032230	1	139	37.8	0.201299202302078	1	1	-0.90447403048755	-0.90447403048755	0.290112685941637	-0.437820260646608
PZE-101036310	1	140	37.9	0.311159131138258	1	1	-0.905177334267991	-0.905177334267991	0.292491573493894	-0.25320524846627
PZE-101036345	1	141	38	0.309375659836406	1	1	-0.905182096722118	-0.905182096722118	0.294888191240221	-0.253190654749798
PZD00096.1	1	142	38.3	0.304029837243068	1	1	-0.90519557807898	-0.90519557807898	0.302183578803117	-0.253190619528814
PZE-101033622	1	143	38.5	0.300504295853478	1	1	-0.905204565494499	-0.905204565494499	0.307134194745311	-0.253190596047727
PZE-101036609	1	144	38.6	0.00662284324532019	1	1	-0.96226843384907	-0.96226843384907	0.866495848122969	0.866495848122969
PZE-101034427	1	145	38.7	0.0604564960620042	1	1	1	1	0.870048582788477	0.870048582788477
PZE-101036305	1	146	38.8	0.0589544413808716	1	1	1	1	0.87306295015549	0.87306295015549
PZE-101033968	1	147	39	0.0561418668197815	1	1	1	1	0.878735421856298	0.878735421856298
PZE-101036181	1	148	39.2	0.053348387193064	1	1	1	1	0.884405862629931	0.884405862629931
PZE-101036318	1	149	39.3	0.0515500264040236	1	1	1	1	0.888075672944106	0.888075672944106
PZE-101038503	1	150	40	0.467514352317988	1	1	1	1	0.3463861050779	-0.260456147823428
PZE-101038492	1	151	40.5	0.262688194272358	1	1	0.778443797465591	0.778443797465591	0.360251425716413	-0.270853324693178
PZE-101037142	1	152	40.6	0.259656008389438	1	1	0.772999876041052	0.772999876041052	0.363067998924855	-0.273496549952435
PZE-101039024	1	153	40.7	0.255871186405603	1	1	0.773047519318001	0.773047519318001	0.365898655347314	-0.276322653777994
PZE-101036799	1	154	40.8	0.252005216657558	1	1	0.773079982781004	0.773079982781004	0.368743208607147	-0.27931697156172
PZE-101037211	1	155	41.1	0.247135394614364	1	1	0.775925853212658	0.775925853212658	0.377358339459584	-0.27932368851023
PZE-101038176	1	156	41.2	0.24247704877671	1	1	0.804602583260217	0.804602583260217	0.380256555265275	-0.279385302215581
PZE-101037244	1	157	41.3	0.241172028191916	1	1	0.802962718095936	0.802962718095936	0.383167690920598	-0.279382228878024
PZE-101039207	1	158	41.5	0.226159305217842	1	1	0.857597316638348	0.857597316638348	0.389027903625595	-0.289327837397699
PZE-101039199	1	159	41.9	0.185952046067906	1	1	-0.697868850119787	-0.697868850119787	0.400894224268275	-0.697868850119787
PZE-101040838	1	160	42	0.182905093630575	1	1	-0.702781185391481	-0.702781185391481	0.403889948187477	-0.702781185391481
PZE-101042009	1	161	42.4	0.170985231068513	1	1	-0.722848644044612	-0.722848644044612	0.415982803204736	-0.722848644044612
PZE-101039655	1	162	42.5	0.168076495879372	1	1	-0.72795948395989	-0.72795948395989	0.419032379308307	-0.72795948395989
PZE-101039624	1	163	42.6	0.165198045770681	1	1	-0.733102478645113	-0.733102478645113	0.422092043081284	-0.733102478645113
PZE-101039351	1	164	42.8	0.159534708060487	1	1	-0.743476564306386	-0.743476564306386	0.428240706075069	-0.743476564306386
PZE-101039466	1	165	42.9	0.0609363658896105	1	1	-0.838285548382436	-0.811993420211429	0.431329237849711	-0.838285548382436
PZE-101039469	1	166	43	0.0589050817528949	1	1	-0.856629810760895	-0.811988188554743	0.434426922582709	-0.856629810760895
PZE-101042341	1	167	43.1	0.0354693512654411	1	1	0.70378365654869	-0.891008496193248	0.70378365654869	0.70378365654869
PZE-101043604	1	168	43.2	0.106067153515152	1	1	0.442921499061406	0.972163384314931	0.442921499061406	-0.486495150714229
PZE-101043094	1	169	43.3	0.0987776390953484	1	1	0.443676333239616	0.945770559834576	0.443676333239616	-0.512982099911489
PZE-101041837	1	170	43.4	0.0911390538917754	1	1	0.445451271423078	0.945501759952101	0.445451271423078	-0.540794031985109
PZE-101041854	1	171	43.5	0.0839993639267791	1	1	0.447268566046558	0.945268411683592	0.447268566046558	-0.56977372861676
PZE-101041588	1	172	43.6	0.0773877558884984	1	1	0.449129767550163	0.945071815813382	0.449129767550163	-0.599808774149308
PZE-101043600	1	173	43.8	0.0760864265133927	1	1	0.453285652650158	0.945077059845161	0.453285652650158	-0.599822055120672
PZE-101043189	1	174	43.9	0.0754424853596181	1	1	0.455370597250461	0.945079677915919	0.455370597250461	-0.599828694009896
PZE-101043682	1	175	44	0.0748038628862944	1	1	0.457459248068463	0.94508231317329	0.457459248068463	-0.599832281548728
PZE-101043507	1	176	44.1	0.0741697205796746	1	1	0.459552399894274	0.94508494550041	0.459552399894274	-0.599835867649636
PZE-101042156	1	177	44.2	0.0338964060528715	1	1	0.750346210696694	0.945209688973082	0.472225861321844	-0.600145168906733
PZE-101045145	1	178	44.3	0.0334003567769209	1	1	0.750325522521251	0.945217627310434	0.475420649005932	-0.600144220493249
PZE-101042424	1	179	44.4	0.0329116324464049	1	1	0.750304834427816	0.945225565757379	0.478621202061534	-0.600143272085889
PZE-101043512	1	180	44.5	0.0324301703220219	1	1	0.750284146582446	0.94523350425402	0.481827275894584	-0.600142323691252
PZE-101045249	1	181	44.6	0.0500769566390124	1	1	0.558220011529014	0.973314420576077	0.485038626021401	-0.591164714903489
PZE-101044585	1	182	44.9	0.0505740168502013	1	1	0.560307240423342	0.971954369146725	0.494701892819423	-0.571830058252767
PZE-101045021	1	183	45	0.0504645996348161	1	1	0.561021764505877	0.971488122373395	0.497931908519533	-0.567806876919959
PZE-101044115	1	184	45.1	0.0499282743555299	1	1	0.56102183553105	0.971488075987682	0.501165982732072	-0.567806536421213
PZE-101046755	1	185	45.2	0.0493992607521935	1	1	0.561021906558316	0.971488029602679	0.504403873393879	-0.567806195925629
PZE-101046128	1	186	45.3	0.0488774991098449	1	1	0.561021977585995	0.971487983215216	0.507645339118437	-0.567805855438298
PZE-101049120	1	187	45.4	0.0483629288345662	1	1	0.561022050340702	0.971487937641329	0.510890139274866	-0.567805514962222
PZE-101046859	1	188	45.5	0.0478554892016281	1	1	0.561022123096019	0.971487892065613	0.514138034062556	-0.567805174498986
PZE-101048164	1	189	45.7	0.0468617552519477	1	1	0.561022268603513	0.971487800919473	0.520642152899869	-0.567804493619021
PZE-101048115	1	190	45.8	0.046375336363686	1	1	0.561022341354898	0.971487755347147	0.52389790214931	-0.567804153209811
PZE-101048857	1	191	45.9	0.0458957611827932	1	1	0.561022346526678	0.971487752653034	0.5271557965505	-0.56780417737069
PZE-101046132	1	192	46	0.0454213964511412	1	1	0.561034846429455	0.971485427808146	0.53041560152145	-0.567804224599647
PZE-101049707	1	193	46.1	0.0314671803553967	1	1	0.704495904578466	-0.948571501388244	0.533677083712889	-0.568330544482679
PZE-101047390	1	194	46.3	0.030611135018255	1	1	0.704618185751264	-0.948513990466002	0.540204152994598	-0.568825646401216
PZE-101049608	1	195	46.5	0.0297798880088458	1	1	0.704740154693944	-0.948456658367429	0.546735164942982	-0.569332647451983
PZE-101048629	1	196	46.6	0.0295509457989496	1	1	0.704514329223391	-0.948589146943225	0.550001581061502	-0.568089411381382
PZE-101048744	1	197	46.7	0.0291814707564736	1	1	0.704514441184508	-0.948589368343909	0.553268303964997	-0.568083544410255
PZE-101047517	1	198	46.8	0.0355310480820978	1	1	0.706251259633457	-0.947579739167073	0.556535110726972	-0.512248032078707
PZE-101049395	1	199	46.9	0.0432637380044102	1	1	0.708305167201798	-0.946386342333466	0.559801780140021	-0.46009887888584
PZE-101053708	1	200	47.1	0.255826838235652	1	-0.175975292688028	0.823254415432639	0.823254415432639	0.566333830938927	-0.368774580579918
PZE-101048890	1	201	47.2	0.272649077222597	1	-0.177336641266829	0.826462563320718	0.826462563320718	0.566334157506815	-0.330012095369543
PZE-101054681	1	202	47.4	0.307738547160897	1	-0.180066726464434	0.836406380237323	0.836406380237323	0.566334810647175	-0.265992879270265
PZE-101053919	1	203	47.5	0.307972991472493	1	-0.180066768496389	0.833291638688404	0.833291638688404	0.566334810680455	-0.265983158945162
