mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.2639054830358
PZE-101000161	1	2	0.1	0.404057759271613
PZE-101000344	1	3	0.7	0.2639054830358
PZE-101000424	1	4	0.8	0.810073617982968
PZE-101000370	1	5	1	0.0892118904130542
PZE-101000754	1	6	1.4	0.491480161054466
PZE-101000169	1	7	1.5	0.0892118904130542
PZE-101000256	1	8	1.7	0.0892118904130542
PZE-101001103	1	9	1.8	0.662744014215361
PZE-101000659	1	10	1.9	0.404057759271613
PZE-101001110	1	11	2.2	0.433027255279726
PZE-101000431	1	12	2.3	0.2639054830358
PZE-101000442	1	13	2.4	0.0892118904130542
PZE-101000530	1	14	2.5	0.2639054830358
PZE-101001114	1	15	2.6	0.662744014215361
PZE-101001280	1	16	2.7	0.662744014215361
PZE-101000673	1	17	3	0.2639054830358
PZE-101001107	1	18	3.1	0.198467465614194
PZE-101002282	1	19	3.4	0.471180641287885
PZE-101002081	1	20	3.6	0.335149208022278
PZE-101001380	1	21	4.3	0.198467465614194
PZE-101003133	1	22	4.5	0.471180641287885
PZE-101003135	1	23	4.7	0.713345103277557
PZE-101003026	1	24	4.9	0.221547527293729
PZE-101003031	1	25	5.6	0.0892118904130542
PZA00393.1	1	26	5.7	0.790181898267619
PZE-101003115	1	27	5.9	0.0892118904130542
PZE-101002367	1	28	6	0.183260978260666
PZE-101005818	1	29	7.3	0.479888537989034
PZE-101006745	1	30	9.2	0.004440182119391
PZA01022.1	1	31	9.6	0.102954710885562
PZE-101009312	1	32	10.6	0.183581797599594
PZE-101007769	1	33	10.9	0.301622349151817
PZE-101009215	1	34	11.2	0.135363168661395
PZE-101010821	1	35	11.8	0.253681278882436
PZE-101009528	1	36	12.3	0.32110287035638
PZE-101009163	1	37	12.5	0.280723071567954
PZE-101010560	1	38	13	0.259917115583499
PZE-101010917	1	39	13.5	0.284734960592279
PZE-101012517	1	40	13.6	0.284881723444238
PZE-101014135	1	41	13.7	0.324269476922218
PZE-101014266	1	42	13.8	0.324269476922218
PZE-101011048	1	43	14	0.125847935753044
PZE-101013802	1	44	15.2	0.134222650920453
PZE-101014003	1	45	15.3	0.142434470640008
PZE-101011906	1	46	15.7	0.551598841588103
PZE-101015469	1	47	16.2	0.423687460850555
PZE-101013772	1	48	16.4	0.1534417086727
PZE-101013713	1	49	16.9	0.318311480968349
PZE-101015471	1	50	17.3	0.0664572699546519
PZE-101017581	1	51	18.7	0.110467245828616
PZE-101017779	1	52	19	0.393164656285825
PZB01915.1	1	53	19.1	0.123441206599868
PZE-101017463	1	54	19.5	0.111685972614953
PZE-101017580	1	55	19.6	0.111685972614953
PZE-101018214	1	56	19.7	0.0662802398413175
PZE-101017487	1	57	19.9	0.0307201178545264
PZE-101018516	1	58	20.1	0.562703068751692
PZE-101018023	1	59	20.3	0.562703068751692
PZE-101018404	1	60	20.6	0.562703068751692
PZE-101018668	1	61	20.8	0.144075315166089
PZE-101018057	1	62	20.9	0.466307733425018
PZE-101017262	1	63	21	0.143091756356298
PZE-101018616	1	64	21.1	0.562703068751692
PZE-101018411	1	65	21.2	0.381411510049002
PZE-101017187	1	66	21.3	0.313898514193668
PZE-101018868	1	67	21.4	0.47536128688198
PZE-101019597	1	68	21.5	0.560178459434627
PZE-101019781	1	69	21.6	0.0886384023321346
