mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101214818	1	124	146.9	2	8.4	-10.4	2.2
PZE-101239143	1	137	162	1	8.3	5.9	0.3
PZE-102064002	2	44	60	11	9.1	-9.3	2
PZE-103103922	3	53	70.3	7	9	-5.3	1.6
PZE-103110385	3	58	75.4	8	9.1	6.7	0.3
PZE-103113055	3	59	77.5	1	10.4	-6.1	1.6
PZE-103116584	3	60	78.9	32	10	8.9	0.1
PZE-103119152	3	62	81.3	7	11.2	2.1	0.8
PZE-103123331	3	65	84.7	1	11.4	-10.3	1.9
PZE-103123615	3	66	85.3	18	11.5	10.1	0.1
PZE-103128590	3	71	91.3	2	10.9	24.8	-1.3
PZE-104076572	4	43	56.5	2	9.4	-7.5	1.8
PZE-105061593	5	39	58.1	1	10.6	-35.5	4.3
PZE-107005418	7	7	12.3	1	6.7	4.4	0.3
PZE-108009888	8	18	25.1	51	7.3	7.3	0
PZE-108018114	8	28	38.7	7	11.2	15.2	-0.4
PZE-108044274	8	35	46.7	9	8.7	6	0.3
PZE-108055224	8	38	50.2	9	7.9	5.1	0.4
PZE-108058098	8	40	51.7	2	7.1	10.3	-0.5
PZE-108061060	8	43	55.5	20	8	14.6	-0.8
PZE-108062384	8	44	56.4	3	6.8	-0.8	1.1
PZE-108063241	8	45	57.2	14	9.1	9.6	-0.1
