mk.names	chr	pos.ind	pos.cM	log10pval	D06	UH304	D09	F252	F618	F353
PZE-101000344	1	1	0.7	1.67770133437114	0.214062617369232	0.539765899423974	0.0139785875531125	-0.0573027436237822	0.19329236622488	1
PZE-101000424	1	2	0.8	1.67770133436958	0.214062617369291	0.539765899424036	0.0139785875531256	-0.0573027436240388	0.19329236622479	1
PZE-101000754	1	3	1.4	1.6777013343688	0.214062617369359	0.539765899423944	0.0139785875531337	-0.0573027436241228	0.193292366224888	1
PZE-101000169	1	4	1.5	1.67770133437065	0.214062617369283	0.539765899423821	0.0139785875531351	-0.0573027436237666	0.193292366224925	1
PZE-101001103	1	5	1.8	1.67770133436946	0.214062617369409	0.539765899424189	0.0139785875531441	-0.0573027436240191	0.193292366224506	1
PZE-101000659	1	6	1.9	1.67770133437039	0.0139785875531081	-0.0573027436240191	0.214062617368962	0.539765899424127	0.19329236622482	1
PZE-101001110	1	7	2.2	1.67770133436889	0.0139785875531238	-0.0573027436241345	0.214062617369274	0.53976589942425	0.19329236622494	1
PZE-101000431	1	8	2.3	1.67770133401019	0.0139785875730213	-0.0573027436083271	0.21406261736919	0.539765899424342	0.193292366224678	1
PZE-101000442	1	9	2.4	1.67770133364974	0.0139785875929225	-0.0573027435926448	0.214062617369055	0.539765899423974	0.193292366225359	1
PZE-101000530	1	10	2.5	1.6777013332888	0.0139785876128614	-0.0573027435770759	0.214062617368971	0.539765899423882	0.193292366225232	1
PZE-101001114	1	11	2.6	1.67770133292766	0.0139785876327688	-0.057302743561474	0.214062617368945	0.539765899424373	0.193292366225718	1
PZE-101001280	1	12	2.7	1.67769773074796	0.0139787866998837	-0.0573025872754123	0.193292366224439	0.214062617369637	0.539765899423729	1
PZE-101000673	1	13	3	1.58125062948825	0.021837544294356	-0.0528333703457224	0.181543811737134	0.214062617368903	0.539765899423852	1
PZE-101002282	1	14	3.4	1.44730122213764	0.0409921427347952	0.166829769177231	0.21406261736903	0.539765899424373	-0.0475219368737678	1
