mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.552389360347664	-0.858977171133092	-0.210616368897873	0.417143036931687	-0.0457153615301242	-0.889533121854385	NA
PZE-101000161	1	2	0.1	0.552389335384579	-0.858977561311956	-0.889533121885586	-0.210616369027239	-0.0457153615913075	0.417143037063965	NA
PZE-101000344	1	3	0.7	0.552379292716242	-0.858977148330808	-0.889735898583455	-0.210616421073846	-0.045715386205433	0.417143090280512	NA
PZE-101000424	1	4	0.8	0.552377601592983	-0.858977370296296	-0.889769706619037	-0.2106164298382	-0.0457153903503105	0.417143099241872	NA
PZE-101000370	1	5	1	0.552377573195473	-0.858977808922445	-0.889769713409474	-0.21061642998537	-0.0457153904199118	0.417143099392353	NA
PZE-101000754	1	6	1.4	0.552377516397549	-0.858978686224271	-0.889769726990465	-0.210616430279729	-0.0457153905591214	0.41714309969333	NA
PZE-101000169	1	7	1.5	0.552377504101561	-0.858978905546788	-0.889769692008865	-0.210616430343451	-0.0457153905892581	0.417143099758487	NA
PZE-101000256	1	8	1.7	0.552377479510448	-0.858979344179638	-0.889769622045114	-0.210616430470895	-0.0457153906495308	0.417143099888796	NA
PZE-101001103	1	9	1.8	0.55237746721553	-0.858979563486465	-0.88976958706352	-0.210616430534617	-0.0457153906796643	0.417143099953948	NA
PZE-101000659	1	10	1.9	0.552377446242609	-0.858979782798346	-0.889769727058321	-0.210616430643312	-0.0457153907310687	0.417143100065085	NA
PZE-101001110	1	11	2.2	0.551965852510814	-0.865574254602111	-0.8897702405076	-0.210618563952279	-0.0457163996314483	0.417145281323315	NA
PZE-101000431	1	12	2.3	0.552377530481151	-0.85897846902817	-0.889769727180336	-0.210616430206741	-0.0457153904870598	0.417143099618699	NA
PZE-101000442	1	13	2.4	0.552377572740217	-0.858977811455411	-0.889769727312661	-0.21061642998773	-0.0457153903459518	0.417143099394765	NA
PZE-101000530	1	14	2.5	0.552377614999471	-0.858977153882955	-0.889769727444985	-0.210616429768717	-0.0457153902048432	0.417143099170832	NA
PZE-101001114	1	15	2.6	0.552377253959619	-0.858982800111475	-0.889769728080326	-0.210616431639832	-0.0457153910522063	0.417143101084004	NA
PZE-101001280	1	16	2.7	0.552378782291568	-0.858988443428128	-0.889771576310594	-0.210616423719155	-0.0457150120210956	0.417143092985282	NA
PZE-101000673	1	17	3	0.60528031147389	-0.85892225058187	-0.947021480825292	-0.210345375119213	-0.0364353574820936	0.416865876421188	NA
PZE-101001107	1	18	3.1	0.617800739530551	-0.916393764461596	-0.966632615145781	-0.210282084086072	-0.034174988576271	0.416801123477005	NA
PZE-101002282	1	19	3.4	0.656466564384802	0.90624013235077	0.974574942652805	-0.210088521157981	-0.0293301908043889	0.416603038617961	NA
PZE-101002081	1	20	3.6	0.64234843042689	0.906242876390866	-0.210158875925346	0.416675045872846	0.974575003748266	-0.0310163092594284	NA
PZE-101001380	1	21	4.3	0.741544628558693	0.906142816299789	0.97454775195471	-0.204507620788201	-0.0220995067500804	0.400922759305627	NA
