mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101036799	1	35	40.8	2	2.6	-4.2	2.6
PZE-101172657	1	101	109.2	1	3.2	4.1	-0.3
PZE-101178330	1	108	116.3	7	2.3	0	1
PZE-101180531	1	110	118.4	1	8.9	-5.1	1.6
PZE-101189687	1	116	124.4	14	8.3	5.7	0.3
PZE-101205523	1	128	136.8	85	9.3	9.3	0
PZE-102004688	2	6	6.8	1	3.4	-3.3	2
PZE-102072362	2	52	63.7	1	3.1	1.9	0.4
PZE-103027704	3	31	40.2	1	2.4	-4.5	2.9
PZE-103045311	3	36	46.1	2	3.4	-4.3	2.3
PZE-103047483	3	37	46.7	4	4.5	-4.1	1.9
PZE-103115657	3	67	77.7	2	7	-6.1	1.9
PZE-103123019	3	75	86.3	3	4.7	-0.8	1.2
PZE-103125630	3	77	88.5	1	5.1	1.6	0.7
PZE-103128590	3	79	91.3	5	6	2.2	0.6
PZA00099.6	3	82	93.7	33	6.3	3	0.5
PZA00303.21	3	83	95.2	1	6.5	-6.5	2
PZE-103184380	3	128	146.9	4	3.8	-1.2	1.3
PZE-103185158	3	129	148.1	4	4.8	0.4	0.9
PZE-103186727	3	130	149.5	2	3.6	-4.6	2.3
PZE-103186544	3	131	149.7	1	4.4	2.3	0.5
PZE-104034112	4	42	52.4	1	5	-0.5	1.1
PZE-104069761	4	45	55	46	4.9	1.7	0.7
PZE-104076990	4	47	56.9	7	3.9	5	-0.3
PZE-104081748	4	49	59.4	4	5.2	1.7	0.7
PZE-104086676	4	53	63.3	2	6.6	0.1	1
PZE-104093644	4	59	69.4	1	7.4	-4.4	1.6
PZA03308.3	4	60	70.5	2	5.1	-4	1.8
PZE-104095745	4	61	71.5	2	5.2	-6.2	2.2
PZE-104101269	4	67	78.7	1	2.2	-4.6	3.1
PZE-104112214	4	82	95.5	1	2.1	-3.4	2.6
PZE-104113130	4	83	96	1	3	-6.8	3.3
PZE-105004767	5	6	7.7	1	3.2	-7.9	3.5
PZE-106034708	6	15	15.9	3	6.5	3.4	0.5
PZE-106039880	6	16	17.1	1	1.8	0	1
PZE-106040089	6	17	18.1	3	4.4	5.7	-0.3
PZE-106041751	6	18	19.1	16	7.2	3.9	0.5
PZE-106040890	6	19	19.4	31	6.9	5.2	0.2
PZE-106048118	6	24	24.5	4	6.1	3.1	0.5
PZE-106051814	6	30	31.1	2	7.7	0.2	1
PZE-106060570	6	38	40.9	13	7.7	2.1	0.7
PZE-106060535	6	39	41.7	11	7	4.2	0.4
PZE-106062474	6	40	43.1	1	6.5	-6.2	2
PZE-107023670	7	34	44.1	14	6.7	3.8	0.4
PZE-107066392	7	46	57.4	4	4.7	7.8	-0.7
PZE-107066645	7	47	58.2	20	6.8	6	0.1
PZA03477.1	7	50	60.9	21	6.8	6	0.1
PZE-107072681	7	52	63.2	37	7.3	6.8	0.1
PZE-108002130	8	3	3.3	15	4.9	1.3	0.7
PZE-108005623	8	11	15.4	7	6.1	-1.3	1.2
PZE-108006522	8	13	17.3	1	5	-5.7	2.1
PZE-108008540	8	16	20.9	1	4.8	0	1
PZE-108009299	8	17	22.4	12	4.9	-0.3	1.1
PZE-108009465	8	18	24.1	4	4.6	-0.2	1
PZE-108015266	8	25	33.2	6	4.8	4.8	0
PZE-108018114	8	29	38.7	13	5.4	-1.4	1.3
PZE-108077560	8	61	71.3	1	3.8	-0.4	1.1
PZE-108088344	8	65	75.4	1	4.6	-6.6	2.4
PZB01963.1	9	41	48.6	10	5.8	2.3	0.6
PZE-109046250	9	44	51.5	2	5.9	2.7	0.5
PZE-109073072	9	54	61.8	2	9.2	-5.4	1.6
PZE-109079845	9	56	63.8	1	5.2	3.2	0.4
PZE-109083369	9	57	64.8	14	7.4	6.7	0.1
PZE-109085819	9	58	65.8	9	6.3	6.4	0
PZE-109086097	9	59	66.4	44	6.4	7.3	-0.1
PZE-109087846	9	60	67.9	1	4.7	5.6	-0.2
PZE-109089873	9	61	69.2	10	6.4	4.3	0.3
PZE-109091272	9	62	70.4	7	5.4	3.5	0.4
