"mk.id" "chr" "cM"
"3733" "PZE-101000161" 1 0.1
"3742" "PZE-101000344" 1 0.7
"3748" "PZE-101000424" 1 0.8
"3762" "PZE-101000754" 1 1.4
"3761" "PZE-101000740" 1 1.4
"3735" "PZE-101000169" 1 1.5
"3768" "PZE-101001094" 1 1.8
"3769" "PZE-101001103" 1 1.8
"3758" "PZE-101000659" 1 1.9
"3772" "PZE-101001110" 1 2.2
"3766" "PZE-101001044" 1 2.2
"3749" "PZE-101000431" 1 2.3
"3750" "PZE-101000442" 1 2.4
"3754" "PZE-101000530" 1 2.5
"3764" "PZE-101000775" 1 2.6
"3773" "PZE-101001114" 1 2.6
"3774" "PZE-101001115" 1 2.6
"3777" "PZE-101001280" 1 2.7
"3760" "PZE-101000673" 1 3
"3783" "PZE-101002282" 1 3.4
"3782" "PZE-101002081" 1 3.6
"3778" "PZE-101001320" 1 3.6
"3781" "PZE-101001587" 1 4.2
"3780" "PZE-101001380" 1 4.3
"3771" "PZE-101001108" 1 4.4
"3790" "PZE-101003133" 1 4.5
"3785" "PZE-101002887" 1 4.7
"3791" "PZE-101003135" 1 4.7
"3787" "PZE-101003026" 1 4.9
"3788" "PZE-101003031" 1 5.6
"2324" "PZA00393.1" 1 5.7
"3789" "PZE-101003115" 1 5.9
"3784" "PZE-101002367" 1 6
"3805" "PZE-101005818" 1 7.3
"3804" "PZE-101005806" 1 7.3
"3795" "PZE-101004337" 1 7.7
"3806" "PZE-101005831" 1 7.9
"3807" "PZE-101006745" 1 9.2
"3801" "PZE-101005765" 1 9.2
"2488" "PZA01022.1" 1 9.6
"3815" "PZE-101009312" 1 10.6
"3809" "PZE-101007769" 1 10.9
"3813" "PZE-101009215" 1 11.2
"3822" "PZE-101010821" 1 11.8
"3816" "PZE-101009528" 1 12.3
"3812" "PZE-101009163" 1 12.5
"3820" "PZE-101010560" 1 13
"3823" "PZE-101010917" 1 13.5
"3831" "PZE-101012517" 1 13.6
"3840" "PZE-101014135" 1 13.7
"3841" "PZE-101014266" 1 13.8
"3824" "PZE-101011048" 1 14
"3837" "PZE-101013802" 1 15.2
"3839" "PZE-101014003" 1 15.3
"3830" "PZE-101011906" 1 15.7
"2110" "PZA-000175002" 1 15.7
"3836" "PZE-101013772" 1 16.4
"3835" "PZE-101013713" 1 16.9
"3859" "PZE-101017581" 1 18.7
"3392" "PZB01915.1" 1 19.1
"3856" "PZE-101017463" 1 19.5
"3858" "PZE-101017580" 1 19.6
"3864" "PZE-101018111" 1 19.7
"3857" "PZE-101017487" 1 19.9
"3872" "PZE-101018404" 1 20.6
"3879" "PZE-101018668" 1 20.8
"3863" "PZE-101018057" 1 20.9
"3887" "PZE-101019334" 1 21
"3854" "PZE-101017262" 1 21
"3873" "PZE-101018411" 1 21.2
"3853" "PZE-101017187" 1 21.3
"3893" "PZE-101019597" 1 21.5
"3899" "PZE-101019781" 1 21.6
"3898" "PZE-101019767" 1 21.6
"3870" "PZE-101018356" 1 21.7
"3871" "PZE-101018400" 1 21.7
"3896" "PZE-101019727" 1 21.8
"3901" "PZE-101019853" 1 21.9
"3867" "PZE-101018206" 1 22.5
"3877" "PZE-101018567" 1 22.9
"3895" "PZE-101019726" 1 23
"3904" "PZE-101020844" 1 23.4
"3914" "PZE-101021745" 1 23.5
"3903" "PZE-101020456" 1 23.6
"3883" "PZE-101018818" 1 23.7
"3891" "PZE-101019538" 1 24
"3890" "PZE-101019537" 1 24
"3920" "PZE-101022341" 1 24.3
"3892" "PZE-101019557" 1 24.4
"3915" "PZE-101021926" 1 25.4
"3909" "PZE-101021455" 1 25.7
"3905" "PZE-101020931" 1 26.9
"3908" "PZE-101021308" 1 27.6
"3933" "PZE-101024556" 1 28.2
"3948" "PZE-101026314" 1 28.6
"3950" "PZE-101026429" 1 29.4
"3932" "PZE-101024519" 1 29.4
"3953" "PZE-101026621" 1 29.6
"3949" "PZE-101026386" 1 29.7
"3931" "PZE-101024452" 1 30
"3958" "PZE-101027182" 1 30.4
