mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101028242	1	23	31.9	1	0	0	0	1	2.6	2.6	0
PZE-101028104	1	25	33.4	11	0	0	0	11	5.2	1.5	0.7
PZE-101030616	1	28	36.6	1	0	0	0	1	3.5	0.5	0.9
PZE-101069158	1	48	59.7	1	0	0	1	0	8.4	0	1
PZE-101130213	1	68	81.6	28	0	9	17	2	7.1	0.1	1
PZE-101134523	1	69	83.4	26	0	9	17	0	7	2.7	0.6
PZE-101136791	1	70	84.1	4	0	1	3	0	7.1	-0.4	1.1
PZE-101140981	1	72	86.6	6	0	3	1	2	5.9	0.3	0.9
PZE-101153717	1	78	93.2	1	0	0	1	0	6.9	0	1
PZE-101154857	1	80	95.5	5	0	3	0	2	6.9	1.4	0.8
PZE-101166480	1	84	101	1	0	1	0	0	6.8	-5.5	1.8
PZE-101169548	1	89	106.2	1	0	1	0	0	6.7	-4.6	1.7
PZE-101177767	1	97	115.8	1	0	0	1	0	3	0	1
PZE-101189687	1	104	124.4	9	0	2	7	0	8	1.3	0.8
PZE-101187678	1	105	124.9	8	0	5	3	0	9.2	-0.3	1
PZE-101190874	1	106	126.1	10	0	3	7	0	9	2	0.8
PZE-101193133	1	107	127.1	5	0	0	4	1	7.3	0.3	1
PZE-101194696	1	108	128.5	6	0	1	5	0	8.3	0.9	0.9
PZE-101194503	1	109	129.1	8	0	0	8	0	10.1	0	1
PZE-101196778	1	110	130.2	3	0	2	1	0	9.4	5.7	0.4
PZE-101199598	1	111	131.3	3	0	0	3	0	6.9	2.8	0.6
PZE-101201013	1	114	135.2	3	0	0	3	0	6.6	0	1
PZE-101205734	1	115	136.4	1	0	1	0	0	11.2	4.9	0.6
PZE-101208550	1	118	139.6	6	0	6	0	0	7.5	4.6	0.4
PZE-101210733	1	119	141.1	1	0	0	1	0	9.5	0	1
PZE-101210657	1	120	142	10	0	4	6	0	8.2	0.7	0.9
PZE-101212714	1	121	143.4	3	0	3	0	0	8.5	2	0.8
PZE-101219932	1	123	145.9	3	0	3	0	0	9.3	-5.4	1.6
PZE-101214818	1	124	146.9	1	0	0	1	0	11.5	0	1
PZE-101219933	1	125	147.4	1	0	0	0	1	3.7	-7	2.9
