mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101000424	1	1	0.8	2	5.9	0.2	1
PZE-101057000	1	40	52.1	1	8.5	-8.7	2
PZE-101121405	1	62	77.8	8	7.8	-1.7	1.2
PZE-101121742	1	63	78.1	1	8.8	5.9	0.3
PZE-101122769	1	64	80	1	5	1.1	0.8
PZE-101130213	1	66	81.6	2	6.5	1.4	0.8
PZE-101134461	1	67	82.7	16	8	1.5	0.8
PZE-101137048	1	68	83.8	5	8.2	-5.7	1.7
PZE-102006385	2	7	9.6	1	6.7	-4.7	1.7
PZE-103102810	3	51	66.6	1	6.4	6.1	0
PZE-103103362	3	52	67.4	1	5	-1.3	1.3
PZE-103110852	3	57	72.4	1	6.2	1.1	0.8
PZE-103114815	3	58	74.3	1	5.5	-2.5	1.5
PZE-103110684	3	59	75.8	4	8.2	-4.3	1.5
PZE-103111009	3	60	76.3	18	8	-0.9	1.1
PZE-103115657	3	61	77.7	2	6.6	-5.2	1.8
PZE-104116539	4	83	102.4	2	6.2	-3.9	1.6
PZE-104139238	4	90	110.3	1	5.4	-6.7	2.2
PZE-105181974	5	98	136.3	1	8.1	-9.8	2.2
PZE-106000112	6	1	0	4	4.6	-1.5	1.3
PZE-106006805	6	6	6.8	1	5.4	-0.6	1.1
PZE-106020123	6	8	10	2	10.3	8.1	0.2
PZE-106008513	6	9	11.3	3	14.4	-1.2	1.1
PZE-106036314	6	13	15.1	2	15.3	7.6	0.5
PZE-106038001	6	15	16.9	17	15.8	8.1	0.5
PZE-106041256	6	16	18.7	3	13.6	14.1	0
PZE-106041852	6	17	19.4	21	15.2	10.8	0.3
PZE-106046440	6	21	24.8	42	14.7	11.6	0.2
PZE-106046852	6	22	25.3	5	16.1	10.3	0.4
PZE-106048055	6	23	26.7	3	15.7	4.5	0.7
PZE-106047802	6	24	27.9	2	9.1	4	0.6
PZE-106051814	6	26	31.1	1	3.6	0.3	0.9
PZE-106052904	6	27	31.9	1	4.7	-2.7	1.6
PZE-107076218	7	51	68.7	2	11	4.1	0.6
PZE-107077770	7	52	69.8	2	11.8	4.2	0.6
PZE-107078697	7	53	70.9	9	10.5	7.8	0.3
PZE-107085004	7	57	75.5	64	11.8	7.8	0.3
PZE-107094413	7	58	77.5	3	12.2	-3.3	1.3
PZE-107109757	7	65	84.7	4	11.7	1	0.9
PZE-107113484	7	67	88.2	1	10.9	2.1	0.8
PZE-107115307	7	68	90.7	1	10.9	6.9	0.4
PZE-107118905	7	70	92.9	8	10.8	5.3	0.5
PZE-107118752	7	71	94	3	11.4	-1	1.1
PZE-108008825	8	17	22	1	8.3	4.8	0.4
PZE-108011044	8	20	26.5	2	8.6	1	0.9
PZE-108011046	8	21	26.9	1	11.9	-11.4	2
PZE-108016906	8	27	35.9	3	8.9	7.8	0.1
PZE-108018114	8	29	38.7	2	10.7	1.7	0.8
PZE-108019862	8	30	39.3	21	10.6	4.6	0.6
PZE-108020824	8	31	41.2	17	9.1	6	0.3
PZE-108022547	8	32	42.6	2	13.2	1.1	0.9
PZE-108030712	8	34	44.9	24	11.3	7.2	0.4
PZE-108042918	8	36	46.2	13	10.5	3.7	0.6
PZE-108045901	8	37	47.4	6	9.3	6.8	0.3
PZE-108053798	8	38	49.4	4	9	1.7	0.8
PZE-108061060	8	44	55.5	1	8.9	4.5	0.5
PZE-108073577	8	53	65.9	1	7.9	-1.7	1.2
PZE-108074608	8	54	67.4	3	5.5	-1.3	1.2
PZE-109029553	9	40	50.6	1	8.9	-11	2.2
PZE-109061069	9	43	53.9	2	8	-1.1	1.1
PZE-109073134	9	50	62	2	8.9	-1.1	1.1
PZE-109076739	9	51	63.9	3	9	1.2	0.9
PZE-109080626	9	52	64.9	5	8.1	-0.5	1.1
PZE-109091272	9	57	70.4	3	7.1	0	1
PZE-109093779	9	58	71.6	37	7.7	3.6	0.5
PZE-109092156	9	59	72.3	8	8.6	2	0.8
PZE-109096003	9	61	74.6	1	9.8	2.1	0.8
PZE-109098198	9	64	79.1	1	7.4	-2.8	1.4
PZE-109100161	9	65	80.7	2	7.9	-2.6	1.3
PZE-109107248	9	72	91.7	1	5.4	-4.2	1.8
PZE-110009173	10	14	25.8	4	8.4	5.4	0.4
PZE-110009551	10	18	29.4	2	9.1	6.8	0.3
PZE-110012360	10	19	32.5	53	9.9	7	0.3
PZE-110014332	10	20	33.8	9	8.2	6.2	0.2
PZE-110060456	10	35	50.1	1	5.4	0	1
