mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.0759315654528205	0.277674875749544	0.809065944689628	-0.842067755913782	-0.411868668900086	0.730614654668564	1
PZE-101000161	1	2	0.1	0.0759318097544994	0.277674191092491	-0.842067755913782	0.730614654668564	0.809065944689719	-0.411868668900126	1
PZE-101000344	1	3	0.7	0.0759393740783235	0.277674493487193	-0.841860889915252	0.730614654668875	0.809065944689628	-0.411868668900047	1
PZE-101000424	1	4	0.8	0.0761804447275306	0.277003961449804	-0.841826451930076	0.73061465466844	0.809065944689719	-0.411868668900047	1
PZE-101000370	1	5	1	0.076489616797718	0.276150807345848	-0.841757612491662	0.73061465466875	0.809065944689628	-0.411868668899968	1
PZE-101000754	1	6	1.4	0.0763914343048509	0.276437728422769	-0.841620087548058	0.730614654668688	0.809065944689719	-0.411868668899987	1
PZE-101000169	1	7	1.5	0.0762160048533413	0.276929747597975	-0.841585740002513	0.730614654668502	0.809065944689537	-0.411868668900047	1
PZE-101000256	1	8	1.7	0.0756870653990466	0.27841909694259	-0.841517087277384	0.730614654668626	0.809065944689628	-0.411868668899987	1
PZE-101001094	1	9	1.8	0.0753356352956167	0.279415390562451	-0.841482782650275	0.730614654668564	0.809065944689719	-0.411868668900066	1
PZE-101000659	1	10	1.9	0.0749268337189637	0.809065944689719	0.280578191856726	-0.411868668900027	-0.841482779219969	0.73061465466875	1
PZE-101001110	1	11	2.2	0.0746811812365143	0.809065944689628	0.281284666679786	-0.411862741635153	-0.841482779218746	0.730614654668564	1
PZE-101000431	1	12	2.3	0.0792758256415717	0.809065944689628	0.280289734040721	-0.392424195014224	-0.841482779219191	0.730614654528962	1
PZE-101000442	1	13	2.4	0.0837249037870902	0.809065944689628	0.280432949058991	-0.3736361730247	-0.841482779218857	0.730614654389175	1
PZE-101000530	1	14	2.5	0.0884254242409334	0.809065944689628	0.280578459157908	-0.35552006505904	-0.841482779219302	0.730614654249015	1
