mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101121405	1	62	77.8	15	0	2	13	0	7.8	0.4	0.9
PZE-101121742	1	63	78.1	8	0	2	6	0	7.3	-0.9	1.1
PZE-101122769	1	64	80	2	0	2	0	0	7.8	7.3	0.1
PZE-101130213	1	66	81.6	1	0	1	0	0	10.7	0.6	0.9
PZE-101134461	1	67	82.7	14	0	14	0	0	8.6	2.3	0.7
PZE-101137048	1	68	83.8	9	0	9	0	0	8	-1.8	1.2
PZE-101141595	1	69	84.7	1	0	1	0	0	9.3	-14.5	2.6
PZE-102000302	2	2	1.2	5	0	0	0	5	4.7	2.8	0.4
PZE-102002451	2	3	3.4	1	0	0	1	0	6.1	-0.5	1.1
PZE-102007615	2	8	11.5	4	0	0	0	4	4.6	-2.5	1.5
PZE-102018319	2	14	23.2	1	0	0	0	1	5.4	-1.6	1.3
PZE-103102119	3	50	65.1	1	0	0	0	1	6.3	-2.8	1.4
PZE-103103362	3	52	67.4	3	0	0	0	3	4.4	1	0.8
PZE-103114815	3	58	74.3	3	0	0	0	3	4.5	-2.2	1.5
PZE-103110684	3	59	75.8	1	0	1	0	0	7.9	-4.2	1.5
PZE-103111009	3	60	76.3	4	0	4	0	0	8.7	-2.5	1.3
PZE-103119152	3	64	81.3	1	0	1	0	0	6.3	0.2	1
PZE-104086655	4	48	62.1	1	0	0	0	1	6.2	-10.8	2.7
PZE-104096885	4	57	72.3	1	0	0	0	1	4.4	-4.3	2
PZE-104098895	4	59	74.7	1	0	0	0	1	6.2	-5.8	1.9
PZE-104105055	4	68	84.5	21	0	6	0	15	6.1	0.5	0.9
PZE-104114085	4	79	98.2	2	0	2	0	0	7.9	-1	1.1
PZE-104115259	4	81	99.8	2	0	2	0	0	9.6	-2	1.2
PZE-104116352	4	82	101.7	5	0	5	0	0	8.3	2.7	0.7
PZE-104116539	4	83	102.4	8	0	8	0	0	8.6	4.1	0.5
PZE-104138961	4	89	109.5	1	0	1	0	0	11.3	0.8	0.9
PZE-104139238	4	90	110.3	1	0	1	0	0	8.8	-2.3	1.3
PZE-105133893	5	66	87.4	1	0	0	0	1	3.5	-4.9	2.4
PZE-105175259	5	93	124.9	1	0	0	1	0	6.1	-4.7	1.8
PZE-105177818	5	94	129.1	7	0	0	0	7	4.6	-3.4	1.7
PZE-105179864	5	95	131.5	1	0	1	0	0	8.2	-6.9	1.8
PZE-105180267	5	96	133.4	4	0	0	2	2	5.3	-3.4	1.6
PZE-105181381	5	97	134.6	2	0	0	2	0	4.2	0	1
PZE-105181974	5	98	136.3	2	0	0	0	2	3.6	-1	1.3
PZE-106000112	6	1	0	1	0	0	0	1	7.1	5.3	0.3
PZE-106036314	6	13	15.1	1	0	1	0	0	14.7	2.1	0.9
PZE-106038001	6	15	16.9	3	0	3	0	0	10.1	11	-0.1
PZE-106041852	6	17	19.4	9	0	9	0	0	16	7	0.6
PZE-106046440	6	21	24.8	49	0	45	1	3	14.8	11.8	0.2
PZE-106046852	6	22	25.3	34	0	23	11	0	15.4	8.3	0.5
PZE-106048055	6	23	26.7	2	0	2	0	0	14.8	4.9	0.7
PZE-106050123	6	25	28.9	1	0	1	0	0	19.1	2.5	0.9
PZE-106112449	6	75	91.9	1	0	1	0	0	7.6	-4.3	1.6
PZB01083.2	7	12	18.3	1	0	1	0	0	5	6.1	-0.2
PZE-107017746	7	25	38	1	0	1	0	0	6.6	-0.7	1.1
PZE-107078697	7	53	70.9	8	0	1	0	7	9.6	4.9	0.5
PZE-107083379	7	54	72.7	9	0	0	0	9	11.7	5.9	0.5
PZE-107079722	7	55	73.1	5	0	0	0	5	10.9	-1.7	1.2
PZE-107085004	7	57	75.5	62	0	17	39	6	10.9	5.2	0.5
PZE-107094413	7	58	77.5	1	0	0	0	1	9.2	12.2	-0.3
PZE-107093971	7	59	77.8	1	0	0	0	1	9.7	-0.5	1.1
PZE-107102135	7	61	80.1	1	0	0	0	1	7.1	11	-0.5
PZE-107118905	7	70	92.9	11	0	2	4	5	8.6	-0.7	1.1
PZE-107118752	7	71	94	1	0	1	0	0	8.8	0.4	1
PZE-107119249	7	72	95.1	1	0	1	0	0	12	-7.4	1.6
PZE-108015266	8	25	33.2	2	0	2	0	0	9.9	-7.9	1.8
PZE-108018114	8	29	38.7	3	0	3	0	0	11.5	-3.2	1.3
PZE-108019862	8	30	39.3	27	0	27	0	0	10.1	5.7	0.4
PZE-108020824	8	31	41.2	18	0	18	0	0	10.3	5.8	0.4
PZE-108022547	8	32	42.6	1	0	0	1	0	6.4	0	1
PZE-108030712	8	34	44.9	27	0	3	24	0	9.4	3.2	0.7
PZE-108042918	8	36	46.2	4	0	4	0	0	9.2	6.4	0.3
PZE-108053798	8	38	49.4	1	0	1	0	0	8.2	5.5	0.3
PZE-108054494	8	39	50.5	2	0	0	2	0	6.5	0	1
PZE-109019364	9	32	42.1	2	0	0	0	2	5.5	-2.6	1.5
PZE-109055211	9	41	52.3	2	0	0	0	2	4.1	-3.9	2
PZE-109064132	9	46	57.4	1	0	0	0	1	3.5	-2.7	1.8
PZE-109071755	9	48	59.8	1	0	0	1	0	5.6	-0.5	1.1
PZE-109073134	9	50	62	4	0	0	0	4	4.2	3.6	0.1
PZE-109076739	9	51	63.9	1	0	0	1	0	7.6	-3.7	1.5
PZE-109080626	9	52	64.9	1	0	0	0	1	7.6	8.8	-0.2
PZB01432.2	9	53	65.7	10	0	0	2	8	4.9	2	0.6
PZE-109093779	9	58	71.6	11	0	4	7	0	7.6	-0.1	1
PZE-109092156	9	59	72.3	6	0	4	2	0	9.6	1	0.9
PZE-109096003	9	61	74.6	2	0	2	0	0	9.8	-5.6	1.6
PZE-109104845	9	69	88.1	1	0	0	1	0	5.7	0	1
PZE-109107539	9	73	92.3	1	0	0	1	0	5.7	-1.5	1.3
PZE-110008028	10	12	22.6	1	0	1	0	0	8.9	-2.6	1.3
PZE-110009173	10	14	25.8	12	0	10	2	0	8.4	3.1	0.6
PZE-110009944	10	17	28.3	1	0	1	0	0	12.1	-0.9	1.1
PZE-110009551	10	18	29.4	6	0	5	0	1	7.7	4.7	0.4
PZE-110012360	10	19	32.5	43	0	41	0	2	10	8.5	0.2
PZE-110014332	10	20	33.8	14	0	14	0	0	12.9	8	0.4
PZE-110014082	10	21	35.3	2	0	2	0	0	11	14.7	-0.3
PZE-110059392	10	36	52	5	0	0	0	5	5.2	2.4	0.5
PZE-110103912	10	67	95.7	3	0	0	0	3	5.1	-3.5	1.7
PZE-110105233	10	68	96.7	1	0	0	0	1	4.7	0.2	1
PZE-110108403	10	72	103.5	1	0	0	0	1	3.9	4.5	-0.2
