mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.411785541717517
PZE-101000161	1	2	0.1	0.145720848462354
PZE-101000344	1	3	0.7	0.411785541717517
PZE-101000424	1	4	0.8	0.0996810332795039
PZE-101000370	1	5	1	0.157991337801106
PZE-101000754	1	6	1.4	0.0918855058431492
PZE-101000169	1	7	1.5	0.157991337801106
PZE-101000256	1	8	1.7	0.157991337801106
PZE-101001094	1	9	1.8	0.00249458843646532
PZE-101000659	1	10	1.9	0.192212459861424
PZE-101001110	1	11	2.2	0.243129276028046
PZE-101000431	1	12	2.3	0.411785541717517
PZE-101000442	1	13	2.4	0.157991337801106
PZE-101000530	1	14	2.5	0.431141629644322
PZE-101001114	1	15	2.6	0.00249458843646532
PZE-101001280	1	16	2.7	0.00249458843646532
PZE-101000673	1	17	3	0.431141629644322
PZE-101001107	1	18	3.1	0.505937819010496
PZE-101002282	1	19	3.4	0.171489333497425
PZE-101002081	1	20	3.6	0.10722249806633
PZE-101001587	1	21	4.2	0.17643678641464
PZE-101001380	1	22	4.3	0.505937819010496
PZE-101003133	1	23	4.5	0.320929325273439
PZE-101003135	1	24	4.7	0.143158003371342
PZE-101003026	1	25	4.9	0.423654380189445
PZE-101003031	1	26	5.6	0.157991337801106
PZA00393.1	1	27	5.7	0.0725212168622416
PZE-101003115	1	28	5.9	0.288944938010202
PZE-101002367	1	29	6	0.0685995444748987
PZE-101005818	1	30	7.3	0.379381377229572
PZE-101006745	1	31	9.2	0.209318606223445
PZA01022.1	1	32	9.6	0.225104556580462
PZE-101009312	1	33	10.6	0.0868666308024954
PZE-101007769	1	34	10.9	0.0422416525935973
PZE-101009670	1	35	11	0.329537124371741
PZE-101009215	1	36	11.2	0.335349061809598
PZE-101010821	1	37	11.8	0.265675200791798
PZE-101009528	1	38	12.3	0.154226481842292
PZE-101009163	1	39	12.5	0.156509657376318
PZE-101010560	1	40	13	0.30140240133983
PZE-101010917	1	41	13.5	0.491904659757469
PZE-101012517	1	42	13.6	0.630013504680638
PZE-101014135	1	43	13.7	0.747828083036425
PZE-101014266	1	44	13.8	0.747828083036425
PZE-101011048	1	45	14	0.171118675455082
PZE-101013818	1	46	14.9	0.0505176010640738
PZE-101014003	1	47	15.3	0.0330518857783582
PZE-101011906	1	48	15.7	0.0581748336165441
PZE-101015469	1	49	16.2	0.302882560734019
PZE-101013772	1	50	16.4	0.457812125466423
PZE-101013713	1	51	16.9	0.245584962907974
PZE-101015471	1	52	17.3	0.383052391265977
PZE-101017581	1	53	18.7	0.159436014183718
PZE-101017779	1	54	19	0.369240720535559
PZB01915.1	1	55	19.1	0.498978811949187
PZE-101017463	1	56	19.5	0.862427946084881
PZE-101017580	1	57	19.6	0.862427946084881
PZE-101018214	1	58	19.7	0.595471202128714
PZE-101017487	1	59	19.9	0.477513427781417
PZE-101018516	1	60	20.1	0.686422537502449
PZE-101018023	1	61	20.3	0.169629949210778
PZE-101018404	1	62	20.6	0.169629949210778
PZE-101018668	1	63	20.8	0.680357075206293
PZE-101018057	1	64	20.9	0.999436929045651
PZE-101017262	1	65	21	0.573740946850694
PZE-101018616	1	66	21.1	0.192725948056843
PZE-101018411	1	67	21.2	0.459164795225647
PZE-101017187	1	68	21.3	0.190852425472531
PZE-101018868	1	69	21.4	0.06908669933387
PZE-101019597	1	70	21.5	1.94228233465554
PZE-101019781	1	71	21.6	0.551126125873634
PZE-101018356	1	72	21.7	0.289666515050792
PZE-101019727	1	73	21.8	1.08094542697399
PZE-101019853	1	74	21.9	0.551126125873634
PZE-101018206	1	75	22.5	0.289666515050792
PZE-101018567	1	76	22.9	0.211338666029979
PZE-101019726	1	77	23	0.132810549959878
PZE-101021986	1	78	23.1	1.160560180686
PZE-101020456	1	79	23.6	0.179348685603414
PZE-101018818	1	80	23.7	0.56499141844461
PZE-101019538	1	81	24	0.917892067273195
PZE-101022341	1	82	24.3	0.256866317227303
PZE-101019557	1	83	24.4	0.598726119505733
PZE-101021926	1	84	25.4	0.217695137869816
PZE-101021455	1	85	25.7	0.0375333534774612
PZE-101024131	1	86	25.9	1.2812030671716
PZE-101024424	1	87	26.4	1.2812030671716
PZE-101020931	1	88	26.9	0.78987658802312
PZE-101021308	1	89	27.6	0.0389003765064641
PZE-101025101	1	90	27.7	0.362874103679937
PZE-101024556	1	91	28.2	0.0123001228652539
PZE-101026314	1	92	28.6	0.99375175930156
PZE-101026882	1	93	29.1	0.0612265393764645
PZE-101024519	1	94	29.4	0.63228587854351
PZE-101027798	1	95	29.5	0.430617320163428
PZE-101026621	1	96	29.6	0.0809239339469578
PZE-101026386	1	97	29.7	0.99375175930156
PZE-101027475	1	98	29.8	0.277461019346018
PZE-101024452	1	99	30	0.411513479527625
PZE-101027158	1	100	30.4	0.446876323485474
PZE-101027351	1	101	30.6	0.0612265393764645
PZE-101027807	1	102	30.9	0.430617320163428
PZB00718.5	1	103	31.1	0.741909608274826
PZE-101029689	1	104	31.3	0.725990882462979
PZE-101029759	1	105	31.4	0.725990882462979
PZE-101026218	1	106	31.5	0.875184816985394
PZE-101028121	1	107	31.6	0.277461019346018
PZE-101029820	1	108	31.8	0.725990882462979
PZE-101028242	1	109	31.9	0.275146930525314
PZE-101026095	1	110	32	0.467710242396232
PZE-101029587	1	111	32.1	0.28810225682025
PZE-101029707	1	112	32.2	0.725990882462979
PZE-101030263	1	113	32.3	0.283205359594147
PZE-101029748	1	114	32.4	0.28170574359906
PZE-101030925	1	115	32.7	0.1056401326728
PZE-101028351	1	116	33.1	0.693241956623373
PZE-101028104	1	117	33.4	0.126685209453726
PZE-101031146	1	118	33.7	0.274820785728993
PZE-101031377	1	119	33.9	0.303087806808525
PZE-101032517	1	120	34	0.116386092562396
PZE-101032704	1	121	34.1	0.116386092562396
PZE-101030251	1	122	34.3	0.775668307725086
PZE-101029123	1	123	34.4	0.465692570513676
PZE-101030692	1	124	34.5	0.303087806808525
PZE-101028930	1	125	34.7	0.264955840903701
PZE-101030220	1	126	35	0.46990867791715
PZE-101029737	1	127	35.1	0.145248795299425
PZE-101031077	1	128	35.2	0.359591902659238
PZE-101030022	1	129	35.4	0.770681546810613
PZE-101032015	1	130	35.7	0.303087806808525
PZE-101030211	1	131	35.8	0.46990867791715
PZE-101031636	1	132	35.9	0.135840357791166
PZA00358.12	1	133	36	0.498419034118129
PZE-101031655	1	134	36.1	0.498419034118129
PZE-101033801	1	135	36.3	0.0220015954541002
PZE-101034101	1	136	36.5	0.838456823634924
PZE-101030616	1	137	36.6	0.1743763563087
PZE-101033184	1	138	36.7	0.187576750368685
PZE-101032956	1	139	37	0.373117029708677
PZE-101032974	1	140	37.1	0.373117029708677
PZE-101033613	1	141	37.2	0.283205359594147
PZE-101033119	1	142	37.3	0.373117029708677
PZE-101035119	1	143	37.4	0.0220015954541002
PZE-101033489	1	144	37.7	0.535908158771816
PZE-101032230	1	145	37.8	0.170849814108599
PZE-101036310	1	146	37.9	0.938505104406354
PZE-101036345	1	147	38	0.938505104406354
PZD00096.1	1	148	38.3	0.838456823634924
PZE-101033622	1	149	38.5	0.187576750368685
PZE-101036609	1	150	38.6	0.938505104406354
PZE-101034427	1	151	38.7	0.297605185355632
PZE-101036305	1	152	38.8	0.938505104406354
PZE-101033968	1	153	39	0.526436427832352
PZE-101036181	1	154	39.2	0.902458094964421
PZE-101036318	1	155	39.3	0.938505104406354
PZE-101037191	1	156	39.6	0.283205359594147
PZE-101038503	1	157	40	0.945208370639518
PZE-101038492	1	158	40.5	0.945208370639518
PZE-101037142	1	159	40.6	0.242943886388011
PZE-101039024	1	160	40.7	0.945208370639518
PZE-101036799	1	161	40.8	0.905593393423353
PZE-101039198	1	162	40.9	0.283205359594147
PZE-101037211	1	163	41.1	0.781510180254167
PZE-101038176	1	164	41.2	0.833490055121771
PZE-101037244	1	165	41.3	0.80503142515217
PZE-101039207	1	166	41.5	0.152653307434662
PZE-101039199	1	167	41.9	0.75469914250111
PZE-101040838	1	168	42	0.12468703177604
PZE-101042009	1	169	42.4	0.432785717564363
PZE-101039655	1	170	42.5	0.361844120897375
PZE-101039642	1	171	42.6	0.361844120897375
PZE-101039351	1	172	42.8	0.478014031937425
PZE-101039466	1	173	42.9	0.452352648276296
PZE-101039469	1	174	43	0.452352648276296
PZE-101042041	1	175	43.1	0.15095843633264
PZE-101043604	1	176	43.2	1.08899921854092
PZE-101042048	1	177	43.3	0.109887359475642
PZE-101041837	1	178	43.4	0.324183416076126
PZE-101041854	1	179	43.5	0.324183416076126
PZE-101040783	1	180	43.6	0.00951221639236794
PZE-101043600	1	181	43.8	0.590549831079043
PZE-101043189	1	182	43.9	0.303700818873541
PZE-101043682	1	183	44	0.0208158407559154
PZE-101043507	1	184	44.1	0.997476499469031
PZE-101042156	1	185	44.2	0.336881371142779
PZE-101043670	1	186	44.3	0.447962201014959
PZE-101042424	1	187	44.4	0.0815708941937696
PZE-101043512	1	188	44.5	0.209671711857616
PZE-101045249	1	189	44.6	0.484780077861731
PZE-101045203	1	190	44.9	0.12634120140167
PZE-101045021	1	191	45	0.622207870169646
PZE-101045197	1	192	45.1	0.12634120140167
PZE-101046755	1	193	45.2	0.0208158407559154
PZE-101046735	1	194	45.3	0.616559641251512
PZE-101049120	1	195	45.4	0.144312761322139
PZE-101044748	1	196	45.5	0.0331858524021064
PZE-101045606	1	197	45.6	0.296538706815343
PZE-101048164	1	198	45.7	0.432785717564363
PZE-101048115	1	199	45.8	0.413869748792152
PZE-101048857	1	200	45.9	0.00386116976639199
PZE-101046132	1	201	46	0.513719716454075
PZE-101049707	1	202	46.1	0.764352523626892
PZE-101047925	1	203	46.2	0.184359711702873
PZE-101047390	1	204	46.3	0.216978302221326
PZE-101048807	1	205	46.5	0.196282572902906
PZE-101048629	1	206	46.6	0.583662081952692
PZE-101048744	1	207	46.7	0.196282572902906
PZE-101047517	1	208	46.8	0.296538706815343
PZE-101049395	1	209	46.9	0.00398661179054786
PZE-101050289	1	210	47	0.184359711702873
PZE-101049995	1	211	47.1	0.335585256435318
PZE-101048890	1	212	47.2	0.523679602096753
PZE-101050621	1	213	47.3	0.184359711702873
PZE-101054681	1	214	47.4	0.740074089807091
PZE-101053919	1	215	47.5	0.106444262102015
PZE-101050073	1	216	47.6	0.375532301902507
PZE-101050744	1	217	47.8	0.553530153621402
PZE-101054136	1	218	47.9	0.842708108885528
PZE-101051938	1	219	48	0.256452893489354
PZA00192.7	1	220	48.1	0.309302233404896
PZE-101055086	1	221	48.2	0.148452919085364
PZE-101052294	1	222	48.4	0.171008462434648
PZE-101053053	1	223	48.5	0.158557975230681
PZE-101053934	1	224	48.6	0.106444262102015
PZE-101053954	1	225	48.7	0.106444262102015
PZE-101050072	1	226	48.8	0.221652604722455
PZE-101055223	1	227	48.9	0.39956571216695
PZE-101053184	1	228	49	0.158557975230681
PZE-101053510	1	229	49.1	1.10628800158673
PZE-101054644	1	230	49.2	0.184359711702873
PZE-101054452	1	231	49.3	0.256966351823882
PZE-101055190	1	232	49.4	0.184359711702873
PZE-101054366	1	233	49.5	0.842708108885528
PZE-101056000	1	234	49.6	0.188785736083562
PZE-101054604	1	235	49.8	0.168169834021668
PZE-101055260	1	236	49.9	0.39956571216695
PZE-101056102	1	237	50	0.279998766520275
PZE-101054527	1	238	50.1	0.136334098953719
PZE-101055259	1	239	50.2	0.137387920167176
PZE-101055565	1	240	50.3	1.59436046670693
PZE-101056687	1	241	50.5	0.281425281424465
PZA00240.8	1	242	50.7	0.110913590283281
PZE-101055712	1	243	50.9	0.422391060847172
PZE-101056681	1	244	51.1	0.618063068955264
PZE-101057232	1	245	51.3	0.609296607380072
PZE-101057532	1	246	51.6	0.231861133167337
PZA00240.6	1	247	51.9	0.331499805029002
PZE-101057000	1	248	52.1	0.199456142957094
PZE-101058205	1	249	52.2	1.13233088997995
PZE-101060303	1	250	52.3	0.0144029560479806
PZE-101057783	1	251	52.4	0.134109948946964
PZE-101060842	1	252	52.5	0.110913590283281
PZE-101058312	1	253	52.6	0.406314231336029
PZE-101061064	1	254	52.7	0.0144029560479806
PZE-101060224	1	255	52.8	0.727160535104658
PZE-101058274	1	256	52.9	0.204978260223318
PZE-101062764	1	257	53	0.244150762857086
PZE-101060289	1	258	53.1	0.609296607380072
PZE-101060788	1	259	53.2	0.116721967272745
PZE-101060254	1	260	53.3	1.13233088997995
PZE-101061168	1	261	53.4	1.05312631296671
PZE-101062970	1	262	53.5	0.0144029560479806
PZE-101059495	1	263	53.6	0.36926951995134
PZE-101061114	1	264	53.8	0.0639287879167396
PZE-101059072	1	265	53.9	0.237929733708772
PZE-101063036	1	266	54	0.395106483810693
PZE-101063002	1	267	54.3	0.55845903954744
PZE-101062246	1	268	54.4	0.340997595264087
PZE-101064448	1	269	54.6	0.0380469810443646
PZE-101064766	1	270	54.7	0.0844991400292681
PZE-101064466	1	271	54.9	0.0380469810443646
PZE-101064790	1	272	55	0.0380469810443646
PZE-101064875	1	273	55.1	0.109139457478177
PZE-101063113	1	274	55.3	0.0704376517236987
PZE-101063271	1	275	55.4	0.0704376517236987
PZE-101065758	1	276	55.5	0.787078373894421
PZE-101065040	1	277	55.6	0.242522243710398
PZE-101066291	1	278	55.8	0.48399289409361
PZE-101066516	1	279	55.9	0.20393253083805
PZE-101065262	1	280	56	0.775492141852539
PZE-101065132	1	281	56.1	0.442699167608781
PZE-101065183	1	282	56.2	0.114506354200331
PZE-101065651	1	283	56.4	0.133464326732712
PZE-101065728	1	284	56.7	0.430911918117043
PZE-101068716	1	285	56.8	0.651313190111484
PZE-101069206	1	286	56.9	0.177366123438172
PZE-101067487	1	287	57	0.228835018416997
PZE-101069140	1	288	57.1	0.651313190111484
PZE-101066907	1	289	57.2	0.339867495228782
PZE-101067639	1	290	57.3	0.332404031400658
PZE-101067576	1	291	57.4	0.122749216439376
PZE-101068676	1	292	57.6	0.104214550566436
PZE-101068578	1	293	57.9	0.560533461054889
PZE-101069006	1	294	58.1	0.207811249557071
PZE-101069059	1	295	58.2	0.0146661857700092
PZE-101068888	1	296	58.3	0.207811249557071
PZA03746.1	1	297	58.4	0.00700041969381506
PZE-101071115	1	298	58.5	0.540585562545993
PZE-101068682	1	299	58.6	0.000665233283217592
PZE-101069307	1	300	58.7	0.233662286193203
PZE-101071092	1	301	58.8	0.298171030117577
PZE-101070408	1	302	58.9	0.030923613735907
PZE-101070841	1	303	59	0.172169913665858
PZE-101071675	1	304	59.1	0.469239160603047
PZE-101071870	1	305	59.2	0.97701120228079
PZE-101070816	1	306	59.3	0.0731725618088706
PZE-101071350	1	307	59.4	0.348941401675183
PZE-101073492	1	308	59.5	0.0511958812778498
PZE-101071273	1	309	59.6	0.298171030117577
PZE-101069158	1	310	59.7	0.350515234755766
PZE-101072206	1	311	59.8	0.133296685755568
PZE-101072745	1	312	59.9	0.210152521570227
PZE-101072651	1	313	60	0.356942360296078
PZE-101071897	1	314	60.1	0.457292095759863
PZE-101073495	1	315	60.2	1.2844037612878
PZE-101073233	1	316	60.3	0.0511958812778498
PZE-101071373	1	317	60.4	0.0151161703535368
PZE-101074651	1	318	60.5	0.538263816619594
PZE-101074451	1	319	60.6	0.411846632719759
PZE-101075328	1	320	60.7	0.623392407675495
PZE-101073696	1	321	60.8	0.0977531846853194
PZE-101075099	1	322	60.9	0.283404109777169
PZE-101075790	1	323	61	0.00139219457843825
PZE-101073230	1	324	61.1	0.0755519681064033
PZE-101074193	1	325	61.2	1.21848683637658
PZE-101076890	1	326	61.5	0.623392407675495
PZE-101076213	1	327	61.6	0.231605937905284
PZE-101074998	1	328	61.7	0.283404109777169
PZE-101077213	1	329	61.8	0.551974919369157
PZE-101076881	1	330	61.9	0.231605937905284
PZE-101077491	1	331	62	0.551974919369157
PZE-101077867	1	332	62.1	0.0440253707899939
PZE-101077008	1	333	62.3	0.454584146349814
PZE-101078906	1	334	62.5	0.32138047468323
PZE-101077878	1	335	62.7	0.0440253707899939
PZE-101078239	1	336	62.8	0.120731643268396
PZE-101078409	1	337	62.9	0.0616635770790629
PZE-101077530	1	338	63	0.234429181673138
PZE-101077537	1	339	63.1	0.234429181673138
PZE-101078752	1	340	63.2	0.0576858425118946
PZE-101077919	1	341	63.3	0.584682673127881
PZE-101079205	1	342	63.4	0.32138047468323
PZE-101079935	1	343	63.5	0.667821851661986
PZE-101080259	1	344	63.6	0.885074489473965
PZE-101079397	1	345	63.7	0.148378938340573
PZE-101120125	1	346	63.8	0.551974919369157
PZE-101080306	1	347	63.9	0.200895358811704
PZE-101080333	1	348	64	0.509676124908014
PZE-101080322	1	349	64.1	0.636337913896612
PZE-101079485	1	350	64.2	0.550155460127443
PZE-101120269	1	351	64.3	0.932274921897935
PZE-101080470	1	352	64.4	0.255182581688835
PZE-101080314	1	353	64.5	0.200895358811704
PZE-101120159	1	354	64.6	0.885074489473965
PZE-101081964	1	355	64.8	1.51541762562908
PZE-101120262	1	356	64.9	0.237226964331707
PZE-101120107	1	357	65	0.268126809696124
PZE-101082238	1	358	65.1	0.116569345364661
