mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-102000302	2	2	1.2	1	3.4	-2.9	1.9
PZE-102007615	2	8	11.5	7	5.7	-1.1	1.2
PZE-102011885	2	11	17.8	1	4.2	-1.8	1.4
PZE-102013863	2	12	18.7	8	5.8	-0.3	1.1
PZE-102019299	2	16	24.6	1	5.2	-0.3	1.1
PZE-103102119	3	50	65.1	3	6.4	-4	1.6
PZE-103103362	3	52	67.4	21	5.9	0.2	1
PZE-103114815	3	58	74.3	1	4.5	6.6	-0.5
PZE-104080020	4	44	57.7	1	4.3	-0.5	1.1
PZE-104092392	4	52	66.5	1	4.2	3.7	0.1
PZE-104096885	4	57	72.3	1	3.3	4.9	-0.5
PZE-104098895	4	59	74.7	1	2.7	3.6	-0.3
PZE-104105055	4	68	84.5	11	6	-1.3	1.2
PZE-105133893	5	66	87.4	1	6.7	2.6	0.6
PZE-105177818	5	94	129.1	4	5.9	0.9	0.8
PZE-105180267	5	96	133.4	1	7.6	-11.8	2.6
PZE-105181974	5	98	136.3	3	5.2	-0.1	1
PZE-106000112	6	1	0	34	3.3	1.3	0.6
PZE-106006805	6	6	6.8	1	2.4	5.8	-1.4
PZE-106041256	6	16	18.7	1	11.6	12.3	-0.1
PZE-106046440	6	21	24.8	88	10.1	10.4	0
PZE-106046852	6	22	25.3	3	12.1	7.9	0.3
PZE-106051814	6	26	31.1	6	9.8	1	0.9
PZE-107077770	7	52	69.8	1	10.7	6	0.4
PZE-107078697	7	53	70.9	15	10.4	7.7	0.3
PZE-107083379	7	54	72.7	40	11.2	10.4	0.1
PZE-107079722	7	55	73.1	7	10.7	4.9	0.5
PZE-107085004	7	57	75.5	16	11.7	5.7	0.5
PZE-107094413	7	58	77.5	5	11.3	9.1	0.2
PZE-107093165	7	60	79	1	11.7	-1.9	1.2
PZE-107102135	7	61	80.1	7	11.2	2.8	0.8
PZE-107106841	7	63	82.8	1	7.1	8.1	-0.1
PZE-107116723	7	69	91.6	4	6.2	3.1	0.5
PZE-107118905	7	70	92.9	4	9	8.3	0.1
PZE-108012648	8	23	29.4	2	5.1	-8.2	2.6
PZE-108020824	8	31	41.2	1	6.5	-0.2	1
PZE-108030712	8	34	44.9	13	5.9	0.8	0.9
PZE-108042918	8	36	46.2	1	5.3	4	0.2
PZE-108057325	8	40	51.5	10	6.3	3.2	0.5
PZE-108060864	8	45	56.6	1	4.9	-3	1.6
PZE-109019364	9	32	42.1	2	3.8	-0.4	1.1
PZE-109024119	9	38	48.3	1	8.1	1.2	0.9
PZE-109029553	9	40	50.6	2	6.5	-0.7	1.1
PZE-109057210	9	42	52.8	5	4.9	3.5	0.3
PZE-109073134	9	50	62	1	7.7	3.3	0.6
PZE-109080626	9	52	64.9	16	7.9	4.5	0.4
PZB01432.2	9	53	65.7	57	7.8	5.6	0.3
PZE-110008028	10	12	22.6	2	4.3	-2.1	1.5
PZE-110008044	10	13	23.9	1	7.2	6.6	0.1
PZE-110009551	10	18	29.4	8	7.1	0.5	0.9
PZE-110012360	10	19	32.5	2	8.4	4.2	0.5
PZE-110013212	10	22	36.5	1	7	-4.1	1.6
PZE-110013774	10	23	36.8	2	7.7	-2.8	1.4
PZE-110061629	10	34	49.3	2	5.8	-0.6	1.1
PZE-110059392	10	36	52	5	5.7	-2.1	1.4
PZE-110105426	10	69	98.9	1	4.3	0.5	0.9
