mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.100178728384909	NA	0.476737079465614	-0.629274294283684	-0.970302780848552	0.573883775489501	0.251041131764497
PZE-101000161	1	2	0.1	0.357287822315522	NA	NA	NA	NA	0.572654464287646	0.249521761919335
PZE-101000344	1	3	0.7	0.209057696558523	NA	NA	-0.705522307261483	-0.705522307261483	0.57312032341097	0.25009694519198
PZE-101000424	1	4	0.8	0.209044610382168	NA	NA	-0.705606734132967	-0.705606734132967	0.573120369672413	0.250096857874722
PZE-101000370	1	5	1	0.20904485677361	NA	NA	-0.705606750377757	-0.705606750377757	0.57312036880138	0.250096568069002
PZE-101000754	1	6	1.4	0.209045349584793	NA	NA	-0.70560678286754	-0.70560678286754	0.573120367059216	0.250095988425998
PZE-101000169	1	7	1.5	0.209045472819195	NA	NA	-0.705606790788558	-0.705606790788558	0.573120366623563	0.250095843515296
PZE-101000256	1	8	1.7	0.209045719281115	NA	NA	-0.705606806630767	-0.705606806630767	0.573120365752282	0.250095553702233
PZE-101001103	1	9	1.8	0.209045842506661	NA	NA	-0.705606814551826	-0.705606814551826	0.57312036531666	0.250095408802189
PZE-101000659	1	10	1.9	0.209045972174084	NA	NA	-0.705606781265114	-0.705606781265114	0.573120364858267	0.250095263879915
PZE-101001110	1	11	2.2	0.212798296086795	NA	NA	-0.705597088890405	-0.705597088890405	0.573107121071981	0.245781673622366
PZE-101000431	1	12	2.3	0.209045226310547	NA	NA	-0.705606782986933	-0.705606782986933	0.57312036749501	0.250096131924205
PZE-101000442	1	13	2.4	0.209044853003397	NA	NA	-0.70560678375483	-0.70560678375483	0.573120368814709	0.250096566401858
PZE-101000530	1	14	2.5	0.0875228235199279	NA	NA	0.770084515973342	0.770084515973342	0.573327387564103	0.770084515973342
PZE-101001114	1	15	2.6	0.0875224350809783	NA	NA	0.770086852352806	0.770086852352806	0.573327388532477	0.770086852352806
PZE-101001280	1	16	2.7	0.0875224720042163	NA	NA	0.770086630266072	0.770086630266072	0.573327388440428	0.770086630266072
PZE-101000673	1	17	3	0.0806491404399205	NA	NA	0.816563718745928	0.816563718745928	0.573344523318452	0.816563718745928
PZE-101001107	1	18	3.1	0.0830716682950187	NA	NA	0.798838152577623	0.798838152577623	0.573338484135076	0.798838152577623
PZE-101002282	1	19	3.4	0.0912012278753981	NA	NA	0.749046260339816	0.749046260339816	0.573318217268174	0.749046260339816
PZE-101002081	1	20	3.6	0.0926510784776941	NA	NA	0.74128367068519	0.74128367068519	0.573314602736182	0.74128367068519
PZE-101001380	1	21	4.3	0.232900954788352	NA	NA	NA	NA	0.584923466596396	NA
PZE-101003133	1	22	4.5	0.229894598250531	NA	NA	NA	NA	0.588986582991402	NA
