mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.743317753325075
PZE-101000161	1	2	0.1	0.243238985651622
PZE-101000344	1	3	0.7	0.743317753325075
PZE-101000424	1	4	0.8	0.151524412303049
PZE-101000370	1	5	1	0.323443868168773
PZE-101000754	1	6	1.4	0.113581771330147
PZE-101000169	1	7	1.5	0.323443868168773
PZE-101000256	1	8	1.7	0.323443868168773
PZE-101001103	1	9	1.8	0.00423846252429993
PZE-101000659	1	10	1.9	0.243238985651622
PZE-101001110	1	11	2.2	0.328119032710092
PZE-101000431	1	12	2.3	0.743317753325075
PZE-101000442	1	13	2.4	0.323443868168773
PZE-101000530	1	14	2.5	0.743317753325075
PZE-101001114	1	15	2.6	0.00423846252429993
PZE-101001280	1	16	2.7	0.00423846252429993
PZE-101000673	1	17	3	0.743317753325075
PZE-101001107	1	18	3.1	0.860322928085783
PZE-101002282	1	19	3.4	0.222017872172687
PZE-101002081	1	20	3.6	0.39144796116546
PZE-101001380	1	21	4.3	0.860322928085783
PZE-101003133	1	22	4.5	0.222017872172687
PZE-101003135	1	23	4.7	0.0807984084136381
PZE-101003026	1	24	4.9	0.949115137397089
PZE-101003031	1	25	5.6	0.323443868168773
PZA00393.1	1	26	5.7	0.255880878037872
PZE-101003115	1	27	5.9	0.323443868168773
PZE-101002367	1	28	6	0.260937121057095
PZE-101005818	1	29	7.3	0.365589695004729
PZE-101006745	1	30	9.2	0.970988340893524
PZA01022.1	1	31	9.6	0.277951192054507
PZE-101009312	1	32	10.6	0.0673520670451195
PZE-101007769	1	33	10.9	0.122432313553843
PZE-101009215	1	34	11.2	0.629858975304819
PZE-101010821	1	35	11.8	0.250684784167981
PZE-101009528	1	36	12.3	0.320155921114159
PZE-101009163	1	37	12.5	0.18324445104383
PZE-101010560	1	38	13	0.266083231684219
PZE-101010917	1	39	13.5	0.361726044985532
PZE-101012517	1	40	13.6	0.0742623915923107
PZE-101014135	1	41	13.7	0.0260369423723724
PZE-101014266	1	42	13.8	0.0260369423723724
PZE-101011048	1	43	14	0.0567909112155637
PZE-101013802	1	44	15.2	0.209366565019787
PZE-101014003	1	45	15.3	0.385241475905802
PZE-101011906	1	46	15.7	0.695095922729547
PZE-101015469	1	47	16.2	0.286534422505104
PZE-101013772	1	48	16.4	0.0950933580978001
PZE-101013713	1	49	16.9	0.0441724631435576
PZE-101015471	1	50	17.3	0.465984397173573
PZE-101017581	1	51	18.7	0.100764263465918
PZE-101017779	1	52	19	0.0599363104171225
PZB01915.1	1	53	19.1	0.388946581850696
PZE-101017463	1	54	19.5	0.129215361352394
PZE-101017580	1	55	19.6	0.129215361352394
PZE-101018214	1	56	19.7	0.0143499509047679
PZE-101017487	1	57	19.9	0.397841414781809
PZE-101018516	1	58	20.1	0.681805270022122
PZE-101018023	1	59	20.3	0.681805270022122
PZE-101018404	1	60	20.6	0.681805270022122
PZE-101018668	1	61	20.8	0.0849527110027687
PZE-101018057	1	62	20.9	0.781542999996551
PZE-101017262	1	63	21	0.00960866924083419
PZE-101018616	1	64	21.1	0.681805270022122
PZE-101018411	1	65	21.2	0.488750832307647
PZE-101017187	1	66	21.3	0.213002698469942
PZE-101018868	1	67	21.4	0.121768118141498
PZE-101019597	1	68	21.5	0.657334467967709
PZE-101019781	1	69	21.6	0.227758520952246
PZE-101018356	1	70	21.7	0.488750832307647
PZE-101019727	1	71	21.8	0.102267620657631
PZE-101019853	1	72	21.9	0.227758520952246
PZE-101018206	1	73	22.5	0.488750832307647
PZE-101018567	1	74	22.9	0.403360981155463
PZE-101019726	1	75	23	0.0691035968707964
PZE-101021986	1	76	23.1	1.16044186244721
PZE-101020456	1	77	23.6	0.227758520952246
PZE-101018818	1	78	23.7	0.926942473280738
PZE-101019538	1	79	24	0.940129883269099
PZE-101022341	1	80	24.3	0.385359383510087
PZE-101019557	1	81	24.4	0.488543763747399
PZE-101021926	1	82	25.4	0.276444471848142
PZE-101021455	1	83	25.7	0.140786874044954
PZE-101024131	1	84	25.9	1.49736030609282
PZE-101024424	1	85	26.4	1.49736030609282
PZE-101020931	1	86	26.9	0.899399537111697
PZE-101021308	1	87	27.6	0.498776844208441
PZE-101025101	1	88	27.7	0.385359383510087
PZE-101024556	1	89	28.2	0.163281707606715
PZE-101026314	1	90	28.6	1.1838631863876
PZE-101024519	1	91	29.4	0.703469509651413
PZE-101027798	1	92	29.5	0.116249371123848
PZE-101026621	1	93	29.6	0.417736057847062
PZE-101026386	1	94	29.7	1.1838631863876
PZE-101027475	1	95	29.8	0.116249371123848
PZE-101024452	1	96	30	0.703469509651413
PZE-101027158	1	97	30.4	0.116249371123848
PZE-101027807	1	98	30.9	0.116249371123848
PZB00718.5	1	99	31.1	0.903606648110647
PZE-101029689	1	100	31.3	0.883533822578178
PZE-101029759	1	101	31.4	0.883533822578178
