mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.156241082130091	0.740171731845806	0.459272121279142	-0.922516189564953	-0.126660977740178	-0.999606681440084	NA
PZE-101000161	1	2	0.1	0.156241010280161	0.740172579119422	-0.922516189656037	-0.999606681440549	0.459272121808206	-0.126660978186148	NA
PZE-101000344	1	3	0.7	0.156233049855401	0.740170933879538	-0.922859533152714	-0.999606681491939	0.45927218042519	-0.126661027596736	NA
PZE-101000424	1	4	0.8	0.156334067181039	0.738967166069373	-0.922916634653254	-0.999606680839885	0.459271436657641	-0.126660400646364	NA
PZE-101000370	1	5	1	0.15651622419539	0.736810172936312	-0.923030864804334	-0.999606679664458	0.459270095907849	-0.126659270481308	NA
PZE-101000754	1	6	1.4	0.15679360951811	0.733551352692006	-0.923259429211717	-0.999606677875465	0.459268055301512	-0.126657550394185	NA
PZE-101000169	1	7	1.5	0.156843639091508	0.732964460269631	-0.923316590632722	-0.999606677552921	0.45926768739144	-0.126657240273447	NA
PZE-101000256	1	8	1.7	0.156919584532845	0.732069214817943	-0.92343093556561	-0.999606677063368	0.459267128979422	-0.12665676957465	NA
PZE-101001094	1	9	1.8	0.156945373736441	0.731761174545989	-0.923488118247812	-0.99960667689714	0.459266939378229	-0.126656609755525	NA
PZE-101000659	1	10	1.9	0.156964353601119	0.459266799846078	0.73154590626361	-0.126656492140802	-0.923488100247123	-0.999606676774812	NA
PZE-101001110	1	11	2.2	0.157041390436982	0.459266233564368	0.730726804385461	-0.126652133443434	-0.923488003972418	-0.999606676278379	NA
PZE-101000431	1	12	2.3	0.172928074180085	0.459151452406684	0.731522011687066	-0.114188410246293	-0.923468488090164	-0.999606575719343	NA
PZE-101000442	1	13	2.4	0.189809769449004	0.459033420907268	0.731432380493057	-0.102820899930792	-0.923448416746492	-0.999606472295813	NA
PZE-101000530	1	14	2.5	0.207574176877142	0.458912999287676	0.731342637392965	-0.0924874925415425	-0.923427936016936	-0.999606366761022	NA
PZE-101001114	1	15	2.6	0.226176903407254	0.45879050201224	0.731273433095502	-0.083123041008897	-0.923407099114579	-0.999606259389351	NA
PZE-101001280	1	16	2.7	0.245570040662375	0.458666227335758	0.731203198261149	-0.0746610686423419	-0.923385956777738	-0.999606916069752	NA
PZE-101000673	1	17	3	0.307991052473509	0.458285420852492	0.730987850781524	-0.0540282262334703	-0.923322641842616	0.977272869395728	NA
PZE-101001107	1	18	3.1	0.328529067971027	0.458171409344759	0.744376655702187	-0.0485260236767638	-0.923302704556751	0.969552899196349	NA
