mk.names	chr	pos.ind	pos.cM	log10pval	D06	UH304	D09	F252	F618	F353
PZE-101000344	1	1	0.7	0.713839643932797	0.0938166194604455	-0.998108591496505	0.0419754620820018	-0.749218375972672	0.558016541799765	1
PZE-101000424	1	2	0.8	0.713839643931932	0.0938166194605855	-0.998108591496505	0.0419754620821203	-0.749218375972537	0.558016541799047	1
PZE-101000754	1	3	1.4	0.713839643932339	0.0938166194604593	-0.998108591496505	0.0419754620820906	-0.7492183759722	0.558016541799569	1
PZE-101000169	1	4	1.5	0.713839643931796	0.0938166194605625	-0.998108591496505	0.0419754620821401	-0.749218375972335	0.558016541799438	1
PZE-101001103	1	5	1.8	0.713839643932772	0.0938166194604788	-0.998108591496505	0.0419754620820145	-0.749218375971931	0.558016541799601	1
PZE-101000659	1	6	1.9	0.713839643932101	0.0419754620821075	-0.749218375972537	0.0938166194604659	-0.998108591496505	0.558016541799862	1
PZE-101001110	1	7	2.2	0.713839643932288	0.0419754620820821	-0.749218375971998	0.0938166194605288	-0.998108591496505	0.558016541799373	1
PZE-101000431	1	8	2.3	0.713839643834129	0.0419754620998346	-0.749218375904862	0.0938166194604926	-0.998108591496505	0.558016541798982	1
PZE-101000442	1	9	2.4	0.71383964373619	0.0419754621175193	-0.749218375836512	0.0938166194604356	-0.998108591496505	0.558016541800091	1
PZE-101000530	1	10	2.5	0.713839643637844	0.0419754621353208	-0.749218375767691	0.0938166194604053	-0.998108591496505	0.558016541800025	1
PZE-101001114	1	11	2.6	0.713839643539082	0.0419754621531224	-0.749218375700015	0.0938166194605021	-0.998108591496505	0.558016541799765	1
PZE-101001280	1	12	2.7	0.713838660571729	0.0419756398049531	-0.749217693640859	0.558016541799504	0.0938166194605546	-0.998108591496505	1
PZE-101000673	1	13	3	0.683687698271434	0.0486122272495288	-0.728825642138559	0.543232002840522	0.0938166194604989	-0.998108591496505	1
PZE-101002282	1	14	3.4	0.631587170828849	0.0624926859935494	0.523883950703995	0.0938166194604424	-0.998108591496505	-0.701915522818382	1
PZE-101002081	1	15	3.6	0.590238937265639	-0.998108591496505	0.0938166194605718	0.0721879411592756	0.558502616904322	-0.688617619371558	1
PZE-101001587	1	16	4.2	0.20793640311834	0.569428704997456	0.558513194670966	0.103354894464286	-0.991600886823783	-0.649545017816481	1
PZE-101001380	1	17	4.3	0.17845190323899	0.810683963507408	0.558512092190607	0.105160297103356	-0.990491779458509	-0.643172688473595	1
PZE-101001108	1	18	4.4	0.171234752458908	-0.92990528231489	0.560229144984933	0.107032848049933	-0.989376149607835	-0.636845125481624	1
PZE-101003133	1	19	4.5	0.179172639467202	-0.694558765445419	0.588723265775366	0.108974732441526	-0.988254194290571	-0.630564041934835	1
PZE-101003135	1	20	4.7	0.175056478083259	-0.694549184113108	0.588731291993762	0.113075486055162	-0.985992137549433	-0.618147919604521	1
PZE-101003026	1	21	4.9	0.158204318435113	0.874780623805051	0.588731292796853	0.117480995024428	-0.983707353579464	-0.605937012858506	1
PZE-101003031	1	22	5.6	0.532346254698743	0.0700964861690189	0.588731292465484	0.135582102692222	-0.975559877596591	-0.564976975962873	1
PZA00393.1	1	23	5.7	0.552071193963246	0.0634286243987676	0.588730818416223	0.138542425951296	-0.974380383278982	-0.559367630136512	1
PZE-101003115	1	24	5.9	0.536486515023944	0.0659150952712956	0.588729870318843	0.144770046948693	-0.972012613184177	-0.548340828287527	1
PZE-101002367	1	25	6	0.5280216385286	0.0676986228348028	0.584041366898669	0.148042636095437	-0.970824952719887	-0.542925080982946	1
PZE-101005818	1	26	7.3	0.3594500161189	0.128933305130239	-0.47872662597605	0.533695457438411	0.201464904994018	-0.955315913018337	1
PZE-101004337	1	27	7.7	0.32797072122047	0.138607058990716	-0.478727697969055	0.533686199100159	0.222438373425582	-0.95058832584052	1
PZE-101005765	1	28	9.2	0.215667181525054	0.533651471372991	0.322191747720647	-0.933568941313847	0.189445952968258	-0.47873172167954	1
PZA01022.1	1	29	9.6	0.189009496439263	0.533642213651196	0.354366103210212	-0.929309943468284	0.207459932383052	-0.478732795041832	1
PZE-101009312	1	30	10.6	0.17351860614261	0.261512406027746	-0.478735477678408	0.361899887027082	0.443743442514748	-0.919345125165043	1
PZE-101007769	1	31	10.9	0.157376825779624	0.280242029979481	-0.478736282018561	0.361895691485635	0.472650912764327	-0.91656488000743	1
PZE-101009215	1	32	11.2	0.146279099666622	0.280243959437107	-0.502391139284743	0.361891495701966	0.502315177277562	-0.913886990382251	1
PZE-101010821	1	33	11.8	0.125427739311174	0.280247818801733	-0.562203898766188	0.361883104612378	0.563382610078687	-0.908845373793692	1
PZE-101009528	1	34	12.3	0.110373886035396	-0.904967389757922	0.61539234281085	0.280251034737128	-0.622614803261303	0.361883103913535	1
PZE-101009163	1	35	12.5	0.110374704624541	-0.904960772288331	0.615385240174745	0.280251034866063	-0.622616556035503	0.361883103912862	1
