mk.names	chr	pos.ind	pos.cM	log10pval	R2.diff	adj.R2.diff	R2.sg	adj.R2.sg
PZE-101135343	1	488	81.7	5.30405364085259	5.26	5.34	6.1	4.76
PZE-101203104	1	828	131.9	9.31596585266862	6.47	6.72	7.61	6.29
PZE-102070988	2	237	63.2	3.9759972526196	3.36	3.16	6.48	5.14
PZE-103110852	3	367	72.4	5.31563553534252	3.85	3.72	7.82	6.51
PZE-104141072	4	555	116	9.23584616889082	4.88	4.9	6.92	5.59
PZE-105056077	5	174	56.9	5.06542039924342	3.61	3.45	3.55	2.17
PZE-107097424	7	346	78	4.74478938943215	5.6	5.72	9.3	8
PZE-108030632	8	142	44.3	11.0095684668759	6.98	7.3	9.91	8.62
PZE-109093628	9	345	71.2	8.75709110701655	5.59	5.71	8.74	7.44
PZE-110008044	10	29	23.9	10.0424164832162	6.26	6.48	9.36	8.07
