mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.290172707089297	-0.40267366917211	0.379386433918536	-0.442573641159185	-0.151269355761447	-0.710559239737237	1
PZE-101000161	1	2	0.1	0.290172799386339	-0.402673405815463	-0.442573641159229	-0.710559239737807	0.379386433918449	-0.15126935576161	1
PZE-101000344	1	3	0.7	0.290204279180061	-0.402676337058927	-0.442466818942006	-0.710559239738149	0.379386433918536	-0.15126935576148	1
PZE-101000424	1	4	0.8	0.288643064867342	-0.407186432938513	-0.442449138178534	-0.710559239738149	0.379386433919395	-0.151269355761227	1
PZE-101000370	1	5	1	0.285386603285733	-0.41685906997463	-0.442413883273419	-0.710559239737579	0.379386433918151	-0.151269355761316	1
PZE-101000754	1	6	1.4	0.278426436699377	-0.438837500115194	-0.442343803735603	-0.710559239738549	0.379386433919308	-0.151269355761553	1
PZE-101000169	1	7	1.5	0.276614067443321	-0.444878311663015	-0.442326374265173	-0.710559239737636	0.37938643391908	-0.151269355761412	1
PZE-101000256	1	8	1.7	0.272929934164083	-0.457602034570061	-0.442291624730489	-0.710559239737408	0.379386433919062	-0.151269355761692	1
PZE-101001094	1	9	1.8	0.271066380433606	-0.464278352849011	-0.442274304922033	-0.710559239738263	0.379386433919536	-0.151269355761356	1
PZE-101000659	1	10	1.9	0.269188901025338	0.379386433918904	-0.471158743553148	-0.151269355761391	-0.442274303191331	-0.710559239737921	1
PZE-101001110	1	11	2.2	0.268611245738613	0.379386433919273	-0.473328702116671	-0.151265453414921	-0.442274303191595	-0.710559239738206	1
PZE-101000431	1	12	2.3	0.285045441618799	0.379386433918782	-0.469522405025778	-0.138712633279718	-0.442274303190738	-0.710559239776253	1
PZE-101000442	1	13	2.4	0.300875709455313	0.379386433918852	-0.470340282735424	-0.127048327351094	-0.442274303191046	-0.710559239815155	1
PZE-101000530	1	14	2.5	0.317325369499175	0.379386433918606	-0.47116093525681	-0.116241341167585	-0.442274303190321	-0.710559239853658	1
PZE-101001114	1	15	2.6	0.33460350916059	0.379386433896202	-0.471161855949686	-0.106256838065944	-0.442274303190892	-0.710559239892046	1
PZE-101001280	1	16	2.7	0.352449322140815	0.379386433873307	-0.471162776671366	-0.097057055724135	-0.44227430319399	-0.710559623997697	1
PZE-101000673	1	17	3	0.407414356054782	0.379386433803605	-0.471165538938721	-0.0737592751390981	-0.442274398221915	-0.723186564284651	1
PZE-101001107	1	18	3.1	0.423716631950883	0.379386203434476	-0.480455409137346	-0.0672865251202122	-0.442274429903807	-0.727866677187771	1
PZE-101002282	1	19	3.4	0.45940262680886	0.408714879722489	-0.519139510529386	-0.0511573777950683	-0.442274524963587	-0.743173654614147	1
PZE-101002081	1	20	3.6	0.454615079570621	0.40871794462037	-0.525273987628054	-0.0511564505363568	-0.443460971710315	-0.76839251717533	1
PZE-101001587	1	21	4.2	0.469752381169277	0.382755662121621	-0.473257759058403	-0.0511554520057977	-0.453748232128465	-0.850941958859067	1
PZE-101001380	1	22	4.3	0.471324892168852	0.380833788390803	-0.465323368526398	-0.0511552855200601	-0.456430130635795	-0.865418416381696	1
PZE-101003133	1	23	4.5	0.473730660439062	0.378759017235402	-0.45012492834876	-0.462580522029815	-0.894692352844497	-0.0511549525058524	1
PZE-101003135	1	24	4.7	0.474334395116772	0.377392565746311	-0.450122306836682	-0.462581187962476	-0.894698069155324	-0.0511546194433034	1
PZE-101003026	1	25	4.9	0.473503437622639	0.376766665275441	-0.450119685343841	-0.462579757363912	-0.923157513576956	-0.0511542863429832	1
PZE-101003031	1	26	5.6	0.483077883541734	0.380702748987206	-0.415937015740581	-0.462574748614825	0.971249085581577	-0.051153120349876	1
PZA00393.1	1	27	5.7	0.484195766884236	0.382056555814827	-0.412134452566443	-0.462574032946744	0.956262810929068	-0.0511529537791932	1
PZE-101003115	1	28	5.9	0.485429675881181	0.385351518719911	-0.405413735120961	-0.46257260156536	0.956259940462471	-0.0511526206506263	1
PZE-101002367	1	29	6	0.48577123677465	0.387288374855822	-0.402503352570805	-0.462571885864831	0.956258505121549	-0.0511524540957894	1
PZE-101005818	1	30	7.3	0.474281492317466	0.427984557900419	-0.391213648484262	-0.051150290085	-0.462562583927681	0.956239844792033	1
PZE-101006745	1	31	9.2	0.732249571108234	0.427992282621616	-0.345400990292046	-0.0285962963712582	-0.273263757210208	0.967858879776234	1
PZA01022.1	1	32	9.6	0.788054859483917	0.427996746231354	-0.325778490951769	-0.0257120996673973	-0.252277829400739	0.970587558219926	1
PZE-101009312	1	33	10.6	0.921922868271423	0.42800790705966	-0.0204603312365101	0.977567935140755	-0.284150166304099	-0.206433204906163	1
PZE-101007769	1	34	10.9	0.95943673810063	0.428011254823787	-0.0193296665749163	0.979665001907196	-0.273601629218984	-0.194533158861175	1
PZE-101009670	1	35	11	0.979785978919241	0.439343985432231	-0.0181285818059376	0.975413595563278	-0.27027108139692	-0.190753331508607	1
PZE-101009215	1	36	11.2	1.01909302556393	0.463048039293848	-0.0160477974168043	0.966855371808537	-0.263878942545793	-0.183469846458606	1
PZE-101010821	1	37	11.8	1.12107598949711	0.542343959103599	-0.0118895048599326	-0.246736166999332	0.941404038241098	-0.163764352891871	1
PZE-101009528	1	38	12.3	1.18148438641805	0.617102496694588	-0.0101733681906815	-0.234582453519075	0.921534483350376	-0.149670743570614	1
PZE-101009163	1	39	12.5	1.18315265182956	0.648897311701799	-0.00981488422635934	-0.245472473716839	0.921533729224169	-0.144587675036019	1
PZE-101010560	1	40	13	1.21036514636126	0.732019856741411	-0.00981566765977915	-0.224269840113362	0.92157334828449	-0.133168965585437	1
PZE-101010917	1	41	13.5	1.38061555188064	0.818420542323653	-0.12344764733529	-0.00981566773811771	-0.131150825975354	-0.680430638371276	1
PZE-101012517	1	42	13.6	1.39005177645415	-0.121691154291056	0.835866723017917	-0.00981566773817721	-0.127569406892121	-0.680422733769659	1
PZE-101014135	1	43	13.7	1.39006659042175	-0.124667754032908	0.845894028972512	-0.0098156677381136	-0.124099380527904	-0.680414829122517	1
