mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.306494816876187
PZE-101000161	1	2	0.1	0.119244796933949
PZE-101000344	1	3	0.7	0.306494816876187
PZE-101000424	1	4	0.8	0.085185831427793
PZE-101000370	1	5	1	0.0821376273180172
PZE-101000754	1	6	1.4	0.183157281709229
PZE-101000169	1	7	1.5	0.0821376273180172
PZE-101000256	1	8	1.7	0.0821376273180172
PZE-101001094	1	9	1.8	0.119386681737169
PZE-101000659	1	10	1.9	0.152042671462127
PZE-101001110	1	11	2.2	0.133710606448997
PZE-101000431	1	12	2.3	0.306494816876187
PZE-101000442	1	13	2.4	0.0821376273180172
PZE-101000530	1	14	2.5	0.324255069435556
PZE-101001114	1	15	2.6	0.119386681737169
PZE-101001280	1	16	2.7	0.119386681737169
PZE-101000673	1	17	3	0.324255069435556
PZE-101001107	1	18	3.1	0.464829379546417
PZE-101002282	1	19	3.4	0.0201380683359199
PZE-101002081	1	20	3.6	0.00141561268888289
PZE-101001587	1	21	4.2	0.257273188132336
PZE-101001380	1	22	4.3	0.464829379546417
PZE-101003133	1	23	4.5	0.0142455371642323
PZE-101003135	1	24	4.7	0.17568673826353
PZE-101003026	1	25	4.9	0.133544636592995
PZE-101003031	1	26	5.6	0.0821376273180172
PZA00393.1	1	27	5.7	0.169713163971218
PZE-101003115	1	28	5.9	0.0158715193169504
PZE-101002367	1	29	6	0.0838941097804682
PZE-101005818	1	30	7.3	0.0203528058881105
PZE-101006745	1	31	9.2	0.0877050644772397
PZA01022.1	1	32	9.6	0.120479017795742
PZE-101009312	1	33	10.6	0.533676130213896
PZE-101007769	1	34	10.9	0.211350313349764
PZE-101009670	1	35	11	0.115593978943364
PZE-101009215	1	36	11.2	0.264877895577531
PZE-101010821	1	37	11.8	0.644844475355815
PZE-101009528	1	38	12.3	0.699978209275477
PZE-101009163	1	39	12.5	0.62258785138549
PZE-101010560	1	40	13	0.700307403973606
PZE-101010917	1	41	13.5	0.882764683403115
PZE-101012517	1	42	13.6	0.969891471127688
PZE-101014135	1	43	13.7	0.976409439081922
PZE-101014266	1	44	13.8	0.976409439081922
PZE-101011048	1	45	14	0.307229904842872
PZE-101013818	1	46	14.9	0.480703502912229
PZE-101014003	1	47	15.3	0.231383461531151
PZE-101011906	1	48	15.7	0.917141513650288
PZE-101015469	1	49	16.2	0.897270257883028
PZE-101013772	1	50	16.4	0.0949487234360078
PZE-101013713	1	51	16.9	1.05933779102418
PZE-101015471	1	52	17.3	0.0899299241547649
PZE-101017581	1	53	18.7	0.694416301979335
PZE-101017779	1	54	19	0.625976623617889
PZB01915.1	1	55	19.1	0.297631690915955
PZE-101017463	1	56	19.5	0.594421337785225
PZE-101017580	1	57	19.6	0.594421337785225
PZE-101018214	1	58	19.7	0.0207558099445471
PZE-101017487	1	59	19.9	0.27364953042542
PZE-101018516	1	60	20.1	1.10033818642175
PZE-101018023	1	61	20.3	0.387135770907655
PZE-101018404	1	62	20.6	0.387135770907655
PZE-101018668	1	63	20.8	0.518973192683486
PZE-101018057	1	64	20.9	1.01935573805629
PZE-101017262	1	65	21	0.0800651368879255
PZE-101018616	1	66	21.1	0.364411957539819
PZE-101018411	1	67	21.2	1.12451056663768
PZE-101017187	1	68	21.3	0.879069260932058
PZE-101018868	1	69	21.4	0.28140714523895
PZE-101019597	1	70	21.5	1.94834582919699
PZE-101019781	1	71	21.6	0.291101361295344
PZE-101018356	1	72	21.7	0.818487775425528
PZE-101019727	1	73	21.8	1.01845258990925
PZE-101019853	1	74	21.9	0.291101361295344
PZE-101018206	1	75	22.5	0.818487775425528
PZE-101018567	1	76	22.9	0.749017808726904
PZE-101019726	1	77	23	0.695590731892828
PZE-101021986	1	78	23.1	1.32483109674028
PZE-101020456	1	79	23.6	0.0595567631563914
PZE-101018818	1	80	23.7	1.49334928650865
PZE-101019538	1	81	24	2.18399322794909
PZE-101022341	1	82	24.3	0.0048015113690003
PZE-101019557	1	83	24.4	1.57629979233015
PZE-101021926	1	84	25.4	1.08893889888544
PZE-101021455	1	85	25.7	0.488397681299054
PZE-101024131	1	86	25.9	1.57100871635925
PZE-101024424	1	87	26.4	1.57100871635925
PZE-101020931	1	88	26.9	1.50484869855776
PZE-101021308	1	89	27.6	0.660469037966861
PZE-101025101	1	90	27.7	0.158867900296558
PZE-101024556	1	91	28.2	0.521673961893626
PZE-101026314	1	92	28.6	1.41696964581658
PZE-101026882	1	93	29.1	0.233566024692837
PZE-101024519	1	94	29.4	1.68267465320348
PZE-101027798	1	95	29.5	0.509518430221009
PZE-101026621	1	96	29.6	0.644787129245953
PZE-101026386	1	97	29.7	1.41696964581658
PZE-101027475	1	98	29.8	0.244354368749173
PZE-101024452	1	99	30	1.22455663173109
PZE-101027158	1	100	30.4	0.435865804643974
PZE-101027351	1	101	30.6	0.233566024692837
PZE-101027807	1	102	30.9	0.509518430221009
PZB00718.5	1	103	31.1	2.61832335702173
PZE-101029689	1	104	31.3	2.80307672661295
PZE-101029759	1	105	31.4	2.80307672661295
PZE-101026218	1	106	31.5	2.19846059683372
PZE-101028121	1	107	31.6	0.244354368749173
PZE-101029820	1	108	31.8	2.80307672661295
PZE-101028242	1	109	31.9	1.53737781349829
PZE-101026095	1	110	32	1.32509121629649
PZE-101029587	1	111	32.1	0.669523544049673
PZE-101029707	1	112	32.2	2.80307672661295
PZE-101030263	1	113	32.3	0.487816918793507
PZE-101029748	1	114	32.4	0.727581610833219
PZE-101030925	1	115	32.7	0.111110731152663
PZE-101028351	1	116	33.1	2.19392636361628
PZE-101028104	1	117	33.4	0.633746549606877
