mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101196778	1	110	130.2	13	0	6	7	0	14.5	-1.1	1.1
PZE-101219932	1	123	145.9	1	0	1	0	0	14.6	-9.4	1.6
PZE-101214818	1	124	146.9	2	0	0	0	2	7.7	-8.7	2.1
PZE-101233865	1	132	156.3	1	0	0	1	0	13.5	-6	1.4
PZE-101235865	1	133	156.8	3	0	0	3	0	13.9	0.9	0.9
PZE-101236600	1	134	157.6	3	0	0	3	0	11.1	1.6	0.9
PZE-102004688	2	5	6.8	1	0	0	0	1	8.2	4.5	0.5
PZE-102024868	2	21	32.4	6	0	0	6	0	11	-1.2	1.1
PZE-102039927	2	31	46.4	1	0	0	1	0	12	0	1
PZE-102064002	2	44	60	15	0	7	3	5	12.1	-8.1	1.7
PZE-102067031	2	45	61.4	8	0	1	7	0	13.5	2.3	0.8
PZE-102148393	2	74	95	2	0	2	0	0	12.2	-2	1.2
PZE-103070612	3	35	49.9	2	0	0	0	2	8.7	-12.3	2.4
PZE-103092415	3	43	59.1	1	0	1	0	0	13.9	10.5	0.2
PZE-103102170	3	51	68.4	3	0	3	0	0	14.1	17.9	-0.3
PZD00007.1	3	52	69.5	7	0	0	7	0	13.4	-4.1	1.3
PZE-103103922	3	53	70.3	2	0	0	0	2	10.7	27.6	-1.6
PZE-103110385	3	58	75.4	2	0	0	1	1	10.2	-3.7	1.4
PZE-103116584	3	60	78.9	12	0	0	1	11	12	7.8	0.4
PZE-103119721	3	61	79.2	1	0	0	1	0	11.7	11.4	0
PZE-103119152	3	62	81.3	8	0	0	3	5	10.1	-0.1	1
PZE-103122514	3	63	82.1	3	0	0	1	2	9.9	-0.5	1.1
PZE-103120875	3	64	83.6	1	0	1	0	0	15.1	18.6	-0.2
PZE-103123331	3	65	84.7	1	0	0	0	1	7.7	5.1	0.3
PZE-103123615	3	66	85.3	7	0	0	0	7	8.5	2.6	0.7
PZE-103128590	3	71	91.3	4	0	0	0	4	11.3	16.3	-0.4
PZE-103151398	3	88	110.9	1	0	0	1	0	13.4	0	1
PZE-103180686	3	110	141	1	0	0	1	0	13.1	0	1
PZE-103183656	3	114	146.4	1	0	0	1	0	12.7	-10.2	1.8
PZE-103185158	3	116	148.1	3	0	1	0	2	10.9	-18.9	2.7
PZE-105105267	5	46	65.9	4	0	1	3	0	15.3	-13.1	1.9
PZE-105105422	5	47	67.3	2	0	2	0	0	14.8	-11.5	1.8
PZE-105109045	5	49	69.6	1	0	0	1	0	16.2	0	1
PZE-105111323	5	51	70.9	1	0	0	1	0	13.1	0	1
PZE-106008513	6	9	11.3	2	0	0	0	2	8.1	2.4	0.7
PZE-106040089	6	16	18.1	1	0	1	0	0	14.2	-5	1.4
PZE-108009592	8	17	24.2	2	0	2	0	0	19	17	0.1
PZE-108009888	8	18	25.1	5	0	0	0	5	10.2	23.3	-1.3
PZE-108011046	8	20	26.9	1	0	1	0	0	14.1	0.5	1
PZE-108018114	8	28	38.7	2	0	0	0	2	11.7	32.1	-1.7
PZE-108044274	8	35	46.7	3	0	0	0	3	10.9	23.9	-1.2
PZE-108055224	8	38	50.2	3	0	1	0	2	14	10.6	0.2
PZE-108058478	8	41	53.2	8	0	8	0	0	15.4	11.7	0.2
PZE-108058577	8	42	53.8	16	0	16	0	0	17.6	10.6	0.4
PZE-108061060	8	43	55.5	41	0	39	0	2	16.1	18.7	-0.2
PZE-108063241	8	45	57.2	5	0	1	0	4	12.9	0.8	0.9
PZE-108127997	8	86	111.9	1	0	0	0	1	8.2	9.3	-0.1
PZE-108131301	8	87	115.3	2	0	0	2	0	9.6	-2.6	1.3
PZE-108133100	8	89	119.4	1	0	0	1	0	10.6	4	0.6
PZE-109116876	9	86	109.3	2	0	0	0	2	8.3	-6.2	1.7
