mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101180531	1	110	118.4	1	16.5	0.3	1
PZE-101187227	1	115	123.7	1	16.7	24	-0.4
PZE-101190874	1	117	126.1	14	13.5	6.6	0.5
PZE-101208550	1	130	139.6	7	16.3	17.1	0
PZE-101211929	1	133	142.9	5	17	-9.1	1.5
PZE-101236600	1	147	157.6	6	16.4	11.5	0.3
PZE-101239143	1	151	162	2	7.1	1.8	0.7
PZE-102065225	2	49	61	2	12.4	14.2	-0.1
PZE-103109369	3	63	73.4	1	14.2	6.8	0.5
PZE-103171398	3	112	127.7	4	11.5	15.2	-0.3
PZE-103181243	3	124	142.4	2	15	14.8	0
PZE-103184380	3	128	146.9	4	14.1	24.9	-0.8
PZE-103186727	3	130	149.5	12	12.9	13.5	0
PZE-106028794	6	13	13.2	1	16.4	3.3	0.8
PZE-106034708	6	15	15.9	8	14.9	-1.2	1.1
PZE-106040089	6	17	18.1	1	12.9	-8.6	1.7
PZE-106042795	6	20	20.6	1	16.4	19.2	-0.2
PZE-107019914	7	31	41.4	1	13.9	9.6	0.3
PZE-107061406	7	39	49.3	2	12.2	-1.4	1.1
PZE-108005623	8	11	15.4	1	8.6	8.8	0
PZE-108055224	8	40	50.2	1	12.9	-10.4	1.8
PZE-108060440	8	44	53.3	2	16.1	3	0.8
PZE-108067569	8	50	59.9	4	14.6	4.2	0.7
PZE-108069502	8	51	60.8	1	14.6	-30.9	3.1
