mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.0955385562474369	NA	-0.332447801013857	-0.672619380532689	-0.346472950456316	0.590521629078699	-0.866044909395735
PZE-101000161	1	2	0.1	0.0695338325237571	NA	NA	NA	NA	0.591822420238132	-0.860291031580512
PZE-101000344	1	3	0.7	0.125986474945413	NA	NA	-0.343426094882617	-0.343426094882617	0.591489599639904	-0.865727228040323
PZE-101000424	1	4	0.8	0.125993861534138	NA	NA	-0.343411830541353	-0.343411830541353	0.591490384086217	-0.865727849104874
PZE-101000370	1	5	1	0.125993842250141	NA	NA	-0.34341182614302	-0.34341182614302	0.591490381826171	-0.865728195666035
PZE-101000754	1	6	1.4	0.125993803679991	NA	NA	-0.343411817346141	-0.343411817346141	0.591490377305816	-0.865728888827476
PZE-101000169	1	7	1.5	0.12599380800167	NA	NA	-0.343411788220718	-0.343411788220718	0.591490376466697	-0.86572906182247
PZE-101000256	1	8	1.7	0.125993816645869	NA	NA	-0.3434117299695	-0.3434117299695	0.591490374788534	-0.865729407802833
PZE-101001103	1	9	1.8	0.125993820968322	NA	NA	-0.343411700844162	-0.343411700844162	0.591490373949505	-0.865729580785432
PZE-101000659	1	10	1.9	0.125993751774433	NA	NA	-0.343411813476288	-0.343411813476288	0.59149037126286	-0.865729755014387
PZE-101001110	1	11	2.2	0.125687953613057	NA	NA	-0.343388631520769	-0.343388631520769	0.591454293680679	-0.870937993692289
PZE-101000431	1	12	2.3	0.125993813966858	NA	NA	-0.343411818093256	-0.343411818093256	0.59149037850267	-0.865728717330939
PZE-101000442	1	13	2.4	0.125993845112948	NA	NA	-0.343411820371104	-0.343411820371104	0.591490382126957	-0.865728197946842
PZE-101000530	1	14	2.5	0.236745874452593	NA	NA	-0.371140931704612	-0.371140931704612	0.592473612104597	-0.371140931704612
PZE-101001114	1	15	2.6	0.236745644147682	NA	NA	-0.371141248377117	-0.371141248377117	0.592473569833152	-0.371141248377117
PZE-101001280	1	16	2.7	0.23674495016353	NA	NA	-0.371142202617405	-0.371142202617405	0.59247355020166	-0.371142202617405
PZE-101000673	1	17	3	0.240151076199778	NA	NA	-0.366499589230126	-0.366499589230126	0.592702466699547	-0.366499589230126
PZE-101001107	1	18	3.1	0.22915035307535	NA	NA	-0.381794535240181	-0.381794535240181	0.592546876119073	-0.381794535240181
PZE-101002282	1	19	3.4	0.194616378989945	NA	NA	-0.436251026586484	-0.436251026586484	0.592089348623214	-0.436251026586484
PZE-101002081	1	20	3.6	0.191208006287321	NA	NA	-0.442244541132557	-0.442244541132557	0.592060303874039	-0.442244541132557
PZE-101001380	1	21	4.3	0.260443281880643	NA	NA	NA	NA	0.548980246810413	NA
PZE-101003133	1	22	4.5	0.269715110578573	NA	NA	NA	NA	0.537384195205594	NA
PZE-101003135	1	23	4.7	0.087950911616245	NA	NA	NA	NA	0.526421627767247	0.953395708111831
PZE-101003026	1	24	4.9	0.0927900324046483	NA	NA	NA	NA	0.515173464673611	0.953369084862007
PZE-101003031	1	25	5.6	0.0437503050632329	NA	NA	NA	NA	NA	0.904169170804012
PZA00393.1	1	26	5.7	0.0473190687222408	NA	NA	NA	NA	NA	0.896769711064599
PZE-101003115	1	27	5.9	0.054507403781797	NA	NA	NA	NA	NA	0.882048764984399
PZE-101002367	1	28	6	0.0581131389994046	NA	NA	NA	NA	NA	0.87475586099091
PZE-101005818	1	29	7.3	0.102271103049102	NA	NA	NA	NA	NA	0.79018521050228
PZE-101006745	1	30	9.2	0.00473302403330898	NA	NA	NA	NA	NA	0.989160979550915
PZA01022.1	1	31	9.6	0.0152723239124028	NA	NA	NA	NA	NA	-0.965445307651677
PZE-101009312	1	32	10.6	0.0701272082520393	NA	NA	NA	NA	NA	-0.850888769719085
PZE-101007769	1	33	10.9	0.087808452186488	NA	NA	NA	NA	NA	-0.816942608647118
PZE-101009215	1	34	11.2	0.105960910001958	NA	NA	NA	NA	NA	-0.783500160911696
PZE-101010821	1	35	11.8	0.143414894832411	NA	NA	NA	NA	NA	-0.718761994539821
PZE-101009528	1	36	12.3	0.522372475108743	NA	-0.0599479261791399	-0.432147807547589	-0.370088613073563	0.32824745288809	-0.676273597725399
PZE-101009163	1	37	12.5	0.503390247389143	NA	-0.065560230439824	-0.432296737918235	-0.370210759204191	0.331524634580623	-0.65640050421719
PZE-101010560	1	38	13	1.21363133494343	NA	-0.0611460863184216	-0.0611460863184216	-0.0611460863184216	NA	-0.0611460863184216
PZE-101010917	1	39	13.5	1.26423774161569	NA	-0.0544204662607101	-0.0544204662607101	-0.0544204662607101	NA	-0.0544204662607101
PZE-101012517	1	40	13.6	0.733204550453507	NA	-0.0238246632610398	-0.326800651053843	-0.594981396010167	0.355667933482129	-0.55670218650477
PZE-101014135	1	41	13.7	1.48983128800087	NA	-0.0323719388986121	-0.0323719388986121	NA	NA	NA
PZE-101014266	1	42	13.8	1.48934032610763	NA	-0.0324085554711211	-0.0324085554711211	NA	NA	NA
PZE-101011048	1	43	14	0.763922031830727	NA	-0.0312675980689629	-0.0312675980689629	-0.569339806868314	0.734605621462898	0.734605621462898
PZE-101013802	1	44	15.2	0.0866250459024159	NA	NA	-0.941850121169861	-0.529518642568345	-0.941850121169861	-0.941850121169861
PZE-101014003	1	45	15.3	0.309529895947944	NA	-0.313347989074777	-0.313347989074777	-0.506101232359011	-0.313347989074777	-0.313347989074777
PZE-101011906	1	46	15.7	0.127199788084311	NA	NA	NA	-0.498190899275061	NA	-0.725105692116955
PZE-101015469	1	47	16.2	0.332660038150469	NA	-0.248381324713941	-0.248381324713941	-0.248381324713941	-0.248381324713941	-0.662710647034587
PZE-101013772	1	48	16.4	0.339653130124591	NA	NA	NA	-0.457453410596578	NA	NA
PZE-101013713	1	49	16.9	0.73392717506101	NA	-0.0253286389909007	-0.562652307083556	-0.418326082376927	0.263037107367073	-0.577101441134399
PZE-101015471	1	50	17.3	0.77075155420558	NA	-0.0241716923513819	-0.572767056346799	-0.351979417901206	0.264472416292755	-0.584294302699154
PZE-101017581	1	51	18.7	0.0860269347852491	NA	NA	0.700821724126061	NA	0.700821724126061	-0.617995760326055
PZE-101017779	1	52	19	0.0817657360786151	NA	NA	0.705470372467374	NA	0.705470372467374	-0.628894582375217
PZB01915.1	1	53	19.1	0.081443922511263	NA	NA	0.706928484350273	NA	0.706928484350273	-0.628894541333836
PZE-101017463	1	54	19.5	0.0801651419211807	NA	NA	0.712810157890035	NA	0.712810157890035	-0.628894614173654
PZE-101017580	1	55	19.6	0.0798476483895258	NA	NA	0.714292822509576	NA	0.714292822509576	-0.628894692348192
PZE-101018214	1	56	19.7	0.0795310688706453	NA	NA	0.715780360083055	NA	0.715780360083055	-0.628894794789995
PZE-101017487	1	57	19.9	0.0789007187749478	NA	NA	0.718769999707882	NA	0.718769999707882	-0.628895073029001
PZE-101018516	1	58	20.1	0.0782742256122185	NA	NA	0.72177896382864	NA	0.72177896382864	-0.628895449985763
PZE-101018023	1	59	20.3	0.0776517235845345	NA	NA	0.724807132801069	NA	0.724807132801069	-0.628895926735321
PZE-101018404	1	60	20.6	0.0767257478463131	NA	NA	0.729385116982363	NA	0.729385116982363	-0.628896831271056
PZE-101018668	1	61	20.8	0.0761138116137972	NA	NA	0.732460730146747	NA	0.732460730146747	-0.628897562066271
