mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101154647	1	76	93.2	5	0	0	5	0	11.9	0.4	1
PZE-101169972	1	86	105.3	1	0	0	0	1	7.6	-24.2	4.2
PZE-102000848	2	1	0.1	2	0	0	0	2	7.1	-7.8	2.1
PZE-102006128	2	6	8.1	2	0	0	0	2	9.2	-3.8	1.4
PZE-102007615	2	8	11.5	12	0	0	0	12	8.8	-3.7	1.4
PZE-102067031	2	46	61.4	1	0	1	0	0	14.6	-22.1	2.5
PZE-102140935	2	68	86.1	2	0	0	2	0	12.8	0	1
PZE-102145703	2	71	90.8	7	0	7	0	0	15.3	9.5	0.4
PZE-102145439	2	72	91.1	1	0	1	0	0	18.1	-1	1.1
PZE-102147862	2	73	92.3	1	0	0	1	0	9	0	1
PZE-102148515	2	75	95.4	1	0	1	0	0	13.3	-11.6	1.9
PZE-102152341	2	76	96.3	3	0	0	3	0	9.2	0	1
PZE-102171211	2	88	110.4	1	0	0	1	0	12.5	0	1
PZE-102172713	2	89	111.5	1	0	0	1	0	12.9	0	1
PZE-102175641	2	91	114.9	1	0	0	1	0	10.8	0	1
PZE-102184405	2	98	124.3	1	0	0	0	1	7.7	6.3	0.2
PZE-102186112	2	99	125.2	3	0	0	3	0	10	-3.5	1.4
PZE-102186773	2	100	126.6	3	0	0	3	0	9.8	0	1
PZE-103102119	3	50	65.1	2	0	0	0	2	7.9	9.4	-0.2
PZE-103103362	3	52	67.4	1	0	0	0	1	8.1	-12.3	2.5
PZE-103104158	3	55	70.1	1	0	0	0	1	7.1	3.3	0.5
PZE-103114815	3	58	74.3	1	0	0	0	1	6.6	-2	1.3
PZE-103115657	3	61	77.7	2	0	0	0	2	9	-2.2	1.2
PZE-103128590	3	73	91.3	2	0	0	0	2	8.7	3.5	0.6
PZE-103183656	3	116	146.4	1	0	0	0	1	6.6	-10.5	2.6
PZA03107.1	4	6	7.2	1	0	0	0	1	6.8	-13.6	3
PZE-104018936	4	33	44.5	1	0	0	0	1	15.8	-26.9	2.7
PZE-104098869	4	58	73.3	2	0	0	0	2	7.5	-13.2	2.8
PZE-105110743	5	51	70.6	1	0	0	1	0	11.1	-2.7	1.2
PZE-105114670	5	54	73.1	1	0	0	1	0	8	0	1
PZE-105177818	5	94	129.1	1	0	0	0	1	8	-0.8	1.1
PZE-105181381	5	97	134.6	10	0	0	10	0	9.2	-2.3	1.2
PZE-105181974	5	98	136.3	1	0	0	0	1	8.3	-12.1	2.5
PZE-106000112	6	1	0	55	0	38	5	12	16.8	15.1	0.1
PZA00606.10	6	2	2	14	0	1	0	13	11.3	27.3	-1.4
PZE-106008513	6	9	11.3	2	0	0	1	1	17.3	6.5	0.6
PZE-106038001	6	15	16.9	8	0	7	1	0	17.7	13.2	0.3
PZE-106046440	6	21	24.8	4	0	1	0	3	14.3	7.3	0.5
PZE-106046852	6	22	25.3	4	0	1	0	3	13.2	22.9	-0.7
PZE-107063951	7	38	53.6	5	0	2	3	0	13.9	-0.9	1.1
PZE-107064549	7	39	54	5	0	4	0	1	14.5	2.7	0.8
PZB01186.1	7	41	58	1	0	1	0	0	14.1	-10.4	1.7
PZE-107067415	7	43	59.7	8	0	1	7	0	14.3	1.5	0.9
PZE-107068315	7	44	60.8	3	0	3	0	0	15.9	7.7	0.5
PZE-107069959	7	45	62	2	0	2	0	0	14.9	-10	1.7
PZE-107072440	7	47	64	4	0	1	3	0	12.7	-8.3	1.7
PZE-108009277	8	18	23.8	1	0	0	1	0	10.9	0	1
PZE-108022547	8	32	42.6	9	0	0	9	0	16.3	12.1	0.3
PZE-108023009	8	33	42.9	15	0	1	14	0	16.7	1.6	0.9
PZE-108030712	8	34	44.9	19	0	0	10	9	13.7	18.5	-0.4
PZE-108028178	8	35	45.2	1	0	0	1	0	17.3	0	1
PZE-108042918	8	36	46.2	5	0	0	0	5	11.6	22	-0.9
PZE-108045901	8	37	47.4	23	0	2	0	21	12.3	21.3	-0.7
PZE-108053798	8	38	49.4	1	0	0	0	1	9.6	45	-3.7
PZE-108054494	8	39	50.5	1	0	0	0	1	7.8	-7.1	1.9
PZE-108061060	8	44	55.5	18	0	0	18	0	18.6	-0.9	1
PZE-108126646	8	83	109.5	1	0	0	1	0	12.4	-1.9	1.2
PZE-108127997	8	85	111.9	3	0	0	3	0	12.1	10.7	0.1
PZE-108130245	8	86	113.2	1	0	0	0	1	7.6	-49.8	7.6
PZE-109093779	9	58	71.6	3	0	1	1	1	12.9	-6.1	1.5
PZE-109096235	9	60	74.4	4	0	0	4	0	8.9	0	1
PZE-109114762	9	82	106.1	1	0	0	0	1	8.6	1.8	0.8
