mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101089182	1	65	71.5	1	9.4	6.1	0.4
PZE-101170828	1	99	106.4	2	7.4	0.6	0.9
PZE-101205523	1	128	136.8	27	10.4	2	0.8
PZA03556.2	1	156	167.4	2	8.9	8.3	0.1
PZE-102064002	2	48	60	26	11.2	5.5	0.5
PZE-102065225	2	49	61	5	10.4	2.9	0.7
PZE-103119393	3	69	79.1	1	8.5	-4.4	1.5
PZE-103185158	3	129	148.1	14	9.2	5.4	0.4
PZE-104076572	4	46	56.5	3	10	5	0.5
PZE-104079164	4	48	58	4	7.4	0.7	0.9
PZE-104086676	4	53	63.3	1	9.6	11.1	-0.2
PZE-104101269	4	67	78.7	2	8.3	6.5	0.2
PZE-104103602	4	69	81.1	1	8.2	-11.3	2.4
PZE-104108744	4	78	90.3	1	9.2	16.8	-0.8
PZE-105147471	5	80	96	3	9.7	3.9	0.6
PZE-105147666	5	82	97.6	1	9.9	13	-0.3
PZE-105151400	5	83	99.7	1	9.8	18.7	-0.9
PZE-106001418	6	2	1.9	1	7.5	8.6	-0.1
PZE-106034708	6	15	15.9	1	9.3	-7	1.8
PZE-106040089	6	17	18.1	2	9.4	1.3	0.9
PZE-106040890	6	19	19.4	10	10	-2.9	1.3
PZE-106042795	6	20	20.6	2	10.6	10.5	0
PZE-106050388	6	27	28.4	3	9.8	3.9	0.6
PZE-106051814	6	30	31.1	1	8.4	-13.9	2.7
PZE-106052773	6	31	33.1	1	7.3	-5.5	1.8
PZE-106060570	6	38	40.9	1	9.5	30.4	-2.2
PZE-107023670	7	34	44.1	3	9.7	-12.3	2.3
PZE-107066392	7	46	57.4	6	9.9	3.3	0.7
PZE-107072681	7	52	63.2	1	9.2	-8.2	1.9
PZE-108005623	8	11	15.4	4	9	-2.1	1.2
PZE-108008540	8	16	20.9	1	10.2	-6.6	1.6
PZE-108009299	8	17	22.4	7	9.9	-4.3	1.4
PZE-108019862	8	30	39.3	1	9	29.2	-2.2
PZE-110014201	10	23	35.1	2	8.8	2.7	0.7
PZE-110042009	10	32	43.7	1	9.1	3.6	0.6
