mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.0848927262714241
PZE-101000161	1	2	0.1	0.0684161155476717
PZE-101000344	1	3	0.7	0.0848927262714241
PZE-101000424	1	4	0.8	0.19134771806175
PZE-101000370	1	5	1	0.0310317008153903
PZE-101000754	1	6	1.4	0.0708556569214722
PZE-101000169	1	7	1.5	0.0310317008153903
PZE-101000256	1	8	1.7	0.0310317008153903
PZE-101001094	1	9	1.8	0.180214286969899
PZE-101000659	1	10	1.9	0.0537227573535275
PZE-101001110	1	11	2.2	0.0779085862003553
PZE-101000431	1	12	2.3	0.0848927262714241
PZE-101000442	1	13	2.4	0.0310317008153903
PZE-101000530	1	14	2.5	0.0842204182624042
PZE-101001114	1	15	2.6	0.180214286969899
PZE-101001280	1	16	2.7	0.180214286969899
PZE-101000673	1	17	3	0.0842204182624042
PZE-101001107	1	18	3.1	0.0873434691024127
PZE-101002282	1	19	3.4	0.289565577365208
PZE-101002081	1	20	3.6	0.361251460111815
PZE-101001587	1	21	4.2	0.0863411501047277
PZE-101001380	1	22	4.3	0.0873434691024127
PZE-101003133	1	23	4.5	0.317904746618007
PZE-101003135	1	24	4.7	0.304091671682093
PZE-101003026	1	25	4.9	0.0888699704559663
PZE-101003031	1	26	5.6	0.0310317008153903
PZA00393.1	1	27	5.7	0.346591417056789
PZE-101003115	1	28	5.9	0.0364360508782745
PZE-101002367	1	29	6	0.0625174843844344
PZE-101005818	1	30	7.3	0.230434770096115
PZE-101006745	1	31	9.2	0.102207690220128
PZA01022.1	1	32	9.6	0.134558283049177
PZE-101009312	1	33	10.6	0.412951965174861
PZE-101007769	1	34	10.9	0.617743906563329
PZE-101009670	1	35	11	0.00181794819386045
PZE-101009215	1	36	11.2	0.0890707076284967
PZE-101010821	1	37	11.8	0.441213151162886
PZE-101009528	1	38	12.3	0.831279730274952
PZE-101009163	1	39	12.5	0.682202788930962
PZE-101010560	1	40	13	0.712520524414532
PZE-101010917	1	41	13.5	0.811040268381094
PZE-101012517	1	42	13.6	1.31513878306128
PZE-101014135	1	43	13.7	0.915835487047626
PZE-101014266	1	44	13.8	0.915835487047626
PZE-101011048	1	45	14	0.621592700265364
PZE-101013818	1	46	14.9	0.164387588226357
PZE-101014003	1	47	15.3	0.587719340111257
PZE-101011906	1	48	15.7	0.718416043027988
PZE-101015469	1	49	16.2	0.700362308844097
PZE-101013772	1	50	16.4	0.419722182822596
PZE-101013713	1	51	16.9	1.35905868621434
PZE-101015471	1	52	17.3	0.0558206741794738
PZE-101017581	1	53	18.7	1.50993987654801
PZE-101017779	1	54	19	1.04595863154255
PZB01915.1	1	55	19.1	0.328174844081673
PZE-101017463	1	56	19.5	1.66448100542337
PZE-101017580	1	57	19.6	1.66448100542337
PZE-101018214	1	58	19.7	0.0808489572453223
