mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.110135353148612	0.562158507581341	0.814881889043903	0.753103169605311	-0.287917998110039	-0.347059365516125	1
PZE-101000161	1	2	0.1	0.110135521203108	0.562157347859852	-0.347059365516141	0.814881889043903	-0.287917998110015	0.753103169605174	1
PZE-101000344	1	3	0.7	0.110055530913778	0.562158623343155	-0.347317629264049	0.814881889043998	-0.287917998110185	0.753103169605037	1
PZE-101000424	1	4	0.8	0.110042208054914	0.562158678882366	-0.347360750578856	0.814881889043998	-0.287917998110233	0.753103169605106	1
PZE-101000370	1	5	1	0.11004218930542	0.562158789966507	-0.347360759187044	0.814881889043998	-0.287917998110039	0.753103169605037	1
PZE-101000754	1	6	1.4	0.110042151804261	0.562159012147879	-0.347360776403794	0.814881889044092	-0.287917998110075	0.753103169605037	1
PZE-101000169	1	7	1.5	0.110042172769894	0.562159067693315	-0.347360682435302	0.814881889043903	-0.287917998110124	0.753103169605243	1
PZE-101000256	1	8	1.7	0.110042214702353	0.56215917878101	-0.347360494496404	0.814881889043809	-0.287917998110039	0.753103169605037	1
PZE-101001103	1	9	1.8	0.110042235668685	0.562159234322409	-0.347360400527829	0.814881889043903	-0.287917998109954	0.753103169605106	1
PZE-101000659	1	10	1.9	0.110042111591111	0.562159289861736	-0.347360776349171	0.814881889043903	-0.287917998109893	0.753103169605037	1
PZE-101001110	1	11	2.2	0.109799821914723	0.563837358966082	-0.347360776462001	0.814881889043903	-0.287917998110463	0.753103169604968	1
PZE-101000431	1	12	2.3	0.110042159788094	0.562158957279959	-0.347360776400985	0.814881889043809	-0.287917998022224	0.753103169605106	1
PZE-101000442	1	13	2.4	0.11004218395624	0.562158790815132	-0.347360776339767	0.814881889043998	-0.287917997933961	0.753103169605106	1
PZE-101000530	1	14	2.5	0.110042208124417	0.56215862435073	-0.347360776278455	0.814881889043809	-0.287917997845624	0.753103169605106	1
PZE-101001114	1	15	2.6	0.110042001120437	0.562160053699711	-0.34736077621764	0.814881889043809	-0.287917997757021	0.753103169605174	1
PZE-101001280	1	16	2.7	0.110042331086892	0.56216148308372	-0.347360165365706	0.814881889043998	-0.287917115418228	0.753103169605037	1
PZE-101000673	1	17	3	0.124665917302507	0.562165771335286	-0.332909501121378	0.814881889043715	-0.264655195084037	0.753103169605106	1
PZE-101001107	1	18	3.1	0.126415884027738	0.577372775088435	-0.329872559717959	0.814881889044092	-0.258343840374036	0.753103169605174	1
PZE-101002282	1	19	3.4	0.127618869158297	0.633183624093203	-0.326154830845925	0.814881889043998	-0.243683753519709	0.753103169604968	1
PZE-101002081	1	20	3.6	0.128653333070591	0.633187792176853	0.814881889043903	0.753103169604968	-0.32615484707337	-0.241683072227311	1
PZE-101001380	1	21	4.3	0.118672114220128	0.633187793927777	-0.326154847032168	0.855852852254233	-0.256782603992046	0.76143437928415	1
PZE-101003133	1	22	4.5	0.115546999964476	0.633187794427872	-0.326154847020402	0.867803016557394	-0.262165184898081	0.764191950843394	1
PZE-101003135	1	23	4.7	0.114933361594832	0.633188628270396	-0.326154713373168	0.879851060371974	-0.262166118675657	0.767125353412596	1
PZE-101003026	1	24	4.9	0.112409299927	0.633189462122386	-0.325655417606258	0.891990723905859	-0.266917438504545	0.770238055108344	1
PZE-101003031	1	25	5.6	0.0901344565196853	0.66810343571747	-0.337692231617876	0.935104676179316	-0.300699032538124	0.78257593201311	1
PZA00393.1	1	26	5.7	0.0860199756910547	0.674020532300043	-0.341167048799084	0.941331480532569	-0.30771506923539	0.784523118359844	1
PZE-101003115	1	27	5.9	0.0845732842441612	0.686516786992582	-0.341169088071591	0.95382665863146	-0.307716525133076	0.788555052626532	1
PZE-101002367	1	28	6	0.0838590400967852	0.693082260034682	-0.341170107795528	0.960093131478154	-0.307717253145398	0.790639237687693	1
PZE-101005818	1	29	7.3	0.0760011962036694	0.792239831857676	-0.341183365578411	-0.9577760983134	-0.307726718308022	0.821583496732298	1
PZE-101006745	1	30	9.2	0.047375625163702	-0.838907596193786	0.875776549296171	0.774538323192857	-0.307751887034003	-0.502530944917142	1
PZA01022.1	1	31	9.6	0.0430994830213509	-0.814606309814091	0.887686322197722	0.771713242316454	-0.307757187902972	-0.545755732504176	1
PZE-101009312	1	32	10.6	0.035459419708993	-0.664183445877316	-0.75563350399254	-0.307770435250172	0.916997459165187	0.766416678506455	1
PZE-101007769	1	33	10.9	0.0339864337815448	0.925518609369326	-0.701647398894707	-0.738519857830762	-0.307774406939803	0.765355340545843	1
PZE-101009215	1	34	11.2	0.0274291123302356	0.933863857779822	-0.684874765082866	-0.721704321136053	-0.349898841206396	0.76454619029104	1
PZE-101010821	1	35	11.8	0.0175362402972175	-0.975494133500401	-0.655161317546247	-0.689026107973894	-0.448174327583604	0.763685831138897	1
PZE-101009528	1	36	12.3	0.0128683947588573	-0.662823198557138	-0.898561819105778	-0.63507956523882	-0.543024501620701	0.76372602442654	1
PZE-101009163	1	37	12.5	0.0127258364805954	-0.67621767151446	-0.867917703398985	-0.635072632656556	-0.543032763175567	0.763927895491822	1
PZE-101010560	1	38	13	0.0111914683666232	-0.655257511444694	-0.792757812830468	-0.499744371797575	-0.875607165995123	0.764873172073834	1
PZE-101010917	1	39	13.5	0.0180505659294623	-0.557423380153445	0.766405141336762	-0.721141197653296	-0.499732547456342	-0.875643299145724	1
PZE-101012517	1	40	13.6	0.0628157020059973	0.766776663670391	-0.278934592434958	-0.707384212856301	-0.499732676261711	-0.875643287754894	1
PZE-101014135	1	41	13.7	0.0591225555462189	0.764308135797072	-0.286411027761996	-0.729912285965701	-0.499732805069249	-0.875643276364208	1
PZE-101014266	1	42	13.8	0.0556209604162679	0.761908005004307	-0.294175970108526	-0.752841505719837	-0.499732933877487	-0.875643264973809	1
PZE-101011048	1	43	14	0.0491956311907434	0.757327287303276	-0.310586016694218	-0.799713032022459	-0.499733191493247	-0.875643242193302	1
PZE-101013802	1	44	15.2	0.0281100322406327	0.737111402234944	-0.433930727427884	-0.738260703443688	-0.518982717882833	-0.87681303642672	1
PZE-101014003	1	45	15.3	0.0266757596725541	0.736039700295348	-0.734143857568675	-0.446036775183148	-0.520925691927114	-0.877159392083548	1
PZE-101011906	1	46	15.7	0.024737832240065	0.767500670920964	-0.734141714646717	-0.446040057218693	-0.529204972726411	-0.878927183510654	1
PZE-101015469	1	47	16.2	0.0225341697977393	0.807783513368909	-0.73413903568005	-0.446044160538953	-0.540656964754346	-0.881952481436254	1
PZE-101013772	1	48	16.4	0.0217240852908907	0.824119813020895	-0.734137964105851	-0.446045801940036	-0.545563980011801	-0.883393642845901	1
PZE-101013713	1	49	16.9	0.019882381504438	0.865304274792999	-0.734135285500532	-0.44604990516512	-0.558588630264419	-0.887490962756227	1
PZE-101015471	1	50	17.3	0.0166083416942402	0.916537486333997	-0.633479834391407	-0.432859214041154	-0.868644693972476	-0.72879532735563	1
PZE-101017581	1	51	18.7	0.0152167121618962	-0.897145866311058	-0.931649202260126	-0.821070231635627	-0.387023197050213	-0.709728644575659	1
PZE-101017779	1	52	19	0.0175299657704001	-0.858137785983438	-0.9316529278959	-0.799448712500948	-0.377313969018079	-0.705575292819633	1
PZB01915.1	1	53	19.1	0.0181649987445724	-0.858136502409256	-0.931654169976552	-0.792278934649877	-0.374089563686804	-0.70418617874456	1
PZE-101017463	1	54	19.5	0.0209319082945552	-0.858131367200627	-0.931659139041143	-0.763836332930946	-0.361259113360617	-0.698607967005504	1
PZE-101017580	1	55	19.6	0.021682786133764	-0.858130083221821	-0.931660381443933	-0.756793876557369	-0.358069639856503	-0.697208278650878	1
PZE-101018214	1	56	19.7	0.0224582884043703	-0.858128799192835	-0.931661623881125	-0.749782239860896	-0.354887961569386	-0.695806660785521	1
PZE-101017487	1	57	19.9	0.0240850417570544	-0.858126231025279	-0.93166410881999	-0.735858285136636	-0.348549070816628	-0.692997893317447	1
PZE-101018516	1	58	20.1	0.0258158374313894	-0.858123662780491	-0.931666593777911	-0.722077866617219	-0.342244600667707	-0.690182187496482	1
PZE-101018023	1	59	20.3	0.0276541962355763	-0.858121094540247	-0.931669078675312	-0.708453825557541	-0.335976707120668	-0.687360081036794	1
PZE-101018404	1	60	20.6	0.0306206882639549	-0.858117242369045	-0.93167280573466	-0.688337540793241	-0.326648146203046	-0.683116132554064	1
PZE-101018668	1	61	20.8	0.0327421748923159	-0.85811467450044	-0.931675290134187	-0.675156478105732	-0.320481072451335	-0.680280473137931	1
PZE-101018057	1	62	20.9	0.0338471465742526	-0.858113390670576	-0.931676532211622	-0.668638887467501	-0.317413920854574	-0.678860954650229	1
PZE-101017262	1	63	21	0.0349820497434978	-0.858112106924109	-0.93167777419485	-0.662171593641827	-0.314358043596822	-0.677440409864106	1
PZE-101018616	1	64	21.1	0.0361471993123827	-0.858110823271398	-0.931679016073587	-0.655755788408478	-0.311313702166504	-0.676018914536362	1
PZE-101018411	1	65	21.2	0.0373428939990566	-0.858109539722426	-0.931680257838339	-0.649392614187756	-0.308281156613256	-0.674596545288806	1
PZE-101017187	1	66	21.3	0.037806429733943	-0.858109539593974	-0.924635788085916	-0.655512700902181	-0.305260665432691	-0.673173379598949	1
PZE-101018868	1	67	21.4	0.0391062804410728	-0.858109539830406	-0.926403809514729	-0.647869583489816	-0.302252485451864	-0.671749495791211	1
PZE-101019597	1	68	21.5	0.0404428660428485	-0.858111903884381	-0.928171666554871	-0.640303524787178	-0.29925687171256	-0.67032497302642	1
PZE-101019781	1	69	21.6	0.0418165284659541	-0.85811426795185	-0.929939314734605	-0.632816311548806	-0.296274077355772	-0.668899891293138	1
PZE-101018356	1	70	21.7	0.0432275214677505	-0.858116632013965	-0.93170670963547	-0.625409625776399	-0.293304353505913	-0.667474331396981	1
PZE-101019727	1	71	21.8	0.0435363328954383	-0.881947088458644	-0.931706886559504	-0.625411781660076	-0.290347949154729	-0.666048374949079	1
PZE-101019853	1	72	21.9	0.0445005206161471	-0.878519446181713	-0.931707063488219	-0.625413937610744	-0.287405111046112	-0.664622104355012	1
PZE-101018206	1	73	22.5	0.0506847513410791	-0.858111483932743	-0.931708125068911	-0.625426873756225	-0.270046478844869	-0.656062595364723	1
PZE-101018567	1	74	22.9	0.0462473153257745	-0.858112666690165	-0.931715723525202	-0.753517670575562	-0.258775319767557	-0.650360791866695	1
PZE-101019726	1	75	23	0.0493640839626961	-0.864488576818029	-0.950958610879698	-0.707903991098697	-0.255997237930347	-0.648936718524496	1
PZE-101021986	1	76	23.1	0.050178166825291	-0.870944899530677	-0.95047774887757	-0.708752835616619	-0.253235466475644	-0.647513376963445	1
PZE-101020456	1	77	23.6	0.0545601141478081	-0.904252308679089	-0.948076742198437	-0.713031278269628	-0.239678384425026	-0.640410866455216	1
PZE-101018818	1	78	23.7	0.055503029155546	-0.911079203897415	-0.947597251649224	-0.713893575866159	-0.237018691718876	-0.63899385559289	1
PZE-101019538	1	79	24	0.0675975324873559	-0.931779022860588	-0.999718994651144	-0.601981756268555	-0.229146393492744	-0.634751504106232	1
PZE-101022341	1	80	24.3	0.0711545691890165	-0.952668494686121	-0.999725127855159	-0.601976756116451	-0.221437876690638	-0.630524184131753	1
PZE-101019557	1	81	24.4	0.0723948951627831	-0.959642353365332	-0.9997271722558	-0.601975089470113	-0.218905526581991	-0.629118868063763	1
