mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-102024868	2	21	32.4	1	12.2	-5.7	1.5
PZE-102036427	2	28	42.7	2	10.2	4.9	0.5
PZE-102064002	2	44	60	5	11.9	-7.5	1.6
PZE-102067031	2	45	61.4	4	12.1	4.1	0.7
PZE-102072547	2	46	62.6	1	13.1	36.2	-1.8
PZE-102148393	2	74	95	1	12.8	0.2	1
PZE-102149548	2	75	95.5	2	11.7	1	0.9
PZE-102153217	2	76	96.9	1	14.4	-19.7	2.4
PZE-103045372	3	33	47.6	1	6.2	-7.9	2.3
PZE-103042672	3	34	49	2	15.2	-1.6	1.1
PZE-103087654	3	42	58	1	11.6	-2.7	1.2
PZE-103092415	3	43	59.1	1	11.2	1.8	0.8
PZE-103102170	3	51	68.4	3	15.6	18.1	-0.2
PZD00007.1	3	52	69.5	2	13.8	-3.7	1.3
PZE-103110385	3	58	75.4	2	14.5	2.6	0.8
PZE-103116584	3	60	78.9	5	10	0.2	1
PZE-103119721	3	61	79.2	2	13.2	-19.6	2.5
PZE-103119152	3	62	81.3	1	13.1	11.8	0.1
PZE-103122514	3	63	82.1	1	21.7	-14.3	1.7
PZE-103132648	3	72	92.6	1	9.5	-0.3	1
PZA00099.6	3	73	93.7	12	9.8	4	0.6
PZE-103151398	3	88	110.9	11	9.7	10.7	-0.1
PZE-103154386	3	89	112.4	4	8.9	6.8	0.2
PZE-103166902	3	96	121.3	1	9.6	0.6	0.9
PZE-103180686	3	110	141	1	25.8	16.6	0.4
PZE-105105267	5	46	65.9	8	13	7.8	0.4
PZE-105105422	5	47	67.3	2	12.8	-10.3	1.8
PZE-105109045	5	49	69.6	2	15	5.8	0.6
PZE-105111492	5	50	70.5	2	12.3	22.9	-0.9
PZE-105113048	5	53	73.3	1	12.7	24	-0.9
PZE-105175259	5	93	124.9	1	13.5	-0.7	1.1
PZE-106006805	6	6	6.8	1	9.7	0.3	1
PZE-108012841	8	21	28.8	1	11.9	4.1	0.7
PZE-108013355	8	23	31.5	13	10.1	10.7	-0.1
PZE-108017647	8	27	37	1	7.2	23	-2.2
PZE-108042026	8	33	44.4	1	12	20.8	-0.7
PZE-108044274	8	35	46.7	33	14	14.4	0
PZE-108048156	8	36	47.1	5	13.9	2.8	0.8
PZE-108055224	8	38	50.2	2	11.5	-4.4	1.4
PZE-108058213	8	39	51.1	3	11.6	0	1
PZE-108058577	8	42	53.8	6	8.8	5	0.4
PZE-108063241	8	45	57.2	1	10.1	0	1
PZE-108069502	8	48	60.8	1	7.6	-4	1.5
PZE-109099300	9	65	79.6	1	13.5	-39	3.9
PZE-109106839	9	73	90.6	1	8.5	0	1
PZE-109119005	9	88	111.9	1	10.4	-9.5	1.9
