mk.names	chr	pos.ind	pos.cM	log10pval	D06	UH304	D09	F252	F618	F353
PZE-101000344	1	1	0.7	0.198715929945085	0.566280232157598	-0.46985846688652	0.191399984233872	-0.376587903202581	-0.764745707527362	NA
PZE-101000424	1	2	0.8	0.198715929945077	0.566280232157594	-0.46985846688652	0.191399984233882	-0.376587903202582	-0.76474570752736	NA
PZE-101000754	1	3	1.4	0.198715929945084	0.566280232157593	-0.469858466886517	0.191399984233874	-0.376587903202583	-0.76474570752736	NA
PZE-101000169	1	4	1.5	0.198715929945083	0.566280232157597	-0.469858466886522	0.191399984233873	-0.376587903202581	-0.76474570752736	NA
PZE-101001103	1	5	1.8	0.198715929945086	0.566280232157596	-0.46985846688652	0.191399984233871	-0.376587903202581	-0.764745707527359	NA
PZE-101000659	1	6	1.9	0.198715929945086	0.191399984233871	-0.376587903202581	0.566280232157596	-0.469858466886518	-0.76474570752736	NA
PZE-101001110	1	7	2.2	0.198715929945057	0.191399984233907	-0.37658790320258	0.566280232157598	-0.46985846688652	-0.764745707527362	NA
PZE-101000431	1	8	2.3	0.19871592985433	0.191399984352599	-0.37658790318867	0.566280232158074	-0.469858466887065	-0.764745707527639	NA
PZE-101000442	1	9	2.4	0.198715929763621	0.191399984471268	-0.376587903174758	0.566280232158551	-0.469858466887613	-0.764745707527922	NA
PZE-101000530	1	10	2.5	0.198715929672896	0.191399984589954	-0.376587903160849	0.566280232159031	-0.46985846688816	-0.764745707528205	NA
PZE-101001114	1	11	2.6	0.198715929582174	0.191399984708638	-0.376587903146939	0.566280232159512	-0.469858466888709	-0.764745707528482	NA
PZE-101001280	1	12	2.7	0.198715022472812	0.191401171412119	-0.376587764058143	-0.764745710345273	0.566280236947397	-0.469858472364377	NA
PZE-101000673	1	13	3	0.170886504346104	0.231984437601112	-0.372573939586303	-0.775060142067688	0.566430841089249	-0.470030717345682	NA
PZE-101002282	1	14	3.4	0.136269576867911	0.303199609066796	-0.789037725535462	0.566630792475972	-0.470259420475798	-0.367700306196453	NA
PZE-101002081	1	15	3.6	0.122907986109532	-0.470353223215921	0.566712796896941	0.346611463663581	-0.764669426213373	-0.36545313368706	NA
PZE-101001587	1	16	4.2	0.0733351463852709	0.555523271219244	-0.764862672091462	0.58443948927572	-0.502226967146821	-0.359703546639948	NA
PZE-101001380	1	17	4.3	0.0630462798370516	0.643781691178548	-0.764906834827151	0.587622804001495	-0.507906288881959	-0.358905819629353	NA
PZE-101001108	1	18	4.4	0.0567680048478603	0.743936884104316	-0.734140790852211	0.590837935601256	-0.513652771630838	-0.358109891999839	NA
PZE-101003133	1	19	4.5	0.0522649247432926	0.847338281458293	-0.720618811238653	0.594100670105013	-0.51948455433389	-0.357335282505608	NA
PZE-101003135	1	20	4.7	0.0505378636888347	0.847347694836562	-0.720628568069507	0.600749556711442	-0.531382837498849	-0.355821824404234	NA
PZE-101003026	1	21	4.9	0.0588989241696265	0.657458666029008	-0.720578453528812	0.607563591904055	-0.543596095606476	-0.354351319148508	NA
PZE-101003031	1	22	5.6	0.0959151385839544	0.370026645839989	-0.720385515416541	0.633366882817405	-0.589560571690226	-0.350371963851909	NA
