mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-102000848	2	1	0.1	1	10.3	-2.6	1.3
PZE-102006385	2	7	9.6	2	9.1	17.5	-0.9
PZE-102007615	2	8	11.5	12	9.7	-4.5	1.5
PZE-102145439	2	72	91.1	1	6.9	17	-1.5
PZE-102184405	2	98	124.3	2	10.3	-14.6	2.4
PZE-103102119	3	50	65.1	1	6.3	0.3	1
PZE-103103362	3	52	67.4	3	7.4	-14.2	2.9
PZE-104098869	4	58	73.3	1	8.5	-0.6	1.1
PZE-105177818	5	94	129.1	2	9.8	-13.9	2.4
PZE-105181974	5	98	136.3	1	8.2	-8.5	2
PZE-106000112	6	1	0	18	11.6	25.8	-1.2
PZA00606.10	6	2	2	56	11.3	14	-0.2
PZE-106046440	6	21	24.8	4	13.8	16.2	-0.2
PZE-106046852	6	22	25.3	9	5.8	1.9	0.7
PZE-107064549	7	39	54	3	9.4	-5.1	1.5
PZE-108009888	8	19	25.1	1	12.1	-7.6	1.6
PZE-108011044	8	20	26.5	2	11.1	-1.1	1.1
PZE-108022547	8	32	42.6	2	12	37.4	-2.1
PZE-108030712	8	34	44.9	16	12.8	20.8	-0.6
PZE-108042918	8	36	46.2	21	12.5	13.7	-0.1
PZE-108045901	8	37	47.4	37	12.7	14.9	-0.2
PZE-108054494	8	39	50.5	1	9.8	5.1	0.5
PZE-108060864	8	45	56.6	3	11.5	0.4	1
PZE-109114762	9	82	106.1	1	9.7	-18.6	2.9
