mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH250	Mo17	W117	EC169	B73
PZE-101000083	1	1	0	0.212048554086156	NA	-0.889343976096286	-0.0978784001398713	0.373609701637043	0.998715548244209	0.989033753465904
PZE-101000161	1	2	0.1	0.0654517363212216	NA	-0.947867449160101	NA	0.586283998561646	-0.947867449160101	0.586283998561646
PZE-101000344	1	3	0.7	0.070361584801177	NA	-0.94219636190628	NA	0.374506732203957	-0.94219636190628	0.988478765355244
PZE-101000424	1	4	0.8	0.0703826887927704	NA	-0.94228868156163	NA	0.374506861231596	-0.94228868156163	0.984282650368167
PZE-101000370	1	5	1	0.00122624666448506	NA	-0.945539210399559	NA	NA	-0.945539210399559	0.975802124806863
PZE-101000754	1	6	1.4	0.00159844152558542	NA	-0.945929863593396	NA	NA	-0.945929863593396	0.95888059360098
PZE-101000169	1	7	1.5	0.00172169861827887	NA	-0.94602917670247	NA	NA	-0.94602917670247	0.954667190920188
PZE-101000256	1	8	1.7	0.00200293597374393	NA	-0.946229972815453	NA	NA	-0.946229972815453	0.946292469463262
PZE-101001094	1	9	1.8	0.0313916129622493	NA	-0.945126754094083	-0.508944826230182	-0.508944826230182	-0.945126754094083	0.942638573537407
PZE-101000659	1	10	1.9	0.0951478689701645	NA	-0.991393768386313	-0.508364307562783	-0.508364307562783	-0.991393768386313	-0.991393768386313
PZE-101001110	1	11	2.2	0.0951445826977089	NA	-0.992456814273836	-0.508360627257132	-0.508360627257132	-0.992456814273836	-0.992456814273836
PZE-101000431	1	12	2.3	0.103929072229142	NA	-0.990772001002585	-0.489421915623209	-0.489421915623209	-0.990772001002585	-0.990772001002585
PZE-101000442	1	13	2.4	0.113055338146701	NA	-0.991029704119518	-0.470940141521138	-0.470940141521138	-0.991029704119518	-0.991029704119518
PZE-101000530	1	14	2.5	0.122523132502542	NA	-0.991289822956357	-0.452928979959386	-0.452928979959386	-0.991289822956357	-0.991289822956357
PZE-101001114	1	15	2.6	0.132326615514002	NA	-0.991259094209211	-0.435394318696785	-0.435394318696785	-0.991259094209211	-0.991259094209211
PZE-101001280	1	16	2.7	0.142445873343733	NA	-0.991232422196704	-0.418358372998018	-0.418358372998018	-0.991232422196704	-0.991232422196704
PZE-101000673	1	17	3	0.432232234793161	NA	NA	-0.369630470587791	-0.369630470587791	NA	NA
PZE-101001107	1	18	3.1	0.45019129206333	NA	NA	-0.354657140323065	-0.354657140323065	NA	NA
PZE-101002282	1	19	3.4	0.375144558906668	NA	-0.895790054852979	-0.0352093709660179	0.506674612065236	0.878113674540017	0.937625364888613
PZE-101002081	1	20	3.6	0.377824126084147	NA	-0.898063354884457	-0.0352538900589762	0.506670416423352	0.835384267280469	0.926715788965919
PZE-101001587	1	21	4.2	1.46742378050655	NA	NA	-0.0340860141143251	NA	NA	NA
PZE-101001380	1	22	4.3	1.46742524109599	NA	NA	-0.0340858994787707	NA	NA	NA
PZE-101003133	1	23	4.5	1.12565770917991	NA	NA	-0.0341673615073497	0.403079145330662	NA	NA
PZE-101003135	1	24	4.7	0.799346131244489	NA	NA	-0.0344283130920293	0.403040947331736	NA	-0.933842590775991
PZE-101003026	1	25	4.9	0.799335421305492	NA	NA	-0.0344281006025653	0.403064220922316	NA	-0.933840926169768
PZE-101003031	1	26	5.6	0.00676950040106491	NA	NA	NA	NA	NA	-0.984533503294523
PZA00393.1	1	27	5.7	0.00357995536248109	NA	NA	NA	NA	NA	-0.991790729763973
PZE-101003115	1	28	5.9	0.00278862718738247	NA	NA	NA	NA	NA	0.993599519506422
PZE-101002367	1	29	6	0.00600313823767524	NA	NA	NA	NA	NA	0.986272358742921
PZE-101005818	1	30	7.3	0.420381188175504	NA	-0.917785744833419	-0.0355766683663022	0.465198322563584	0.600922133479244	0.885973763509241
PZE-101006745	1	31	9.2	0.662576995306377	NA	NA	-0.217481843009701	-0.217481843009701	NA	NA
PZA01022.1	1	32	9.6	0.683881461669642	NA	NA	-0.207070645979625	-0.207070645979625	NA	NA
PZE-101009312	1	33	10.6	0.657416141872469	NA	-0.552099704728439	-0.0148414655610777	0.467239818168217	0.723647401773707	-0.968109760890801
PZE-101007769	1	34	10.9	0.675731752758629	NA	-0.524606498812195	-0.0141419726730532	0.467350406522428	0.737046601803924	-0.954064370916049
PZE-101009670	1	35	11	0.700527987871744	NA	-0.51571403966001	-0.0129727243471206	0.473616742899589	0.726602537266305	-0.949743896726169
PZE-101009215	1	36	11.2	0.315092762450642	NA	NA	NA	0.484068962588179	NA	NA
PZE-101010821	1	37	11.8	0.885741624895929	NA	-0.449977600267119	-0.00706734292064484	0.531414936423971	0.648682535023904	-0.915292640149599
PZE-101009528	1	38	12.3	0.828889708395304	NA	-0.148289462702996	-0.148289462702996	NA	-0.148289462702996	-0.148289462702996
PZE-101009163	1	39	12.5	0.839598699405105	NA	-0.144677601594538	-0.144677601594538	NA	-0.144677601594538	-0.144677601594538
PZE-101010560	1	40	13	0.86405093366381	NA	-0.136756842900272	-0.136756842900272	NA	-0.136756842900272	-0.136756842900272
PZE-101010917	1	41	13.5	1.13936797742029	NA	-0.0725490988917339	-0.0725490988917339	NA	-0.0725490988917339	-0.0725490988917339
PZE-101012517	1	42	13.6	1.03198083649654	NA	-0.265826826824652	-0.00487868993272939	0.707032843854911	0.834281937970969	-0.837853731594505
PZE-101014135	1	43	13.7	1.03529873102103	NA	-0.258765858749275	-0.00487760073107223	0.715713803221163	0.834013978429794	-0.852158915946395
PZE-101014266	1	44	13.8	1.03872016778164	NA	-0.25188645777375	-0.00487647435608001	0.724983838165818	0.833741408203149	-0.866624473205001
PZE-101011048	1	45	14	1.04592808408228	NA	-0.238678866294083	-0.00487408750769112	0.745147942559898	0.833184192195777	-0.895971433638693
PZE-101013818	1	46	14.9	0.134517493413284	NA	NA	NA	0.733639162784414	NA	NA
PZE-101014003	1	47	15.3	0.135081242807698	NA	NA	NA	0.732687457590565	NA	NA
PZE-101011906	1	48	15.7	0.135087420159787	NA	NA	NA	0.732677036007063	NA	NA
PZE-101015469	1	49	16.2	1.13570933901893	NA	-0.158228100210116	-0.00481101582101244	0.750324335248291	0.963774240442055	0.970767329153434
PZE-101013772	1	50	16.4	1.13196472624141	NA	-0.160318953733275	-0.00480988662940552	0.752328326150593	0.976280964156558	0.984098482388065
PZE-101013713	1	51	16.9	1.11835470882469	NA	-0.168983222162433	-0.00480901523237406	0.757841087654906	-0.992583187270627	-0.982708539531557
PZE-101015471	1	52	17.3	0.338229283648411	NA	-0.458921208470031	NA	0.319988921770344	-0.458921208470031	-0.458921208470031
PZE-101017581	1	53	18.7	0.289942495131439	NA	-0.135524160761219	NA	0.375318959631327	0.858356698933769	-0.698131308465831
PZE-101017779	1	54	19	0.300483356361311	NA	-0.12981886948374	NA	0.386414802265676	0.864803623531771	-0.653831515436022
PZB01915.1	1	55	19.1	0.139188525567629	NA	NA	NA	0.50391084325016	0.50391084325016	-0.668899663612943
PZE-101017463	1	56	19.5	0.12402046970712	NA	NA	NA	0.518377082628035	0.518377082628035	-0.704046433201142
PZE-101017580	1	57	19.6	0.339195309435044	NA	NA	-0.23407317683978	-0.23407317683978	-0.23407317683978	-0.690290472553172
PZE-101018214	1	58	19.7	0.342754129204341	NA	NA	-0.229911428068355	-0.229911428068355	-0.229911428068355	-0.699245049309128
PZE-101017487	1	59	19.9	0.135727963806931	NA	NA	NA	NA	NA	-0.731597202587271
PZE-101018516	1	60	20.1	0.124831209651409	NA	NA	NA	NA	NA	-0.750185715465719
PZE-101018023	1	61	20.3	1.84371349919522	NA	NA	-0.0143313301457226	NA	NA	-0.0143313301457226
PZE-101018404	1	62	20.6	1.32634364778472	NA	-0.687829416863217	-0.0145694467277148	-0.687829416863217	-0.687829416863217	-0.0145694467277148
PZE-101018668	1	63	20.8	1.35787719640234	NA	NA	-0.0154772756602786	0.560730169968044	0.560730169968044	-0.0154772756602786
PZE-101018057	1	64	20.9	1.35366183649888	NA	NA	-0.0156253237382694	0.561957939150156	0.561957939150156	-0.0156253237382694
PZE-101017262	1	65	21	1.34110627418922	NA	NA	-0.016122502467351	0.563077666925949	0.563077666925949	-0.016122502467351
PZE-101018616	1	66	21.1	1.32842858123635	NA	NA	-0.0166409090205751	0.56422729278313	0.56422729278313	-0.0166409090205751
PZE-101018411	1	67	21.2	1.31564084306034	NA	NA	-0.0171813521504849	0.5653895884257	0.5653895884257	-0.0171813521504849
